sep=;
Transaction;Block;Date/Time;Type;Amount;Total
66dce25c8db3e58382f5286cb255f27fb87b27abb3d8f82f172a9c164046d7b7;1664034;2020-11-26 22:02:00;Receive;12588.97052518;111710.51689174
e66bfbcbc28e19e9c3cf53607ec861ecaa9b2d4eaca599f2a7f0ba48b391aa92;1663999;2020-11-26 21:31:20;Receive;7546.70988021;99121.54636656
bf105c830bfe797373e9a5b43f584207cbef066ba6934fdd49a6998cb9370f2d;1662782;2020-11-26 01:02:10;Receive;12663.23576324;91574.83648635
eab82a59c7654cff5416b8bf633c32f029d013820aab62d23b7e48451e2108f4;1655718;2020-11-21 01:28:14;Stake;1.07994079;78911.60072311
99f4343b7f0ef60436801fb4b2465a2afa544a70cf5c3745713aa494d4b75f3e;1655688;2020-11-21 01:00:19;Stake;1.07994079;78910.52078232
c9d273de7708b427ba0152a75016a535e7ba4e862486ceefa244dff6f4bf0470;1655575;2020-11-20 23:08:08;Stake;1.07994079;78909.44084153
ebf4b616fa534363ac8eeff26889b9d9c02c217c758631ff87841d47b1d9e84e;1655369;2020-11-20 19:40:24;Stake;1.07994079;78908.36090074
baf565adea2aebe785e4d0ea871db081e15d3d1b3868f8c7f40b82aa3f66438b;1652715;2020-11-18 22:56:51;Receive;26151.14455443;78907.28095995
54334aaa37c18fabc9aa6b060293cd24a26e327c78775eebf8f9c6c228d86140;1651464;2020-11-18 01:36:14;Stake;1.07994079;52756.13640552
8f866e0bd7352e5b9a09bb3242a6169124473b06f1ee675d4289193c841b1f7a;1651226;2020-11-17 21:42:50;Stake;1.07994079;52755.05646473
3ba99797f219f5a725ef4a745c7c467aed03baa65faa5602e70f884b7b4199ee;1647053;2020-11-14 23:22:03;Receive;19980.01898002;52753.97652394
afe0b52752a3bb75b4d874e471f5d073c886dcbf895e74d24c9b2845280fbaba;1647022;2020-11-14 22:51:43;Receive;6053.61489165;32773.95754392
e8b7576c62a1e03978f2af78223be156b82047cd5f5bd1a7c282f0a7520779bb;1645273;2020-11-13 17:20:20;Receive;4104.32516628;26720.34265227
9b7c70c5b81a0691d78cc7afd6bef7112c9f1a4d22293eb3205bce0edc3a27cd;1642108;2020-11-11 11:44:00;Receive;22616.01748599;22616.01748599
