sep=;
Transaction;Block;Date/Time;Type;Amount;Total
368b575d9b722e9d41fb8d21bf318e3e54c60ae09061d49216720b89413701d3;1545354;2020-09-04 10:14:44;Send;-20073.28242954;36430.31016343
cca9e7fb4c9bdce56832dadea79926ee8fc78d7d79d2f3e3f79e9d68a899e65f;1545351;2020-09-04 10:10:30;Receive;1375.91056366;56503.59259297
0bd39c16673b19565aed56ace9693f94acff26931f4ddd8ba5b7ea1747de2d41;1545350;2020-09-04 10:09:17;Receive;1457.99000121;55127.68202931
28bb38d6df54978c32f7f530f2f95b97badeffa6ce447658601ad0ecf6c84019;1545347;2020-09-04 10:07:00;Receive;1457.99000121;53669.6920281
a430a1183ae14718009d411728dbbcb227ea6ca709eb48e931076e01da40a689;1545347;2020-09-04 10:07:00;Receive;1462.3099716;52211.70202689
7f670f9bdd5d5f1553c04a8133bf7b2fc92b91b924a1c028f7bf233bbccd1f94;1545344;2020-09-04 10:02:06;Receive;1457.99000121;50749.39205529
02259c91aae83de5e0722975bc9d8f4ea2fd35cb28264ad3dbd0dbc51c7e78ad;1545339;2020-09-04 09:58:15;Receive;1457.99000121;49291.40205408
5ca5e8b8417356062348816277200a8cd4b6d337560d4d5c288eeda7307e7867;1545338;2020-09-04 09:55:46;Receive;1457.99000121;47833.41205287
96223144bc799ce8e08ec47bdfaf50d7bc8300d9dc3a54e9c7cfcec2f4f47708;1544213;2020-09-03 15:06:27;Receive;1457.99000121;46375.42205166
b66a2a8d8f8d0081d18fa899beca8825779755d387c3a900c0b0fc65cb31cb00;1544210;2020-09-03 15:01:39;Receive;1457.99000121;44917.43205045
5b8f8e51ef0f063c89bcd8f881ee0a478d4eb77fbb676398146a022189a32914;1544202;2020-09-03 14:52:15;Receive;1304.63105211;43459.44204924
9621a5c4cae79fbee738b7de480a4f619affc89b0787519677b498abb5db7f47;1544132;2020-09-03 13:39:18;Receive;1457.99000121;42154.81099713
a8767fb9ff71774b705b3c64c82cab6378585e807a1e1c106d3c56c73b8b42cd;1544113;2020-09-03 13:20:03;Receive;1457.99000121;40696.82099592
785f3ad56dde7a082dabf7ad7054a14d29f2afc79abb11ba9b1622f8543af39d;1544108;2020-09-03 13:15:23;Receive;1457.99000121;39238.83099471
9d5f2e290032160336d4d867fa3b828e51a5c18ee36c43cff4e377a35adcffc6;1544102;2020-09-03 13:13:06;Receive;1457.99000121;37780.8409935
c1d92b09bf417c27baf815589fffc70c9b3a0bf6c06a0beab1e0c919de0d0e0f;1544099;2020-09-03 13:06:41;Receive;1457.99000121;36322.85099229
27ce59d662e97e2e104b5da95252fba87085112def6d14d89b01fde9830085ec;1544091;2020-09-03 12:59:27;Receive;1455.830016;34864.86099108
cc8b431ca8973bbcb497a7cd9418b5e0354d73fbbeaac32b5b3cff719b610ae2;1544086;2020-09-03 12:55:24;Receive;1457.99000121;33409.03097508
9bb31585d8d8d65a66de75ca856b033142164321425b312c5b2384344f0f3fb5;1543914;2020-09-03 09:45:47;Receive;1457.99000121;31951.04097387
d6fc8c85ebe978ccfd36aafd6f0e791942124e519db1b6bb2cbba63121cce48c;1543904;2020-09-03 09:40:37;Receive;1457.99000121;30493.05097266
7ae5054642496c11122052393ddde59d411f7668938960fac0d56601f51d5680;1543892;2020-09-03 09:34:09;Receive;1457.99000121;29035.06097145
ca8242594bd208f2bae743cfb13d2fb71a89c4e8cdff56b02408c518d71bc7e4;1543883;2020-09-03 09:27:55;Receive;1457.99000121;27577.07097024
d192afb54c4eadf3123c2e82f6ebbb67d20b02ec665cb33a0d16539a4197fe1f;1543871;2020-09-03 09:18:05;Receive;1457.99000121;26119.08096903
34564d2f2db4a90feca78202cf7f2041fb985d2abaf990c763525e9bbced6719;1543867;2020-09-03 09:14:38;Receive;1457.99000121;24661.09096782
bb61a2810e8420413c69ee8d37d87b241c113132568c2025aafa32e7ce748c09;1543863;2020-09-03 09:08:14;Receive;1453.67003081;23203.10096661
f3b7fef527f529df3094d44e5d3f7dd8a7f60eb7df31510a9d3d275ecac77886;1543857;2020-09-03 09:01:48;Receive;1421.81034164;21749.4309358
088a750e2de636a8498c54f3c81470aeaf2b98110caec8248d510480805ced15;1543856;2020-09-03 09:00:17;Receive;1453.67003081;20327.62059416
f03262c7bfc2a4bf57bb29bfef63f2258302730c9c72b920d5396e35c6f52795;1543853;2020-09-03 08:55:46;Receive;1457.99000121;18873.95056335
0781b5b575d0fb9d30b177e182ee9ef5522a2e326df85b6540aabce0e337d9f3;1543844;2020-09-03 08:48:01;Receive;1455.830016;17415.96056214
d6a2a297202ea2e4386f5ae0550ca9999c152e48e86e2dd5a64e9afc514d999b;1543839;2020-09-03 08:42:33;Receive;1451.51004561;15960.13054614
19bbb5f848ea7a7dccaab06a4eed1ffd8bc45f48bd82462e5b00aaf324e36ba9;1543839;2020-09-03 08:42:33;Receive;1453.67003081;14508.62050053
bc3a747c6eb1d57a0165fa88ec081af3666006a0a90c6e4bbd4bd5c55a67c874;1543836;2020-09-03 08:35:30;Receive;1453.67003081;13054.95046972
a610969ea28008baa1f7b68b4f2556f496471e82797aad4caefd5208e1932dc4;1543794;2020-09-03 07:59:00;Receive;1451.51004561;11601.28043891
5eed4fd47d0e7cc1c43aefd36dcd938f0190ed4097ba757eefc0c56a599f9875;1543791;2020-09-03 07:57:42;Receive;1457.99000121;10149.7703933
5b4d322b889957f73315d9a024f93f0176117bc468e76f5cfc0e9905936d5937;1543789;2020-09-03 07:55:25;Receive;1457.99000121;8691.78039209
