sep=;
Transaction;Block;Date/Time;Type;Amount;Total
69f1530900a6ac7ab5f79f02c371850c136fe2e2c011261269f681f701d71d37;2287225;2022-02-11 19:04:40;Stake;1.08;24292.09584159
48c658a3795ab980ca71f466f2e5858a97cb40aeb28df2f40faa09795b184da2;2286744;2022-02-11 10:58:18;Stake;1.08;24291.01584159
695f2af5b533b1930ec3954c9ab5ade96547193c99dfcfd817024562441f0677;2286699;2022-02-11 10:12:16;Stake;1.08;24289.93584159
cfae8268c18e16c1b79584a207da10d6c57b0173a15cdde0d3271ae5a88b0b15;2286504;2022-02-11 06:47:19;Stake;1.08;24288.85584159
7347f89e2212d09c09a4d3ad5eb1a7350ba7c4d27dd79d6f5732211a56d6817b;2285911;2022-02-10 20:44:10;Stake;1.08;24287.77584159
e347bb2ae6c0ff4535a7c2622f7ab67985f4abe5fec4cfc4b3ae6d73d3ae98f7;2285848;2022-02-10 19:41:43;Stake;1.08;24286.69584159
1295174c7907158e362dbc3d16b2ffe96abe332d8bf68c20d4f14020fa48e903;2285838;2022-02-10 19:29:28;Stake;1.08;24285.61584159
3d37b838a6291f4ea2ec43fdc6ba4526267f37175124bb2a2eef5e2dd7dd289f;2285670;2022-02-10 16:41:25;Stake;1.08;24284.53584159
e4535b7354bb6376319cf6c8a581c4dce4ab7d23d7017570d573c9efb31808f4;2285667;2022-02-10 16:37:44;Stake;1.08;24283.45584159
82e72ea83d8e82da146f290eed8699204b7c95b736611cf42931417791f20c61;2285646;2022-02-10 16:16:19;Stake;1.08;24282.37584159
c06d5f60b9df055e6dfff2006855a8eb23a34ffe49f556b71159f402d7b1153f;2285519;2022-02-10 14:04:25;Stake;1.08;24281.29584159
c22caef099230cd8525ddc20a63d687bd58a4617a55e2ee6b9da736f1f0fd58c;2284344;2022-02-09 18:05:12;Stake;1.08;24280.21584159
b682682597a7aa47ea97feb35718e287b64104faa7cecbb90be4a57335d8ae8f;2284210;2022-02-09 15:46:28;Stake;1.08;24279.13584159
623296645e65ab874bc095a659ef92a639de3aea62b31c5c227ee1bcb70485a3;2284176;2022-02-09 15:12:38;Stake;1.08;24278.05584159
d8d427bde247bc3106d2ebd6148797bb35b5c18737609aaa160e416bde92dd24;2283673;2022-02-09 06:37:42;Stake;1.08;24276.97584159
970347da64aca0e452803fd46c321b69e3f6cbfee1229778a36a232d42e72361;2283090;2022-02-08 20:45:11;Stake;1.08;24275.89584159
6e6b404e756586011f9f3b8c721532e5e21f076197dba6f8d02000bc07cfe600;2283088;2022-02-08 20:39:22;Stake;1.08;24274.81584159
06a68ecb5a0898cb800e9a8859f40372b51a705b6604bcffe5153e95e8d619e1;2283061;2022-02-08 20:16:58;Stake;1.08;24273.73584159
a29da8341ea8fd68d20816b6decc3ae5fc72c1d91b5f6a3bc345070edbe3fa98;2283045;2022-02-08 20:05:43;Stake;1.08;24272.65584159
95c3b5b5dd99672f7da2a3d872e319151ff1a5f2942c09b675d1cd68f1404171;2282936;2022-02-08 18:08:05;Stake;1.08;24271.57584159
e5514d09bb52402b5d72fcb0387746778d0720f753b56c3b570b73cc26ed7772;2282836;2022-02-08 16:32:20;Stake;1.08;24270.49584159
2aae32cc238cb1b49c0cd556f774f96c2012d8bb0cd0918c7ce5c319de159194;2282633;2022-02-08 13:04:47;Stake;1.08;24269.41584159
121ab8ba6b78033a5b5d509ab8b63a330be516d3d9c1d7cb58e23850626a5b5e;2282472;2022-02-08 10:20:44;Stake;1.08;24268.33584159
103e1d2d78740af88577c0326811f7e092ef688c8bc6e454ab9e03743c5283e5;2282462;2022-02-08 10:09:27;Stake;1.08;24267.25584159
fcaabf5171d5c9e47c08895175fbca1e7f7e0b0dde184fc811153290033d0d50;2282401;2022-02-08 09:06:46;Stake;1.08;24266.17584159
da70d2c9e3ae09323c1f01e27ae2c481c453bc466a04f7a1cff543312c3dfe1b;2281630;2022-02-07 19:49:59;Stake;1.08;24265.09584159
4ba520ced28fe659adf7cf52543b6685a004b376f3973028938a01439d48d9ae;2281431;2022-02-07 16:27:56;Stake;1.08;24264.01584159
7283dc17dac68cb86e3238e7bd2eff1afa2c15af754c9b3ba274c1f3296beaa3;2281344;2022-02-07 15:01:49;Stake;1.08;24262.93584159
fd02ed35aba9fb5a2527b565bd593a545854d324d9586b36f968c2871b18543c;2281203;2022-02-07 12:41:31;Stake;1.08;24261.85584159
002b1a19093c56a79501ae41680a12d3726ff4fade911ad57088483128ff1fda;2281153;2022-02-07 11:54:57;Stake;1.08;24260.77584159
93fa225a654b83ee927b708f14d9e5b49bccae82d68de2da23471e0c2afc0a30;2281141;2022-02-07 11:48:30;Stake;1.08;24259.69584159
330216f353c70e0d9ebdff9f3dec4069b192c1f45721f4f90d42fb4d1d67603b;2280897;2022-02-07 07:29:37;Stake;1.08;24258.61584159
ebaa84ea4dcabef965bb16b43bbbf65d81668e3fcb9450637d42c59982c831b4;2280253;2022-02-06 20:27:58;Stake;1.08;24257.53584159
e19a084d5cbbde6a7402fe6bd960bb1ec80425712b2059620c431482437eae6c;2280248;2022-02-06 20:23:30;Stake;1.08;24256.45584159
aae44a97531ca6e05b01f7ebf39b5e69dcd60a60dba0b207e6cd0053c6acc921;2280161;2022-02-06 18:53:29;Stake;1.08;24255.37584159
665cabef392e6150e2bd26a43b12b5d83728c6bbdb3482e6dd861e72b2fb6686;2280098;2022-02-06 17:54:21;Stake;1.08;24254.29584159
8d92e0bbd5c5a0352b6c75d2c82cd96c7a95f746607da76f20ba828d4b4a0385;2280091;2022-02-06 17:43:16;Stake;1.08;24253.21584159
5867c3807e7348c8f21993d416049b46f9b1536b2c2933d1f9e181dd1d35cc1e;2279823;2022-02-06 13:07:52;Stake;1.08;24252.13584159
cc74eb2c8edc21b4f2497a095a8978a01241ea677a0de3aed86bb57d391482e3;2279775;2022-02-06 12:18:57;Stake;1.08;24251.05584159
eb9cf309624f0996bdd1c7dfd29311ea1514715c708e601ab8266f47f0294b69;2279736;2022-02-06 11:39:54;Stake;1.08;24249.97584159
d6d4a7e5f549e3907126a2ceb592ef97ce6eb898523a25a0aa90c9db6e572136;2279733;2022-02-06 11:37:57;Stake;1.08;24248.89584159
af8ae027083dd3f667d27126515146561aae3824bc7a1bbf93ad234bbac91c8e;2279619;2022-02-06 09:39:21;Stake;1.08;24247.81584159
6bb84502621421bd970fdb7e1e08715a0ffc5a66b059656aa928f436deade504;2278760;2022-02-05 19:08:43;Stake;1.08;24246.73584159
a3f7385a99ad1609c5a095ecbcc5ee5e6dfade0998149c2c6c5001eb1204d711;2278634;2022-02-05 16:59:32;Stake;1.08;24245.65584159
a4580fa62c023d990df57d89a8664d7f959cfed82c916a633b0a3909f20cc9ee;2278555;2022-02-05 15:38:12;Stake;1.08;24244.57584159
b675cedbcee9c11fd451f7e03ca15f43d6cb02cf714afdb97968ef50d6079024;2278419;2022-02-05 13:16:52;Stake;1.08;24243.49584159
5a14510ddba9adb55ad7f9d11712ac3f5270b9f71e4ea2e97325cbcddefbe13b;2278384;2022-02-05 12:46:17;Stake;1.08;24242.41584159
f26835e16eccc9e5976698f19f200c5225cd067fe64296c1b376105fe64d2dfa;2278335;2022-02-05 11:51:52;Stake;1.08;24241.33584159
a17dc8897a3329650b8ff29b006bef32a546f5aa6f15672ee815bfe62f5c944e;2278153;2022-02-05 08:38:27;Stake;1.08;24240.25584159
73275162cd40ef0b4c2ef39bc5a68390b5bcb662c4dde1d9f3919eb114f3076a;2278132;2022-02-05 08:24:12;Stake;1.08;24239.17584159
be02b463904e5cdda8af6d9b79b7d65b55c7843db7f862e9fcb5a8ef824dbff1;2278032;2022-02-05 06:40:18;Stake;1.08;24238.09584159
e4e599bccabdaf26d16495eafd242c0bce6d2ec545220595b98d15f08a03dd37;2277329;2022-02-04 18:43:17;Stake;1.08;24237.01584159
3f39525d667a69527720234641afb0a767de151021750932ae675fa410638497;2277248;2022-02-04 17:24:21;Stake;1.08;24235.93584159
92c11c0e3c6853c9500ea7fffdc4d1632da3825b1d2603c56b8a2c614e367586;2276993;2022-02-04 13:03:50;Stake;1.08;24234.85584159
f5641b48b24d5dca37d814e4cbaecd65e1709ecacd315f4cc7c345539843e0da;2276757;2022-02-04 09:00:48;Stake;1.08;24233.77584159
1d2bd49bdcf41dc8f08fff04b1d9b989023534797539587c166f9cb4b2067ece;2276595;2022-02-04 06:14:06;Stake;1.08;24232.69584159
