sep=;
Transaction;Block;Date/Time;Type;Amount;Total
7a118954fbe1bebcd4fdc3f4d5a2e090caeda2807e6f63ce44de9a1bfaaeb774;2092757;2021-09-26 19:28:53;Send;-40062.64;0
f78bcdd2f6ba5d356212576564a4cbef246fffea08e7d6fd6ddb3b481d0fcb82;2071564;2021-09-11 18:20:43;Stake;1.08;40062.64
904fa865119074661204628e872babd06d50e669278f254106bb6f15a18b4365;2061219;2021-09-04 10:13:33;Stake;1.08;40061.56
7f981b970e10f368569ef209c766e0a926186e5f1f3a8677c382d12711759c6b;2060081;2021-09-03 14:54:08;Stake;1.08;40060.48
215bdc666c60cc50d0860e98db931c07d3883d0cbf605ef29a9e8e578d9b35fe;2058347;2021-09-02 09:22:24;Stake;1.08;40059.4
8feccc428a535beb6a7507c7ec5be73e92f522e7390f0a52d14e546e4313e43c;2057700;2021-09-01 22:14:23;Stake;1.08;40058.32
c72c053c04b280c7e8c411f9f7c6dd1656e0f78826543d70d5a5c30a2daebd46;2057574;2021-09-01 20:05:47;Stake;1.08;40057.24
c6498d2e13cd3054b9377317df672490c2561db409d92f90c99329fbe113a0d3;2056935;2021-09-01 09:16:18;Stake;1.08;40056.16
5f8e47225cc1f3c2cb53451cb1e36d2289511e33ba9faffcef2d46c143a7c1fe;2055011;2021-08-31 00:31:18;Stake;1.08;40055.08
994eb254cc0c6a66b64175643046e43a4bec070b224d0aee262f2119b6367cf4;2054719;2021-08-30 19:28:30;Stake;1.08;40054
5375ac3cf470e17a6be178af5f31e0ec3c883b11c0ba0fe598e9f9e0dae694ab;2049785;2021-08-27 07:28:08;Stake;1.08;40052.92
116e9a7e0b54dceafa1ca81b2a3301f26fbd073e4f9adaa6d8adf118e1c98835;2049628;2021-08-27 04:59:39;Stake;1.08;40051.84
8b238d59215d3ea45fa982aee37657c979a4c4c72543b8a151ff404951900ece;2034873;2021-08-16 17:29:43;Stake;1.08;40050.76
f9e90dc9d533753ac0da624374cb79ac46254e12c2426987205f1f603f029f19;2032793;2021-08-15 06:00:18;Stake;1.08;40049.68
6a664367bdf118c7607b0872d9c5a7b7aab70fa9c0143d4ee6108da2fd835607;2019470;2021-08-05 19:11:56;Stake;1.08;40048.6
db53e83e4dc12abba77df5624d42d42d9c0b96aa90b3c55ea48fdd21403a4870;2018754;2021-08-05 06:59:13;Stake;1.08;40047.52
95ea18441cedb68da9f933a0856351dde912fd688dd7e4320b966362dc9c4e69;2018271;2021-08-04 22:41:50;Stake;1.08;40046.44
25bc95a1cc14202a689ff3bcc53bb71f6750dfd187926aebe99aea7d62ccd483;2018149;2021-08-04 20:37:55;Stake;1.08;40045.36
6abcde63f11cd7f47ebb2f9d562113c1590deb7274f9709c178b5bce351e931f;2012202;2021-07-31 15:17:33;Stake;1.08;40044.28
b9a728806dc5ee8978ef9082559df28d4b52352dbb4e04814d99aaec7d3ff752;1993034;2021-07-18 00:59:39;Stake;1.08;40043.2
7fc1dc5749a3315ce2d438a55f8db749b3991f1e6bfae9afba524e07338b33cf;1990974;2021-07-16 13:59:20;Stake;1.08;40042.12
b11e3421319cc8f2e662856f71a122bd8e736a6071e7d223ca68b3d632dea0c8;1990207;2021-07-16 00:44:41;Stake;1.08;40041.04
bd7979b54a9e0233b77613d577a1574e2be2901a6198fbf286d78d8d54c8f9b1;1989683;2021-07-15 15:49:08;Stake;1.08;40039.96
6bb94f71c72e57a1f9ddf1cf3c4322169f9cc30e20791c9cb3a5d682f16b449f;1987144;2021-07-13 16:39:52;Stake;1.08;40038.88
bc2015bf4eba7f7b7694a935b1e8283d753129f407ad6dc01676ae01e6a557b7;1984349;2021-07-11 17:05:26;Stake;1.08;40037.8
bceb60ee820073dbf8959d4103248173ba6cca4b7f239b622049db0f75964f40;1984346;2021-07-11 17:02:56;Stake;1.08;40036.72
897b713a0ca2f9c0d3972e7b21d5e82f86a3d9bdcf78d00b17fabff7e2da9bb5;1983217;2021-07-10 21:45:52;Stake;1.08;40035.64
22698e599ab03e80cc28af9ae188a30e4c275a19a6922250b48babd8c27a55b8;1981980;2021-07-10 00:40:27;Stake;1.08;40034.56
fbf314cab859010f931aea9ee66966e34e20871b2efe030ef6b50de8ce3e8ec2;1981979;2021-07-10 00:39:36;Stake;1.08;40033.48
f986a621f845d5030b9caf1a4d43480a1e5672257a37e304f1a7e43409abb823;1976593;2021-07-06 05:07:26;Stake;1.08;40032.4
e63ba9e32c37999cac28703280ed053b1f48e08afd4f4ba876af6a70517c5be3;1961766;2021-06-25 16:36:50;Stake;1.08;40031.32
4c1b99c99a0c54836635b5c8bd842b95fdf628a42fc44c6113845e51a4da230e;1960579;2021-06-24 20:27:37;Stake;1.08;40030.24
d1ad914530c47687713f37460bce732c0cb0c778a3c92be2943d9577d27e5d2e;1956593;2021-06-22 00:31:28;Stake;1.08;40029.16
67273f4e1ce627801b47c175e2ac6b0289385d33401d46c79c62bbda7834ac1d;1944137;2021-06-13 04:13:40;Stake;1.08;40028.08
993be6a0f974ef26953932016f997aadd50d1a5b8c8f6a9484e49e56deb76b22;1942265;2021-06-11 20:16:27;Stake;1.08;40027
c27972369eda7a2e4a26ccdf94685eec3cf358839c0bccbc59d1d478378afccb;1941943;2021-06-11 14:54:00;Stake;1.08;40025.92
65d99230bc4de35a3589c3522e180db3755696466f7b8c5e43260a2414ea3c97;1940446;2021-06-10 13:29:59;Stake;1.08;40024.84
0f6c8656da38fb2b715aad084924cebb2c40c4ff1ce2ff9ad70e30ca370005ca;1940213;2021-06-10 09:22:46;Stake;1.08;40023.76
6bc07bba8309ae41c8ee2e4fbf6eba31e6d7231b03c34edad2e78a1885747111;1939379;2021-06-09 19:07:05;Stake;1.08;40022.68
ea45b7fb326c44aee28554456451429e1d5c9f3c4ebc81155b80ffee7c5bf691;1938701;2021-06-09 07:26:45;Stake;1.08;40021.6
05ea2ff0bcc557fc4d7b561c7e8239d81247fa8251b2c0109adc123e80f04204;1938579;2021-06-09 05:33:42;Stake;1.08;40020.52
f926aa2338f4fffdb1a2c3ce7a5897b571808a3ed339b9813ab232a9a281777c;1936675;2021-06-07 21:08:04;Stake;1.08;40019.44
dbe964d2399c4d653a063a7592ef818f3452f738d280536a66db74cb1ed8d799;1936537;2021-06-07 18:44:34;Stake;1.08;40018.36
9e3438ba0cf8a2ac1eb8de2361f62e322b27e4049105ef3a4f293dcfa1057e84;1919601;2021-05-26 18:02:06;Stake;1.08;40017.28
c344a054608a824230c3909f7a0e7cddf95420d61587fa6487ba4b1f076fd72e;1918973;2021-05-26 07:16:39;Stake;1.08;40016.2
0946f56f9ae50e18ea33750948368bf62985c53a5a2fa3687af88e8df157ce69;1918390;2021-05-25 21:25:30;Stake;1.08;40015.12
a661d801562666c49106b173506b1218ebb4bdd538ddd1958bc9956f940b9fa1;1916081;2021-05-24 06:01:17;Stake;1.08;40014.04
