sep=;
Transaction;Block;Date/Time;Type;Amount;Total
67f78c9d582af3609a71ab6229251b60f2cef6aa7b5c4a15d2a55b0fff02a37d;1773014;2021-02-11 16:24:56;Stake;1.08;28186.17988972
15ea06c22689eaf3807e9ef381985178811fe2963b5ed69876e1c18e0c9fc753;1772960;2021-02-11 15:29:19;Stake;1.08;28185.09988972
28bfc99c5790ca9b4bb621208777e5e568b2b81a24889d97b6ce272a9369dc8c;1771848;2021-02-10 20:34:01;Stake;1.08;28184.01988972
3925d882d3c0f4783ea3623c6df0add293de8d323a648be37e289503df89f9f6;1655704;2020-11-21 01:17:10;Stake;1.0799584;28182.93988972
68c734ca744c0d188742e7ca6a65c63c702d1e50f088daf9ebab816266663043;1651151;2020-11-17 20:25:54;Stake;1.0799584;28181.85993132
61d76789864cbee0ca8599af7fc144183311a0d4f63689a6e2c3f4da4bb871d4;1651128;2020-11-17 20:02:10;Stake;1.0799584;28180.77997292
5a20b03f6169ee281b9057bcc3e4595db38cee8aad5dff65fe96e64fc17f65c0;1620606;2020-10-27 09:18:06;Stake;1.0799584;28179.70001452
d39e7138de79e6e4690f5c8fea3e4076b4d3caf97a8005e96f9f75e07b3f3819;1619841;2020-10-26 20:18:32;Stake;1.0799584;28178.62005612
72807e69b3ffd80ab9784629e37966af354fc52df3c7c2673f8c6c34dbc009db;1619028;2020-10-26 06:36:52;Stake;1.0799584;28177.54009772
1471502feb0e1148dd512f689bd33325e2c2c4a83bfd3b2eb9ffe26ec5c47461;1606202;2020-10-17 06:15:59;Stake;1.0799584;28176.46013932
7dc3abaf4837862af6ba522d44614b3beb05145c760f9007c33b90d0c22b77bc;1606139;2020-10-17 05:11:15;Stake;1.0799584;28175.38018092
7e31e0742ca87353b08e239b0d331845c721f89bacab6f2d3a38a7ff7a63b2f3;1606056;2020-10-17 03:53:30;Stake;1.0799584;28174.30022252
3b928b4f8807f7fca395c77e65a50fc0e673d324c7b1cd92d353479517e633b8;1605795;2020-10-16 23:25:09;Stake;1.0799584;28173.22026412
0f22f0a339c5dc325374c86ad1deb22987084034cf43a7f00e3837ab71863b09;1605779;2020-10-16 23:03:29;Stake;1.0799584;28172.14030572
0e52b7b468ec4551e003751a6171ea606e824f5518d8f9704eae2c8e16e2b669;1605674;2020-10-16 21:21:37;Stake;1.0799584;28171.06034732
9a622cae42903f62d2a3a427cea01665ec447d5177ec1cedd3bc3f9d912c7154;1603350;2020-10-15 06:01:13;Stake;1.0799584;28169.98038892
346df69bb9a3100655105e0d3376f786fc4f65e593a36940c9ea83c5f508e6f2;1603221;2020-10-15 03:53:16;Stake;1.0799584;28168.90043052
0fba129df2621081002f4b10008c0098b26e5a708af9563d635d70e8d29d3a74;1553847;2020-09-10 09:29:28;Stake;1.4399584;28167.82047212
5f4299034c52a958e5d760263e9b728aa3b95b4a5384b7f563663eed8c153477;1553793;2020-09-10 08:32:53;Stake;1.4399584;28166.38051372
90732be84ed4eacc3a0f894cee168118de6f88b11293a733c146f2d115ca6071;1553572;2020-09-10 04:55:34;Stake;1.4399584;28164.94055532
86e8ca84a9ed8b1da919d3e30443c822a5699449cdbfad398b5d562c28a7d0b2;1553555;2020-09-10 04:34:42;Stake;1.4399584;28163.50059692
9934b5428b97bb6e9e98dcffc635dc10a6508d02d13561d1aef291f76139becf;1553213;2020-09-09 22:58:09;Stake;1.4399584;28162.06063852
b4f928f28913d1165acf6694acffdc1ce31a4c0bc1997af052222ee94a603f68;1524904;2020-08-21 01:09:34;Stake;1.4399584;28160.62068012
91c72dea62d9d722885a1420002e6a9db281efd16e4fd37052948121142584ff;1524769;2020-08-20 22:44:22;Stake;1.4399584;28159.18072172
c9aac2ad21b8f4085522eb4e1b4ae78f79e0628cdf56d51cc21cd31c4369e9e8;1524602;2020-08-20 20:00:22;Stake;1.4399584;28157.74076332
05e12f77663035d84c1303503d46732e89bc7d2961d4a51692c6a5b825ce8f63;1521195;2020-08-18 10:34:39;Stake;1.4399584;28156.30080492
6595b3aafa88039b1b11f439486c358c9361782e315c7f3ee6a8575c66048ba8;1517020;2020-08-15 12:11:34;Stake;1.4399584;28154.86084652
134d58dc8be310b9f01204b90dbfbe48be8f86ab33a4161bbb260a88af2b05c0;1506819;2020-08-08 07:26:39;Stake;1.4399584;28153.42088812
3cf20518f206cb557c322f5cb9c3cc649eaca9c60aa799dbb8d96cb5db12ec63;1506709;2020-08-08 05:35:05;Stake;1.4399584;28151.98092972
5f46ff127ac1cf02bed51a605c882b5cad70f02b6f4b0ef9672ebca18367c612;1505768;2020-08-07 13:34:32;Stake;1.4399584;28150.54097132
9ae6a40296f7d1daf1dd04fea0139681532e5e98e1afc694ea6f514238683cc1;1503658;2020-08-06 02:10:04;Stake;1.4399584;28149.10101292
57b09b2fae58d1a2afeacb2e76841e576a288d0cdd6c8dc3714ad5c138f89b54;1499662;2020-08-03 06:39:50;Stake;1.4399584;28147.66105452
e47f62eb94e140b28f6fee6d0d224f9af9eb9d60cfc9a2493151c570c632c6d9;1499066;2020-08-02 20:41:38;Stake;1.4399584;28146.22109612
33bd0c9fa067fbdbf2da38b26c1fc8299d9e533e18d409a2389a64d34e8db279;1495647;2020-07-31 11:08:22;Stake;1.4399584;28144.78113772
c81b5e40edc82881d1061ed2e03ceb53d0ebb40346c47c02c5b410321badf24d;1495614;2020-07-31 10:34:06;Stake;1.4399584;28143.34117932
420fd87ea5258b360a288ff6fda812d5a7685d697cae4c55e042610e845558f4;1495130;2020-07-31 02:30:22;Stake;1.4399584;28141.90122092
ab1737dd63031d02b3745e6aaa8e1c52d333106c93458be31ca17819c7271c8f;1494733;2020-07-30 19:50:04;Stake;1.4399584;28140.46126252
9d42977a4fb7b636370cbe43e94c8eccfed033f942b84a1fc9ddf032b9e1349a;1494720;2020-07-30 19:36:46;Stake;1.4399584;28139.02130412
ca95304d354fba2cf009f4693bd16a36cc4a842f3b775206b8f0bc51efadbb95;1494708;2020-07-30 19:21:01;Stake;1.4399584;28137.58134572
d510cc4b502c5c998113fd26ad23d247b3597c150867bb52dd3d1a7ddb4e67cd;1494642;2020-07-30 18:14:24;Stake;1.4399584;28136.14138732
052fbff04591e5054a564039c580e2dcc688c20b24bbf9f3cb6fd9e4132f86a8;1494594;2020-07-30 17:29:42;Stake;1.4399584;28134.70142892
800b274db8954930bbaa6800b1d993a5fa71d99975a1becd03f45eb69a6c2d3d;1494444;2020-07-30 14:57:24;Stake;1.4399584;28133.26147052
65449b6ef337406efbcf45cb651cc7009164d6af11399302ff1e29acfc79171a;1493607;2020-07-30 00:51:25;Stake;1.4399584;28131.82151212
4016131ff6b2b1be35ee835030f799ce29378c49ab3bc60d6018b6e2aa34ff27;1493426;2020-07-29 21:50:51;Stake;1.4399584;28130.38155372
03bae3d14709f7236b59798ab1c657c54ebde6213165da82ddd54e2ef140eb79;1493257;2020-07-29 19:09:05;Stake;1.4399584;28128.94159532
1924b18c4c97c34f5d214ad3c2525cf139c6f1d851130393a6ebd78cfff17a20;1493133;2020-07-29 17:04:46;Stake;1.4399584;28127.50163692
970c4ee042c2d36ddb6df7ab3fda2c2c45802e64376fc5757bab51463ffb05c7;1492577;2020-07-29 07:36:18;Stake;1.4399584;28126.06167852
9ec03033c23ab5f3dc1474f3841e4ae2403424d772472ba4a570c21118cb1da5;1491595;2020-07-28 14:55:25;Stake;1.4399584;28124.62172012
139ff619eb797895ea3519865d8316d48d40edfa2fa043d6ead03ff310056c36;1488635;2020-07-26 12:45:49;Stake;1.4399584;28123.18176172
22cf9be6de69603596ac9bfc03c87bdf9620f7cc0d9046ea7b2174f37dd79d72;1488068;2020-07-26 03:14:25;Stake;1.4399584;28121.74180332
a289863cdef9e079ddc60e18b5e387caedd30dc1490a70eab8cccfa30aa9bba2;1488027;2020-07-26 02:32:01;Stake;1.4399584;28120.30184492
5b253382be51112624abb2b27cf1bbbee65131e4c1d6af01bc098a48a52b3ec0;1486667;2020-07-25 03:39:33;Stake;1.4399584;28118.86188652
9974a640ebf31cc0a12332adb3c00d55eb12ece636f63efd31d355f9ef116b87;1486524;2020-07-25 01:12:24;Stake;1.4399584;28117.42192812
e192426b9611f6b887b5ffb56291a4b8d046f94fcaff20488842c1513aee035f;1486346;2020-07-24 22:15:57;Stake;1.4399584;28115.98196972
aa0be5bea4565ebb6a2cfd010b296c231b79e10fcd62c9d64f4ed3d38c121811;1483333;2020-07-22 19:34:50;Stake;1.4399584;28114.54201132
640f2c03af68b5779bcbf5058bf54e94871b63761f0801a1a1d3a843c033fe8a;1483323;2020-07-22 19:20:22;Stake;1.4399584;28113.10205292
7f8359c031afe83baa3a648fc3c2be2f5ee6c5420b470952af6efab2876468ee;1483317;2020-07-22 19:13:54;Stake;1.4399584;28111.66209452
15c4d3ffd831ecaf86511728771c2435ba678a88f6e1b3975eddda4ba5dc1ef3;1482573;2020-07-22 06:37:51;Stake;1.4399584;28110.22213612
43d1643140a0fbe088462819acca00a86bb4f1768b6e2cf8d892d2f890fad1a0;1482290;2020-07-22 01:47:51;Stake;1.4399584;28108.78217772
484f6aad7bc573dae3f0d7fef187304bcb7471f64b76f6842bf501477f11d9f8;1482249;2020-07-22 01:04:55;Stake;1.4399584;28107.34221932
82b6ab99062eba160c78325d08f51ae1672155c47c87f1e79da0e5d3117710e2;1481835;2020-07-21 18:05:17;Stake;1.4399584;28105.90226092
6ae2813cbb25aeb4f4024fa438315283772e2158a46915a45f765326162e7092;1480838;2020-07-21 01:20:47;Stake;1.4399584;28104.46230252
f79aa9bbff2ceec11ce658f8e9cb9e82dc2e8ff1f9207e1b1669fb38e45ca814;1478812;2020-07-19 15:04:54;Stake;1.4399584;28103.02234412
2f93ba7b36660d2195077583a9cce2c39b91d6716f2a653245076d7f9e50e306;1478585;2020-07-19 11:25:53;Stake;1.4399584;28101.58238572
9f0cb14012a81352984d28a58f538966311cf2a730b0702cef9e67e40db8afe9;1478392;2020-07-19 08:02:26;Stake;1.4399584;28100.14242732
68fc5cfd386f80ca3d36465ee4e8ae926ceca9c83514b5868530b611c29aeef2;1478068;2020-07-19 02:36:12;Stake;1.4399584;28098.70246892
2e3bc7b669c7993b735fdb3834decb5416f4a5617268ce2c499d595b39cf5cb7;1476855;2020-07-18 06:11:41;Stake;1.4399584;28097.26251052
18a812e5d402acdb9cb524996af6cba82c5af1d63133646e4c3209c653796605;1476552;2020-07-18 01:06:50;Stake;1.4399584;28095.82255212
f89670c6f8c2609c1be271a2d984475a8d0ce7ff26ec08354ef0da02879ec640;1476425;2020-07-17 22:57:02;Stake;1.4399584;28094.38259372
9cdc262575f59b3f141964f121bb49e458f3de65becad51ef685f0dd986c722d;1476381;2020-07-17 22:15:55;Stake;1.4399584;28092.94263532
7eb746f496657be7a5134917d832e8bf15451c525c8b32f7d340a93726717b38;1476293;2020-07-17 20:45:29;Stake;1.4399584;28091.50267692
335a4a6a13cfdace51ab0cd3679a0aea5744818ed92f84922d2f3836f83d2862;1475919;2020-07-17 14:23:24;Stake;1.4399584;28090.06271852
f68d287fd71c468d25879cc17c8bdae5bfee555bb426c1d9bfc4fdd8b1a4459e;1475788;2020-07-17 12:10:45;Stake;1.4399584;28088.62276012
a92eb638b17ca6305192c981c75cc7769e459a218ed00ccc9cdc414a2c60295f;1475526;2020-07-17 07:44:18;Stake;1.4399584;28087.18280172
3f14e2f058197056b95fa8ae975efecbfaab894105967be3cad240a9533c07b5;1474968;2020-07-16 22:26:50;Stake;1.4399584;28085.74284332
0237571551c5a6e9653c7030be0c8db111a65226814ac06863d01be610129a79;1474957;2020-07-16 22:17:30;Stake;1.4399584;28084.30288492
d09f63b887619f874ae9fcd56a87484338e69edbf56257c5a1e2bc77d3685a1d;1474657;2020-07-16 17:14:30;Stake;1.4399584;28082.86292652
6c6750b993b150a3d8c4dbf44a1b23c569fef626376bf095affc2cbb58c28fac;1472168;2020-07-14 23:03:20;Stake;1.4399584;28081.42296812
84413132aaee6fe897bad32f465a94df2d67b5d6712c1e0f525c1e9cd133370f;1472054;2020-07-14 21:17:13;Stake;1.4399584;28079.98300972
8c88d1d38628a741e2c994bc18fe55cdf53911032894a1d0926649423fc8ffd5;1471070;2020-07-14 04:32:37;Stake;1.4399584;28078.54305132
a7fd3252bc7697746ecf598a63efce4aed42d346b11ba6093cf512ff42ff5558;1471052;2020-07-14 04:16:18;Stake;1.4399584;28077.10309292
76129343de7737a69354d9753b0d4efb33be9d74b77f2a4b19a268b7e6b6aa55;1471030;2020-07-14 03:53:36;Stake;1.4399584;28075.66313452
642def38386ca16a1eeb951e919626df9a83551b3c23599fcc0466c9c6b26c17;1470728;2020-07-13 22:54:45;Stake;1.4399584;28074.22317612
80ef9e9d4a306d1157a0b7d35c4dbf9b403134fd57ae55c90475a4fe47aeba33;1470695;2020-07-13 22:21:22;Stake;1.4399584;28072.78321772
104de163ca14d0a482f1b395da8c7a1ec854dd7f723862db8d732fc482322e2a;1470474;2020-07-13 18:36:13;Stake;1.4399584;28071.34325932
54f27080dbe20908a907926625c53e11930d3a4888b5b559440d1e45a339233c;1469341;2020-07-12 23:31:47;Stake;1.4399584;28069.90330092
190bf8092360f462cc13bf13032e501df3d1d74cf24a6e0ae2cc29e9e7ea265f;1468968;2020-07-12 17:12:23;Stake;1.4399584;28068.46334252
355942e2dcb403999d26211d00704a4daf355c9ccad4d73c454802721a685564;1467236;2020-07-11 12:03:28;Stake;1.4399584;28067.02338412
56ad7c3789762f6e13a6e603957f0f81acbf5fda176a34e0d92bbab28df84f58;1400152;2020-05-25 07:26:43;Stake;1.4399584;28065.58342572
ecd28b69986897671298fb6c2db763226ec4fb5fd830cdcecd73ad31fc4ead2b;1399921;2020-05-25 03:29:28;Stake;1.4399584;28064.14346732
3ebf61be45a327a798b21d8ba2875287511a06916c1b5ad744632f303792866b;1399298;2020-05-24 16:55:04;Stake;1.4399584;28062.70350892
b0e56f56e73aa7ddc9f098a391af7cf4df7958da8ad1860ccf32bdf18bebf489;1399133;2020-05-24 14:09:35;Stake;1.4399584;28061.26355052
ecf2a7484f71d254cfb853d6b54538832ebb574f2c0f0304643d0625a3e9d576;1392940;2020-05-20 05:35:03;Stake;1.43995831;28059.82359212
bc820e6a945d682728d76be91d838bb80c5d5560324cbee82f354a6782a2d332;1392932;2020-05-20 05:27:32;Stake;1.43995831;28058.38363381
78c33172d78e6e8ab4048779577325d3a1c6f8b4c153e2cf86052e5b1746948b;1392927;2020-05-20 05:20:51;Stake;1.43995831;28056.9436755
474f4f07ad5ca79e1b288f922a35103eb6aa07048b7137102d7686e22b18e3a6;1392891;2020-05-20 04:49:15;Stake;1.43995831;28055.50371719
ec5a3ba469d72b0048575f9221ba870ffe4d6fc8cfa785589b994cd42c5bec2b;1392600;2020-05-19 23:51:04;Stake;1.43995831;28054.06375888
1fa6c4980a5368a8f033a84e642216091f391b66291d31172107831d7efce3dc;1392294;2020-05-19 18:38:41;Stake;1.43995831;28052.62380057
a514131ecc66b98fff28862128b0cb36b0122514f1bc43d5a81d3fdbd97a90e3;1392154;2020-05-19 16:18:47;Stake;1.43995831;28051.18384226
05b1beb706a545c0b1c74f4028cf0ee9f31f6e8b6162fee697ccb44ba2c61989;1390729;2020-05-18 16:21:47;Stake;1.43995831;28049.74388395
6e4ce53e650b921ee19d13430075ccf3ded982ea68bbe808044d05eef7f6f8be;1389635;2020-05-17 21:46:55;Stake;1.4399583;28048.30392564
aa0976c7c8636603c05bb5245c105da306e6786b2a8d6c76a0b0f2dcea34d0e0;1389126;2020-05-17 13:09:50;Stake;1.43995828;28046.86396734
e7b0299bdc3f3ef6a29b7708cbd3640ca6bfe49145912b3acee6207def83cb9d;1387274;2020-05-16 05:56:38;Stake;1.43995828;28045.42400906
08fd7c09594697bb19f40cd8807e4ae7442975e66f342c5721c09911d9711dd8;1386772;2020-05-15 21:29:38;Stake;1.43995828;28043.98405078
fa20f6310042184f5d5e3b500d4cba9bdfb5f5f39691419c1454db4657224cdc;1386413;2020-05-15 15:25:26;Stake;1.43995824;28042.5440925
00d1bd0ab6c6b2f6408d319471cacbb3391e0b6406eb0c3117fffbc4a7d55a6d;1386193;2020-05-15 11:40:25;Stake;1.43995824;28041.10413426
694545bca56f25b8d49338902cde01a57c0fdc1240851820efb562e1df211bc2;1386101;2020-05-15 10:07:30;Stake;1.43995824;28039.66417602
eb88a5faed328efc82066850356cf71d9564c2b980d1028bd7065c97f23691a3;1384525;2020-05-14 07:23:06;Stake;1.43995824;28038.22421778
5daab80e72eef4ce326a4e76df438a334ebbb69ff02151b7b36dae20b6ebfb7f;1384519;2020-05-14 07:16:39;Stake;1.43995824;28036.78425954
bc721d2867d8973a849424b1a7f8075e3e3ea02cef1a737193b99253e42a189d;1384499;2020-05-14 06:58:45;Stake;1.43995824;28035.3443013
97bd5e764f6ac64eede7f3fac5329de1ebc928963f65bd294a4d6e3d168075ba;1384115;2020-05-14 00:31:39;Stake;1.43995824;28033.90434306
1b281fa4ed5caf32665c40cf1189113dcae9556e09061defbd30e77d52aefce7;1384031;2020-05-13 23:06:55;Stake;1.43995824;28032.46438482
8f0cbeda16e87ebe538b031ca43197d303950578886241cc75b279a66fa9215b;1383785;2020-05-13 18:47:44;Stake;1.43995824;28031.02442658
36ff98d3bfb1b2eff82135a83a1a6238692dc206f7e66c67afce10c3ec4d2c99;1383494;2020-05-13 13:56:41;Stake;1.43995824;28029.58446834
9c59cdb8f29be3318232f855d26cd7a2786252f778571727aea2afe7f176cb90;1382887;2020-05-13 03:46:37;Stake;1.43995824;28028.1445101
c3ac805b92d159c6c92b474feb7131eb37d316c4a59f78413246f6d8a8e30830;1382047;2020-05-12 13:40:43;Stake;1.4399583;28026.70455186
1b34b26bd5d4e69889048c317dff9b65d119a172200096ad45b02ad3523db99a;1379494;2020-05-10 18:34:21;Stake;1.43995835;28025.26459356
ccd29dc942f8b1d10f5aa50a951e4278be0f13ce7d140b2011c2f8c64f84406a;1377531;2020-05-09 09:20:18;Stake;1.43995831;28023.82463521
6e27580da6e72fc01aac1d026156a939afc670126284af26d8023ca914806b7e;1377511;2020-05-09 09:04:03;Stake;1.43995831;28022.3846769
59646ac9244c5663d18919a66b0e5f58b134050be7057f064aad5a83ab68e17d;1377090;2020-05-09 02:00:32;Stake;1.43995831;28020.94471859
eff0bb55621823a3c2ee05f25de2ec0204f9c628a3e8d1a08247adfb024a13e8;1376746;2020-05-08 20:12:43;Stake;1.43995831;28019.50476028
6ef0edc04f27bb7604d3869c753278b4f7d2e055f0efa24f379a885092a5391c;1376709;2020-05-08 19:30:11;Stake;1.43995831;28018.06480197
a8fd41b2d35ff9a2597b789a26261c090a3bd770c878318e6b9fa860fc153a92;1376580;2020-05-08 17:22:48;Stake;1.43995831;28016.62484366
ed9a424311a2d7210361b99b7055221e3662cd9f9e2f7b02cd2ea63e57fcff1c;1376562;2020-05-08 17:05:52;Stake;1.43995831;28015.18488535
801bda96a25f63f115b2561ddec6d16550f9c67b0c4dea1c2a786fa2d9c307e5;1376447;2020-05-08 15:03:56;Stake;1.43995831;28013.74492704
