sep=;
Transaction;Block;Date/Time;Type;Amount;Total
196a6e3fb66c68a6db19077f22d3e1991855f0440f2ef3a1d6b65c1e81343336;2181510;2021-11-28 19:05:59;Send;-7594.42555302;0
f3f726ddfc121e8363e991a5cb09f01b776c0c02398d0ce11d917cb40df44a3e;2126900;2021-10-21 01:17:28;Stake;1.08;7594.42555302
339c635b4a33e32294d155a013c1031e4430f37d9660f61c0e804089ba0c5fb6;2126729;2021-10-20 22:21:32;Stake;1.08;7593.34555302
d95f040cf594a01a66077ea7f8c26e76cae486e1bf027abef6f7e5d0490bcc89;2124495;2021-10-19 08:13:49;Stake;1.08;7592.26555302
b15088d62843f701db36d69967b959233c875abd445009a03fc20e0c9d18a206;2124232;2021-10-19 03:43:31;Stake;1.08;7591.18555302
4f30331acfbcf7957977daefdd4ac88542d4f02ac136d54c42ff8b7f546bd545;2124144;2021-10-19 02:22:08;Stake;1.08;7590.10555302
e37d7ee37b3c2b1882ca828bc1e95f4968ac3c966b480ab93ecc15214e7bef2d;2123641;2021-10-18 17:38:08;Stake;1.08;7589.02555302
1f4bd166b52961af135dce999cd0ca2902989ecc229c94fe958f5f58f0a6d429;2123544;2021-10-18 16:05:33;Stake;1.08;7587.94555302
9b63524dcf67dd7d6254bf4444a1a681999e82a4d5142a2a48be4d7d3b15ca37;2123149;2021-10-18 09:26:08;Stake;1.08;7586.86555302
e57947446c2824ccfc7cfea2c20364836dee70f5b551a4ea2e446162f30802f2;2122764;2021-10-18 02:44:37;Stake;1.08;7585.78555302
ce491fd6c9e1e7b885124e945616dc51e519747cad45f9b84946b4606ee82688;2122642;2021-10-18 00:43:58;Stake;1.08;7584.70555302
8f52204deb997e88ba0c4b45652329258cad31f89674c45628d6a139c6f30173;2121996;2021-10-17 13:44:44;Stake;1.08;7583.62555302
b165b82af598fe7fe73574b1e6d44806797ee36ff92e68841aa10730c92d9428;2121968;2021-10-17 13:14:41;Stake;1.08;7582.54555302
074b25c85dcb8a4a6e62ba60c4920bb57e753fc846b0ddd601dec9ad6785cd00;2121918;2021-10-17 12:27:43;Stake;1.08;7581.46555302
7b04594cbdcf69aa5b31bdac57d5dd8f99861c7edf9705159f7e1d3918a31611;2121794;2021-10-17 10:16:03;Stake;1.08;7580.38555302
02edfe4e21900fdb8da1e3fc7c98082f86277b8223fb98f3813341582d687112;2121003;2021-10-16 20:49:36;Stake;1.08;7579.30555302
d6b04466a80c224185a29e37209e36b37cd9e9924b3dfa27460964d0b6f45c1a;2120878;2021-10-16 18:36:38;Stake;1.08;7578.22555302
37aba242f609fd4c763f798c5c23b2ba18feddeba61f72d48c48fa3df8c30d35;2120812;2021-10-16 17:22:10;Stake;1.08;7577.14555302
e1105dbbcf9eeaf8ec0a001633af9518b924e0dbbe7e9b0dcc68fb4f7db34fc5;2120572;2021-10-16 13:16:33;Stake;1.08;7576.06555302
4b3d584bb27970700d7d02c8ccc6aa43f21f856f028a718fa3942e351972a028;2120534;2021-10-16 12:39:10;Stake;1.08;7574.98555302
2162dda45055850b80e0a74d56f25670010473101508a46cc3bd65804963ce32;2117589;2021-10-14 10:27:57;Stake;1.08;7573.90555302
805ec1996e57ffa4fe3fcf31e1ea70f37ec072d742e97b784e46d301fb4651e5;2114829;2021-10-12 11:23:58;Stake;1.08;7572.82555302
a0a37832b0ff88188b0716c0abe1dbffb77bab334c32d056518e50bec7670243;2102779;2021-10-03 22:13:49;Send;-714.84494137;7571.74555302
cadf16f525a9a406781c99f9a9b34a682986c92e201b2bf74be02f12ae292726;2102549;2021-10-03 18:22:46;Stake;1.08;8286.59049439
3d4f8594a1efc9236ece14ccdea913a617b5323eb17d42913538730a66565268;2102542;2021-10-03 18:13:52;Stake;1.08;8285.51049439
cad1654bc6dd7cd62c9507c28f3b11b0a4532529c3ee0402dc19618fbc7d4f24;2101676;2021-10-03 03:29:18;Send;-702.52467474;8284.43049439
56fde32cc61d8b1674a3cd7817b7b006749b98f3d79ab988833e14472fcb9cf6;2100876;2021-10-02 13:56:09;Stake;1.08;8986.95516913
d956d8621de8894d94e534961cf5a91f9945f3c29b38a60fff7b45b90f36676b;2099999;2021-10-01 22:59:07;Stake;1.08;8985.87516913
0ee42d6e9d66971a3805fb2dec61db73f884b574a8cf0e4ae6d40a1141a5ae23;2099865;2021-10-01 20:36:50;Stake;1.08;8984.79516913
5ada5a784ee56a3f64bdfbb7e2344ec89755ca2aac3959a4c25d1c2811762f69;2099589;2021-10-01 15:59:59;Send;-696.8454505;8983.71516913
8f1bc2018e0cc6b6273142d341b867c20a5ca332b993550eedb2b7421917c09e;2099171;2021-10-01 08:50:31;Stake;1.08;9680.56061963
a4c6b29b9a136d86ad8ea3087a6e294f70be6d92d0decb64d3ea3723ca77e13e;2098951;2021-10-01 05:03:21;Stake;1.08;9679.48061963
728ae0e171b9a95c4e57cecf3637ea730cf05cd6b7af3ec100ab237fb7455221;2096303;2021-09-29 07:56:07;Send;-1400.85019069;9678.40061963
7205b0d950b732ddcd7666c6fbcea07700562829e70ad3a0407320b4f321ccc2;2095904;2021-09-29 01:05:01;Send;-1369.60240354;11079.25081032
7bc20027d439ccb47172d4e5e70224a59035243477b61ed1ed4ddac7e7c8de58;2093925;2021-09-27 15:29:07;Stake;1.08;12448.85321386
9958c8aede8fb8ed8fa4abc378535d938961ba312127691ece3fbdbbd1ca2b47;2072220;2021-09-12 05:34:54;Stake;1.08;12447.77321386
77d702a6e89510e312189a89853be6802c8957e1aef441dae06ad78fda90c118;2072212;2021-09-12 05:26:00;Stake;1.08;12446.69321386
62460516dd4841b1e495b4e5cb16d2dd01ae8f5ef438b437cc1be25acf5774e5;2071887;2021-09-11 23:44:14;Stake;1.08;12445.61321386
d21a56c81b42488f1cea270b7539734768f89ef90d9f5197eeaea56067febf0d;2064811;2021-09-06 23:26:47;Stake;1.08;12444.53321386
e560a43fe0098a29ed05851ca11b95112cb5fc7577872bbf6730e17a084faad8;2063605;2021-09-06 02:54:38;Stake;1.08;12443.45321386
4f905fd65cc332cc072c6475d8e1cd1072cd44fc23a1ab3417b3a7415c72a333;2063026;2021-09-05 16:57:48;Stake;1.08;12442.37321386
eab50e65fccafe2217edadc5575e4449e1de18ff453a9692f91b40044e340064;2062619;2021-09-05 09:59:47;Stake;1.08;12441.29321386
f369a3d375d3778638459d46da4690bd79d90291c422e044e97ac5cf297bb012;2062584;2021-09-05 09:26:40;Stake;1.08;12440.21321386
1724ec35fe883a5ed74b704dad1c7c09569e6e1ce27cc2999211be8b4523a8b0;2062544;2021-09-05 08:38:02;Stake;1.08;12439.13321386
e111cd0729c6322dd9f080dca7e239ecb0019a35560684e17070a9fbe32f413f;2062487;2021-09-05 07:48:39;Stake;1.08;12438.05321386
79b6f4ce84069629fc84d3e2e42f0d3918cca950f831fdd9bc4ef9e2fbf5b5fa;2062426;2021-09-05 06:45:15;Send;-701.49512407;12436.97321386
986f66def7b21bc1ef0b0e08bdf9c4f181b13fe0ca891c6a75fa98c707e1ab0c;2062400;2021-09-05 06:23:21;Stake;1.08;13138.46833793
d95ff73a9d402c579206b97cb2e2af425ca9932b0236e5d48a1d04a251e39b80;2062240;2021-09-05 03:36:30;Stake;1.08;13137.38833793
d1b3b17fc6c9a9d00f4a4279e93c4748de44e109b2bbd4941a2e5ca55a4249f0;2062135;2021-09-05 01:49:38;Stake;1.08;13136.30833793
0eba722c131a825dbecdbd531a2d32c90886bb1a9fc5de59797f528e571728db;2061787;2021-09-04 19:52:48;Stake;1.08;13135.22833793
a3a4e969b44d6b8872c88159d65aeb67588d677f4ec94ed1a1fdbe84dad89d45;2061613;2021-09-04 17:03:03;Stake;1.08;13134.14833793
97b971fd005fefc3eb49dec8dd3c3bcbb383ad28f8e753cea979c3c863a64aa2;2061553;2021-09-04 15:55:10;Stake;1.08;13133.06833793
d0c292c0ff622fafc24a0620c55f9029b31e92f0fe1eb903f70d56890281218f;2061317;2021-09-04 11:57:56;Send;-701.03523688;13131.98833793
da1d7d9c4ad0e46009bea8ddf7fba85c6e5df8e17e4d47103125b3cf34743ddb;2061176;2021-09-04 09:33:33;Stake;1.08;13833.02357481
b5dad723bed91c4ebae72a08e3601f2ea58fd7f32d24d4b6704dd7be2fb9c7cc;2060355;2021-09-03 19:29:37;Send;-1406.5725172;13831.94357481
dd03d7e6e3eb0331b18658fb8b639a76aebb1ccd741ddc4c02bffc4780d1cedf;2059606;2021-09-03 06:45:17;Send;-703.02575962;15238.51609201
27a264c07fa86c7f88047ee2c63646bb85dcb6031961e47584acb6e2cb175b40;2058333;2021-09-02 08:58:34;Stake;1.08;15941.54185163
860f5b00e0324a724324996b21865d73c956307b2ff3bb317e15ae2044673ef8;2058077;2021-09-02 04:46:20;Stake;1.08;15940.46185163
59ac66b39089267c44b66c7f1ef35242577b39dd7f32671cc28f366cadc99b10;2057952;2021-09-02 02:40:11;Stake;1.08;15939.38185163
3323e9e0855d9c6c6e6975dd20cd491e3d5b27d893877096497e35e428a1b6b2;2057872;2021-09-02 01:11:02;Stake;1.08;15938.30185163
e4bd3bec92415f46f2cda82f6aa91e031d5c82cfe80726bc992d3bec091cd955;2057623;2021-09-01 20:53:36;Stake;1.08;15937.22185163
fa27a935c7d1c696f4c85d0898290964eadd09ec0a85e4457288b574ebde7bd6;2057323;2021-09-01 15:44:40;Send;-5555.44611483;15936.14185163
b62853e57d75cea263d90cd7234c25ec58f762be135077eac06e6315e0df7e81;2056986;2021-09-01 10:10:51;Stake;1.08;21491.58796646
23f15e0b1a50c047e7a0d1b1d9b9027d911fe055f73c643ca715c44ecb29dc16;2056892;2021-09-01 08:30:22;Stake;1.08;21490.50796646
1e139e3c24d1aec35eec3eb41f33e5b06a89cb5ceec430a2cc2371b324ec4008;2056432;2021-09-01 00:44:57;Send;-2833.80007292;21489.42796646
00c6bc1e6ee2453b6ab01001c749c8ed1d67164261fcb2cf33cd154de8aba4aa;2056089;2021-08-31 18:42:29;Stake;1.08;24323.22803938
66a413cb108f872ac118a2f89a4ec60780c44770a0092065c7f955d071a47730;2055641;2021-08-31 11:16:16;Stake;1.08;24322.14803938
6bd89f6252e3dc23aba2b2eef06732e99dc052d3383abd27d805c6cde07d6ce5;2055522;2021-08-31 09:17:28;Stake;1.08;24321.06803938
a8622bb291ccf0e7023706e304e0efb723b9a0ec5ad5106cb6e9f1cbd713690b;2055360;2021-08-31 06:34:48;Stake;1.08;24319.98803938
3b86d2e76930ecb4e97881dd394c6ae0ba2c4ff3468d419b13735cd61c458e34;2055099;2021-08-31 02:05:46;Stake;1.08;24318.90803938
e91a4d9153d897b5effe7a66f0c01d5c2dd5d59d9f9e12368083d686dc35f29a;2054898;2021-08-30 22:32:35;Stake;1.08;24317.82803938
bb93e87f7b458caa38628a3e575d66fe3b8013d6ef5256656e5669c8cb1546b9;2054896;2021-08-30 22:31:20;Stake;1.08;24316.74803938
86789308572d7ae287e6a9d24513a18c573198864170c210e33579a2164a4c4b;2054542;2021-08-30 16:34:09;Stake;1.08;24315.66803938
99601e11db8ddf77c4eb1467d964aeb0205322c4f5e4bd4edbf7c59980a77912;2054487;2021-08-30 15:41:18;Stake;1.08;24314.58803938
8a77d2033515bd94418f3f04cbadb0871f8efc366deb4efb4ebec6f0e0fda7e9;2054402;2021-08-30 14:10:52;Stake;1.08;24313.50803938
c1610a0195c000ad31d9d642021064e4e96bd97fe869f42e3975314ed0499c1c;2054143;2021-08-30 09:46:24;Stake;1.08;24312.42803938
69e321e5ad5c77b561b56218f598790ef2a44db765da6e085221983a97f0ef92;2053900;2021-08-30 05:37:40;Stake;1.08;24311.34803938
9b13998515982e761dcc4a5891de773a6c4affd566412b532ec8ed6f8e5045f7;2053883;2021-08-30 05:16:27;Stake;1.08;24310.26803938
5d1dd47394a2ff16458e4a5a786b7761fd9178a2d12d91c718b0b2cbb76bfe16;2053771;2021-08-30 03:29:00;Stake;1.08;24309.18803938
2f23e53e1fcf9f2dbe259ecc822e463e30f3140dee8964793abb004676b8ffb3;2053757;2021-08-30 03:15:24;Stake;1.08;24308.10803938
572d84a51df9bee001f545a40ec2aaf015df9cc481e329795f5d277994eba1a1;2053690;2021-08-30 01:58:04;Stake;1.08;24307.02803938
e7ebafeb8677ae2459e5bed611cd96036b7edc887c1c95d4ed0d548abb498ca1;2053331;2021-08-29 19:54:28;Stake;1.08;24305.94803938
d59c48a5a3045eb1c659d1da3f7941f365037b91de40826d883a676b30663bf7;2053234;2021-08-29 18:16:12;Send;-1417.11068828;24304.86803938
c5bfbab2fc2928b1186f4be0639bf73bd60dd96af25a3ea51baad9cc5fa47343;2053127;2021-08-29 16:25:07;Stake;1.08;25721.97872766
07d0b506dd9b944fc2877ed745fa1afb0a9d1584cc073be417ee18d3de613c88;2053069;2021-08-29 15:29:06;Stake;1.08;25720.89872766
20371de9e4f856ac96cb5bb91d9dc43c268c34fb04e79ce9fe08d7c704627163;2052488;2021-08-29 05:35:19;Stake;1.08;25719.81872766
6a0cc2b1c4908386978a9d05b35ca962dbf6cdb5a6c78849088368aeb91a9ef6;2052416;2021-08-29 04:19:43;Stake;1.08;25718.73872766
eca4bc2c63fa4202a104bb9809d7538580ac505aad8f99bbabb0f9f001405ffa;2052344;2021-08-29 03:03:16;Stake;1.08;25717.65872766
8ec8f89ab1342dfff527717f818e5a1b04755ec0b606cdb1fc06471048f05de9;2052252;2021-08-29 01:31:34;Stake;1.08;25716.57872766
d843dc9f578606ca98945200680235e329c4e3e4109b4bc92c0153d2035a6d1b;2051950;2021-08-28 20:31:11;Send;-714.46470532;25715.49872766
a054cf24ad8db708bec9f35962cb7f5e6ceafd28fb3db71eeb7b2a94d35d36b6;2051401;2021-08-28 11:03:37;Stake;1.08;26429.96343298
31abda5b0b7bdcc41e9f15dd333246b126ccfb84f9c41dc87dc916e33be3dc1a;2051369;2021-08-28 10:31:51;Stake;1.08;26428.88343298
105bd4544fd2af58860d107bf6577bf2c6f80a81e87880079c792c693972daf5;2051162;2021-08-28 07:04:58;Stake;1.08;26427.80343298
cf26ccd536e57e0182fe5a62e39c10d5f91a0756b527f97ff7658a5e1a5c2099;2051034;2021-08-28 04:48:50;Stake;1.08;26426.72343298
1247891985123d39969128e36ad98064210f070bff3bf4092424b6e877c713de;2050924;2021-08-28 03:00:32;Stake;1.08;26425.64343298
07a9fb26a17f51937a56116fd6aa68b08a830ba6d53b0a8f8ee3884b942ee59c;2050687;2021-08-27 22:56:09;Stake;1.08;26424.56343298
e626a73656b48dccd586ccf1d9b42213d7f8333974e42fa9287dd37d4d84b632;2050596;2021-08-27 21:21:22;Stake;1.08;26423.48343298
a362785e2dad35c7e1984c135049bb58373727a310d6400b8ca60afb018ffa7c;2050136;2021-08-27 13:23:13;Stake;1.08;26422.40343298
89519d9780ed8586f003b7ec99e3f50802f1a195f32b16573ee69b5fd2c4ae17;2049242;2021-08-26 22:22:01;Send;-669.81653667;26421.32343298
0aa766f412ee748df10227b7c0f0ec16b691b591c4ebfbdee0bb2525563f555e;2047567;2021-08-25 17:44:49;Send;-712.11581996;27091.13996965
9828971785586f185193007d19956afea9623c66289fb8fba086d6b021a4a0d9;2047387;2021-08-25 14:40:45;Stake;1.08;27803.25578961
26e85c3c204036e65fd5046b8d28606243b85bee71049d8962287a6d9dea167c;2047285;2021-08-25 12:55:52;Stake;1.08;27802.17578961
0cc7b6bcc336ada41aefd8c90b9f1ec00ccd2aa83dc1cf8cc4a66c347874cf88;2047099;2021-08-25 09:51:22;Stake;1.08;27801.09578961
653704289e61b5426e2be57b18f920de86b479e9f324ae9d8a66b95bb492bd81;2047077;2021-08-25 09:28:24;Stake;1.08;27800.01578961
146d5d7bbad904d64f97b56d3182a442df0f57bdf790ed29c720c60be159d76a;2046198;2021-08-24 18:26:45;Send;-714.49474661;27798.93578961
a938f6018b9d5a27015c1af530d8feac82b88c5576542d23832870fe222df475;2045881;2021-08-24 13:05:41;Stake;1.08;28513.43053622
714fc9e202f9be88ae2b1e3e49fcdf98ef0a836e7cd4529241c35b915effaa6f;2045828;2021-08-24 12:07:43;Stake;1.08;28512.35053622
e4250de21e6245700eef5839da7db732d0ce1e3fb855e585f582b64e4ee76663;2045757;2021-08-24 10:52:14;Stake;1.08;28511.27053622
3c7cac524f5afd7c85b060bbf42920b7987da968dbcd16da1ae6b09cb045f84f;2045646;2021-08-24 08:56:59;Stake;1.08;28510.19053622
b2e518be07aa357f4f3a0e56676546b3994e803fad3a6a8c9ae996f72d02019c;2045517;2021-08-24 06:51:45;Stake;1.08;28509.11053622
c574e181f79fef493148d0b06a6670da93eec36c7db79d5c4a3b4b92ae45b281;2044842;2021-08-23 19:18:43;Send;-1436.63899858;28508.03053622
3bd60e483dd16d63ffe7c650bc02fe31b28f53cd1266fcacad1baee73f174350;2043819;2021-08-23 01:51:41;Send;-1432.6616084;29944.6695348
c004331fa14c1b5e5b0eb2776bca25edad3a41cfe8fff1c58322e07ce0caeddb;2043467;2021-08-22 19:53:01;Stake;1.08;31377.3311432
83b1cb153d8c7844e3eb3e91520fee3ccd9eed1c57a2869903c85def7bb49532;2043412;2021-08-22 18:49:41;Stake;1.08;31376.2511432
1a081717a337cd4df9e67c35440589dd1c621c2de73f161d035418739136c8c5;2043402;2021-08-22 18:40:30;Stake;1.08;31375.1711432
939efdc1e8b67876784694a91d45f96b518e6f80d0c51c352d864ae9b50da979;2043280;2021-08-22 16:35:58;Stake;1.08;31374.0911432
199d692409361df5cb17e57df7a97e62f879a67ec01dbc5a5e4858651144560a;2043259;2021-08-22 16:20:14;Stake;1.08;31373.0111432
a719aa0b328e773f1205b0bdbe177e756edfddd9a40ba6f4e3f1088735fb280e;2043184;2021-08-22 15:05:08;Stake;1.08;31371.9311432
e962f7080d5e77e0024cef28a0a6bc93788ac2848b039904f97f72acd6d04262;2043071;2021-08-22 13:13:59;Stake;1.08;31370.8511432
a35a7db6145e60c0083e84aa2feaf6518ceb6c26d50404381e5ce90def84c302;2042972;2021-08-22 11:27:51;Stake;1.08;31369.7711432
62c369e72b67c619ff234e94d2f5805f836613fef57266035f5d04226fe21d89;2042924;2021-08-22 10:30:38;Stake;1.08;31368.6911432
a9bcff21b361dd6e8964b9ca10c31a4f9603f3085eb09a39c509e212f0a9fcc0;2042517;2021-08-22 03:42:24;Stake;1.08;31367.6111432
a89821be314d14428f05e9b259da652d6cd747ead63557e8164156dba0046a33;2041923;2021-08-21 17:40:06;Send;-674.86613394;31366.5311432
1a7def4b3323bde2860497ea4d5315a4bfa3fd162dd1706921dd7330de85b2e8;2041324;2021-08-21 07:30:48;Stake;1.08;32041.39727714
f450a24b50b19e9f5bcfe063f5c05a6981fbbcda90509e3d7fd03e1559484f44;2041321;2021-08-21 07:26:33;Stake;1.08;32040.31727714
e894da42c1ce7200fd296f60af2f527c414bc3b4a4177fcab00bb0fa1822d446;2041158;2021-08-21 04:29:16;Stake;1.08;32039.23727714
b8a4243b5d27b0be9563ea33c06a8e6aafd72e1d0f114fbf5bf6d2fc7da2d999;2041120;2021-08-21 03:57:34;Stake;1.08;32038.15727714
