sep=;
Transaction;Block;Date/Time;Type;Amount;Total
a3f8d7deb7433328dd05f27dd17da6274009f5f5e9b39a89df9b1863e4e3b216;2300130;2022-02-20 22:56:16;Stake;1.08;1402.89243915
f3d123455691d3c3ce6eabde1be2eee0275a7d73698d007654f08bbdf1fb58ac;2150523;2021-11-06 19:20:34;Stake;1.08;1401.81243915
5bafe95d3bb275cacf749e8b29a051259a0b9d1fbecb08ce4c2867101e6ff77b;2136355;2021-10-27 18:21:23;Stake;1.08;1400.73243915
80bf52c0b88d8524115c088835df597242926bd012019b438a00370c20a314a8;2132498;2021-10-25 00:30:47;Stake;1.08;1399.65243915
948557b926b812279a7708b51f309440f62aaf38d416a1a0493afa923b94fb2a;1905508;2021-05-16 18:01:51;Stake;1.08;1398.57243915
35575a5a52f990564540f6669f336885b0da1e452c83d6276778cfadca0d68b8;1881732;2021-04-29 20:38:08;Stake;1.08;1397.49243915
7fb2b769dbffc4edad43ef2b44975851a09b0a9969ecc8442275e11dcbb83066;1875030;2021-04-25 02:26:58;Stake;1.08;1396.41243915
ff30c113f0e45632ff35b962e7344a66fc429731b4989330dac453b1ba79aa49;1859905;2021-04-14 08:57:16;Stake;1.08;1395.33243915
605f16bd9bb4d28ec0d19b62c1d9bf70172b0e2a88680ed02f939b0a4eed7718;1854745;2021-04-10 16:58:57;Stake;1.08;1394.25243915
20d9e11dba7ed0488ed8acbe3442201e436d6e034503b79fdfa0060daf35cc5b;1848388;2021-04-06 04:31:05;Send;-20025.91996255;1393.17243915
61d5a1c6749fad452cbdb65346880a7703be3b3727dd44131f6328fa01b1679f;1845162;2021-04-03 21:45:01;Stake;1.08;21419.0924017
9c81d193c065e6c2c521b8cb657c44664591b8853bdc2dc6d974ac140e553a8e;1843738;2021-04-02 21:24:47;Stake;1.08;21418.0124017
b44833fd26077e7a488f4a051066f2f752edc4a1d23f54a5afe11276cf6d75a0;1842099;2021-04-01 17:24:12;Stake;1.08;21416.9324017
3c05c85ed7cf4b837c660de5d0d1f70bc55ef683e34ad72132fd5e436bb4a9b1;1830581;2021-03-24 13:22:14;Stake;1.08;21415.8524017
a5ae5985a26357bfc89b187b12f4e5d79b7b7bce22246b960bd4ecb046c0dad6;1828768;2021-03-23 06:21:52;Stake;1.08;21414.7724017
04d100b6d8976cb1f8252174a03bf6741f33f3c3f034e84e2196d2b265b71eca;1822843;2021-03-19 01:33:40;Stake;1.08;21413.6924017
5ff8fe00eb75e88a838feb1f8f2160efec62b43d4267ae5ffdd58d9e0af8498f;1821327;2021-03-17 23:37:44;Stake;1.08;21412.6124017
257f68c7a8c85e884e2c1952472ae3b7df81f4c09cddc64e8c535af5c9bb9133;1819057;2021-03-16 09:01:01;Stake;1.08;21411.5324017
c067d646c3edc902fc14a631c3b1e9132315550bae646b1837d5d11915b078ee;1817704;2021-03-15 09:51:07;Stake;1.08;21410.4524017
bbfed4847e48b94f78cbf834983a94b22ecfdb7c90f28b2d41c1e22afba86672;1817046;2021-03-14 22:35:47;Stake;1.08;21409.3724017
1b5e9d48173f27b8b792ac29598994400cba414074871f6b312fa832fad82f26;1815171;2021-03-13 14:40:28;Stake;1.08;21408.2924017
cb0f4e7dc3a98af51a3927e17dbfdb1992b2d3f40ff27745dcc38e9e781a0620;1813732;2021-03-12 14:11:21;Stake;1.08;21407.2124017
103f1d02d0f802254c3bde1fc3d49d85ccc846f45f122689325804484c1ad84a;1813107;2021-03-12 03:31:50;Stake;1.08;21406.1324017
97deffc36236d58a78fcb5110c3d0f34743bc654ff98ef4ec181d11338bf3fe6;1811278;2021-03-10 20:16:25;Stake;1.08;21405.0524017
a6a9ec490f6eb2835dfde665f014f26cbfeebdd9a124585fb6a837d3b1e8ebcd;1804319;2021-03-05 21:52:59;Stake;1.08;21403.9724017
be4cd5934a5287817888975dca577e1bfd757b4f2258f6957c4544db1563ba64;1803267;2021-03-05 03:51:38;Stake;1.08;21402.8924017
17a51a18328ef04f4935771566b6a306890e4dd5596b2d0311de6a8c9ae551d0;1802643;2021-03-04 17:09:07;Stake;1.08;21401.8124017
649824e4534d9889f08396757bc06a6a3cae0f18bbbe0bc57e9130dc0e1d02d5;1801807;2021-03-04 03:02:52;Stake;1.08;21400.7324017
81514975952526b9b2d19b7be046a8acfedd5d499eff619f73a9523691a1ac72;1800546;2021-03-03 05:32:25;Stake;1.08;21399.6524017
d17de3074b780e214c9bc478a8c0fc5c0b7da3e38b8f9f95113a3a167f82bb5a;1799758;2021-03-02 15:59:48;Stake;1.08;21398.5724017
e09673fd9886b0342fe5b4ba68c8a0c438cc74dbb76b9dbe6ea064f37354ace6;1794658;2021-02-27 01:16:47;Stake;1.08;21397.4924017
6f1d530aa73647ba4721554cbb1bc578351bfe51384bae0eade7d440e7e8606d;1789990;2021-02-23 17:46:37;Stake;1.08;21396.4124017
6ec839c0bf6ec98aa005fece9869ff67e9903eb9c71b54fc06cd3ad3d9320bb5;1789077;2021-02-23 02:15:26;Stake;1.08;21395.3324017
e14402f2889e16285b8811a60a5d6c712178d3a48e23eba655301c619aa406a5;1788871;2021-02-22 22:42:12;Stake;1.08;21394.2524017
0d6d6b9610d2960df0215fbe1cc4e63fa0ebf11d8f615e19b76a51cd679a2ec9;1787258;2021-02-21 19:12:21;Stake;1.08;21393.1724017
e931ac81b86bb31f3b7eb638f79f95fa62a2b6d19de2f9d090519394ce6915bc;1787091;2021-02-21 16:28:52;Stake;1.08;21392.0924017
45a4f304f6292d252490da00c4617fec91e2b6318748462a0a4610fdbe710ea9;1784437;2021-02-19 19:11:51;Receive;1391.01243915;21391.0124017
f077c7f077baf81365d7c467d5de8fc384a6ab25f411822470c9884e2a627132;1784437;2021-02-19 19:11:51;Receive;19999.99996255;19999.99996255
