sep=;
Transaction;Block;Date/Time;Type;Amount;Total
3a2d8fdebe8412f1c1beb7bc7140ad94e45ed16bc1e4dd996f660282c4bd22f8;1602164;2020-10-14 10:03:18;Receive;17400;30450
98ab4a530a70b9a4854db29e5a945cfec09a313c10cb63edde6b701f88795340;1158133;2019-12-07 08:34:10;Receive;8700;13050
4b4d77d1f4b8f7421e40fc5495e26da9455614036f56e31b74ab26c6f1eeb7b3;887320;2019-05-31 15:29:30;Receive;4350;4350
46296e39d48c1f3e2bf13c4a944dca8d873ce9484a49a798fb61a11019564881;787289;2019-03-22 09:32:45;Send;-5100;0
78e917c87966a691d533d31e2eaadd5e3e3a58b5d8a0be2e4fd94c782cc7eaf6;775828;2019-03-14 08:32:56;Receive;5100;5100
6cf4c50587e8f4e620ff2bac0d78dd103f722489275d9ced1a20be52eacda96b;739383;2019-02-16 19:33:46;Send;-10650;0
095bd50fa9adce763ce751cc114cd4596aa95e7d07750283d23425155d83a61f;619496;2018-11-24 18:10:47;Receive;6450;10650
27ce436a3f84d86a17f6d1b967897435139df34e0536448dce2fa02a15a4fa55;424985;2018-07-11 12:11:04;Receive;1050;4200
f2b304afe3d2c488134d8c0cf2fd2538b06e11c2c265c2fce172810e63354196;424985;2018-07-11 12:11:04;Receive;650;3150
48c693ed3223879dad631fc9fa21d0dbf46126f396866dc23b00907c4b22406a;424985;2018-07-11 12:11:04;Receive;2500;2500
