sep=;
Transaction;Block;Date/Time;Type;Amount;Total
72f0c80a710ec09a783dcfccaf5fe6931d118c04412ed1290667852eca13c9f6;2322666;2022-03-08 22:41:58;Stake;1.08;24906.38
c86e23aaf237c628b756e1fcea98d243832b843d31ee644bd93868f331249785;2298676;2022-02-19 22:11:14;Stake;1.08;24905.3
b3e6dc68c1789dd7fbfcda8d8d3e0027dd22138ca35af1403b0a02544e007dd0;2294755;2022-02-17 03:28:43;Stake;1.08;24904.22
9f01aeece74ca77dba764bbda641b528de774e9d706d2c6f73f49180864b75bb;2285888;2022-02-10 20:22:25;Stake;1.08;24903.14
46e1c832d15d4fa4804acbb41f47645fb7dbb0e6838dc21982bf980d96ee0e21;2284634;2022-02-09 23:04:20;Stake;1.08;24902.06
26269dd4ac1d86c4fa30f2ec457528308ce4a758e4672bc4277bd6b592824984;2277707;2022-02-05 01:13:35;Stake;1.08;24900.98
b1c154b6e79d060786707ba4c6fd35ce8848ed18aefaf8f91726893375e6f981;2269480;2022-01-30 05:07:53;Stake;1.08;24899.9
52060802d5ffa5995a9c25884120f3277cfd24dc43f8a10dad43b2e716c2237e;2268432;2022-01-29 11:22:59;Stake;1.08;24898.82
5856a6d2f3ee96c9a5ddd7ea19330f9e955e62ebbd945c954f232309fd0b1570;2266525;2022-01-28 03:00:50;Stake;1.08;24897.74
aaad2861a235adfbc764675d1beb3868e24a543be2e5aadcc764aba0aab21e62;2242623;2022-01-11 03:51:25;Stake;1.08;24896.66
b45114c125af97cfe6a70f6dcb25ea1c410a5f6ed7fb4b1d72fef47badd15b45;2237450;2022-01-07 11:51:00;Stake;1.08;24895.58
e42872edd58cabc6f85e0971c66ed5e40aab184e6288a06147a668feeab50ee7;2206240;2021-12-16 08:24:12;Stake;1.08;24894.5
10238f1ba9c88cfaf104c949f33df5a0887d65c9ea914c1571eb9ba9529bdde6;2202114;2021-12-13 09:56:13;Stake;1.08;24893.42
8fce47e8be3b88d7cb6718693337860daad138156a8f95ba973471cdf5f2555a;2201322;2021-12-12 20:24:37;Stake;1.08;24892.34
d24b4db14a4874947b7e7830adf38a34de2ef8be966bf210a71fdb5010070312;2200170;2021-12-12 00:58:10;Stake;1.08;24891.26
9c33f98e2be01ee7435361876b0517f3629a23f8ba5e277be50a4789c9e7b0ec;2199154;2021-12-11 07:38:51;Stake;1.08;24890.18
b070a9c177ca1019dab0659045bf3072f342fa298291c8f8fffa6ee0c4a46cdd;2194488;2021-12-08 00:07:59;Stake;1.08;24889.1
7174619e092049246c742fde81bf0d765de1c8d75e7a49adf09b116faf715f7d;2190268;2021-12-05 00:15:00;Stake;1.08;24888.02
9d8d6437d5dd0e58142dfdc2beecfc3b70a9151d603aa5dd99bd51c9a23075b8;2179429;2021-11-27 07:35:29;Stake;1.08;24886.94
e96379f1f2ad9621ee7f343832713e0c610ad21f31338cf98f29944b7f0686d0;2161424;2021-11-14 12:57:40;Stake;1.08;24885.86
c12a24de882e983528b4f6262f516b225ec81dc35706db0e9a4e3ce890aabff5;2160790;2021-11-14 02:08:57;Stake;1.08;24884.78
45d05ba940f61fd7f2abde2a83cc650005632499ffa4b246e0ab1adb1771bde7;2159422;2021-11-13 02:58:05;Stake;1.08;24883.7
0abc48d61ec991c8802edca0712d87f65e4e286b3754c76d81b42b80098191f4;2158239;2021-11-12 06:42:18;Stake;1.08;24882.62
b5958101822801d6fe9959d084a988a9aecb6951de9fb82d85f99fb7f41d4f6a;2157254;2021-11-11 13:58:30;Stake;1.08;24881.54
98e1f1910c69d432de65cccd09b75bbe7cbfb6b5594c9ec085c2c23649f5f3cd;2154694;2021-11-09 18:23:30;Stake;1.08;24880.46
6ebc0209d337f00c66c813ec967f3184714b8f0fd4cdf8218f2f2438d452b6de;2152313;2021-11-08 01:48:57;Stake;1.08;24879.38
bbc98d2d54ae754e0382857adbdfdbbb77fccea54cd38f1fb9319e3051dd6df7;2150551;2021-11-06 19:47:58;Stake;1.08;24878.3
f298419142f63f3d02eb1bb2ccada44fe71e98cd96815a32adaa2e6f1edcc01e;2149930;2021-11-06 09:14:36;Stake;1.08;24877.22
a045f4b81a90231d032d2d003f99fb726f808bb1de6ae22957d8055d339f9345;2149304;2021-11-05 22:33:08;Stake;1.08;24876.14
408a3396d1739bbff3d464355cbcf38bcc1b91067d6db6df03a9c2e2d54d2379;2148651;2021-11-05 11:24:29;Stake;1.08;24875.06
aac91fae7e724405b1e11a11235bef5af01278ceeecaefd8305d11621c9b970f;2147971;2021-11-04 23:51:47;Stake;1.08;24873.98
95177b2205024bbec1e1995e1b2bee0355a02ec2c5ea54bc76b64e743898d910;2146700;2021-11-04 02:08:53;Stake;1.08;24872.9
f3c19feed02b7399f53e1f4a25f4aae45928f2831ec0b41ab38ca07e73fdfc2e;2136738;2021-10-28 00:37:00;Stake;1.08;24871.82
