sep=;
Transaction;Block;Date/Time;Type;Amount;Total
50337ef4088d366b6541535bbfd1390368f4cab153e04b2ae0e82935541e6c34;1674779;2020-12-04 11:37:33;Receive;6000;93600
1b7fc0d2440ff92254c7895a626a42a5510b386d0df2e59609ee1c1f43cc5974;1666399;2020-11-28 14:03:00;Receive;14400;87600
d93dbf108079094b146659e41899f97875ae23f69c18cf9e1009898e98d17a23;1660478;2020-11-24 09:57:55;Receive;11400;73200
b6e6acf6d2dabfeb1c400c3646a3b9a0c15674a607dea410c2de976a20cb1c62;1572424;2020-09-23 11:36:06;Receive;23400;61800
abb74fc68bf9a70be5c98a5c8d2f3c91ad953459ff88a3ce1a01d47707c6b6f8;1160972;2019-12-09 08:29:11;Receive;3000;38400
ced246b8b2be8b3ffad19eea1cb7d1f920beb0ffdf703630fa95664ea308602f;1160960;2019-12-09 08:18:12;Receive;3600;35400
a0b85e52333955af0043f723e43f34f96da6b71099544fa3ef9ca311d3b1fc4c;1159692;2019-12-08 10:52:11;Receive;5700;31800
2980aa3276b30c857c091699af85b670afc109edcd6d91437650cde639c03a1d;1158153;2019-12-07 09:00:05;Receive;5850;26100
c36636677c51b6a13a982f4a5f24c51085449a5b6921a520673cf5cdc5161a73;1085713;2019-10-17 19:29:33;Receive;5850;20250
4033d7d950799e6c74b0d35764d916a53d4e96c5f03a33c62722ac42529195fc;1081095;2019-10-14 13:29:00;Receive;3600;14400
ea77a485429e04f5293256ebe3be84dac5e517768088fbc6de22713bb7bd4671;890127;2019-06-02 14:34:16;Receive;2850;10800
cdefed72904da7cec0b304537b6553ed7352fe2d300fb95a28b2c6e2a95139c4;890108;2019-06-02 14:18:53;Receive;3600;7950
100efa61dd7311f5c90892d416218f9a850b264cfafbadf761191afd7299a6da;884286;2019-05-29 12:14:08;Receive;1500;4350
fb86426dae13bf743bde07ecea803a668305682c28758175d72e6c1f1e0a07f1;881331;2019-05-27 10:15:24;Receive;2850;2850
46296e39d48c1f3e2bf13c4a944dca8d873ce9484a49a798fb61a11019564881;787289;2019-03-22 09:32:45;Send;-18900;0
ae9977c9e7a4e05d294dea798cdb0e75b39536c783118810f1276cf9deb5ee1b;787286;2019-03-22 09:28:16;Receive;3000;18900
24c87caf5b3417298f75e3e37219857f1fdcc5d39c389ae1f07f23eecd857050;784432;2019-03-20 09:16:50;Receive;6750;15900
0dc6a3cbad67164f3593aec7b358326797ba75daa25e189cb2db39a87376376c;784377;2019-03-20 08:26:00;Receive;3300;9150
f7cb9c8d697794756b2578fd508a6ce2cbabbb1a1df0dca2dcd0bff70488ce04;781641;2019-03-18 10:15:09;Receive;1650;5850
511509be25bffcdc32e244b571b210c4db96999fea056a2a8cd75dcd3b1ed34e;776495;2019-03-14 19:45:07;Receive;4200;4200
6cf4c50587e8f4e620ff2bac0d78dd103f722489275d9ced1a20be52eacda96b;739383;2019-02-16 19:33:46;Send;-34350;0
5380120a3ff91e689497f1839470ec5968329af2b546137d8b39ae0a10b2c1f0;617197;2018-11-23 03:28:12;Receive;2550;34350
a7b61b82d0043c7514fc51cd97450f06024d6690e233196e12e0baa1a3d513c6;616705;2018-11-22 19:06:52;Receive;9150;31800
7935eafa3a13e92c5cee5a8ec6103394e2cd90524bb3f6789095cbe31f343804;616570;2018-11-22 16:53:31;Receive;5600;22650
bc8bb5329389c473d7158cbb2832bdaebe51933ef6430a890147deadbb7d2179;616166;2018-11-22 10:00:19;Receive;4450;17050
61428ee87272fb7760aca64747b0f9eb2d76432abecbccfe992ef5e7a9d1b874;422423;2018-07-09 16:53:48;Receive;650;12600
e0c9892b0c8973e4f7b91c7eafbf96abcaa4c5c914ac0fea657585f4e3b498e8;422423;2018-07-09 16:53:48;Receive;1950;11950
46c6e0968efd8d77ea757569693839854632760d6c902c9ecef4949084611905;422315;2018-07-09 15:09:02;Receive;800;10000
5e8e92f9547e337b92ccc259ad0efeeb4ed6a5554eb1d50448fe7d6586685a65;422315;2018-07-09 15:09:02;Receive;2400;9200
a0b472da504f9ef6ebca22aad37fdce8e5edbd1966e8f0b047eab2db53fff98f;422298;2018-07-09 14:51:25;Receive;1350;6800
f6c84b3a643bd10c3c173d8663f4ebe69fbc7a9c4addfdce0a2105d3bb98f08c;422298;2018-07-09 14:51:25;Receive;2000;5450
6431345f61daa5e0aa1f9444c42b279b43fe7dc6c3dc681fbd09bb9db1431b00;422298;2018-07-09 14:51:25;Receive;2050;3450
ecd04ce971eb29f6b3e9b21619b9d11d91041a2ad10fa726f6f0e8ce3b80307d;420524;2018-07-08 08:56:01;Receive;350;1400
3398d1aab7cf7304bcb3bd68e37ef93d6302a8531b3d5cd6556fb343913327fb;417305;2018-07-06 02:52:43;Receive;1050;1050
