sep=;
Transaction;Block;Date/Time;Type;Amount;Total
b6e6acf6d2dabfeb1c400c3646a3b9a0c15674a607dea410c2de976a20cb1c62;1572424;2020-09-23 11:36:06;Send;-14900.1352185;95878.90412845
c507589769f6fd78a5d40e1360b2063c5042aad3b93024009cfe595ab30dfe67;1572420;2020-09-23 11:32:57;Receive;1324.61072648;110779.03934695
5adad228a64b3539362064bcc8f867d180f58be536c756538699bf85d0f7aa75;1572420;2020-09-23 11:32:57;Receive;829.79405962;109454.42862047
e09ea7239202ee4f7887fab4ab54270d4dc4f26268f6d2de9788a6b2116d342c;1572420;2020-09-23 11:32:57;Receive;1421.27009001;108624.63456085
b35a3f8f5dbe7becee3c09d29c9625e8f87fce69d222f807a4f8765e15b9cf6f;1572418;2020-09-23 11:27:49;Receive;1298.69102251;107203.36447084
372460e1a1c0cc3197a85ad9eca96fd1e151afc12c9c1665d1fe6b39cd191f0f;1572416;2020-09-23 11:26:55;Receive;1335.95077088;105904.67344833
0652e343b3927e73e3d4428a47f79afe80c8f44d5a544c7427929e8c786e4888;1572416;2020-09-23 11:26:55;Receive;1332.17084489;104568.72267745
27e6b9d47d0d14308de3be1991f6440e9bfffa1cbb01ae46fa487f23fe49956d;1572414;2020-09-23 11:25:32;Receive;1326.0506404;103236.55183256
be42e845e069366771c6f07c12fa5ac182b66bdd343c77973ddc59a97edad961;1572412;2020-09-23 11:24:22;Receive;1327.85087449;101910.50119216
3d055242cad4b76f4146fd024022152b043b79307128933064addd275e9dd328;1572412;2020-09-23 11:24:22;Receive;1371.05053406;100582.65031767
4d4d7125687fb2b0bda3715c2db4c40c06b4bd97419b0d89f9fc14ea48e069e6;1572408;2020-09-23 11:21:10;Receive;1368.35022323;99211.59978361
f0cac7453fbe56b37306250cb19a2aca8ffae0f4dbf30b05e2e588de1088123c;1572408;2020-09-23 11:21:10;Receive;1377.53048965;97843.24956038
ba97a86e9238e643a36d2659c5eebefbe32903d5c2d4ff05649829ccfef62d5f;1572406;2020-09-23 11:19:24;Receive;1449.35000121;96465.71907073
0c3632fbde778b56b04bf641d064d07f607ed0542d73e51f8b27792b3fcf6058;1569478;2020-09-21 09:45:55;Stake;1.0799408;95016.36906952
45faab426c2c8d7345942839a8001e2787e6cb72eacf82cd3efb6ed01859723f;1569438;2020-09-21 09:07:30;Receive;1449.35001601;95015.28912872
15a4c20679452dae12abfcd95652dcd371e3f6938361044a6f9b6db3b9f50909;1569431;2020-09-21 09:01:44;Receive;1448.27001601;93565.93911271
2fdcb500e39ff0439fa181b9ed2385de8dceb23c3d02b6c7f100b65f97a9cd2f;1569429;2020-09-21 08:59:29;Receive;1449.35001601;92117.6690967
b62eb139c5881a11c415dc6f233ea71b3c6c33d86e72c6c16d62f424657e025e;1569425;2020-09-21 08:56:31;Receive;1449.35001601;90668.31908069
38c334ce43881285894df85f0ad9e3a3c421044b0caa2bc5a8419fbe7f954f41;1569396;2020-09-21 08:23:45;Receive;1449.89001601;89218.96906468
430f5df621c54d86fe85643c0f091693c6382ec3cb4cc603daddda99162ae7b1;1569389;2020-09-21 08:19:00;Receive;1449.35001601;87769.07904867
cba73dc673cd3f08f0dc6c760165999bee688be92c2b9a6d81022b8dbd258d9a;1569385;2020-09-21 08:15:58;Receive;1448.81001601;86319.72903266
b7c49b99089c24cd288f534e38cf9d8d2f9f0618c6b1d58caf3dd65da554c46e;1569384;2020-09-21 08:12:04;Receive;1449.89001601;84870.91901665
6589293f490700021ee1e4556f34539a8fcc742ed51160a4140b100b7cc42ab6;1569384;2020-09-21 08:12:04;Receive;1449.35001601;83421.02900064
dab5c2fa1c74e4a8825ae8984aefd6709bd29976302a54bb0a9b3fec7d9fd508;1569382;2020-09-21 08:05:27;Receive;1448.27001601;81971.67898463
bbcdea79add12a9be01c216df39b5bfb08269024d21ba24d377ca8d666cc7a15;1569376;2020-09-21 07:57:20;Receive;1449.35001601;80523.40896862
66ecd229358a6799088ab6543a54b06ffd16309e776600a808ca399c33440204;1569368;2020-09-21 07:51:00;Receive;1448.27003081;79074.05895261
27e630bd91d3ea75836253ac4aa399580c9929683874313304fbfa7ead1a02b4;1569362;2020-09-21 07:45:38;Receive;1454.2099864;77625.7889218
5dcb1be629cf1bf836f68c6c4deb80c9cd3f6b29bf8ff6124922fd7f92c9bf79;1569358;2020-09-21 07:39:10;Receive;1457.99000121;76171.5789354
7222adefa366c2c5599d469973014a214f9017d3973bf48fa014dee8a7bd17a3;1552552;2020-09-09 11:47:58;Receive;1457.99000121;74713.58893419
dd65f03fb5d2673d9994301f9431d4929e893a0904bbbb12cb78280bac283754;1552552;2020-09-09 11:47:58;Receive;1457.99000121;73255.59893298
2bd7d7c478b709cafdea5f9ff4b36e9faeadd51da008fb237b5f0832dba1cb90;1552551;2020-09-09 11:45:10;Receive;1457.99000121;71797.60893177
1468a7c22ce2d545c2807cc49032360b34ea2ffb1db01cb5362cae6ae868029c;1552550;2020-09-09 11:42:27;Receive;1457.99000121;70339.61893056
39eee74013821e6ff9ced347ab24000fe4e884f5f8c781d22539c7b598055242;1552549;2020-09-09 11:40:12;Receive;1457.99000121;68881.62892935
caafecc5b7b7904fad9699c6172fe92c3c8f1d8a18e296de2fa2558848a96e73;1552546;2020-09-09 11:37:48;Receive;1457.99000121;67423.63892814
8e41f06feac88922509813ff62df7034880fe9c69d8b7a74e82666262dfd8ad0;1552545;2020-09-09 11:34:33;Receive;1457.99000121;65965.64892693
d183d9a6d14bd21fbaa8b1b6b74a78c9de99be241b6c14ad555b2d2f764760d4;1552543;2020-09-09 11:32:18;Receive;1457.99000121;64507.65892572
ac6437ec9e1eeae5f7e2fa42b6e1adf4b3263e1f0d122b8ba47c11f8bb820d0d;1552543;2020-09-09 11:32:18;Receive;1457.99000121;63049.66892451
96ad34485b0bdf4d1e384c03fc40edcfc95d2c5a14d84488da563c8e4291be69;1552542;2020-09-09 11:28:38;Receive;1457.99000121;61591.6789233
7fb83a197d2e4f031f49c8266f3d48f0ee24401bf29638cbe751239e813abdc6;1552538;2020-09-09 11:25:11;Receive;1457.99000121;60133.68892209
5c42ae0c724d348a60ba1efc84f831207cc75d43eaed0480b7d3a59efabbcdd3;1552536;2020-09-09 11:23:29;Receive;1457.99000121;58675.69892088
43ff646544aa6157f16083876cae5ba42e69e2b91cb0d67a512bb1baa38a327f;1545441;2020-09-04 11:42:24;Receive;1457.99000121;57217.70891967
7f2fc17ed6b858bfe80422fd6279a630f2e300e0e76abeeb39b333153f050377;1545439;2020-09-04 11:40:22;Receive;1457.99000121;55759.71891846
a7f98e01feddf71fa81a787d5a675e47638a495e00792191b3820890c41af3ff;1545433;2020-09-04 11:36:27;Receive;1457.99000121;54301.72891725
c93cbfeacb0468ab4adba57e019a21079b36a74cb2990b74697cf15ca72c50cb;1545427;2020-09-04 11:32:24;Receive;1457.99000121;52843.73891604
846ddfe1a5ff2e36cb64c63305172a30bd979219a9efb70621535c248f86219a;1545423;2020-09-04 11:27:15;Receive;1457.99000121;51385.74891483
920df031c3d797f302680cf8621b64e88ed98b9260bf06909b48b8032f5467cb;1545405;2020-09-04 11:09:01;Receive;1457.99000121;49927.75891362
2980aa3276b30c857c091699af85b670afc109edcd6d91437650cde639c03a1d;1158153;2019-12-07 09:00:05;Send;-5099.19110583;48469.76891241
765505aa4164de6ee0435835be41dec5555ace2cf31553f246134b3ddeb6c3c6;1158152;2019-12-07 08:53:17;Receive;561.5961442;53568.96001824
037f72bb53c1d977ab8aab3646fa8bea6529bd69b209c0adc0ea69529c06b69e;1158151;2019-12-07 08:52:21;Receive;144.7921482;53007.36387404
584adba1581fdeb70d153452eccc7425fba31099a6985b177fdd6e253c81186e;1158151;2019-12-07 08:52:21;Receive;1131.832237;52862.57172584
423e775553472495178ea50f476213d842abe8867caa316c69593cb9e6876d12;1158151;2019-12-07 08:52:21;Receive;1175.031941;51730.73948884
b4aef3718d796cecf356445e16772e39d19e1bee1a72a7be94a2e65b050c56d0;1158151;2019-12-07 08:52:21;Receive;1175.031941;50555.70754784
51a8064cac0db5ca64220d6d22b981957434f64e85d0dec5d8aeb561c62beb9d;1158151;2019-12-07 08:52:21;Receive;1151.2721038;49380.67560684
3d704270c39496ef268a61443db84a2174021074c971c596c6abdcd6dc98ed9f;1158151;2019-12-07 08:52:21;Receive;1133.9922222;48229.40350304
7f1ed543b4cc83113ef850c55c3e418e84080b3ac86664857e869c773ba2f89c;1158151;2019-12-07 08:52:21;Receive;1168.5519854;47095.41128084
2cb765c46cdb6baec9060af24890366d5d356782b346bfcf06af72c14b7c1e9d;1158150;2019-12-07 08:46:41;Receive;1190.1518374;45926.85929544
4e9f637b976f943c31e625b62deaae2e6c07798530cd671470afade69af1202b;1158148;2019-12-07 08:44:38;Receive;1453.6700318;44736.70745804
c36636677c51b6a13a982f4a5f24c51085449a5b6921a520673cf5cdc5161a73;1085713;2019-10-17 19:29:33;Send;-6019.88581063;43283.03742624
3537856613a26720d37ed67c310e28ed163b04cee2e0cd14bb90712f44bfa34e;1085712;2019-10-17 19:27:47;Receive;882.35492706;49302.92323687
2f2a3c6bb1270f314a3d375fec9d2e508fd429c555f44dcc2b7ec35a6e59e2c6;1085712;2019-10-17 19:27:47;Receive;1243.07294247;48420.56830981
5a9c89ff1e018541345a41ca1aa34df33cfb21df1b1d6e46b95d676850da5329;1085711;2019-10-17 19:26:33;Receive;1735.55001002;47177.49536734
7e13e26eeba758ace059dd653872ffa5499ee0c559db171195fa5902280ee8e4;1085707;2019-10-17 19:24:37;Receive;1738.24999521;45441.94535732
a28fe60ace9188dbcf56108acb27d47ffcb0cee62b041050786fe7a9acdf055a;1085707;2019-10-17 19:24:37;Receive;1738.25001002;43703.69536211
1f628dff878f0e73b34b335d28f2dd6043b76a77656f71ac70aa59b218be9773;1085707;2019-10-17 19:24:37;Receive;1738.25001002;41965.44535209
1377e61f4315359029f32b7c65b1c87501830ea059c22fd9d822aa566bfffe08;1085705;2019-10-17 19:21:46;Receive;1733.93002483;40227.19534207
cd2ddbe2ff3e4947b99fa583007b9d8406e7a9eb9f327761e63ee1d572bf89db;1085703;2019-10-17 19:20:39;Receive;1730.69005445;38493.26531724
