sep=;
Transaction;Block;Date/Time;Type;Amount;Total
65a82b95d339a48755881783431a99269380192192a73eb62118708df56aee40;2358875;2022-04-03 15:09:07;Stake;1.08;33451.25782179
61f2192a3a64ba11e0388ae09e3a461ebebbbeab91e0b2e77616155b3dbf01fd;2358844;2022-04-03 14:37:01;Stake;1.08;33450.17782179
3cdc1cdbd3cb49fe9e053c99d4057f8597dc08383d3ec6796d7ea112601333c1;2358830;2022-04-03 14:21:33;Stake;1.08;33449.09782179
52ff15b29a958f307a9594cd7156426068d82e4e7294b81c1bb00c007c94b2d2;2358743;2022-04-03 12:56:11;Stake;1.08;33448.01782179
7ddc71c806f2ce4af7046ecc3655e7a09e0da3ded6accf06f86e7bdc92c090af;2290840;2022-02-14 08:56:22;Stake;1.08;33446.93782179
f006cf4b9ed3a35d2172fe825732924e647884441a715af8386feb743719e37f;2290815;2022-02-14 08:32:14;Stake;1.08;33445.85782179
41b17971b7295bc678b70b2d2ed04c55471617e6ea60fb054fc741545f1f6dec;2290799;2022-02-14 08:09:27;Stake;1.08;33444.77782179
00e3a255879dde3197814b042f517e21b4cf7ae7453843b8bb8dcd2821afeea2;2290786;2022-02-14 07:58:52;Stake;1.08;33443.69782179
f47d9b0c3a5df2d8443ad7d1e2dc4dcfa72fe9b3b75156ad0dafc41a048789d9;2290774;2022-02-14 07:45:24;Stake;1.08;33442.61782179
84d5cfd68a3a501a9c59c844b4821fcd079297342e0b95dc91c3ce01c268f882;2290653;2022-02-14 05:38:38;Stake;1.08;33441.53782179
c4c619dbbe145998f78a2ff230cac6d16b66a3e87886ef70aa3065a7d0a74bff;2290635;2022-02-14 05:23:18;Stake;1.08;33440.45782179
ec9d973f903f69f231b93880061ec1e9e85427b961a4d1b4f6e16f2087be54e4;2290616;2022-02-14 05:01:55;Stake;1.08;33439.37782179
b23629dea7aabfd8153c889a808a287534ade2720f01b109deb414aade1af42d;2290555;2022-02-14 03:58:06;Stake;1.08;33438.29782179
3509ea04907fdadd82265b0da8d54c9f8c9e7f5ad639cb9b6b188c6c2e68ac6f;2290498;2022-02-14 03:02:33;Stake;1.08;33437.21782179
55bacf7069840ec8ed95206ce92a199d947c575b0cb802a7656e3bd0ffb25201;2290472;2022-02-14 02:39:36;Stake;1.08;33436.13782179
c6eb906ab57b83269ed661781cfcb9e701766b7c2c371b4515101f904cc79aa2;2290423;2022-02-14 01:47:09;Stake;1.08;33435.05782179
69a8d9a2308bd00f79a59416e58ba13b1611bf40d6fdb4ce5bec7178681f52d3;2290422;2022-02-14 01:47:04;Stake;1.08;33433.97782179
dda40bd2f370c85f96f0e8f09c8ac320fe7e8f799499d9c22d776e85621647a6;2290402;2022-02-14 01:30:05;Stake;1.08;33432.89782179
c9748374dbe7501ecffdc5a852d823160d39c7fa3d891a074fbb0b5a3b9f400a;2290395;2022-02-14 01:22:38;Stake;1.08;33431.81782179
60bfa8ecbff8d03c91b1e2ca3fa020d689ef0c4da84a7b99a0f408b51020f7df;2290362;2022-02-14 00:39:38;Stake;1.08;33430.73782179
f5d6e777424afbce7f8c0fa96aa2607e78c27ccbeca62a82f1a3f8129a7e0d11;2290361;2022-02-14 00:38:57;Stake;1.08;33429.65782179
4d7815a3550d501bd6e5604b48ca6701b558b318071e9591f6f2d17d86c4b6a8;2290267;2022-02-13 23:02:27;Stake;1.08;33428.57782179
ce5cdc2add500f68e391a981c19f6fda72d3062abad07c3b5e9dea82e002f2c2;2290248;2022-02-13 22:45:54;Stake;1.08;33427.49782179
a9c4a4d7d215a59dadbff329b761fdd33c465e40f77f82bddcd5ce1ed542ff26;2290194;2022-02-13 21:48:49;Stake;1.08;33426.41782179
92f3b711dfc34fa48b3468c6380f3d2313ad9fcea57a8773470b5e5ca68cf9ec;2290112;2022-02-13 20:23:57;Stake;1.08;33425.33782179
9d83ad4a88ffde34c92fdd00083dea418ffc1dfa86aa344a3d37f18530ac91a5;2289947;2022-02-13 17:38:36;Stake;1.08;33424.25782179
b217cb62b610107aa3b05a49589525e8bf6fae20cea9dd0b9e31c91cd3e65645;2289932;2022-02-13 17:21:51;Stake;1.08;33423.17782179
21178a9c4c7bcaa235375eb4d33490b0b828896104cfb6f3f8ffb7f47dd2dc52;2289911;2022-02-13 17:02:19;Stake;1.08;33422.09782179
87430c1f41be899160816db9c43a1613dab2f1c460f9c6cd602bd7c55b0f5e75;2289836;2022-02-13 15:42:59;Stake;1.08;33421.01782179
013582305c86f4cc4cdeefca6e69f5709d9a393a6577fc6d01006ce7c03d5991;2289793;2022-02-13 15:01:11;Stake;1.08;33419.93782179
fd3c34f8d4fffd46cfb205fcfee6e941e6e8210e7121d334de87fd44fa44a716;2289790;2022-02-13 14:58:48;Stake;1.08;33418.85782179
edcc0b1039ae0192d7fd0d865f5d9349155cf7c42c34f24b12b15bb7077b292a;2289771;2022-02-13 14:35:18;Stake;1.08;33417.77782179
defee99024df519303e96a4e5fa03a858e20091f018ba8a2d3c995b2b8c8804e;2289741;2022-02-13 14:03:21;Stake;1.08;33416.69782179
26cd00b41447f597352d3eecbb0da3a362a2aaf3158af6d9c7cff360b204e760;2289737;2022-02-13 14:01:28;Stake;1.08;33415.61782179
45fc789e65f537bdad68173d487eca59e5f87caab312b4c1d1c475e22e975d1a;2289677;2022-02-13 13:02:42;Stake;1.08;33414.53782179
d1b03e3015d2fbd4fb32a7a5c8e854107c02b2ad29b85d13777f4803584d2967;2289662;2022-02-13 12:43:08;Stake;1.08;33413.45782179
52c959193dc9c7cdea2384cc79f9198b68f247fa38a6272ba9fc4e84b4c14f32;2289536;2022-02-13 10:26:17;Stake;1.08;33412.37782179
f7d5bc0863c2b69658c449a6387291ce6d2fde1e19d8a4b2be8c57ddfceeff84;2289531;2022-02-13 10:16:53;Stake;1.08;33411.29782179
41cfde9876c04ce79eab41661e09c42f5f5f9ad462de6e55b8519c8eb1eb68d0;2289471;2022-02-13 09:16:40;Stake;1.08;33410.21782179
