sep=;
Transaction;Block;Date/Time;Type;Amount;Total
0d549c9bc4b1a37d1c1304e09e44979072f9d2e36b746df4477464b8bcd3b977;1952240;2021-06-18 22:27:16;Send;-13243.561637;0
fbda6d15d008ac148ea52f12468737e7427a174a3b748c4082d177e63e89271f;1952217;2021-06-18 22:03:15;Send;-19999.906999;13243.561637
9a3657858c75cd85dfb22ad235835cd2a98598a1fbed5905c9f2fe262ca77bd3;1952177;2021-06-18 21:27:07;Send;-97.13;33243.468636
3e089dcb48903de9fc10b77f38dfa4526f732841731d6b58ed68b99bd62c5c8b;1952137;2021-06-18 20:38:27;Stake;1.08;33340.598636
b8919f0c2fcf72b4690a7de3f2f8a4a052c9dbcb2f8959f6d9799930f9e98a8f;1950835;2021-06-17 22:32:27;Send;-12.959;33339.518636
687608fbae9ecbe290398b48f7c8c0bc6eb1e6da276aeda253c3202cc761638d;1950832;2021-06-17 22:28:45;Send;-12.959;33352.477636
d36e512a544229e67ad0aa5c1d3bed197ebef2bf5b77c69978181075d8947a57;1950832;2021-06-17 22:28:45;Stake;1.08;33365.436636
7de8955f385e40d000629c0ab57bd91cce5cadece561bff954e9ee286e22bfb7;1950720;2021-06-17 20:37:50;Stake;1.08;33364.356636
85e69637e50a865acb21d92aa3e48f852264c57a71e9984b5d04340ddacfb186;1950656;2021-06-17 19:20:48;Stake;1.08;33363.276636
0e69149c0699ab66a416cfe693619eed85856ca5717167e45278f0a4531894fd;1911421;2021-05-20 22:46:00;Stake;1.08;33362.196636
aeabddde8a88ab4621c248c591c3571607eceb9100873870e14cfac6b05b0922;1911394;2021-05-20 22:20:30;Stake;1.08;33361.116636
8706ffb826c21af6afa1213e137b1d5bcd4bc67a2ca07d793390c5fec22ec945;1911176;2021-05-20 18:27:35;Stake;1.08;33360.036636
9a325c7d4c590592856f9148885e33e99fa74ffa82ccfba122e77833a111c62a;1854734;2021-04-10 16:43:29;Stake;1.08;33358.956636
ae5145aa1a82a47e33aed2ec0e2107640e1432a158cac8c946c5bb00e3d5b01e;1854679;2021-04-10 15:44:44;Stake;1.08;33357.876636
7a2bae48f72d1fe9f742ac5bb5b425eaadfbd9a0a6f9aea5235fb1b00eb9144d;1854628;2021-04-10 14:54:36;Stake;1.08;33356.796636
187c7e6351c89cf30a66043baee0353ea4dfea908955a3c9dbaf728a6497164c;1827976;2021-03-22 16:52:22;Stake;1.08;33355.716636
94c671b26677a0ad0bfe2a80fa940eca01ab7752232d7a602703456410443367;1827968;2021-03-22 16:48:56;Stake;1.08;33354.636636
