sep=;
Transaction;Block;Date/Time;Type;Amount;Total
958d41630e7721628611f2eebde5a4532829ddae0737f921d353d2bec2087829;2369798;2022-04-11 09:09:33;Mine;1.62;11635.6024883
65fbacc5a8c6e47f9061865409495ddc5710d661a25cc113ad890da687b27e72;2369387;2022-04-11 02:03:12;Mine;1.62;11633.9824883
a18f01d075da30f5e5fd3c5f241397aba0e4a5755248fbb333e3e8b9d7ea5dca;2369023;2022-04-10 19:53:44;Mine;1.62;11632.3624883
a7b121e20836749f2bbf57614172a7887b34e6437134b24df0ef79d861332a74;2368642;2022-04-10 13:24:31;Mine;1.62;11630.7424883
69a63edea5352b642499e32ce9cbfa17aee49145b1aec9e10ea76d89f069f37d;2368182;2022-04-10 05:37:22;Mine;1.62;11629.1224883
02774a7a229d551ab7580aadd34709678c71d1240724a88832a51a71add64e00;2367743;2022-04-09 22:25:32;Mine;1.62;11627.5024883
569209d751eefa8b204949fe00051f99ec178ce92317679f3c211d3b8a4d8f94;2367349;2022-04-09 15:33:05;Mine;1.62;11625.8824883
79ce0a094c3018c1968c442e600f98621d868f4c11627276af0a56f9ed46b42c;2366981;2022-04-09 09:15:13;Mine;1.62;11624.2624883
e240c77f83aac66c37ac5fd95818f8e30d3cd6e389b3f81207f0d5a7f40a42ea;2366594;2022-04-09 02:34:01;Mine;1.62;11622.6424883
30297ca557301bcc5c21a3addce014367d47ebc8e0ed800f9b39202e41eadee0;2366217;2022-04-08 20:16:12;Mine;1.62;11621.0224883
469313f0a1d35bc53eebd633aef44b15f0b93056833c8ce212c2684b2bdcaecf;2366013;2022-04-08 16:42:59;Send;-0.00040284;11619.4024883
30a79c602169dcb8dddf01d5e7392effd5c12738102e22382a4dc93c59e5f2ce;2365729;2022-04-08 11:48:14;Mine;1.62;11619.40289114
05a8c0f3947295e4aa8ecf406f365bc7e47a89ba72f0d238d5afb16f63ba443f;2365357;2022-04-08 05:42:15;Mine;1.62;11617.78289114
5052dec942414b9a28bc19d65f1f79eaa6b9ee75abc6cf2b8f0f6dd05a4f29cb;2364985;2022-04-07 23:25:01;Mine;1.62;11616.16289114
d1b05b4e3445af40d807c25576deefd0a2680df4958b230c0d64c68d2dbe686d;2364604;2022-04-07 16:52:23;Mine;1.62;11614.54289114
7b11afd281c2eb49fdbbda04cece66e4a8e85432815e8985166ffddb629d9f65;2364219;2022-04-07 10:11:05;Mine;1.62;11612.92289114
fc38ee6a1c676ed772e8fcee0a8297f42d5e456ebefc3fac9012377f9e592d0f;2363833;2022-04-07 03:33:35;Mine;1.62;11611.30289114
482e5d408388a01ceb5cb1d576a77a783d549afcd31fdfdde27155684976d4c6;2363477;2022-04-06 21:25:33;Mine;1.62;11609.68289114
1df426ad0e8514864822253fcab5e345e27b84630c988ec2113076a532b811ed;2363115;2022-04-06 15:21:08;Mine;1.62;11608.06289114
c50d9391f4ddb74cea097320b2089c4095c3a101ad10cac057b6fe1808b6d96f;2362712;2022-04-06 08:31:33;Mine;1.62;11606.44289114
e8a964ff12b9df72d7cfc7edb92f6e1b4fe69cc7ea4d341ecc0cb135457183af;2362283;2022-04-06 01:12:15;Mine;1.62;11604.82289114
068fe5c37e7a74a8c513f05cc9f15fd7d5066919851fdabb93df14fed08dce12;2361922;2022-04-05 19:04:21;Mine;1.62;11603.20289114
de0ec1468cc821be1aab06ec1270fbec88e3099b75aba94fa6d12bf02d720b0d;2361570;2022-04-05 13:00:29;Mine;1.62;11601.58289114
1ede817f9a7d8274f2c15bb64ea3b07f6e01ef15a5bbc63e78f0d6c7e6e42547;2361215;2022-04-05 07:05:42;Mine;1.62;11599.96289114
e72957362cc451529f07b9e60262bc1f5fabdfad1460d36484ae9c2e228fb84f;2360819;2022-04-05 00:18:15;Mine;1.62;11598.34289114
27b34813407f5d534a41efb833f9933265956b4978d2ec4cd4566a43fd24275b;2360454;2022-04-04 18:06:18;Mine;1.62;11596.72289114
8b9a5b26ea2d44b9bb27c7bd6d63a3113613f602cbc4904be1a49cefd8250790;2360040;2022-04-04 11:10:24;Mine;1.62;11595.10289114
c1f208bbc272db739fe8695eeb8eb10e419561d20f0d1b62c0145924a74f1878;2359691;2022-04-04 05:08:06;Mine;1.62;11593.48289114
befe3bf3748012fe2066706848abe68fa6b94ba0b5f70c011b0db8c18c7efb44;2359347;2022-04-03 23:12:46;Mine;1.62;11591.86289114
3587fe0d4646e6ad5123c7a0fe1f1d7688c060ed0ad414767307799121bcf248;2358987;2022-04-03 17:02:07;Mine;1.62;11590.24289114
e9e27cc6c68e94fad9520ed7421ebe31e590bb221cb44de84831b0fa21112701;2358613;2022-04-03 10:36:58;Mine;1.62;11588.62289114
5986e71531d80cd1d71e157e14c66f1e3b377e72cbb90fdedd0561138a18de6b;2358271;2022-04-03 04:54:14;Mine;1.62;11587.00289114
afe46ec0a34f807543fd2901a7c6a3cd79e856d72dc2f5aaacdc9bd2d90bfc57;2357903;2022-04-02 22:28:49;Mine;1.62;11585.38289114
8cb3941cae3d336005857d74e53e779402d25c7f9b8a69bfa1d2c75c69ce1986;2357557;2022-04-02 16:45:21;Mine;1.62;11583.76289114
273aedb84c83f183b10c379a6c34c96528c30c5ea14c38720ee6accccc481a4d;2357116;2022-04-02 09:08:32;Mine;1.62;11582.14289114
7c6fe675a1079dedeb6ed50bf10789cfb3dbecdb1bfed5566b77b62d9d5cf0ea;2356720;2022-04-02 02:38:17;Mine;1.62;11580.52289114
02ca4c50f996075c895e52fd6e27daf1fc28be3701a7f9ba3785d02480e067fd;2356376;2022-04-01 20:34:49;Mine;1.62;11578.90289114
3482acc2f5cd7c0f08a1b7533b508381ba4bdc406208e596e63187be252233fe;2355968;2022-04-01 13:42:17;Mine;1.62;11577.28289114
5aae2ce8251cee7b624f52aff6cf053758bcbeb34630fe2f413bd654744e3208;2355586;2022-04-01 07:09:05;Mine;1.62;11575.66289114
6f19cecd82558c15e76f9870801c3a6a000583ddd70b05af3794d2184795c700;2355230;2022-04-01 01:04:23;Mine;1.62;11574.04289114
ee430d1b592d9bdc0db6b838aae21a8289c53d697bd812f4f4b2fa5abed74c5e;2354856;2022-03-31 18:45:55;Mine;1.62;11572.42289114
b7dd2bb87f9b00f0dc8802a8d9e490e8aeb15d6cf386b113479682216c9b6f8d;2354448;2022-03-31 11:49:33;Mine;1.62;11570.80289114
f01e44483d2f9efc9289bdaddf2690af471f004462bdfedf7f2d489cf0500f23;2354118;2022-03-31 06:18:58;Mine;1.62;11569.18289114
06d7058731bf1db2548040a2c811a838a8a8a18e9e49bfed2b804739a427d66d;2353814;2022-03-31 00:58:53;Mine;1.62;11567.56289114
c8a79de47fa0c9148ffb8b3d47453e4d87cc58d249b0aef963f9d6290cc1e705;2353375;2022-03-30 17:32:42;Send;-0.00020752;11565.94289114
689f5a8fc788e074c3a0a773080facb80ba42059a68682e94a90dedc33ef5bab;2353343;2022-03-30 16:59:07;Send;-0.00029952;11565.94309866
095b48511dcd2f5295bbc87463981d7c7468a45050227276dec6cc30d4968f44;2353295;2022-03-30 16:09:00;Mine;1.62;11565.94339818
db62a5f9d237080d65329446b590ebc4403ce8c943d4a8c9f25e7245331ac13b;2352952;2022-03-30 10:16:14;Mine;1.62;11564.32339818
6789e74a811094168c125a81d8600866358bfc55087eec28e932f130b1670b66;2352634;2022-03-30 04:57:31;Mine;1.62;11562.70339818
96ed715ff96ed12086dbd3f6b49f5e258022232dbcddd87db541b40ded6d51ac;2352305;2022-03-29 23:26:20;Mine;1.62;11561.08339818
c78dd5025caea3fe3dde71476f8434cbd7a09a5d3acbecf6564f6f1e2884d46d;2351954;2022-03-29 17:20:10;Mine;1.62;11559.46339818
8f23c4a2fc01a2b8d6d8243ad5943348bb9c291af2d4a268c186ea354bbbd066;2351613;2022-03-29 11:39:50;Mine;1.62;11557.84339818
c553952c9c8a5c2d4bf8af06b5b71d88ecee332a9d84d058e2ea92d6b084b64a;2351229;2022-03-29 05:02:26;Mine;1.62;11556.22339818
8229b7cd0d9b44c3dc023e47cee14ec82545daa19d1fb7cc424aa4e446b70cdc;2350913;2022-03-28 23:41:47;Mine;1.62;11554.60339818
1ef24f539901f3a6448cf8e595549f2e51af07901c5c7fd44e7391373818ba89;2350587;2022-03-28 18:03:15;Mine;1.62;11552.98339818
74c5be2bae23e27d5c82854379f8f0e99369dd176faeeffd19c3bba089b598e9;2350174;2022-03-28 11:05:43;Mine;1.62;11551.36339818
e092fcd1de8a5c7d4f18a5b69f81b8876ba2b335783c8f3bbde5f6b231d7b2bd;2349820;2022-03-28 05:01:59;Mine;1.62;11549.74339818
0716de0ce15992480429866018c98553a07a6c1be54e698af044c1bfbd6de1e3;2349422;2022-03-27 22:18:01;Mine;1.62;11548.12339818
accb9ba16263e676fc83254abeb208a2b7b4e8d956749d37f8acf778552fe1ed;2349070;2022-03-27 16:10:22;Mine;1.62;11546.50339818
fa9a1365d42e44c6761e5f7bad71e2bcc22841282d73f13b5c1c7a0961895712;2348726;2022-03-27 10:19:52;Mine;1.62;11544.88339818
75780e699e9e6ca46110c7baf53ee03d16b322f43a243eb35f5f7782f8bec945;2348404;2022-03-27 04:48:08;Mine;1.62;11543.26339818
9fe4ea7833a31893f205a29b4e705dfcd74637050aa280a03f888143c73b5db3;2348403;2022-03-27 04:47:39;Mine;1.62;11541.64339818
c4a27932969aae2f8a6b2fb5ce5c0303ff5ec9741edc4055a219aa59a41585b0;2348060;2022-03-26 23:05:57;Mine;1.62;11540.02339818
6bd14f4fd01ccb777a0cb4da367f1b31006319020de1745232ce687250e13536;2347714;2022-03-26 17:10:23;Mine;1.62;11538.40339818
9910f3e9262004115f54af2efa16e84a066e1a78e2beb060880f19898d29bc7a;2347374;2022-03-26 11:19:30;Mine;1.62;11536.78339818
5bb1f51cc9237898b7bf2a00a6049bb763f7e3735455abb37b13d62cc4217dbb;2347051;2022-03-26 05:49:52;Mine;1.62;11535.16339818
fdd293b889aae99df116e77c93d4d8f41a304c6ddb70c5765fe59511b645fdef;2288766;2022-02-12 21:18:47;Send;-1.62;11533.54339818
bf18680752946ffee21aa8c85f6f50c52ab9d475646d561ee94841e752cef77a;2287226;2022-02-11 19:07:05;Send;-1.62;11535.16339818
327eb234a3a84d17247b19c9b6ed88cde5c93547c53e092e65ef40ab8286a8ec;2282972;2022-02-08 18:43:32;Mine;1.62;11536.78339818
b5a7669b42337057dcc95edd05a20a9a64fa9abed6bf7c0ea6fbb7b2b62f6a13;2282576;2022-02-08 12:03:25;Mine;1.62;11535.16339818
6a0a27dd35add7ae3e23dbf2298aad83364088c72a9ab36e3a1cb1f8f52ec523;2262417;2022-01-25 05:07:55;Send;-0.00034387;11533.54339818
a8ba3f516e66d2272b3934c16c044535e0bb1728ca22df509239ed4517c5f286;2262408;2022-01-25 05:01:18;Send;-0.00340942;11533.54374205
1824ecaddec36077f456f0abdb40ed5ed1dbca6aa15430fcc72b6721cd862877;2262408;2022-01-25 05:01:18;Send;-0.00265998;11533.54715147
9a6a14743aa7c57b86ffaf0d6dea7ad39c836892ec4aa4e6a14b56caf8a36c84;2252976;2022-01-18 12:15:05;Mine;1.62;11533.54981145
477fabbffb7d0b16ac52c7e768db73a56a4c89b92b747b9c3bbe76a0e984fe49;2252607;2022-01-18 05:59:37;Mine;1.62;11531.92981145
e4429e04f9abafcc133be0cbe1fddcbc94e5f428ab10c357fdfd83ed702b089c;2252239;2022-01-17 23:38:45;Mine;1.62;11530.30981145
06fbcde43c5259286acb4ffc935f7b19a7d98ee46909591376bc4f2ebed6aaf4;2251866;2022-01-17 17:18:53;Mine;1.62;11528.68981145
3efc92f13c46e46580b66314c95616d15fb482270f831d8cf5f32b8749867cd6;2251506;2022-01-17 11:09:18;Mine;1.62;11527.06981145
c074e20b33ee2b58a00ee106c49f31fd1c2f0f07287fc0fc3eff6dbc7faf10c6;2251073;2022-01-17 03:45:45;Mine;1.62;11525.44981145
