sep=;
Transaction;Block;Date/Time;Type;Amount;Total
0415ae1264dcf1a0635b476ca8a5ff514b5831c376399361d13807631a2124e8;1744761;2021-01-22 17:21:20;Send;-337.19984293;20463.19984315
fb7cc135debec13aece1af127c32237570dfeea4214b4b2e7c629bce59a18bd4;882559;2019-05-28 07:06:49;Stake;1.79994757;20800.39968608
0a108a49220da32ddf1db2f2b1224a71b3d66efd0c6f0d4c760e987c8783662e;881955;2019-05-27 20:44:54;Stake;1.79994757;20798.59973851
9217a9ad2ee2743a01c09c533857c1c1e39db092b662c858ef8ae209b0f14344;881019;2019-05-27 05:00:03;Stake;1.79994779;20796.79979094
44dce9e703bad3f68e1a39b838165715e42d17e3b9f8183d993591f88dafa5df;878256;2019-05-25 06:27:58;Stake;1.79994779;20794.99984315
db1706d4718674867e963949a549472bcd027610a6f650f3cd47225d418aeced;866247;2019-05-16 19:57:28;Stake;1.79994757;20793.19989536
293194dc5758db2adf4c3a266c565cb98fe927db1634cd288a4ec4c5b3a0dde6;863177;2019-05-14 16:13:35;Stake;1.79994779;20791.39994779
f292c0d41b58c0ca308f79dc4a3b205a9ca0b62c04cfbe3d8c4cb3701369d69d;861121;2019-05-13 05:34:39;Send;-8.4;20789.6
c0cf5ee7e23878b9f032dfd553a7389e1eef61589cfd670ea87c45ae9cb88c02;745437;2019-02-21 01:27:18;Send;-357;20798
72b9267d58bf8f0dbe42870c642b6fb69b0a9686a39e57cc75a06b66d9bd12fe;744799;2019-02-20 14:45:24;Mine;4.2;21155
1259742fcd1b90ada3449ed1313247dafee5532b131187da70685fbb3f69a631;744235;2019-02-20 05:25:58;Mine;4.2;21150.8
74603b81b840498b82ede7d7320b9d0984f32aa181380bdc9aab9d067caa8e08;743642;2019-02-19 19:21:40;Mine;4.2;21146.6
a771735fe163f4d64b4a84d91fa522759913380de4f61f2bbac51c2d4856ad3e;743074;2019-02-19 09:47:04;Mine;4.2;21142.4
fd2a511b3f67f27f93f8d397bedf94f313e1f262d98f5f7567856a6f13f7c61e;742509;2019-02-19 00:16:34;Mine;4.2;21138.2
0c129877e8c1a24c6e6b44f3eaddb9c0b4f53937630a02b2e3effeba3f2cd7e4;741800;2019-02-18 12:16:46;Mine;4.2;21134
0d518cfd15c8225ab474ec5d9c38c0cbecf55b1c44b80ccda225ad831dab56d1;741243;2019-02-18 02:58:18;Mine;4.2;21129.8
a5964afc157436321f2f5d03f13d69c1e6b148c86a3e12eb0204bfdfebe89bd4;740571;2019-02-17 15:36:39;Mine;4.2;21125.6
532d94bc1c5d1a0e7e3cd4c7f335717a388e56e2d27b849897da5fa4ecae18fd;739578;2019-02-16 23:04:59;Mine;4.2;21121.4
d586559b048af3af05f3d1a0fd00042798ef47b0248d65e44b682f0501bfaf25;739020;2019-02-16 13:30:01;Mine;4.2;21117.2
b56d12d04b3babfc889c1a221e4bdc45941875ff22e2ad03759739995b6c230a;738474;2019-02-16 04:15:33;Mine;4.2;21113
7c57d783e530f21b6eba9bad2c1322f85c4f9f723d4c8dc339fbcba0c380ccea;737911;2019-02-15 18:41:28;Mine;4.2;21108.8
2d7546d8a23708b458135884111c13efda227d2871d1bbf361c956fd6fd0f73f;737401;2019-02-15 10:13:11;Mine;4.2;21104.6
c7f5e9d78e5e734e61f5a26576f29a584fa596f8fb5666b36755d523922baabf;736841;2019-02-15 00:40:45;Mine;4.2;21100.4
1c4fd5f4a7a5303593bee2b7f88a313080c76311beea4990a2522147e2ade34d;736353;2019-02-14 16:31:15;Mine;4.2;21096.2
6d3cf6a9f9c31855280686e09364d3407a0f0d02610c501e6df17466ca39777c;735790;2019-02-14 07:03:22;Mine;4.2;21092
593f40f8bb854b3b396e7f0d4b825ebe77bc254e3136649a2f6e54dbe7d80717;734685;2019-02-13 12:22:34;Mine;4.2;21087.8
30d6b1919c12a6a8a1334cb85177eb8812d416b81cd8f89571c0006b1459e79d;734079;2019-02-13 02:08:51;Mine;4.2;21083.6
9c5444d4f9d65d718fdee80c9660cc431b010a81b1620ac5492b2b431463ac0a;733461;2019-02-12 15:49:33;Mine;4.2;21079.4
aa45a4bc8dba72343512c22b6361eebe53bbecd43dd4e230aac17af81928f480;732863;2019-02-12 05:44:40;Mine;4.2;21075.2
17e5c5205dbacf92d31133c3ede2ee882f870bed4d0aef6e96d12365b9f31f99;732255;2019-02-11 19:19:24;Mine;4.2;21071
92b8dad3505e78564196524ef50fcdb6caefe684d5ea6c4fb83522bc62220722;731444;2019-02-11 05:50:56;Mine;4.2;21066.8
c4e26b84408baf79b5b90b44be32c1544e1033eb3c86efab64be4d74d46a6512;730675;2019-02-10 16:52:56;Mine;4.2;21062.6
73ee9a8616a81796ee27b3a28ad7954a4e99dd83361193a5dc5bb020ea8f965b;730073;2019-02-10 06:45:10;Mine;4.2;21058.4
9e6c47b06882d7525baba7718619da06389577ae9911a32b4835154d8cd17200;729433;2019-02-09 20:01:17;Mine;4.2;21054.2
15154c3c916f2f0c961055ef04ac3fbaf324a5ff6064bdf3394f8b570c49d401;728636;2019-02-09 06:39:13;Mine;4.2;21050
2aa47af3af2ab41d49cd63382af4390be9c37e61b517bb610efe71132b3abf2c;728090;2019-02-08 21:26:46;Mine;4.2;21045.8
bd1d70c17cdd7ebce899619a340c367b7f35bb7d63ac3b6dc0b53e810d8991c9;727555;2019-02-08 12:22:15;Mine;4.2;21041.6
51fe18b42cf5694209425d21dc42c0c8788f13019d6006bc1e91b2cedd3764b3;726979;2019-02-08 02:39:14;Mine;4.2;21037.4
e194ff20f8c2255e07044d7290e679531409602644c1bc22b283143090ad3258;726438;2019-02-07 17:37:55;Mine;4.2;21033.2
ed4b8fa68a75736d098df0227f1d30c16935530325e2d9ca8babfe4db829cdbc;725847;2019-02-07 07:34:55;Mine;4.2;21029
7d9796e9547eb3f45f3179a73ec7acfbbc8ce8f7d7b8169a63456f39373bdf10;725289;2019-02-06 22:11:26;Mine;4.2;21024.8
1093abf687fef976821d65836fce541249ef05dde6eaf94d4eafa793c8535705;724677;2019-02-06 11:50:12;Mine;4.2;21020.6
bcd54969490f15743f4c22823cb0121e45fec8da1737afadbe30c931be8b7849;724208;2019-02-06 03:58:14;Mine;4.2;21016.4
8322f69af0a861579cfd4a71ebd7f221ecaf35233b9b195e7f45334365b919b4;723714;2019-02-05 19:36:01;Mine;4.2;21012.2
e6cab38f301081e20d9e0cfe357b7a1712ebd13dbca4320bb45bd1b4bf2fb27d;723191;2019-02-05 10:42:37;Mine;4.2;21008
62784e649f3dfb48578b2c11cdc4fe2b34ce6cea0bf5fb9ed8241f040e5ba63e;722682;2019-02-05 02:12:36;Mine;4.2;21003.8
46af60b45171ed55714f75b77fdb3dd30cfca7b25c375d6b945ef170c0704fcc;722169;2019-02-04 17:31:56;Mine;4.2;20999.6
f3767f75c9f2b63b0f18dabbc2fccb3c3bbbb118167694dc74a11494627b488c;721600;2019-02-04 07:54:44;Mine;4.2;20995.4
233d023f7a9ecb41e3d1a900b56a799096a2117e5378b808db6d4ea416d85319;720987;2019-02-03 21:35:07;Mine;4.2;20991.2
dc3840de996b1bc3ffb8b3c805c4e92b532e96ddf501c859fb41a26cd67f5d66;720505;2019-02-03 13:28:50;Mine;4.2;20987
d64b1624838dbd89fb963fda7d49bbfcc2bedfec714c9a3f4ef8aa71df3b5144;720022;2019-02-03 05:25:03;Mine;4.2;20982.8
2bb234b3150ff9e38ab337f397e677135ddde4e76798a4b1a3d2340c96acdd73;719535;2019-02-02 21:21:48;Mine;4.2;20978.6
a7df53f997a87266d4d2f1083f2e97bd1e081b94aa49fe7207cd0436815ee2e3;719053;2019-02-02 13:03:41;Mine;4.2;20974.4
077d74126d6b46c22dca62ac182875248d3b1325614c3ad0020c2816faae7760;718599;2019-02-02 05:34:37;Mine;4.2;20970.2
d6034e37564a32a3489dd9db735f15820a2913ff191345281c25293f2af59b90;718173;2019-02-01 22:20:21;Mine;4.2;20966
24e3b870a3bdf9e27d8541f5ed67cb4767dd967a10c970c88a5cda9ac8147882;717737;2019-02-01 15:01:56;Mine;4.2;20961.8
b53e93f3b5a65eaf8fd35c1fc24196f95e79265b5c98e60c21a87186f1313dcd;717390;2019-02-01 09:13:19;Mine;4.2;20957.6
29c946c80d4a4bfcc29eacf095a27ce9bb5c987a311a664766a2f10e71b6bcd9;717124;2019-02-01 04:47:51;Mine;4.2;20953.4
7b878239fefe69dcc1598139670f8988e52240123796fb59e454e68e3c592663;716850;2019-02-01 00:05:27;Mine;4.2;20949.2
6038d905882a86b5012e38297457f880964588c047d35cdf86ff7a49c93fc80d;716121;2019-01-31 11:35:01;Mine;4.2;20945
a8a0b2a88f41b1e6d6cdf2479d0e17aeddbab53e84417b73fafbe2f7cab2a95e;715582;2019-01-31 02:35:54;Mine;4.2;20940.8
1e89487b16be1904da754ebe48b70c652ed731a9c523a11f92700cf69f0209dd;715016;2019-01-30 17:03:15;Mine;4.2;20936.6
