sep=;
Transaction;Block;Date/Time;Type;Amount;Total
57a10a87849d909daa0491f79567d4abdea8f776f5030db6f6d1f5e6d66a06a6;1726411;2021-01-10 01:52:15;Receive;47895.53991748;47895.53991748
94f8f8c19de49f6ce4e589b44b90fbd1e76debf3e58e3ae4dcb6ff97553ef181;1726385;2021-01-10 01:25:03;Send;-47895.53997748;0
4c018f4ac8d337b96cbf4b365f52493b0b68edaa2ac0a15cc6fba920850c64f6;1723213;2021-01-07 20:24:48;Receive;47895.53997748;47895.53997748
2ebc14979c7ae830c7ed3d33835e45dbf686beed0f8593811bb18ac5031e33a3;1723187;2021-01-07 19:57:35;Send;-47895.54014968;0
83531129d967d76401c71b56f9184241cf9cc697ff953841973aa567589dddee;1723185;2021-01-07 19:54:52;Receive;47895.54014968;47895.54014968
af269b73d6f6ed37b5cd6711fb4a8c123afae16a060a38bee8941e7fd745030d;1722839;2021-01-07 14:12:27;Send;-47895.54032178;0
cdbd18d649943c0daae0068eeb6f3d0d376353626af2bedfddac8acee651f835;1722838;2021-01-07 14:10:58;Receive;47895.54032178;47895.54032178
f4ebc5d586bc7c560f21aef839606058735de6fa4fb759327b2e776f149330a2;1722825;2021-01-07 13:56:11;Send;-47895.54045648;0
6096535c291d549d20c7834f9e30bd9facad4fd7fbf691cf3eb04dfd878d6900;1722821;2021-01-07 13:50:23;Receive;47895.54045648;47895.54045648
c6c53b8bf3c7043f77b92ad976de3fb7aaf038ad3664c7a83a4b321ef5fcc056;1717920;2021-01-04 03:38:14;Send;-47895.54062848;0
69eff0dd6dbec0b87159431ea30a8ac6ef68b66edaf53ad21d534dbbfcafbe90;1717919;2021-01-04 03:35:59;Receive;47895.54062848;47895.54062848
86245a79586ae380596d8267c300faf5b1146a14e5704d402e6aea22d7c800d8;1717894;2021-01-04 03:09:37;Send;-47895.54068848;0
98d6087c3932b3a81cdf5aff8af72dfc17abb8026c7d23ea50f513f93016c0b3;1717893;2021-01-04 03:08:00;Receive;47895.54068848;47895.54068848
c449091df3f2988af8030adf7abc87c9688f40c8df3caec87dc413864db0e0a5;1717827;2021-01-04 02:06:41;Send;-47895.54086058;0
e3922da1d444bae158dd3cb6313a6c830dd943dcf0b06a1029cc4e9f1e5b8079;1717817;2021-01-04 01:59:54;Receive;47895.54086058;47895.54086058
b7413187d53d20cf2afec900c5a8cbe1173746cea6cbf4db9493b50aa5390603;1712807;2020-12-31 13:13:45;Send;-47895.54103268;0
a59b257ba7b909421bf4d691220d2ae2164b3dcb36ce4194d1a56eeee6a473d6;1712790;2020-12-31 13:00:01;Send;-0.0000522;47895.54103268
d068bad62ed84a5cdbaf549aa98d20e25e2e3e169554595dc5e7b499c9d65de4;1712784;2020-12-31 12:53:50;Receive;9999.99994;47895.54108488
30e47fe068da1d53b9e12f73b64459e086cb9fe75ac71270474ba689d92aba75;1712784;2020-12-31 12:53:50;Receive;9999.9999774;37895.54114488
f54c2f8a3c4960c1c5445767f5612d069650e4cc52356c90b7d36303b3553927;1712784;2020-12-31 12:53:50;Receive;27895.54116748;27895.54116748
d326344040288d106c92040736de0cb4f97950ef6c046bc37414ab7d9479ed59;1712765;2020-12-31 12:33:53;Send;-37895.54121268;0
855d58cc469f70792e4c78980233d8e1405cf1645b0ec127407c0090c0469779;1712755;2020-12-31 12:21:50;Receive;27895.54130988;37895.54121268
413af066a4e9c1559ee8ff3065ef63f5b61da4ba6b11f96f620429c4b9f3cbb2;1712749;2020-12-31 12:20:17;Receive;9999.9999028;9999.9999028
1eed4fa15e4276674e1725266e9e508f8bd25d494cb2946ed6a2a7048f127c82;1712704;2020-12-31 11:28:07;Send;-47895.54139248;0
07c4776d34eeb2a3207107419abaa4a556dfb97a258d1bb7fb8ccb7248db3888;1712678;2020-12-31 11:02:25;Receive;27895.54147498;47895.54139248
78b2e8ce610028f2770386c2d42d7286ce9a25013fef3b205ca90eadcbba804b;1712667;2020-12-31 10:51:35;Receive;9999.9999401;19999.9999175
18507c0d6a107b1a6fbf0ac7ef4ca84172e8f65633addaedd0c1ecbb0aa336a7;1712667;2020-12-31 10:51:35;Receive;9999.9999774;9999.9999774
ca0c1193e63e505be7cea91e77f2d19f8523f44cbc22f281e7612fc155e4c09e;1712636;2020-12-31 10:26:37;Send;-47895.54157228;0
0c9aa40b79dba5e5a5147c41d30e512a89347efad9855ccbfaa7a7adfc4e2416;1712629;2020-12-31 10:16:22;Send;-0.000067;47895.54157228
a8b97209380f2682894b8b274bcee2be89e5d1e256632b6b7678e3069cfba6a1;1712611;2020-12-31 09:55:49;Receive;9999.9999774;47895.54163928
fe6ddf636dc02941a5e388d39b55314a99e4402e479d114003dc8f0b779bc3ef;1712611;2020-12-31 09:55:49;Receive;17895.54174438;37895.54166188
299f9155728737dd36599abe53f2a8ee0006b022678463c9c2f17af9130a5c3f;1712610;2020-12-31 09:54:55;Receive;9999.9999401;19999.9999175
33b507fee7c21a9181d1c1f55112579ba339236f9a913cec2b9668a46952ff1b;1712610;2020-12-31 09:54:55;Receive;9999.9999774;9999.9999774
7731214976d9b9f4eaa42c8a4dcfbbb423dc6730ece4792adb7d4d80be9ff3d9;1712585;2020-12-31 09:28:55;Send;-47895.54183468;0
2dd988c7053991e17deec5d8b4e97ba321a14fed6854705519e2fdd412fd96e5;1712564;2020-12-31 09:08:48;Send;-0.00015581;47895.54183468
63458a19f62e70c4ec651f6d9776d02ff21a319f7c650f312aa4f27fd747e157;1712549;2020-12-31 08:54:34;Receive;9999.9999774;47895.54199049
95e28c835099dbd2cf89a736b127c3d90c863c1f2dc19fdd662cb8a647e50602;1712549;2020-12-31 08:54:34;Receive;9999.9999774;37895.54201309
5ce80adc1548817792654169108b0bfec3845fd4ca12acb08d7c898598a4fd5b;1712548;2020-12-31 08:52:40;Receive;1.6199774;27895.54203569
f72c1cc837b65981a5f75e3292705eaa94e5d0ea653bdccad7f3b70883875a1f;1712548;2020-12-31 08:52:40;Receive;9999.9999774;27893.92205829
2e4498664068a777f13d877723a4f18062eb7de4bf2f32783ea8beacb43d789a;1712548;2020-12-31 08:52:40;Receive;9999.9999774;17893.92208089
2edade5f22ad0617c98890cc665361bdfe9610221c498e1d747bfddc3ba0f1f3;1712546;2020-12-31 08:50:20;Receive;17.27987379;7893.92210349
d274e8c83a8065531d557d4dc68bd065c37370adc45541f1bdadc9944d9ea4ea;1712546;2020-12-31 08:50:20;Receive;983.87231024;7876.6422297
e35e6aa2397ea58e61329010bae652b9f38173486d14c0bfd8c7f72f0bf4b1b0;1712513;2020-12-31 08:17:52;Receive;1000.61220663;6892.76991946
dc098dded7f5466aa082fdbe99a2fe36c6205674cfe65dc47dbe3865d5ee0f57;1406552;2020-05-29 19:31:40;Receive;2.1599774;5892.15771283
9828dd2f75dd4296b9aeb27fb36a4b2f009d0ac1636f52ec97c6f437bd857d11;1406552;2020-05-29 19:31:40;Send;-0.0000818;5889.99773543
8fbc3ede5ac26292df616c995a9d22b2801e9b260bfdc1a67af2838b1afc78a4;1406551;2020-05-29 19:30:24;Receive;412.55716512;5889.99781723
e68839f9698ac4fe2480d93d8eaa978ee3175af370e67ebf7d3d6f1a4d677490;1406549;2020-05-29 19:28:19;Receive;1032.4729171;5477.44065211
a1414007c94e7c7867a263a957571bca7f86a5b16037387b5eca794fab6c011b;1406542;2020-05-29 19:20:09;Receive;1015.1930355;4444.96773501
f53944df6dbbd316f435edffa377927689d0482690e250314973b0677a16d20f;1406526;2020-05-29 19:05:55;Receive;1054.07276908;3429.77469951
e19ec6e343f947689768002a68f861526576b5c9b0a50ae9324bc446715da6f8;1149854;2019-12-01 12:55:01;Send;-0.0000818;2375.70193043
fe8bb12c3f695669634bf6f48f596aaeec0656aa04f952f17498343d144c0349;1149851;2019-12-01 12:51:34;Receive;508.13666187;2375.70201223
a1cbea7aa67eb2077697e1b96b4e231bb1084b377a08655836909b924bb99f6c;1149850;2019-12-01 12:50:42;Receive;530.27651386;1867.56535036
e8ed81829ff798379fd0b2a25dd05e304a801a1f1f051545fc2b72bc9f8ccd2f;1149841;2019-12-01 12:45:00;Receive;470.3369283;1337.2888365
2ba3f42f10f9f63c6098ee591c4d76cd26fbcd196a0940121b9b2be2b7de59df;1149837;2019-12-01 12:42:22;Receive;528.11652866;866.9519082
c82ba55a7718b5295967489a09824285c337a2a3c7fca6aa00f26973fce9a3ba;1019913;2019-09-01 14:33:17;Receive;120.13661745;338.83537954
4c31cb0e729d70c7d4d5a1f704181745d3ab63712c62f9f402775384744fd573;1019911;2019-09-01 14:32:03;Receive;2.6999774;218.69876209
2741b1f8a957d48754fd72782b42665220d11b8e4889b9bae8060c732a17dc3c;1019595;2019-09-01 09:16:34;Receive;53.99969617;215.99878469
9f7c9192e3d313e2c8f685e7987b2c7ec711fe51165a6fcd8eb87e064c2ca121;1019594;2019-09-01 09:12:59;Receive;51.29971098;161.99908852
