sep=;
Transaction;Block;Date/Time;Type;Amount;Total
02bcf41eb85193a3865bfb9ff85fd6cb963ea0cb997a48000b05ce542e1f1ba8;2067270;2021-09-08 17:27:23;Send;-630;0
ff50a580bab80a28cf3309043c3a9589d74ff4b48102c5d3e581924acde36e40;2067267;2021-09-08 17:24:05;Send;-21000;630
fec60625927201a3583e1456e38aab89f1f8223beb16aa0c7c896252b83a46ba;2067267;2021-09-08 17:24:05;Receive;630;21630
8e308dd23c19b07c217d125a48fdd08c9772f6948ac2d9016b8c7553132aba35;2067266;2021-09-08 17:21:30;Receive;1000;21000
492e9a370458fe2e09a734ca7681ab894cbac672419f003dd2fe274799b51780;2067266;2021-09-08 17:21:30;Receive;1000;20000
d780b6b1af68918588852f842855c3670a96774608e6d953c3c12817ec9c640c;2067262;2021-09-08 17:19:51;Receive;1000;19000
996e6b1287427ade7c7c727d64e7962728f6661d8b558062f81dfe69ab0bd485;2067262;2021-09-08 17:19:51;Receive;1000;18000
8966eb0b538a8a847546cf6ac0f5813360d56eaece40d9765266b84fe95284e4;2067256;2021-09-08 17:17:29;Receive;1000;17000
26a216e14ed9094181dd3ad9e1b83896206955febabcd46ef686ce48a111b85f;2067256;2021-09-08 17:17:29;Receive;1000;16000
ad2b929aca7d7af3260cc11f1958ad4dfd28ad9b66091a4bf6bda8b602dac9b0;2067256;2021-09-08 17:17:29;Receive;1000;15000
680a42d510089bc2aea9231480911c4c45897896748650f2369bddaadc665e8b;2067256;2021-09-08 17:17:29;Receive;1000;14000
7c0148454b25a91e7bbc9e432e0e25144831279610f64fa5ced881953ad6a0b8;2067254;2021-09-08 17:15:24;Receive;1000;13000
df41ccdbdc866031b4f118c0c5b5e5125b4c0e2fe9f41fb2755f434f54b94448;2067254;2021-09-08 17:15:24;Receive;1000;12000
297d82b1006bdeae9b6904699a1260ab705de4a3d5152947ffb50196763dee4f;2067254;2021-09-08 17:15:24;Receive;1000;11000
ec319f03bd90d233c69f36f357266452884826171495b2a090a338b55cd0874a;2067253;2021-09-08 17:14:18;Receive;1000;10000
b0a0e1684b7de356722ab40f461a1e9985a83fbedff8b9a5b9deaf444f263b91;2067253;2021-09-08 17:14:18;Receive;1000;9000
5927455949526fb89d745db8511c7248cf089869587c47c006944aa6be88b759;2067246;2021-09-08 17:00:51;Receive;1000;8000
096e437f4c70541967ec5c044c8dd1d7dacac769378ed817ee728a1b0e3bb13f;2067243;2021-09-08 16:58:30;Receive;1000;7000
d2cc28b497a451c27b8aebe7cf4ccd287872d1b72a68c115171195e8c3ac7b40;2067238;2021-09-08 16:53:33;Receive;1000;6000
d7f66178058f8501ac912e4c295f4de8d58d3d3c4895c911a14e27b340d6b0df;2067237;2021-09-08 16:50:48;Receive;1000;5000
a60b108153f79ef7e9cf41ea3986e93bb3f35d558ce9945ced7caf7103a6fe31;2067232;2021-09-08 16:42:04;Receive;1000;4000
