sep=;
Transaction;Block;Date/Time;Type;Amount;Total
6d627ce3e24e43fe650975cc87056788017559423fb26e7c3cb4f70965e1d095;2188085;2021-12-03 11:13:37;Receive;14113.5;51610.148
a3e912ac44bd1e6ce20073fd2e15dbef6bbe4909db56effe10cdeef9f98cf7fe;2096203;2021-09-29 06:12:29;Receive;7689.52;37496.648
ffaec6ba3a790a4777ac73739822227f2275069e4ff414b89fd267690fd492ad;2041298;2021-08-21 07:02:00;Receive;3897.51;29807.128
ba21dc4715da6385dda6c34c3c83c9658a9ae7b7dd375a9689beb5214de95acd;2007726;2021-07-28 11:10:19;Receive;3825.515;25909.618
055da24cf4c8756832c7a30fee548d7f9fa436ae3d1aeaf3b9f100c40a2a5c1d;1986938;2021-07-13 13:03:30;Receive;3115.5;22084.103
593c60ce12bb956a42d5a17a06d640a3fd7c73fe13b7b4574f8c3eff7771e0e7;1964097;2021-06-27 08:12:22;Receive;2871.753;18968.603
cc7e0944d08d7a1bc68ed938051bec4e996efc78eb3e837bfad264f7647bf656;1964095;2021-06-27 08:10:26;Receive;3341.5;16096.85
387f8c2d01f5ff4279fc413f6e70614f800a0820c718be3be1a0d0e9352ee846;1940222;2021-06-10 09:32:34;Receive;3461;12755.35
22c14a5fbe9d641c283a0de4dd84125b8ec8bb4970caf27bac4939bdb340ccba;1920510;2021-05-27 09:39:37;Receive;2163.5;9294.35
6e505adc6e8bab4121fcbb3a77491054939c0ca35ff809757ea7d61fda917e80;1896586;2021-05-10 09:54:23;Receive;1770;7130.85
11a7bb58b725c55f8dfbc11d8798719074e570b2ade42167de6d25d243557222;1878254;2021-04-27 09:22:30;Receive;1688;5360.85
c798f73560cc7172b139b31536cf0326ce9bfe1a863a3caaca25bc2e202a955c;1878253;2021-04-27 09:20:19;Receive;1134;3672.85
9effcfd3ab2eba721554d5558ee3c303ede70ed9d2e7b12fa62690ac374e1ffd;1868487;2021-04-20 11:06:25;Receive;1153.85;2538.85
24a129d82f1848cd5b781104d89b18c647b0e875cfc239aaf9d6cd9059f707c0;1859984;2021-04-14 10:17:37;Receive;1385;1385
78047f41c9e91e6988bafcd8c86aebeaeeeddc729ad87f690b8e6f2f2fc2a754;1853623;2021-04-09 21:49:03;Send;-3662.72;0
aae7e31bc3387cd5b9b0ae8f749f6482c293b6beb46549a212d3b9e52173c3a7;1837273;2021-03-29 07:22:13;Receive;1384.62;3662.72
dff351465d648d9e7b593f46f7f14f7ab987e922469fa7b4ab51263cae3efe0f;1827453;2021-03-22 07:54:41;Receive;1289;2278.1
4139a59a9a98cde0173c7b2ff387ae50c5a44fd06c6b21dd8c2a563fe0d06445;1818336;2021-03-15 20:38:56;Receive;989.1;989.1
0cd5caebf15b7c395be009d23675b44ef7ff08d7719b52406aa2607f6e704638;1809941;2021-03-09 21:35:50;Send;-5539.24313;0
03e4668bf2a48cad9a8c5c85ecb46a8bbb54f0716b7bea1b1a5f9fd6135483fc;1807933;2021-03-08 11:27:07;Receive;1573.43;5539.24313
973a49045a88e4a908d2a6797b2f58eefb52cb624c35708c002505225dc8d6b8;1797446;2021-03-01 00:41:11;Receive;1986.31313;3965.81313
b97fec892552f89f54abd543be658164898a637e92b54858ee1bcd30e1288e9f;1789657;2021-02-23 12:04:42;Receive;1979.5;1979.5
07ee038cac60dba514ece95e4221f602c3d04ae6ef9ec3dff56a3b0e22aa7e50;1785733;2021-02-20 17:16:51;Send;-2796.35253;0
cf819c794d00976eb9b7705bcf0cbaefacdea163d3420a33e1d2c92df9d03b20;1780123;2021-02-16 17:43:27;Receive;2796.35253;2796.35253
5dca8983013a980e4808de0428ffecddfa7033be5534ee6996f38c1d883c569e;1774472;2021-02-12 17:22:30;Send;-3870.56551;0
2f4260308a6fe00ee565c367a99f95be82fc4ca27a8c346b6ea161a7d47237a9;1767861;2021-02-08 00:44:43;Receive;3870.56551;3870.56551
235139936b977e39fe070fd3ba5297637d1f15e69ebb7e9ccf22a592322b5e21;1760589;2021-02-02 21:02:45;Send;-2975.56221;0
58aa64e6d0e8b0a22702d024016734a2cf856ee99c84ca7767f277d105b0ae48;1758120;2021-02-01 03:00:16;Receive;2975.56221;2975.56221
d32bf90127aac067a0297c5b49012ae22c446d5b5f690b64b2c585adad3b5489;1724769;2021-01-08 22:28:26;Send;-2871.6598425;0
3c14e08e0f3cce221c878c1d0bf46dacc318146f234633ac94039137131f2b93;1723456;2021-01-08 00:40:34;Receive;2871.6598425;2871.6598425
b3a859f2792faa4c902e2b780d575998abf9e0a70843ccabd2ad1bde27a8c432;1710195;2020-12-29 17:05:59;Send;-3241.5262672;0
3f269a4bf6bfe650df4bff59975bfbfa63a2b38c02ba9e91e124a73263833677;1707771;2020-12-28 00:10:59;Receive;3241.5262672;3241.5262672
daead21d2487fa3d6f7b28df37aaf8ddc9349127568b69affdd81d76283a8691;1692108;2020-12-16 23:36:59;Send;-7869.8634194;0
9809ccf53626f27b73062378c93db03bfe2df8b000a47318d18a51cf5557ab46;1690803;2020-12-16 01:32:45;Receive;3685.4487574;7869.8634194
e4dedb546e9581bc47b40d9767ee946fce73c5eda805e8d0edf1801afa44b295;1678505;2020-12-07 02:21:24;Receive;4184.414662;4184.414662
aa0e298f7acba05bfbd8a06e6af0c6a716b6c68b1707198b0606a14da1682c7a;1663055;2020-11-26 05:22:53;Send;-3024.584874;0
4895153b1fd36ed72bb8f07fd2cc62241ebc1182b58e2177bcedd30d3aaf9efc;1662760;2020-11-26 00:34:13;Receive;3024.584874;3024.584874
87f2eaf247f6494debde3cd124e2134475e685b77fdfcf0b3b962715032ec230;1651137;2020-11-17 20:12:38;Send;-3272.4;0
a493953fcdcc0af2313b1aee8c7d1b56f6c5c5c1319af34be04d3ef9f53b603d;1650027;2020-11-17 01:42:45;Receive;3272.4;3272.4
6b9a7eb325424261885b0892c85c42bdfe64d4d348d3a254d0dddbaf081fffa9;1638953;2020-11-09 06:36:10;Send;-7114;0
