sep=;
Transaction;Block;Date/Time;Type;Amount;Total
5c13e758ead7b0b44513936d5939d535dc83979b62a9dc6fbae74d787fe0e5fd;1874123;2021-04-24 11:03:41;Send;-21957.62886511;0
7f46f74584d56751adb8db40007ac91ab40c855459d1ecd45d66a92387326469;1874060;2021-04-24 09:59:40;Stake;1.08;21957.62886511
5f39d586c6bf2fc9597b78f2bd3d7bbac0558a06b1d28a3c6d01398d1f74999b;1874013;2021-04-24 09:06:33;Stake;1.08;21956.54886511
6e12d2511ed2a31fc096b05174d80d93f8ca083c0e854fcc42803ff975f5d6ba;1873730;2021-04-24 04:20:41;Stake;1.08;21955.46886511
6918fe9ec768e66510d841d15e5e26fc59751545bd446a192a0541aaa2c456c4;1873727;2021-04-24 04:19:14;Stake;1.08;21954.38886511
ed6e6f2cdbc3bc2bf4b020acd3fdce370d4f3481b33e5e82a7c2df743febedcb;1873579;2021-04-24 01:46:00;Stake;1.08;21953.30886511
5548f28a95d291e1e908a1706def2c0a8dc0347fe9969834e03a9212dcb070cd;1873475;2021-04-24 00:01:46;Stake;1.08;21952.22886511
3d349c91a7e910edf650e77f07135dc4698dec6c7ad22310d350a4b3e45254c4;1873113;2021-04-23 17:51:47;Stake;1.08;21951.14886511
d957729971f003b6ea9f43f9d1fd495d4d3413b322fdb7263c567aa232c855b5;1873089;2021-04-23 17:22:58;Stake;1.08;21950.06886511
4e4a430708ba72c7d8957cbfe4d5eca280a28fa002466c5de54e9da11fd5744b;1872998;2021-04-23 15:55:11;Stake;1.08;21948.98886511
0458a85de3132ceac21942b619c266017ba6e8c29a058c7e2f7351896a0538b1;1872943;2021-04-23 14:52:46;Stake;1.08;21947.90886511
fcb1ddb05414e3c67ddd47d141e82f03bba583c4bc77b314cd70899d6f79b1c8;1872657;2021-04-23 10:04:45;Stake;1.08;21946.82886511
5b589f8a9c07aee4ea09445178cc164cd2920e28ec3776da20ca5e2c2908f5e8;1872636;2021-04-23 09:37:29;Stake;1.08;21945.74886511
b61ad5b14cad5ef2c4bf0434767232e12ac9c2be0af0a40f89eb2031bf1bc02a;1872581;2021-04-23 08:45:31;Stake;1.08;21944.66886511
c95ce7db63fa3e3b262df4d764a5d31872ecb631c9712e62cd126421be687444;1872562;2021-04-23 08:29:17;Stake;1.08;21943.58886511
734f53a36919ff9312d606dc4dd225a5acf0660fde7547f8b01bbaaff4b3ec24;1872491;2021-04-23 07:16:01;Stake;1.08;21942.50886511
6bc34fe15b63ce76effee711b0c5cd133973b12f65067717c7b1bb89053c4059;1872344;2021-04-23 04:47:43;Stake;1.08;21941.42886511
1e7f2be28e90cace6fca6745b6d596c52abc959f10b2c9e6c179db9199afcb14;1872226;2021-04-23 02:37:36;Stake;1.08;21940.34886511
b76015c8e9fbbbcd8c380c11a8359c99f5548521802ef4d6429229dd36b889c1;1870570;2021-04-21 22:34:32;Stake;1.08;21939.26886511
e6a6db62af1bd9fbb0e7e0e056421ca082956bcc9690381ce6de611e61a3a772;1870479;2021-04-21 20:50:51;Stake;1.08;21938.18886511
8904a484c749aaef760baf70f3b69209d62a99c62a26606b4adb572b91011821;1867150;2021-04-19 12:22:35;Stake;1.08;21937.10886511
210ff3ab6cb022176ea1d32e22b2d2a9cdc7d22abf95564117ef926ae55e3665;1867039;2021-04-19 10:23:01;Stake;1.08;21936.02886511
5d75fa293b4306c3ea108a1a62cfb29db502ee1d1284ae0afbc18547134d6ad1;1867027;2021-04-19 10:09:28;Stake;1.08;21934.94886511
74e3d75a40b2619e0ff4beeed825a32cad36fce58e80f7779df24239d8be8f66;1866947;2021-04-19 08:46:07;Stake;1.08;21933.86886511
774c7c8f1b4cdfc02bad1bf033dff03844b51ddc256f7696a3ff2e2b29717913;1866793;2021-04-19 06:17:30;Stake;1.08;21932.78886511
9fbc46a486e1b06a02e1b8da3b5bbde10c4251f4970c4a2c863504d8b17d71c1;1866746;2021-04-19 05:24:04;Stake;1.08;21931.70886511
dd47ca4da8413e7eacf14d82965e0c8bd8e163089fc8effb455cb841efec5303;1866699;2021-04-19 04:34:08;Stake;1.08;21930.62886511
07c4da75d860eb54f879b662c3746e76e00ea8019cbb4c78b7b2772bc46e1eb1;1866599;2021-04-19 02:52:18;Stake;1.08;21929.54886511
ae72070558266771643e5fedf54ee5f52034d62a6ccd95edefabeaa5b46ca0b2;1866335;2021-04-18 22:24:39;Stake;1.08;21928.46886511
ee70d8cc845a9869603296d12dfea81d8a41b784fdd328d3eedfd6815236037f;1866278;2021-04-18 21:24:52;Stake;1.08;21927.38886511
2acb0b83fcaf1322709d15b14f6557f5f7d83a20097696eddf77510b99b6bc83;1866191;2021-04-18 20:00:09;Stake;1.08;21926.30886511
66705d0ee56a7fae736509e001c367768eafaa6830469338fc69653c4ae9df8e;1866132;2021-04-18 18:57:18;Stake;1.08;21925.22886511
eefe454158acae55b14cea294d5672bf0f882174d061c732e824ca0b239ecda6;1865998;2021-04-18 16:41:47;Stake;1.08;21924.14886511
8526d9567e5f9752fe835ed9ebec2c2aee10c54ff77f34c5ca5e9557f511d40b;1865296;2021-04-18 04:45:32;Stake;1.08;21923.06886511
29e0a41978920a8c902964a329f3d2723d1dd4d7827ccaf497cd64d511a56e98;1865288;2021-04-18 04:38:06;Stake;1.08;21921.98886511
d59272a80103cfec7b798ba606215a998f966c98669f4e0b3da1f7ce3f6f1fcb;1865110;2021-04-18 01:32:01;Stake;1.08;21920.90886511
f894c0d617e52867362ed1884f44b3871cd4262294628e5b2ef9e1fe0cea10be;1865091;2021-04-18 01:15:27;Stake;1.08;21919.82886511
0a70b514639a6768b144da043742858cdde941031ddf3f460f5b7254025fc306;1864937;2021-04-17 22:37:25;Stake;1.08;21918.74886511
0fd6a58fb76f90e6107f94fccbc655ab340a2fb1f084eaeb7e043fbc29482988;1864866;2021-04-17 21:22:06;Stake;1.08;21917.66886511
d2b7fda5ae0752662a4b6f16dddf440557952b13658bf3fc64d776c55defffcc;1863822;2021-04-17 03:40:35;Stake;1.08;21916.58886511
4d38d7554bf779a4a800c569d376d68935df7755a779e2e7b95efbc133edd0c0;1863618;2021-04-17 00:12:11;Stake;1.08;21915.50886511
663c0df9da6b4fdf1b1caddaee7c9111abb4d9d7b0d66f9cbb37d9c8763446cb;1863226;2021-04-16 17:29:27;Stake;1.08;21914.42886511
a9c5e5e58cb3ce356c12f9f9768df242ec57ca3fb4d8266f672943e634e32b4d;1862689;2021-04-16 08:19:36;Stake;1.08;21913.34886511
96a82a79992d17693871643444c175778f2f0fce9425a40316c4277e9e7a2c7c;1862604;2021-04-16 06:53:58;Stake;1.08;21912.26886511
16ac50d9ba361f4e10b38bf4ae1eedead6766464392da3261801d95976967a61;1861953;2021-04-15 19:46:06;Stake;1.08;21911.18886511
7a41e2eae62f9423383864d71dad6e0d1323296eab39d15773597723101c35c2;1861685;2021-04-15 15:16:06;Stake;1.08;21910.10886511
d7f9dd853360e8955ccd99fa8762389dc7c1d2cada612133acc36499ade56237;1861355;2021-04-15 09:36:54;Stake;1.08;21909.02886511
