sep=;
Transaction;Block;Date/Time;Type;Amount;Total
b4886053498b07654416bca36bbe45f397c920bc23f4ed4431cbf6c3c0455524;1779005;2021-02-15 22:38:08;Stake;1.08;82372.17752165
fb5b40804dad1d0f33e4f01d65c01bbb6203e96770a060ea939d14e499ad67b0;1776035;2021-02-13 20:05:34;Stake;1.08;82371.09752165
ebb707fc50935f2e99485aee1c3b51d264c48d7ad5cbebeefa620cd684df537f;1772961;2021-02-11 15:30:46;Stake;1.08;82370.01752165
5f681294e0e27a0e31c2a0c8d92e7c7b91976509728c376a9d27910b94f0554a;1772955;2021-02-11 15:25:45;Stake;1.08;82368.93752165
5d35d2f97b5eba5dc6c45bf5cfd8aa94774d7dbc0d4f7b2eff52e5ae39340ca0;1771988;2021-02-10 22:54:35;Stake;1.08;82367.85752165
b3e38e442f800206f8c7de4b441c2b63b0c3d03ae52e4acb45757027c18d51ee;1771845;2021-02-10 20:30:32;Stake;1.08;82366.77752165
058aff0e87f0e673b80237c1a2d4510e1a6c4c1a0442d540453d9963744cb0fa;1771841;2021-02-10 20:27:33;Stake;1.08;82365.69752165
b497257720da305d0bda2df36d4da9a3eb537daf050d5707ea214611dfa3699a;1770232;2021-02-09 17:03:12;Stake;1.08;82364.61752165
33b66d0efc5571a208596ddeac708508b2aba67ea8a5e60e0cc26c7a1d8659e1;1769724;2021-02-09 08:35:15;Stake;1.08;82363.53752165
1f4ffa804318526a1809b9c827f581d6fa79eb330803dc5702e0ea01a6991f2b;1657719;2020-11-22 11:30:41;Stake;1.0799584;82362.45752165
3f8f737791977c29340c68acbf06b432946a35d7ef9106277040e5341d6fc87c;1655772;2020-11-21 02:24:16;Stake;1.0799584;82361.37756325
1fe0f8c96c4b9aedc6f07109db8b06871618454e7b5f0e3617c8577793491da0;1651408;2020-11-18 00:46:13;Stake;1.0799584;82360.29760485
9e23e64d7c21caea222f75bbd663d20acafefd4ace3db41e88f58409e54689b3;1651350;2020-11-17 23:49:06;Stake;1.0799584;82359.21764645
dc0287d8b4c19905639f674e16452e47755a707867d61ba9f30411b7a35d77b1;1651331;2020-11-17 23:27:47;Stake;1.0799584;82358.13768805
d2c4b0893c38c625df304bbca6ba5fe5e8969fa9b6f108e289b4c51e3bfd8149;1651314;2020-11-17 23:10:09;Stake;1.0799584;82357.05772965
6f2294749ff81ed75983bfd7b2d4b823bc6748020ce466613bb03217dcad81bd;1651202;2020-11-17 21:16:47;Stake;1.0799584;82355.97777125
81d27ab24c63dc0d69271e0adaf9bf91f2d8e5446627bfbb68adf464674bdbc2;1651169;2020-11-17 20:44:02;Stake;1.0799584;82354.89781285
8001f223232d48a30d4d947d588b9cacf07e6b4514cd40ebe753d48d8c5ee9e1;1651153;2020-11-17 20:28:13;Stake;1.0799584;82353.81785445
81d710333ebbadb5c135b7cfc981fd1d331b99d7167ce2b8a1239524b6c088db;1651078;2020-11-17 19:18:03;Stake;1.0799584;82352.73789605
0b41fe3a594a15750c8c18f97d222dadde9add24d103b4377f24e76f49203d55;1621714;2020-10-28 03:48:34;Stake;1.0799584;82351.65793765
188f4e631c7b44abaf4a1f47ad082b4c858455cf77030446b45c7f13b92c9c29;1620949;2020-10-27 15:00:35;Stake;1.0799584;82350.57797925
2c3c50f110ce00058c46b04dc738d26791fa9602016dce2701c1569c7222a4de;1620758;2020-10-27 11:51:28;Stake;1.0799584;82349.49802085
9e7388d4facdc9f06b67a8cf5fc3dcd710b2a86a1833b6df1756ae97e516d570;1620310;2020-10-27 04:22:13;Stake;1.0799584;82348.41806245
18718221ba61cc66c2056f12be090c97281794ae2032fd65bc3f875bd6cec84e;1620091;2020-10-27 00:33:46;Stake;1.0799584;82347.33810405
4c31e0ce403959c9531e70a8e9619513447bc76d9897d8a205caa563f199e7a5;1620082;2020-10-27 00:19:17;Stake;1.0799584;82346.25814565
faeeeffe0271bea779a0d24c4865cca58704cca4da10239ddbd78a2332a7fb79;1618878;2020-10-26 04:03:43;Stake;1.0799584;82345.17818725
6a92041479920d4fea0f9a7db375af9e6d92a3f817fe3b9b61a7034ff28aaabc;1606405;2020-10-17 09:37:25;Stake;1.0799584;82344.09822885
74f094b0d866b8f91b54e2fc0b3081063217f7646559d1a3852109058bbece9a;1606403;2020-10-17 09:35:29;Stake;1.0799584;82343.01827045
7197d5622628f12b81ee86c7f9046a759cad39aac24d4d11de515405f2e86fbd;1606234;2020-10-17 06:48:14;Stake;1.0799584;82341.93831205
151fe0ebb59b2d572a86bdefe64c42ef926c925ab6302198336c3f25d33c912a;1605992;2020-10-17 02:36:28;Stake;1.0799584;82340.85835365
3698b3f8b1352df0a181b97b417f8c44ceaa2ac30df677d4f48c81a9efed5b34;1605834;2020-10-17 00:00:18;Stake;1.0799584;82339.77839525
6dec48a291eca86a7cc67eb664e85475689c33f72d1e407375cd451f002a9a28;1605562;2020-10-16 19:22:33;Stake;1.0799584;82338.69843685
bf5707a069338c7756bcb87650b21fe278b6db4ba943f7571193338512fd5b05;1605558;2020-10-16 19:19:44;Stake;1.0799584;82337.61847845
03faab424e665980067ca67e86c8fcceb5f524108c716e83d2bb5e3f033ab57e;1603385;2020-10-15 06:37:17;Stake;1.0799584;82336.53852005
9fc0046fb0940903a1f26e7f31ecba329450d450672b4892f1e143ade928ff6b;1603375;2020-10-15 06:23:07;Stake;1.0799584;82335.45856165
79659a9e069ee1597000ee04f2467c35323e29ac25393b080ec3bb2665d8bf11;1603297;2020-10-15 05:09:21;Stake;1.0799584;82334.37860325
0177f0282873036326a49473bb13d4804acddfa707d6c1650c903e1784ddf086;1603281;2020-10-15 04:55:41;Stake;1.0799584;82333.29864485
cdd760ff294db1c4d609d44d4402b66acebd8e3aaf4aa9336b0a322c1a9f4b08;1603248;2020-10-15 04:21:26;Stake;1.0799584;82332.21868645
e273aed927091096a67992143cfa9da52ad269be2c4ba8f1eb73449d69d746da;1603203;2020-10-15 03:30:39;Stake;1.0799584;82331.13872805
b03843edbc1c8bde6a4aeb5a0f41ddabd8acf401f3b58c80a128c2d106c52b1b;1603195;2020-10-15 03:20:51;Stake;1.0799584;82330.05876965
