sep=;
Transaction;Block;Date/Time;Type;Amount;Total
34285b51c93095229bc5a8ec6a8599fa9928378dc4de7f82a0a740062401494a;2281428;2022-02-07 16:25:41;Stake;1.08;91368.98705299
e6016b4c9708362a2747d1c9ea59e3b2e2942507ecf22118968bc66c5abe5992;2281425;2022-02-07 16:22:56;Stake;1.08;91367.90705299
7b1eaafad08751828975ad4d739e2b1f488dca599e40653efc947436518f5af6;2281332;2022-02-07 14:52:52;Stake;1.08;91366.82705299
7c15510773074513c591160f80a8289893a2f2dc85d7069242274ba448e25bda;2281310;2022-02-07 14:29:29;Stake;1.08;91365.74705299
1d1dd729dfceea12d779bb484d98553ff0dbd4911643185d1595c105018ceb56;2281296;2022-02-07 14:16:42;Stake;1.08;91364.66705299
a2351eaf2ac309250f95ca3b9283f12ea3e9144f0fb65617456d3f40317b56f8;2281294;2022-02-07 14:15:53;Stake;1.08;91363.58705299
67089d98d26bbd3d8902cdfc16d01e41dad134eee21f2cc5e34f2f6ee308601f;2281280;2022-02-07 13:59:40;Stake;1.08;91362.50705299
394ea2c239fa39ce65974d8fe0ecccd2333543b722f7122a2ed311f9782c1b19;2281271;2022-02-07 13:50:16;Stake;1.08;91361.42705299
c5af2c38f5823b2f9f077ecc3169d1399363d825111b7ef6a9f1321757aa3cd9;2281270;2022-02-07 13:48:03;Stake;1.08;91360.34705299
c608f26e94463eb3f015fbae162302ba315b930a68400e59f80e521aa452f30f;2281129;2022-02-07 11:29:45;Stake;1.08;91359.26705299
559e3044bdea7beb9b67f96c1f47a074abeb686ba269ca105470abc03c0adfae;2281102;2022-02-07 10:56:44;Stake;1.08;91358.18705299
fc39b3f3a06b3f5c3c7fd4f50f998a07d45e62661560ef3d08462c2e8a2a9857;2281093;2022-02-07 10:49:44;Stake;1.08;91357.10705299
506364917da4c67884757363d330fe2d0b930dfacfbd2339d9d487cbe1b8aa0f;2281070;2022-02-07 10:19:27;Stake;1.08;91356.02705299
1a61bcecf30f9145c42ba40337f8fb796cb33e40d74d9ad0a7b68f6d896f4734;2281034;2022-02-07 09:46:14;Stake;1.08;91354.94705299
3b0ef080e608d62a05f5bea7c7eddd26c93f68b78990065a91593243c419e09e;2280981;2022-02-07 08:54:47;Stake;1.08;91353.86705299
7a1c25ef20cb60986c017620f25982273e433636b3a75da7f70b839a705139b2;2280971;2022-02-07 08:42:59;Stake;1.08;91352.78705299
0b10b9ec1e17f99b4c9baf8360dbe15de549906a1d5818bb1abbab1e77a2221e;2280874;2022-02-07 07:06:42;Stake;1.08;91351.70705299
24841f88d6e0e2c44d7ba9dd56be59aac010736c2a10dc6d451298bd18cc13ba;2280850;2022-02-07 06:42:23;Stake;1.08;91350.62705299
fb87a7db5c1f16d625a034bd034310f72f799de82f88b934cc918e112bb19acd;2280809;2022-02-07 05:58:46;Stake;1.08;91349.54705299
6dd8b73c8696c21c7daca20a4f55170890e41437a1a4aec183450ed039408584;2280788;2022-02-07 05:36:12;Stake;1.08;91348.46705299
1509bb23ceab6ca6d61b05558840f6116c9f691a69cf21c19ee4effe43715807;2280702;2022-02-07 04:11:18;Stake;1.08;91347.38705299
edba9000ddbc71e7d465abf2de5837eccc8a5fa840164e00637bef82b5c57a65;2280699;2022-02-07 04:09:07;Stake;1.08;91346.30705299
2e6363cb0e617feee178d095504044dd21823fd8976b4c64a5445a85e884fa21;2280685;2022-02-07 03:54:55;Stake;1.08;91345.22705299
6b367d314a9a68437d87e3c72087a21f6ff1c3511d0ad42e272a1542ff89c1b7;2280682;2022-02-07 03:53:42;Stake;1.08;91344.14705299
454bd43e3c37c895dc811682157012158c44453ffb998453cfd39a50b6b0f6d9;2280645;2022-02-07 03:09:58;Stake;1.08;91343.06705299
0a1ce800effef049cdd453454a22100fbb5a678576d0b82e3b544e2345cf438c;2280632;2022-02-07 02:58:26;Stake;1.08;91341.98705299
0c3283328c6d0018099f0cb72c6e3aa851b9a1761b5ab9beba1a99aee0cead47;2280625;2022-02-07 02:48:22;Stake;1.08;91340.90705299
1a421771f037c74a287d1cc5c2e6ce737e32434430435e753473698664e2d0d4;2280617;2022-02-07 02:39:14;Stake;1.08;91339.82705299
ca8092de813075efa86e1b90723f244c9c18d574f4e9439d66d86af7b533e518;2280603;2022-02-07 02:24:18;Stake;1.08;91338.74705299
471b7bb2629473355944f7e58fb39f079bf89aa5b56fe3a3edc4eb7fcfa23a85;2280599;2022-02-07 02:19:50;Stake;1.08;91337.66705299
f720c081184db2adf79279bc79b26b75bff44bb5ccbb130c725ade7ee788f250;2280595;2022-02-07 02:16:23;Stake;1.08;91336.58705299
432bdc5ddca433c75e07ce93f2988b23e9a97bd14676397c8cac23c0907d1540;2280589;2022-02-07 02:11:30;Stake;1.08;91335.50705299
f15197f9b446879c019a35b1d415e02a1e9714fa95613334d7e929dc053968ea;2280580;2022-02-07 02:00:47;Stake;1.08;91334.42705299
e1cdcb7193db6b1ccaffd4e9d2c8435247ed107dd032c0b083eb59b16469794f;2280534;2022-02-07 01:14:39;Stake;1.08;91333.34705299
0cf09482ddd2445698017ecb3d726c7a89038e9c5228fc49dd777d300bf7db2f;2280516;2022-02-07 00:56:03;Stake;1.08;91332.26705299
f12a2d88e3a533f2b88ec27464f339e6712cf6bb734527eb2af372225a1cd1ca;2280418;2022-02-06 23:19:19;Stake;1.08;91331.18705299
1f135af31b7ad0adb8d1b20ee4f7424653c6f44833d2d4f495d4834ac587e3a3;2280384;2022-02-06 22:41:35;Stake;1.08;91330.10705299
160f70e25cfb861a8b672771b5f751398772bac2fe8f7d7e21eb138976c24ea6;2280299;2022-02-06 21:15:01;Stake;1.08;91329.02705299
fc967f424fc34f122558c676969851b1c0cccaada732b0d7253fb305ab4021b9;2280296;2022-02-06 21:13:42;Stake;1.08;91327.94705299
93e049093203f378fb5ee042a5fd02c62756b51b9ef19af10593f3dcb55966ab;2280289;2022-02-06 21:05:08;Stake;1.08;91326.86705299
5b126d92906f51c36a721cd5994071c8a0c4de005a9282e43d362347fe65e71a;2280205;2022-02-06 19:34:38;Stake;1.08;91325.78705299
7ddce87ee3e1ac338b8e1893c92cf4bdcf6c246d60fd962d7ac5f8221213e7d7;2280176;2022-02-06 19:10:07;Stake;1.08;91324.70705299
a451608f71d0d8b71885d5c4a637d76229479d212e9cfd37dba5942f4c68c0b5;2280121;2022-02-06 18:19:37;Stake;1.08;91323.62705299
4e30964052520df07a93a913ddcfe615806c78e0225e4fa9a461f0810682a5e6;2280107;2022-02-06 18:03:36;Stake;1.08;91322.54705299
6d3eb2cc1ca635bb1b57627c0006b91a5854f759377cafa40acf0912d7fd9172;2280082;2022-02-06 17:38:12;Stake;1.08;91321.46705299
25efee027e9476c2f5a9522914c6dd7e08fa578c56ce180b0989f155e4c6dc6b;2279838;2022-02-06 13:21:01;Stake;1.08;91320.38705299
a12a79712f0cc61b964f0df9ca501f5c0f9193772da42f7b8c2ecd48008db497;2279833;2022-02-06 13:17:00;Stake;1.08;91319.30705299
cc644609de96cabbfde09ed7300482708fb3a7ade2345ae0fd375f503e6cb681;2279794;2022-02-06 12:38:16;Stake;1.08;91318.22705299
