sep=;
Transaction;Block;Date/Time;Type;Amount;Total
281d6c184b3a32cd830b6a55c993d2e514b747684456db6602ebe1b374c3d3e8;1772932;2021-02-11 15:06:22;Stake;1.08;23927.69902311
e8f0e65c7a3180bc778596340f110d043ca9fea9c7b312d959c1fa825b62bcdb;1769340;2021-02-09 02:01:00;Stake;1.08;23926.61902311
f7a449d86e5398cedd53794ad00119abf36ef8c6abad5a7db7ea8219bb330e01;1655305;2020-11-20 18:36:55;Stake;1.0799584;23925.53902311
77d1b7ee9e1315b9deab7508be6cfbe454bc6aec7c4547394a31e1922dc12b88;1620635;2020-10-27 09:47:10;Stake;1.0799584;23924.45906471
b2fcd6fc9327d3b60f699e259a26387c43f1d1f585e81973ee1ee93d5552a1c5;1620531;2020-10-27 08:05:02;Stake;1.0799584;23923.37910631
7f664a6fa664e749904b614bdc20964d7f39d922c4cbc4d0393d0856e8187f90;1553633;2020-09-10 05:51:39;Stake;1.4399584;23922.29914791
8653b41148a47cde28b7a504ce710e1630269b99ebf1ebb7b3e4928c98334958;1553632;2020-09-10 05:50:43;Stake;1.4399584;23920.85918951
fd6a949fe0c595db20dd4ecabcbf82f473b07ce4f6560872f35bf39cbf3ac588;1524746;2020-08-20 22:27:58;Stake;1.4399584;23919.41923111
30207e48f0db91b865a8c701aa5fefeab6baa95ef6e58141543658baed91fb61;1521423;2020-08-18 14:27:02;Stake;1.4399584;23917.97927271
1d7d7b51270ad471a521d6ddd6720c4003c1f62454c5341c37a2480d8f38a16e;1520978;2020-08-18 06:54:16;Stake;1.4399584;23916.53931431
17d2149ad3f9a475f8d3f1cb4e64bd6021c24b1dcc849eabb5a4fe2b6a00cb28;1520749;2020-08-18 03:02:10;Stake;1.4399584;23915.09935591
adcdb8da44ab21d4e1de540dccf3b36898701a2a9eb3549e7be678e19323fbb7;1520715;2020-08-18 02:27:34;Stake;1.4399584;23913.65939751
828c91c591028e0c8b2886b28415db4b24d111984f5c800b1d2743d92d1d5b4f;1517819;2020-08-16 01:36:42;Stake;1.4399584;23912.21943911
58043796e6b6155efaa885caf137b0ad03c4da7a0f0a7501193e7e17ebdc1525;1511112;2020-08-11 08:10:49;Stake;1.4399584;23910.77948071
0aacd04f86f87a4b0a18aedb7ed5f56de545a8466fffbf6881b99ad50aecad7e;1504041;2020-08-06 08:31:38;Stake;1.4399584;23909.33952231
d120f250c3dfe7f53b7046fe09e649eb066d125740e22449b03607c46cc7fdb2;1499179;2020-08-02 22:33:36;Stake;1.4399584;23907.89956391
3da56dd32384703006354399666e99db6afaeb1c6e49ebb4bc1b4c43fc79cbfd;1496941;2020-08-01 08:48:27;Stake;1.4399584;23906.45960551
88508696d198cd72477f504b0ab28ae8c898fa8936ccdc6275d24647a921b8ca;1496872;2020-08-01 07:45:05;Stake;1.4399584;23905.01964711
69ee05e9a2cd0f79c3c3a8462c535acda102b7958ece70170048447689aaef48;1496836;2020-08-01 07:12:44;Stake;1.4399584;23903.57968871
044f700930b32c6849f30e2e200260a6f5290306e13e2fbfd04d1a3564c843fc;1495282;2020-07-31 04:55:34;Stake;1.4399584;23902.13973031
f79452d9c45bdfe3d628ab7fdc8dcb5dc0ff305f44a8552b8552809f3ace6dba;1494502;2020-07-30 15:55:15;Stake;1.4399584;23900.69977191
1febbc75cbc75a10a7cebfdd27b356a890eedb2241d1e41c8054b592d91d8daa;1494471;2020-07-30 15:19:08;Stake;1.4399584;23899.25981351
930019ac16cd31b948fe354f18c09261102769c65cc18b2ac0ab2c8a5b111d73;1493895;2020-07-30 05:42:28;Stake;1.4399584;23897.81985511
c91e1217ff11d23a9180342f0ab1837fbb07cb4b7642eb388f78a50a7c9f9eaf;1493799;2020-07-30 04:00:40;Stake;1.4399584;23896.37989671
d2e091647a9156a0eec77b51d105d267fb81d5628fec8a05ff9719cf1b5870df;1493269;2020-07-29 19:19:27;Stake;1.4399584;23894.93993831
c812202032a0edd016dcae32892172f29628c1bc17a7c68a07852e99927477b3;1492530;2020-07-29 06:51:07;Stake;1.4399584;23893.49997991
5f0a66852948fd724f277742fd8133f477af0fc9c77db612a090ef91eaeaf7f3;1491511;2020-07-28 13:28:50;Stake;1.4399584;23892.06002151
2fb3748a2375bb2937233f2854d028d01ece885521a61eae80f4ad2e131e1f3b;1488869;2020-07-26 16:46:03;Stake;1.4399584;23890.62006311
5157874fb9a39d2c2fd8b549f41fe6a2ca3dcf127e08377e7d319a9413ea815b;1488251;2020-07-26 06:11:28;Stake;1.4399584;23889.18010471
6a87ab145018be6e4dcf0dbb2a0fde217d918746a99c71a5ad89c7abf1400ba5;1487522;2020-07-25 18:04:44;Stake;1.4399584;23887.74014631
dc70376791732253d0dfb5164666aca1af0e630b4b00ef76a03b74fe2c579fbe;1487247;2020-07-25 13:22:05;Stake;1.4399584;23886.30018791
fd0bee370c588b626b209167196b4f72bcd5f0a37b81a4e0025f08b37f4d73de;1487045;2020-07-25 09:55:34;Stake;1.4399584;23884.86022951
930ee39f45a489175be56f5b4de14bd1281b7432d3a2dcb45c14ab638bf232a5;1486458;2020-07-25 00:01:01;Stake;1.4399584;23883.42027111
00db849c8d98a61ef236c05b4dc9b5a524c065ef69d799ef4d2dbbdea26f43d1;1486412;2020-07-24 23:23:38;Stake;1.4399584;23881.98031271
c7d85e8419ab4e3e306df941c67f1f560bb92e2bbbba48c2b0687ff2010ca6d5;1486318;2020-07-24 21:50:58;Stake;1.4399584;23880.54035431
4ea1b44e1550548e64a135ae82b6f18751185e562ef5ba0131ea34dd1b50e283;1482781;2020-07-22 10:09:54;Stake;1.4399584;23879.10039591
6c6094b03d80e40b7ebfcc0638d8e3c3e4c7a9bffc523f196f427049e70afb7b;1482538;2020-07-22 06:02:24;Stake;1.4399584;23877.66043751
50723ccde8204e499da13130584d6848b13a533048a4555774c80193157744ce;1482403;2020-07-22 03:44:55;Stake;1.4399584;23876.22047911
b47448b94b35d142090daf5ea2274c34a08f50d498bcee10bca58adeba86e72f;1481968;2020-07-21 20:25:03;Stake;1.4399584;23874.78052071
a1fd21e7fafac5908c5630276ce574af283d9b2070824a6c0d93717393dfe5f1;1481583;2020-07-21 13:52:28;Stake;1.4399584;23873.34056231
1eefa1668ed16e568985d48140429c048b98995800f6cb396d1f0e17d8e872b4;1481131;2020-07-21 06:13:04;Stake;1.4399584;23871.90060391
3d5aba78dfdde488eab0ce85bfca353439989bc7b38456ed9087f65bb8433ab9;1480821;2020-07-21 01:03:30;Stake;1.4399584;23870.46064551
be7e0ec0de870726584ed0cf52eb3a3f053fcc4f78af62dba866c2e258aa6fc7;1478828;2020-07-19 15:23:46;Stake;1.4399584;23869.02068711
07f91ddfb4f786934e6a13227a418bfa9e8b6d017d3fef5bb488f920ffd05f2d;1478598;2020-07-19 11:40:34;Stake;1.4399584;23867.58072871
6eb8f055be6da63634e620684500793f9c786f003af780e1faf0b185e85a63b0;1477859;2020-07-18 23:11:57;Stake;1.4399584;23866.14077031
0711da7fb5b6f671527414a0cb3613030f745c1dd3a5d9518f739a495bb4b5cb;1477747;2020-07-18 21:10:29;Stake;1.4399584;23864.70081191
e5274b068ac185d426b6060ce5b82df3b8a8d55270fc7dae58ead64a9ea7f922;1477199;2020-07-18 11:55:53;Stake;1.4399584;23863.26085351
38a073e964d71be93e487bb68888a6a8763419f415f9a1316c2251c4af690039;1476832;2020-07-18 05:51:41;Stake;1.4399584;23861.82089511
8912525ead144b6d7e90964065b82ce8012ff572f7e28468112dfaa21feca2c0;1475972;2020-07-17 15:17:30;Stake;1.4399584;23860.38093671
6f03d6ad51e8b921ced88e58df7d578f59bf5faffbfafa97c6bbd5ad4af2a425;1475278;2020-07-17 03:39:30;Stake;1.4399584;23858.94097831
aeab0fae923969d30f1ad58fab795e251a51fc25926b9339f408af01dd2a98c1;1474386;2020-07-16 12:35:18;Stake;1.4399584;23857.50101991
335b7a7da31fa77d3f3c9afcecb81e01336e084841970a4f57dae625a8c23640;1471975;2020-07-14 19:54:54;Stake;1.4399584;23856.06106151
ef45e312c751e0cdce680856f941b7b791a34b62ba6a97e9f299ca9065089153;1471639;2020-07-14 14:20:31;Stake;1.4399584;23854.62110311
2f563368984ab3d083b267b3b97df5625deab5d4da40894667ee3e92c2567742;1471349;2020-07-14 09:18:14;Stake;1.4399584;23853.18114471
7d1f32ccb79d6e5b2bd9df7cad366ee1b737a7c1172825a4d1f10325e32c8521;1471221;2020-07-14 07:12:48;Stake;1.4399584;23851.74118631
d7e4df29e9fe5566f9508be67e84fd2acfe011d67902178444e9d986fa33b381;1469486;2020-07-13 01:49:34;Stake;1.4399584;23850.30122791
87c432b1b7f5fb5299dd6eda8aa3677e28130a6e58de5423748e33f40d0bb159;1468629;2020-07-12 11:28:41;Stake;1.4399584;23848.86126951
33d41453945fbc58e596b3c04bfa9379a366bc3276a269353f395d280a8251d9;1467834;2020-07-11 22:03:45;Stake;1.4399584;23847.42131111
c16a67da64ffd482ef0ca8963093e568d71216f7540482bec4da16fb9b8e30e5;1467806;2020-07-11 21:38:43;Stake;1.4399584;23845.98135271
f3562d486ca01a95bbe1c9fef2be3cfa59e3daa664ad49264909df8cef8cd5f8;1467581;2020-07-11 17:47:48;Stake;1.4399584;23844.54139431
694762e1c2f3c97e75f5105ea89f3b90bbc11edcc4f7da656e0ebe0c3744e9ca;1467501;2020-07-11 16:25:51;Stake;1.4399584;23843.10143591
e9aa2c07783da033d9b5a0efaffcd74815105d6fa4794c3daec9577821ee1921;1467400;2020-07-11 14:40:35;Stake;1.4399584;23841.66147751
f79b61af0c290d01f20a0c3eac68d8a1b8ecbab6310a1ccafeee19dbe2af3af5;1467245;2020-07-11 12:14:36;Stake;1.4399584;23840.22151911
873e8fcb5fa4581cd6fcbeac47367c4aab501281582d888cb679eb09f39695ef;1467102;2020-07-11 09:42:58;Stake;1.4399584;23838.78156071
7fd24e5f8b07cff8185df0c4becd68414b2a0ff0b67dcd93e02b8600af7a5cac;1466864;2020-07-11 05:38:00;Stake;1.4399584;23837.34160231
f32b295903f41b0b8b620c7ac08c20726c42ef28f872a3feeac4ee2c8debd06b;1466643;2020-07-11 01:59:07;Stake;1.4399584;23835.90164391
da2beb395b853db144e8ded97cbf1c70d018a778283288321119d44f78f31e61;1466481;2020-07-10 23:14:18;Stake;1.4399584;23834.46168551
02c95f4032f62071784107a42ca7eb7329598bf589ca388c19ab0a3d0a504548;1401447;2020-05-26 05:17:25;Stake;1.4399584;23833.02172711
f985ee6dc620bfb9827ed21064347c825764aa7b8f25d70edd9bf1449b242062;1400070;2020-05-25 06:02:09;Stake;1.4399584;23831.58176871
26816f99a0cbc6fb5078a71f96c7807cb2ff8671c624bded0af607998feca29c;1399611;2020-05-24 22:17:56;Stake;1.4399584;23830.14181031
32aae1c6356f4c283e3171c5c56e84586611fe88c72c2cdad9ce6c7972d45f31;1399229;2020-05-24 15:50:55;Stake;1.4399584;23828.70185191
2b0ffefdf0df05310731cc3c33f0d4150756298513820b79e688fc5bec2027d7;1399166;2020-05-24 14:46:32;Stake;1.4399584;23827.26189351
700f422224afff75f99ee511826f484ade338091c3d81d174d1263ba1bdf47d6;1396607;2020-05-22 19:22:51;Stake;1.43995839;23825.82193511
c809968525658ebdb97a98b4a16666608c33be545875702139d72b1b7a178b56;1396435;2020-05-22 16:31:57;Stake;1.43995839;23824.38197672
8a62f78555d99700999f1a3bd7ee545d51a5d0c55d2fc51d8f6c38a9999e2a3f;1396353;2020-05-22 15:11:57;Stake;1.43995839;23822.94201833
2431c497d25763fe65eae677b656abbcf0457a36894fd3c532ae680e961cf3cb;1396338;2020-05-22 14:50:31;Stake;1.43995839;23821.50205994
9b5faeb83ce7c258b3f490ecab2ed0bd00f7cc01b2feec4e16030ab233a620cf;1393136;2020-05-20 08:49:30;Stake;1.43995831;23820.06210155
470aba0d5b76633336fc26f613e9747d21ed7163a73ed3ccb2694f2fd8fb1876;1392707;2020-05-20 01:40:26;Stake;1.43995831;23818.62214324
3662f62b26afc1c0822f89b2e5020afb6ef946447147c94dd9b5b9d0216ffa92;1391019;2020-05-18 21:07:03;Stake;1.43995831;23817.18218493
cf236b9ef0e481e07aa8618a1b1d904803ae04245e7217ebd948f7ad4942190d;1390578;2020-05-18 13:47:01;Stake;1.43995831;23815.74222662
cfacb7082ce41939fd506e435b356423e1aa19c7b4662ad752682583617a645a;1390144;2020-05-18 06:26:15;Stake;1.43995831;23814.30226831
7670845805aa0d5ccab6a17e1d3f7f0c26de813e25be67b070a0dea8ad8b7fda;1389665;2020-05-17 22:17:35;Stake;1.4399583;23812.86231
1af5e2b2335946fc7bd135993aa3fbb3644de3e57afcb57103ea4cdf7e63fb18;1388608;2020-05-17 04:20:33;Stake;1.43995828;23811.4223517
694d683bda5ee7f9f09cd6e8c3f92f481e76a4c846af133ec896333e0bd4ba6c;1387235;2020-05-16 05:17:12;Stake;1.43995828;23809.98239342
f36d3a3280c489d96f7675e820c56426fff995c58323c0727d2af525ad45b1eb;1386315;2020-05-15 13:40:51;Stake;1.43995824;23808.54243514
40b012396a600e64578a1cc18ea1780849d9643efd9711b787035178ebba610c;1384894;2020-05-14 13:43:03;Stake;1.43995824;23807.1024769
a42703ce85f34da1966e5f679ee4ce08c5284c4cc8affa617cb701262c87cbb1;1384103;2020-05-14 00:13:26;Stake;1.43995824;23805.66251866
f03062e51db18261737c70d19feebcac7d96cbcdf6317315b4ee55e284a545e0;1383491;2020-05-13 13:52:05;Stake;1.43995824;23804.22256042
8c691288dad99b2351913fa343d1da08e86d41fd5bc0f945b315c418aac3cdb3;1379745;2020-05-10 22:42:19;Stake;1.43995835;23802.78260218
0f358d51eceb973ecbbf7f47ecbbc77b632cd019d6ed47235f265007013e350d;1379256;2020-05-10 14:27:09;Stake;1.43995835;23801.34264383
b6b436dd018bbef118357dab63fc78f030ea98053c8a37abb8d9de4d8cc91726;1377559;2020-05-09 09:51:20;Stake;1.43995831;23799.90268548
e7a51d748b7d88ddcff1ccc3cf16d54a3997a907f4cb01b6740bf832978253e5;1377440;2020-05-09 07:51:46;Stake;1.43995831;23798.46272717
0e2655226690d98997de49cc65945db5a40d2676630f234429c9098df2a0207a;1374495;2020-05-07 06:10:03;Stake;1.43995831;23797.02276886
90f17bbf1d97e001c9f93121f15e3f631ccb8fcc19dbbd71229311f79f7f413b;1374443;2020-05-07 05:16:27;Stake;1.43995831;23795.58281055
7c8d56b52894a290968a894b2ccb594966fcb59d051fb8b58d80018d3283570e;1373261;2020-05-06 09:17:11;Stake;1.43995831;23794.14285224
