sep=;
Transaction;Block;Date/Time;Type;Amount;Total
0b39ccb9673bec08aeb6c76be17e5f01f1f384e75b37dd0b9c6db91261cd1ccd;2036387;2021-08-17 19:22:02;Send;-22312.4999809;0
36109f5078ddf28a9861693c296884166e738da586e4e2bc820070ed85e97ba9;2032411;2021-08-14 23:31:49;Stake;1.08;22312.4999809
5b6aa3e9dabb7ffff6d16379b3ea285eee92a9d97529adfcc091c9496e601a40;2019298;2021-08-05 16:14:12;Stake;1.08;22311.4199809
0c848b8d635bf9a970d78c86b98a1fb806ca9fbe59402ff9566a2e839d60644d;2017990;2021-08-04 17:54:35;Stake;1.08;22310.3399809
2b882f95c481048cb13e50238d86d18f750c4017028aab56aaaf4ea82eca9bd5;2012284;2021-07-31 16:39:18;Stake;1.08;22309.2599809
fd34b30809749484ded496d4700240d6bfd700b5398b946822d609147710f16f;1992822;2021-07-17 21:28:45;Stake;1.08;22308.1799809
b028ff70ea78af53037e74b4c81585c155e2afdcc0a930a5461a054e38612387;1990977;2021-07-16 14:03:04;Stake;1.08;22307.0999809
cf017aff5d762b5466adc5c621b826b20909aa8203cdbb1273e3a5bc883513ff;1989661;2021-07-15 15:33:53;Stake;1.08;22306.0199809
421378deb03247643ab1f0c315740e48b98749110ba87a6881fbd5edb5fc7d57;1987036;2021-07-13 14:39:39;Stake;1.08;22304.9399809
48c91c761bbb7092c3e3bc2429133e964012a129e3746d57eca7c5250bdafa98;1986306;2021-07-13 02:26:59;Stake;1.08;22303.8599809
27edf17a9318198ce13b7ac38331fe813d9658f097bc0f429e3223d4fae7e903;1982018;2021-07-10 01:18:25;Stake;1.08;22302.7799809
f21c046c309df82bd9dc32e60fee991442f64f5942da67a8df027a95327b9fcf;1976713;2021-07-06 07:11:09;Stake;1.08;22301.6999809
8ab432d8689e229cb573aaafa7b7e49a66a4d85d7ff4d3115a52a0c2374afee8;1961765;2021-06-25 16:35:29;Receive;22300.6199809;22300.6199809
