sep=;
Transaction;Block;Date/Time;Type;Amount;Total
0e96f068ac2868d8572b40a3dec50cc9e9c8cdf716a42003e79eac96a397ea76;2249332;2022-01-15 22:04:06;Stake;1.08;23235.17894589
c3dcc02cabd59e7fb82adc56abf994eb970f7dba46a3f3f09f63af14a961be89;1772991;2021-02-11 16:00:42;Stake;1.08;23234.09894589
7d1c95e354ad0e1b902e075ebe4654aceea81b52eb6f0b954b5faf2f26607268;1771925;2021-02-10 21:54:05;Stake;1.08;23233.01894589
a2ed5a59846473b2b2c2f95e797177a4cabf8067d5acb7d9d66eaaad3bdd8ddd;1769758;2021-02-09 08:56:45;Stake;1.08;23231.93894589
04ce855df8b8b7b5684d369e2738a4cbdeb94687b69231d13d86ca91af67cfc7;1655439;2020-11-20 20:53:31;Stake;1.0799584;23230.85894589
c685bbbee8aa053958b452e8551f7e7fda733fa8332968fc8ce88f1f90df2e8d;1651340;2020-11-17 23:34:41;Stake;1.0799584;23229.77898749
d0f89a84ca31e28c2023344ccdeedd6dc7a1be2407cc5e40b3cb4e2ba23c6978;1651276;2020-11-17 22:36:23;Stake;1.0799584;23228.69902909
37497077e52a29a2c491f5160a3a0dfc895ff1af1aa339d15821e3ef4509770a;1651250;2020-11-17 22:10:29;Stake;1.0799584;23227.61907069
2dc4d9fbde1891eb037d04a32bd8f9c5c69455cbc2065a1060d29da74d177c72;1651227;2020-11-17 21:43:49;Stake;1.0799584;23226.53911229
10e5df47aba84ba8594fc4febeebf325cb339c84eb96f998b7b7306876f429e7;1619182;2020-10-26 09:09:24;Stake;1.0799584;23225.45915389
39682a71ddafcfaa0119df31b1bf8b9c17c45264614dd6f6eee91a855c42aad2;1619046;2020-10-26 06:59:20;Stake;1.0799584;23224.37919549
56217b9868e1217c986daa6b46b12e677190841c69f1a358d31a381f638ef437;1606329;2020-10-17 08:20:52;Stake;1.0799584;23223.29923709
38ea89f8951e74d1e52c4a0f54b7cc125a9170be1f5e90e1530df411473953d0;1606313;2020-10-17 08:02:30;Stake;1.0799584;23222.21927869
56ccdfebcbc5493e9c30fb6dac34ded9b2ac930054f58ef6b0cd033463ef5d1d;1605863;2020-10-17 00:28:13;Stake;1.0799584;23221.13932029
60826f429e92610b61ed048df79af87326f9bd3c3dec9bb0b587852f274ff51a;1605532;2020-10-16 19:01:04;Stake;1.0799584;23220.05936189
e0a7fe4762267dd28c2164f9574d27473bd910d4958eb70aeec1bd8b2f43008b;1603479;2020-10-15 08:11:41;Stake;1.0799584;23218.97940349
07669524c6044df3826eeda50221e4f9e89bca8e73231f7bf175c95c691eb219;1602894;2020-10-14 22:22:54;Stake;1.0799584;23217.89944509
d7109460cc2f71e65120ad0e239ef1cba6ac4886d5b2a191fc9c3e2fc971724e;1525118;2020-08-21 04:43:01;Stake;1.4399584;23216.81948669
3bcab541e5bce55d0e3ea8f3e6dcf22c606c372fe33bfd7eef7d50d72be0abb9;1524939;2020-08-21 01:40:01;Stake;1.4399584;23215.37952829
0f5f9f4f25db6f0a0c6587642cafa29a4ac7feda376359655af7b48ce9f54f55;1524817;2020-08-20 23:31:02;Stake;1.4399584;23213.93956989
05b549fd7daa3099be69bf21b01e55a8c4b9084548d602297fad593210cbc62d;1520670;2020-08-18 01:40:39;Stake;1.4399584;23212.49961149
835ca289ee22acb4342e5343bd35efd554313efefb1c6ad145470fe5faabb481;1517507;2020-08-15 20:23:24;Stake;1.4399584;23211.05965309
b876162d855e9d94e8e3329107e0744b71cd68ab5805b681098f8f36aa947495;1510486;2020-08-10 21:29:18;Stake;1.4399584;23209.61969469
4e120dc5339ab2e81be2144cdaa477580334c3a35fd0f596a7718d1d2e7a7f1d;1507030;2020-08-08 11:06:20;Stake;1.4399584;23208.17973629
6b1341bbe1498a28f7d589ad64d68039973a5f7daa2b53cd3d7f51ac97a635f5;1506899;2020-08-08 08:54:13;Stake;1.4399584;23206.73977789
43ff646a6b593d21813646097b344f6777f7d64889d304b11ff370afc164ab77;1506494;2020-08-08 01:56:21;Stake;1.4399584;23205.29981949
4bf06b3a43a757e256a343ff8375c578762dc7db232d3450191618be8885e324;1504067;2020-08-06 08:54:50;Stake;1.4399584;23203.85986109
16a9a37200e336e0531f4e18aaa409b08d8d6631bf58f00706272c09232e98cd;1503640;2020-08-06 01:53:29;Stake;1.4399584;23202.41990269
1fdbeff121fc2d2d21bc0bbd069a9760ac1ce2cf4d0c993647edc0b93781141e;1500371;2020-08-03 18:39:01;Stake;1.4399584;23200.97994429
8f9aa4b89d6f80d04531ce74f5c49b4ac13e141e031a092b5afe23ef29e72372;1500294;2020-08-03 17:19:25;Stake;1.4399584;23199.53998589
8ec0f33045249c960fec41b56cb76a3c78ffd1c7c573db373cbcda1f58dc4672;1499935;2020-08-03 11:09:06;Stake;1.4399584;23198.10002749
50b2872054fc265e850bfda1d00fcae5f7810d9080cd03a0b8e91fbcaf7dd430;1499675;2020-08-03 06:55:27;Stake;1.4399584;23196.66006909
9f894fe92a28e5e7af0cf50fd7046820822ab115d04870ebde7d54c52cb2614e;1499202;2020-08-02 22:52:55;Stake;1.4399584;23195.22011069
e97ab178e490d5c74ea49cf9754f190ab03b0c5c4edb20093d0fc16204eba255;1499145;2020-08-02 21:58:12;Stake;1.4399584;23193.78015229
30e2eb26fbcf8192867e80d22a6c9800961d4700a8e754d3efca1dbe7d674fa0;1496774;2020-08-01 06:09:08;Stake;1.4399584;23192.34019389
39c49b6bfed16d900cf46f1170480269e786a0da855126b6477763a79c39f50b;1495522;2020-07-31 09:04:25;Stake;1.4399584;23190.90023549
f777a56135ca15566b8b154d68102c17a170f0e197cc93ea062b9a54124afcc4;1495474;2020-07-31 08:12:21;Stake;1.4399584;23189.46027709
593574c034f91901cded92f3e6d9888e4037ec647e4d05aa7de6231988c454ab;1495461;2020-07-31 07:58:56;Stake;1.4399584;23188.02031869
c32310b92f3afd4938409d7453b7ed4173aab6d6add4b4bd9c6b66a03819a563;1494792;2020-07-30 20:42:23;Stake;1.4399584;23186.58036029
73f5f506e23a8c52f284552fb347dd5d1501162e56f5bf9d73cb3030fd8d776f;1494759;2020-07-30 20:13:32;Stake;1.4399584;23185.14040189
8f35c49b0f5862c590beabd9ba2c3da5d8105ba023e449d64e620a3ccd61fafb;1494529;2020-07-30 16:21:02;Stake;1.4399584;23183.70044349
97870459dcf87ddacdac8a0eabc55f34cc06e177485d42b2daf56a8fff5db18b;1494500;2020-07-30 15:53:00;Stake;1.4399584;23182.26048509
d0c6d2d05cd1fed31c20284ea6897397627f14c24e5df24a3ae202348b12189f;1494491;2020-07-30 15:43:12;Stake;1.4399584;23180.82052669
85f98fb962ba268e90d29f3497ad92d53ef49bf381dcebfbf70ae5ed30448b12;1494410;2020-07-30 14:23:20;Stake;1.4399584;23179.38056829
8c4dc535cf18539ff38ee7deb077e6e63714c49f71958dd1f05019dd6145708d;1493586;2020-07-30 00:30:11;Stake;1.4399584;23177.94060989
0cbf995f948c44168c80bb02974f0aeaf4d71f116389479ad2defc1fe3ff151a;1493363;2020-07-29 20:50:04;Stake;1.4399584;23176.50065149
115094c814d574d93616c0760867d56797cbafb640b731f2ff3cb076ca11f58e;1492722;2020-07-29 10:04:28;Stake;1.4399584;23175.06069309
65bde43898c295c786b6cf7afdac0e99f13f794ff6e3322b1da99dc4d97c3209;1492513;2020-07-29 06:29:02;Stake;1.4399584;23173.62073469
b795671c11d399fbd71a713fe9cccb6361a52565d34834bf4d40bcdeb0e29d1d;1492143;2020-07-29 00:20:46;Stake;1.4399584;23172.18077629
ce6f365092f5ba41f8aeb3ebc99d254ad114f91a12435840ecd19fb8c1cc4b2b;1492038;2020-07-28 22:32:13;Stake;1.4399584;23170.74081789
c98debd5de2d626d77964623045f9a233a30b4b6b0846c2149c9d5196a6b87ed;1491434;2020-07-28 12:16:30;Stake;1.4399584;23169.30085949
9ad487391bc388f6846a743f5734f52c40d0dfacccf1d608dc7e4dc91f9a7f8b;1488505;2020-07-26 10:33:39;Stake;1.4399584;23167.86090109
8af61378ba860a2c8239fbbcc8c47a839b87c25a2b9607e3a9e623d32edbbf3e;1488045;2020-07-26 02:53:51;Stake;1.4399584;23166.42094269
86dc6de9e6e3cbf3013c4a7a00ebfd5b2517df4c197eb8255584c29b1f51595c;1487453;2020-07-25 16:56:58;Stake;1.4399584;23164.98098429
2082d852e02216bb03674e29bf83323faf0e7d0878a6d0321867cb935295e392;1483325;2020-07-22 19:21:45;Stake;1.4399584;23163.54102589
8d979324c2763ba2ba8a1273e4a5148fa0f7bf445744223b8671354cfc406324;1483057;2020-07-22 14:51:18;Stake;1.4399584;23162.10106749
adb6ec81ef249fc71af90fe5143d5092cf6c2c04cee7f99c7de1c55bb0fc814c;1482850;2020-07-22 11:18:54;Stake;1.4399584;23160.66110909
7f725e0aea4263a13807c0446196058cae3caa05d5698fbdf8c1a05571b5b961;1480861;2020-07-21 01:43:59;Stake;1.4399584;23159.22115069
ffacfe2e076d81db5c76c93f23b18665c9aa4160b45c089a4f29e4b67e465ad1;1480626;2020-07-20 21:46:21;Stake;1.4399584;23157.78119229
d4ce71eb6c1e347387fccf4366f1914552f711b5b2a4a3127eccb01705e8f304;1480521;2020-07-20 19:58:56;Stake;1.4399584;23156.34123389
99f7a09c2683c5b40240346ced27980eb3f92c7543c3fa51a06dcfdedc3e69a1;1478816;2020-07-19 15:07:29;Stake;1.4399584;23154.90127549
c7cca00900d87ceffab6a01875dc77886e052b5cd2622eef4d91380b46251308;1478539;2020-07-19 10:37:17;Stake;1.4399584;23153.46131709
5530d115537a921c7718de6c13ba909dc029c4383e6539b77b75e6e7a343483b;1478321;2020-07-19 06:58:05;Stake;1.4399584;23152.02135869
cf2045629297dc594cd98a6c0023e03baf2a913a507de86972bdc2d8b7029957;1477848;2020-07-18 22:52:27;Stake;1.4399584;23150.58140029
dc0855457751f8ca7be30cb3857494a6347c4860cd7f4cc236fc8144ce3b6b79;1476725;2020-07-18 04:03:01;Stake;1.4399584;23149.14144189
9d2d09c0595ae56ac6a3d46fd42ff774d6b2d29618dc2b805c767c1ddf1c8cf7;1475553;2020-07-17 08:14:27;Stake;1.4399584;23147.70148349
03687ec53c691e4738e2e21291c429c752890782ef6c2d7996733be3712493e2;1474639;2020-07-16 16:57:35;Stake;1.4399584;23146.26152509
f92e21374c0e84059e6e0ef3d7378b63a8f199ac8eb64fe5b1dda7828b00734e;1474400;2020-07-16 12:49:05;Stake;1.4399584;23144.82156669
e5a60151d3c3dc4ac146c155c5708fe52e0aade2d27b8919329628718c569bab;1474399;2020-07-16 12:48:09;Stake;1.4399584;23143.38160829
56176903c850c9365233b420d58f270f1c81e53dea0d45627544cd537d6cca52;1471881;2020-07-14 18:16:14;Stake;1.4399584;23141.94164989
770e47da8e8b0e515c720bcbe3db2da314aaf4f4492f0db9f8a857b21f4dea86;1471206;2020-07-14 06:57:43;Stake;1.4399584;23140.50169149
1e7de40540d9e60eb9aa2137d7aad57b5c7a65d3eba668c231417fa3d188e722;1469953;2020-07-13 09:47:30;Stake;1.4399584;23139.06173309
62cd04c44d1ffd6114204f47e95a608f9f234566199ace02ae863d3ad908adf0;1469221;2020-07-12 21:20:11;Stake;1.4399584;23137.62177469
