sep=;
Transaction;Block;Date/Time;Type;Amount;Total
9efb7e8c0da47c96d5eed3453468267affcab4922ffdb17da23a27243dfc1bfa;1956427;2021-06-21 21:47:43;Send;-12677.08963733;0
54a1683448f478bcb3f88df7ed9b6dae6fde35c0a40cf1ce92645ae9d06c5861;1939682;2021-06-10 00:24:44;Send;-7499.63979361;12677.08963733
3c3f94246bdab64a7c5a2a6d195fa820a446d098663ee46bb6f444259225c99e;1938238;2021-06-08 23:51:40;Send;-17000.19209551;20176.72943094
807b115230ee4b15600ca9ed2cf2a32673d21e70512f1272f4995d1eaeef5757;1937640;2021-06-08 13:27:30;Stake;1.08;37176.92152645
48d27779a6c4b39b1c66c3fa3e8062e10ac5ef566933e26fc5a90289d0ae4430;1912697;2021-05-21 20:27:47;Stake;1.08;37175.84152645
525981174868cbe4fd560f170d36712cab4c4a942b17607fdd0f10d65adaf76a;1907853;2021-05-18 09:51:58;Stake;1.08;37174.76152645
3cc8d710fc19b49c9da749ee62d53f3360b3242b31eaaf72e37f0e6d608dc027;1907577;2021-05-18 05:10:56;Stake;1.08;37173.68152645
c020c6b249fae19d6fc360f34325000161651cc93160b38b50485be58914e581;1905329;2021-05-16 14:58:27;Stake;1.08;37172.60152645
81d4f669466899b954933cc85a163f1b3ae09db5ede792335b01913c6fa8aa0c;1904095;2021-05-15 17:49:18;Stake;1.08;37171.52152645
5ea2494a14edaf314ceb2ee2e24dddac09d1b088bf132de0a70a6e579c4484d8;1904089;2021-05-15 17:45:25;Stake;1.08;37170.44152645
ba47d75e1dee5c0b85eb99728019fb913a9c570ebee5a35f20a7df41958148ba;1902559;2021-05-14 15:42:04;Stake;1.08;37169.36152645
bf2b3f3c8df45de8238528e120d2e4d782d3d844db09e3d2a65ebab9e51f72ee;1902556;2021-05-14 15:37:22;Stake;1.08;37168.28152645
1e99c32414c36ff20ef8e2be34a9fe0eae395f6844d7b80af845390107c1a137;1902533;2021-05-14 15:17:55;Stake;1.08;37167.20152645
ff08e5d6a717135525115d770afa69ec0376c66d5a4809e51626f8cb541089f9;1898032;2021-05-11 10:29:21;Stake;1.08;37166.12152645
078791691bd179184f84d004afa80cdcbab4024535886e26b1c54321f931534f;1897959;2021-05-11 09:21:19;Stake;1.08;37165.04152645
ddf50491529c52433f396762f47c494ca02507f509049d4317926d23ac9bdfbe;1897942;2021-05-11 08:55:32;Stake;1.08;37163.96152645
e41e20b323acb9d45ab57bb9f88ff05f2725fa19fb49f618856e97425da2e034;1897883;2021-05-11 08:02:35;Stake;1.08;37162.88152645
b5190c253faff7685ecb60b1c4d37583d24a455410c11b9d924294d1751e1fce;1897750;2021-05-11 05:42:52;Stake;1.08;37161.80152645
e503b9b42440b7ba81c27a6e5b46fce81d9ee7d23a176b5ccaccbbe6c437ff3a;1897722;2021-05-11 05:17:13;Stake;1.08;37160.72152645
0a5c8139d5d33118c28291f4f6c64892f00b40a3178ef5773d254d08c773ac9b;1897662;2021-05-11 04:11:36;Stake;1.08;37159.64152645
96fa8ddf8a3178f3621fa53ae7b5bf8042a28f4d0bb0f4aea17827faeb223e61;1897646;2021-05-11 04:00:49;Stake;1.08;37158.56152645
553716c63377a9c71dab7d4f05c7d750972357fb9309beecf66c76c831f5b0b1;1897465;2021-05-11 00:51:24;Stake;1.08;37157.48152645
475a0091547fcd88f421d16e0a1168d254862ee9d00da30ff6ca3d31857b74f2;1897425;2021-05-11 00:06:29;Stake;1.08;37156.40152645
aea41c68d00b9665a0248f09f32e0b6441d0c6689822ad0ecade1081d1accab9;1897234;2021-05-10 20:52:32;Stake;1.08;37155.32152645
