sep=;
Transaction;Block;Date/Time;Type;Amount;Total
b34d9ad0f26743ce0a7775bde711f857100748f9cb4924797ecc004f6ddd3336;1768606;2021-02-08 13:27:00;Receive;1017.35302071;34283.26450059
c5c79e5a28367cb94f4c7d439a9fc5c26ff7a70d1b6157aa46e4e8171a43fdbf;1768604;2021-02-08 13:25:31;Receive;1062.7119698;33265.91147988
ad4669d51554b6e96d3e16ca95c75a3439389d69771617a951aae02d21210ff8;1768604;2021-02-08 13:25:31;Receive;1087.55254706;32203.19951008
0afa9347c02b40df95a5556fbf9dbf39e05597958f2ce05a8823a073977705f6;1768602;2021-02-08 13:23:07;Receive;1197.17048965;31115.64696302
407b7057beed0326a5d5ff67d083b9a10d8e42864054873c88aaba5d16edb255;1768601;2021-02-08 13:21:37;Stake;1.08;29918.47647337
d82dbc9d697aba3873b715366f43b762b564f5c6fbd35377300361b9ffd0a54a;1768585;2021-02-08 13:09:39;Receive;1192.31125933;29917.39647337
93c885e136c544a17ff58e28fec221e4355c159cbbc1c886ec20deda26d35396;1768578;2021-02-08 13:03:53;Stake;1.08;28725.08521404
b8c4e59509c438b44617df0bef7d65d19b2fd110c012673525bea26c2fd6aad2;1767161;2021-02-07 13:03:47;Receive;1021.67276908;28724.00521404
b77126339233cae4e9ddf0cedb5169fb7508704b1e49a4abd6cd92de89261e5b;1767159;2021-02-07 13:02:27;Receive;1196.09149615;27702.33244496
40d355042b99abe3479d7a91ef6eb68c823622c0f87b3b1e3251ada9c4641b49;1767156;2021-02-07 12:56:23;Receive;1198.25112612;26506.24094881
031860d8a2eb02475a93872f152f7c27bf2343487bfa48985916754ab5cc57e9;1767143;2021-02-07 12:41:38;Receive;1184.75120013;25307.98982269
a7786226394b796684d49c441754685e180088f2c526f236c593c221dd98a98c;1767109;2021-02-07 12:04:00;Receive;1197.17053406;24123.23862256
27137696a42db058e97302f4748af34c3683df52b6aa4bb527a2f2645db64e62;1767091;2021-02-07 11:50:40;Receive;1197.71088929;22926.0680885
d2908701acac76eba1405cb1ff543581e4921af4f3e8200dde7b6a1f58f51431;1767081;2021-02-07 11:40:35;Receive;1199.87105211;21728.35719921
2b21af1fb0d402c3ab25964fe8cd8af003503ce689f9adf1ffb019a8f7037200;1767071;2021-02-07 11:27:28;Receive;1199.33081529;20528.4861471
1afde6c3b8e325d24e580c596dfd1ecb0f0daec088a1b18b1ea65591a1cb54e7;1767064;2021-02-07 11:20:27;Receive;1197.17106691;19329.15533181
b08a2252e476aa7cef38a407e3ddeaf9d558c17c1afe046533ea9db273a966c4;1764428;2021-02-05 14:30:38;Receive;1274.93003081;18131.9842649
8cc0c735c9a9210e94fd0c82fa861341a4a1709e68218e6d6288c39b5e111fc6;1764414;2021-02-05 14:21:39;Receive;1268.99004561;16857.05423409
