sep=;
Transaction;Block;Date/Time;Type;Amount;Total
3c5b6f09393145975001584509dc945755161a13ab665dcac8d8b475e6042aed;1878253;2021-04-27 09:20:19;Receive;1245;54781.4398413
b5057ab05899e28f6f9f02cfcea403a6400ae1d227746b8817557746472f0bfe;1859984;2021-04-14 10:17:37;Receive;1245;53536.4398413
757ef5316a6a22af11be4a535ffb40ebfb755c802b4ae141239f31d9dd8fd6d1;1837272;2021-03-29 07:17:22;Receive;1245;52291.4398413
a61a69a34e4f396b8acf5cda81b90f1a3e46b9cfe81bb71ee8b2618e518f6683;1707769;2020-12-28 00:08:46;Receive;1245;51046.4398413
d99cb5578e39833e7b861ae9a7522ac55e37cb2bcd0abbf0aee6cd59b05bd61d;1690803;2020-12-16 01:32:45;Receive;1245;49801.4398413
27d9fb9b4f8a7bc78b64377e07a23e2aa51d16c51a48e95fc9ca083a02ba530e;1678504;2020-12-07 02:20:32;Receive;1245;48556.4398413
da704ac56ee18a4286ae0b68096a00eafcc3bacef90e480ed042a916fde5feb9;1662759;2020-11-26 00:33:45;Receive;1245;47311.4398413
10b0372d82864a5021e177be720c732545fffd1a143b8b1d1538a112dddab1a9;1650026;2020-11-17 01:41:05;Receive;1245;46066.4398413
1d9b035d57a8cf5f154c2aa122e1741ae0957d8182db3baa364e0a8805bda353;1634204;2020-11-05 22:34:13;Receive;1215;44821.4398413
69b17dc844122124f71bb975e465eb665ff74e44385683241cf8d0d27776d5f2;1634204;2020-11-05 22:34:13;Receive;1215;43606.4398413
6492e52af839963e15e61996d2b5ae75839dee181cd86962129551510e478ff1;1634204;2020-11-05 22:34:13;Receive;60;42391.4398413
aea399c8c475e802385b0463204d5d96f238b75b37217ff7766eb125184798b3;1614369;2020-10-23 00:08:47;Receive;1245;42331.4398413
3acfede3a7e406f731820a6b37b53b5f6efd21e6a5e715eab8701f044fdbad48;1602934;2020-10-14 23:01:32;Receive;1245;41086.4398413
700ed5bc3a4a56cfb1059448c9b346cb734c047f9e02b69d6df492a2e450b44f;1567448;2020-09-19 23:23:27;Receive;1245;39841.4398413
10136ef59b67a935900fb2006400c7b4d6abc83da0905f797e6b5db20b579150;1562811;2020-09-16 17:03:02;Receive;1245;38596.4398413
fda134b393297de3c22da953b88579152e6ed9120cabbf5812dd3b958314ca0f;1542954;2020-09-02 17:44:20;Receive;1245;37351.4398413
73e87ecf4992eaf382b11ab8d5719bdb32a50cd4c051903442d486e0a2e229cb;1542953;2020-09-02 17:40:28;Receive;1245;36106.4398413
64412a8c039294b5f8fa5a7cd3967880d7b773cf36a6d71c98435afe7831fa23;1523375;2020-08-19 23:25:10;Receive;1245;34861.4398413
04f839a8d89bf38f872420b4bfe0b2ec7a445b23758c75cbb0cb1a32ee29fa3a;1512952;2020-08-12 15:24:20;Receive;1245;33616.4398413
85a9f6802e6af54d4218a760216776b55ef5c4147a266bbe5dd22d583dfe95a9;1496419;2020-08-01 00:10:06;Receive;1245;32371.4398413
b04045af04c73e38d8fdad8a1730257de6c82baa3e069bf1488d9cbafb7b0dd5;1492067;2020-07-28 23:06:46;Receive;1245;31126.4398413
40b3a38166779ebcf21550b23632b5aecd93349c760990702752490a898bffc0;1470707;2020-07-13 22:35:28;Receive;1245;29881.4398413
f292d9412521dcc2eee7143590d4766ba90f0c6c8e079e414bdb11ec8d91b754;1459234;2020-07-05 21:03:15;Receive;1245;28636.4398413
98ed645594b561281c47ff1368cefcb24ebb106dd46e69ee76c3d11d00b8a3e8;1447897;2020-06-27 21:51:30;Receive;1245;27391.4398413
f327b5999005072dfb6c6e6150e049e98b8ecd48da53ddcec3dfec0198f448a4;1435231;2020-06-18 23:54:17;Receive;1245;26146.4398413
29388ee47010ce6ee32aab7a86ec91bfbd017e52726bc09e4954aa487bc1e7ff;1422413;2020-06-09 23:24:11;Receive;1245;24901.4398413
f6b8a0b026be52854ea0d4fef736acf2740410c899380f71585f501c0730d8cf;1399594;2020-05-24 22:01:57;Receive;1245;23656.4398413
780ca783df2d26768e3ed52b61488aeb5dda0794f06e29a6f7e34fbfb1ebe8db;1389515;2020-05-17 19:45:32;Receive;1245;22411.4398413
a4582995aa9259513f3039f3bd6fdfddd567a2d5dbfe5fa77a813e6631286a3f;1376860;2020-05-08 22:00:47;Receive;1245;21166.4398413
c16d28b774c2e30d58f32afff3cb2423e762bf0a1e18e31145fee3021622e54d;1361271;2020-04-27 22:43:06;Receive;1245;19921.4398413
9a28e464d3b7af2db407804c3783539a68777c29999d8019725ca2bed0642397;1351285;2020-04-20 22:07:07;Receive;1245;18676.4398413
d045819fa270b39b2eb0c3f5509cf2653c84ebd6bd80b53f87d557d9a05069a5;1338454;2020-04-11 21:59:39;Receive;1245;17431.4398413
adafae8e9828df901c3c1f9f3631263957a6a21287d557fdbe47a082cab19a11;1329951;2020-04-05 23:28:33;Receive;1245;16186.4398413
ab1ddb28221ea162bcc7d1299a5a84dce29dfa70f858039073888859debe0dc9;1321382;2020-03-30 23:23:32;Receive;1245;14941.4398413
2bc30b9ee53ec91fb115e56b24c623c1552efd9848b29a9a25bedfad768baced;1306620;2020-03-20 14:38:05;Receive;1245;13696.4398413
a04101109eed4ef79991d3554218b3ef63dd0da6330601754dad718996fd790f;1293976;2020-03-11 17:48:25;Receive;1245;12451.4398413
7d8521656f6e08a4a72c096198b33b8c3f6a2e00a4b5700c4f0cc31f1a25ea93;1281414;2020-03-02 23:17:09;Receive;1245;11206.4398413
1001d113ab8fbb1b9e8f6371ccc6fb8bb3a09fb5b7bd9322ecbd475603a03a89;1270129;2020-02-24 01:08:34;Receive;1245;9961.4398413
6014e718afed97a957845a694e1a5762c0d760a229ba9899ee4b21cd0703222f;1262590;2020-02-18 18:01:20;Receive;1245;8716.4398413
8d36b189aa908898afc2524d1ac0fea2f809e777eb8daaaeb929eb64a1ce7a53;1254431;2020-02-13 00:16:40;Receive;1245;7471.4398413
29407453e2e3c273cfd77261ff7876a302b6af06547810a0bf853c0ac281ac8c;1233015;2020-01-28 22:04:49;Receive;1245;6226.4398413
d8932b043b2041a905c9a0867ae04ad3decd4f07dac98f50651da04217b6f56a;1230471;2020-01-27 03:09:28;Send;-4980;4981.4398413
ec97dfe1256b3f89882a2971276781e2ebc7e00e5bb3c605cb3b05f9f708e944;1230466;2020-01-27 03:03:51;Send;-4980;9961.4398413
89e53de9aa74399caac48705773a663fdd2d8753c53160999bbda1ffd60d6f3f;1210350;2020-01-12 23:57:44;Receive;1245;14941.4398413
a6d063fc8d2fb749ae3dcd2f129538f0cff11c0dbe61a24f30854decb77e61cd;1203341;2020-01-08 02:05:23;Stake;1.4398413;13696.4398413
5af3b77ff52bc80cb5d8073a9ed9698ce94c780017de00e5595f036f4022ff4b;1203267;2020-01-08 00:53:01;Send;-3739.48;13695
ad78ad534917c20547d3ea9be12c70329e174342ac3414d99746eb11f7f29a77;1198951;2020-01-05 00:15:29;Receive;1245;17434.48
755302540b7f7419938658e22bdca983e0bdc51bff06234503309488bb1209c5;1198951;2020-01-05 00:15:29;Receive;1245;16189.48
68908d141cc30b92b68828a437e6a10b35ff3f1297eb72f5a6970d6861904cbb;1186073;2019-12-26 23:10:39;Receive;1245;14944.48
bb9006e2d36dd977b7b394617fc8b73918d0b28a362f52a1513eff97e312648e;1173241;2019-12-17 23:11:47;Receive;1245;13699.48
c40777c509852e3b1133550f9e6c3651ae293b49b999f7d0a93edac35da75f79;1153323;2019-12-03 23:20:52;Receive;1245;12454.48
ea2efdcbe15df8f7a0fc60a3d686307b751124ccc47558ca2480d04cc09cb067;1153130;2019-12-03 20:02:15;Receive;1245;11209.48
036f5c04776966fa28a4860403300c34784de9e961f33cb6d33f5b1671b6a47f;1143382;2019-11-27 00:48:15;Receive;1245;9964.48
d16ec9d9bb564ae611cafe8de9e3dccf53fccf0aed7e268022566d0d024ab97e;1123402;2019-11-13 01:04:39;Receive;1245;8719.48
7522f097ce0cbd9360009098639ee65be730bb77e5a32f9433c9a564769a0c9f;1111858;2019-11-04 23:02:09;Receive;1245;7474.48
993f582cb143b4dd2f06ee44b2f2a131c944c721b5b8e8cc8e0acf571685d4a1;1107232;2019-11-01 17:23:32;Send;-4980;6229.48
d98e63f69a65d843a4177266b5ed2c890e8411a486f986937537bc497e39032d;1103129;2019-10-29 21:21:15;Receive;1245;11209.48
934622df93f5834acdced4d3a30aa526c2b885c616ff1d03b256cf95f3268d1f;1091583;2019-10-21 22:29:22;Receive;1245;9964.48
3bebe66546d7f33a32ad61a19991b9c262963d915ab0a36f4d0160d507299344;1081427;2019-10-14 19:00:19;Receive;1245;8719.48
b881c9086f1d10c1a4989b4a476ba2c091d7d408012955f3cb34355c47750324;1070229;2019-10-06 22:15:56;Receive;1245;7474.48
dce9244046c14d3590676b526a8399b97a0d34076df93a5168ae0c4a541c6b3a;1061773;2019-09-30 23:52:45;Receive;1245;6229.48
fb280fe22161a1262845b252911a09ef71c928a31b95725732c173b212a458fc;1047354;2019-09-20 21:01:14;Receive;1245;4984.48
0ad32525914bf1ee365350c6f2941f8ca51d915c84de290ad631ccd3afd88d10;1034400;2019-09-11 18:37:42;Receive;1245;3739.48
d011cf6bd1c56d059e58ce8e91ed1d68ac79be147e4d72d40da9dfaa01a8e18a;1029015;2019-09-07 23:50:58;Receive;1245;2494.48
88f1c0d90f90d0fc7825ee4b087de0f2ab1c48532faeeb0c93a34a7f33c04ceb;1026262;2019-09-06 01:30:37;Send;-8092.05994076;1249.48
3258302f0c30a5750184a0cab5fb7d1a127358a7c6332a3f201b3f11d231f483;1017694;2019-08-31 01:14:16;Receive;1245;9341.53994076
f4001a4b676af54f92baca165851517d62891e3abcb493847fa905cacc563884;1007707;2019-08-24 01:03:06;Receive;1245;8096.53994076
3191214203430af16cda915206b0e66cf77a9a1638795be33662bdf6c0abdfce;996212;2019-08-15 23:26:17;Receive;1245;6851.53994076
f04567e9204513e440972d85af6394b1b9d99b3f8a0fca0822994f98a2284492;986078;2019-08-08 20:43:40;Receive;1245;5606.53994076
c8d3d0fb9bb07b477a79da9c9bfd94456252b54a5f7fcdf4daa767469ecff4d0;980292;2019-08-04 19:08:06;Send;-8092.05993172;4361.53994076
47314b4a859cf38c75cfa7e603b9b04ac4b31c3ebbdc4c7db9755ca07b065d2a;974518;2019-07-31 17:40:06;Receive;1245;12453.59987248
c0866da4f3b3b0486b55cde0776be188c33fff0f8df7e1a07bcebe805a6ec279;964898;2019-07-24 23:43:49;Receive;1245;11208.59987248
368a30fec0415663b2054883cce79cfc91c1a93fac3cb009f6df63c7b4b53ff7;963293;2019-07-23 20:33:40;Stake;1.79993172;9963.59987248
4d359e07696bb8bc4400eb25996079716ce84f173ab4c2c88841f52a347bc9af;955810;2019-07-18 14:24:38;Receive;1245;9961.79994076
16253e26a8673537ddfa06b76dcdd72d0d688b614bddf222142670663fa7718e;944515;2019-07-10 16:04:23;Receive;1245;8716.79994076
bd6c04472bb7ad2cf521d827967d54a827fe7f39014335d56405936ddc97f658;942249;2019-07-09 01:53:40;Stake;1.79994076;7471.79994076
cdeff70285a60e82295201410b4c39baca08c7a009d96d043acc33fc3ccaf323;942042;2019-07-08 22:24:33;Send;-4980;7470
5546eaf4dda90a928c00553911eac87b60b31e317529055a05c9c41816607f33;933479;2019-07-02 22:25:58;Receive;1245;12450
a524b6079b3cf350f2cd6ea024fbd802381d084a73d2f9c1babb7d8f385dbda6;911927;2019-06-17 23:04:34;Receive;1245;11205
d4c023ce21563aa39df16c074b193ac609e98e876d289d8f3880be7deee38f94;901976;2019-06-10 22:40:06;Receive;1245;9960
