sep=;
Transaction;Block;Date/Time;Type;Amount;Total
7bf759176f0f83ea930ae95394450679590323d4d4e7e2097d686855b9834cf4;1772913;2021-02-11 14:41:55;Stake;1.08;31369.5789873
a3510a3146e9e807bac1e80ca4eeae1800cc932964c9f72953b190c82c1f35bf;1772014;2021-02-10 23:24:41;Stake;1.08;31368.4989873
1794e13c1012e077ead1a13103e5d526503e4e32fd8a98b7572a9f7ed17e23bd;1771963;2021-02-10 22:29:23;Stake;1.08;31367.4189873
a8b01e3ec5616de16ff29e3dd9c05dbeeae26c7913e1913826edd753ce22e08a;1771836;2021-02-10 20:20:47;Stake;1.08;31366.3389873
b6630efa3e7863df892d193013045587777e62668cc76e7b76ca5c1cf2935b23;1655486;2020-11-20 21:42:36;Stake;1.0799584;31365.2589873
b71decb3831dbe9c72e4b28d0ec4cf6bfa25236d8185a77509cacfaf494e194a;1655472;2020-11-20 21:22:54;Stake;1.0799584;31364.1790289
d97804a1e834ffc01d39923b8aae26ad0e7b63ac11b9f4ad567f3d1cda1c5961;1655376;2020-11-20 19:46:06;Stake;1.0799584;31363.0990705
025154236c481bfa9a44ec1d16a515a67722b595bd1bf0c28b1c544e61e825a4;1651274;2020-11-17 22:32:55;Stake;1.0799584;31362.0191121
ba493830ec30c0c1ecbb90169b6ccfbcca776a2eaebe73b7b7ca7f9ad3229e12;1621603;2020-10-28 01:56:47;Stake;1.0799584;31360.9391537
9b3d61c9d2ed6247fa546cb1b6ed470cd4eae9c8106d5a332b9a8b0e4c50eee6;1621559;2020-10-28 01:14:29;Stake;1.0799584;31359.8591953
10bffdbcf839664b69fa416b06daa96af8e266762ca2871b3737065b6099ebef;1620560;2020-10-27 08:38:38;Stake;1.0799584;31358.7792369
75421695c93e85ebc8443f938b21dfe0fa58be1a970a9bfa443a7d3ad64ddc7c;1619100;2020-10-26 07:53:16;Stake;1.0799584;31357.6992785
836d0c9cf9b7d9d7be46ca521924cb74235d537160ea3497d58b05d6748aae86;1606278;2020-10-17 07:31:03;Stake;1.0799584;31356.6193201
541aa9ac28619b4cc5b053eff87a49313a032077797cc5e665ec96eed8d7222d;1606164;2020-10-17 05:38:54;Stake;1.0799584;31355.5393617
5acfbe782f85a689963ec85468c4d61cd82e4d4cc4bdc7f94f7cef71d6f69daf;1605803;2020-10-16 23:35:23;Stake;1.0799584;31354.4594033
0707744b906fdc2317833b2243f6b0ea502e46dbf104255d38628549ce77dd60;1605688;2020-10-16 21:34:31;Stake;1.0799584;31353.3794449
8f510e62c59db8d9d8e51ff285695d37e6e27151f6c8fc1cc1e3ed55029aacad;1605640;2020-10-16 20:47:24;Stake;1.0799584;31352.2994865
8f711dd3dfc59e7c31a4b128260e9037d16b092faa9534c469a1a727386cd19d;1605567;2020-10-16 19:25:57;Stake;1.0799584;31351.2195281
a5a75b264fcf7d6919f27c066c3b43685c4b79d3fa7d0fa3eb7c468cafc45942;1603450;2020-10-15 07:42:26;Stake;1.0799584;31350.1395697
35e9a2f8d72cc8ba2b66acd71229dd4a02b775ce163d80a4b9f1ebac40d1a0c3;1602890;2020-10-14 22:17:03;Stake;1.0799584;31349.0596113
16d39ba04c937af9e9cccf70a21ca0399a9775e8e1c651d75e00ec32f0551c43;1553825;2020-09-10 09:04:31;Stake;1.4399584;31347.9796529
653501c5c025a3e111af07c095e383c1a281ce6a0b1b3feee7a03d9cbf82e727;1553778;2020-09-10 08:14:36;Stake;1.4399584;31346.5396945
fdd5e31a75679ddfad5f09ca4aa027e3fe94dcf53aac40648bd4b80dc8ff8c0f;1553702;2020-09-10 06:56:30;Stake;1.4399584;31345.0997361
21153442f21bccd74da6d7c53b498ffde18bd6f870b7d16d2d0f8e05caa3c550;1553242;2020-09-09 23:26:40;Stake;1.4399584;31343.6597777
0590efd112010f3b9d5be240cf42e58634f483fb9b760338c97d70852af1422c;1553192;2020-09-09 22:37:02;Stake;1.4399584;31342.2198193
1cabf4e0e0902d0613f1187c264e6c88c5e73f45932395dadc909df678153877;1524673;2020-08-20 21:09:40;Stake;1.4399584;31340.7798609
3ee83e83acf0d62af5875c2158c41527d71cea0cd4825fa452121ddfac3ae003;1524658;2020-08-20 20:59:52;Stake;1.4399584;31339.3399025
b94f767c136812a934a2b7886f259e46dba249c17f957723d48313b47eab1352;1520900;2020-08-18 05:34:00;Stake;1.4399584;31337.8999441
860fd5b3b4917aaab37c5dc9d8200617ded628f4406ad44e3181adf248ebce39;1520606;2020-08-18 00:37:34;Stake;1.4399584;31336.4599857
788cae0a429f76e205fd572060feddd2b09f1ce0b5626856eb86a1b189886d88;1518049;2020-08-16 05:27:37;Stake;1.4399584;31335.0200273
8e606fe9c94e19d252cb55033cd18eac333f866ce056c02d29378c45d196656d;1518048;2020-08-16 05:26:19;Stake;1.4399584;31333.5800689
d34519231d9a174508bc117cbdfa746a0f6dca67eaca6469f7ce3513a253dd74;1517877;2020-08-16 02:31:40;Stake;1.4399584;31332.1401105
64bf3eb651d698966410374aecdcd5e8bbf795d3817a8572fbfa1282cd80da11;1517776;2020-08-16 00:54:10;Stake;1.4399584;31330.7001521
26b818b3edf7f25675986442a797da79d41e6bd60343bd8ce12701648a53236f;1517749;2020-08-16 00:23:52;Stake;1.4399584;31329.2601937
4d1cded850e7ddc74cd1d7d7fb19eb3e5e4dc3a9509ad0e608950fe3ba917e4d;1517671;2020-08-15 23:05:50;Stake;1.4399584;31327.8202353
68bb141178ee7865b11a6cf79a1ac23c8c488bbd9a8d29015569953343fc72fc;1517669;2020-08-15 23:04:28;Stake;1.4399584;31326.3802769
c00e1c8232903910002c3441f9fc57e8de0c1ff781c09338dbf3c26d15a01100;1517392;2020-08-15 18:26:36;Stake;1.4399584;31324.9403185
ed6c9229cc6b2eda12957d154e49fd35d04833dc5bbd87349af02aace234aa1d;1517331;2020-08-15 17:23:28;Stake;1.4399584;31323.5003601
8c1b6ded0e2b1e1774167be0310302ece02b2b99dfb054a24c0f5c3afe0ac5a5;1517064;2020-08-15 12:54:14;Stake;1.4399584;31322.0604017
304d3dc6d02b3b2439e9a5250691505fb7d6770982df74b48d44adf77df6e7ff;1506806;2020-08-08 07:17:14;Stake;1.4399584;31320.6204433
c118d9c9594600e7819285691eb2333169bf30275a9de6b238a80f798bba40ac;1506578;2020-08-08 03:23:11;Stake;1.4399584;31319.1804849
b6a65d9c906e07869f787fc816188471803f35685778f2c012cba5265e7c0b97;1505767;2020-08-07 13:33:18;Stake;1.4399584;31317.7405265
2deca95ceb94343b96e7a5e69cd32cd9f5e7f544c5aefe4c4a5ddbdd5b6c0800;1500676;2020-08-03 23:51:10;Stake;1.4399584;31316.3005681
da4c4dbf310abad3049be1f2f57dbf147c529cc4f7c140f43bcaed5ec6a1efad;1500561;2020-08-03 21:48:06;Stake;1.4399584;31314.8606097
7c235a0364e1ed3edbd4ec68373fcc9696ed759674f064a210bef255266f27eb;1500162;2020-08-03 15:06:08;Stake;1.4399584;31313.4206513
2108c47324ba02ea12af42bcdc0f417946527fdb1b23014380f0496776f2a5cc;1500108;2020-08-03 14:13:14;Stake;1.4399584;31311.9806929
9390eaf1b2f05012ea3daabc82c5ffb52b573fc73bd33d3d878d0e0354009961;1499839;2020-08-03 09:40:23;Stake;1.4399584;31310.5407345
23925489637729da1dd787cb8b6a0a727cf5eabaf965590a3ec26f7c9662bf25;1499462;2020-08-03 03:14:40;Stake;1.4399584;31309.1007761
af31972dedaf3f270302f76bd9d632a5cc24074342d52727440990a59a8967ca;1495807;2020-07-31 13:44:44;Stake;1.4399584;31307.6608177
1647e27d92bb8c503310c083853b14aeba100314a91dcb95670b0031222e7c8e;1495332;2020-07-31 05:53:27;Stake;1.4399584;31306.2208593
a8de89d17365ef5bfe324989c25ab6fcfddc16f48665b0eb93e67217c048e5fd;1495120;2020-07-31 02:17:00;Stake;1.4399584;31304.7809009
044a18f815f4b4c3563d7da07e16065a1ef7d166d9d0221254428d95c7dc06b0;1494845;2020-07-30 21:37:16;Stake;1.4399584;31303.3409425
bbe26e491dc7878c750133b5660e434b0ab9bb089e7d04e29039a6e88311a318;1494753;2020-07-30 20:07:34;Stake;1.4399584;31301.9009841
bd6bf598992e148ed9ec374db42866a28141c3904af1743fc54d91ed7657efd8;1494726;2020-07-30 19:41:14;Stake;1.4399584;31300.4610257
7e35388e7a52f63cbfd77b14d9ea446673ef80880ecc38f1c608d9152da16229;1494380;2020-07-30 13:57:15;Stake;1.4399584;31299.0210673
2cc162ddb74d016e98ab0d8d4d93c6b4fdfbcd112ec2a511aafba32bf9b239aa;1493625;2020-07-30 01:07:33;Stake;1.4399584;31297.5811089
10622b4d82d201fe283402623632aa8852ea632670b4966f6699f5bd3662b447;1493443;2020-07-29 22:09:50;Stake;1.4399584;31296.1411505
798517819ae5bb83d532c475fe0709d99640305831111b4615d54cddd2a106f7;1493069;2020-07-29 15:58:06;Stake;1.4399584;31294.7011921
551b9f60398b0cfafc12a7dfaffb5e29e7ae344da06543d5fd2d21ee52c42ca7;1493002;2020-07-29 14:48:21;Stake;1.4399584;31293.2612337
e3c196b220a1213daa5d664507474a56fbe7a61e2f6430946f14be4e5e67c5c2;1492828;2020-07-29 11:45:12;Stake;1.4399584;31291.8212753
6f12ad9e1293d20546d1e4054ea30eafa6e5b44e5fdaee862ca45eb0e8e4fc7e;1492595;2020-07-29 07:57:54;Stake;1.4399584;31290.3813169
50b38119c77999b874328271f40876746dd399da04f6a338a13fd61cc01497f4;1492485;2020-07-29 05:59:23;Stake;1.4399584;31288.9413585
d54b50a44a5b10ae004abd3f27c0bdbeb33a55f28595247a73abd2638eedfc4b;1492081;2020-07-28 23:20:30;Stake;1.4399584;31287.5014001
0c9fef0cf887eeb3dee100e013bf1786cf82267beba5a73112db045dc53019e0;1492028;2020-07-28 22:22:58;Stake;1.4399584;31286.0614417
b0382b538ebde3cb46439735f9dd24eeaa201120dc1e264a12fe334a1e7f630a;1491931;2020-07-28 20:45:11;Stake;1.4399584;31284.6214833
9314f87a37199d3d53bae757cda1bb402842fbaf696ac427bb100c89d1e46460;1491918;2020-07-28 20:28:35;Stake;1.4399584;31283.1815249
f62fe38cd279811fe1e49c1932804d19d321005129a60c48a8ed8046e62aaade;1491916;2020-07-28 20:24:46;Stake;1.4399584;31281.7415665
72e5951b5e19da5f4f05a50314a17b5f94bb5b5df2ec493675cec1a46a02b1ef;1491875;2020-07-28 19:40:48;Stake;1.4399584;31280.3016081
792d32667842cbc8771232509a024e090c0e9231d899460ce6ccfc157160c48f;1491845;2020-07-28 19:11:12;Stake;1.4399584;31278.8616497
d15b1dbd6bc8aa6980ff3b8cc7b2e9a539d752985102226d61dcd00fc5e4ab3c;1488647;2020-07-26 12:58:53;Stake;1.4399584;31277.4216913
9b468e55427c03790d6aef5d4f448b79bd9c3abb89410d1e5c7d0c0c2588a2ff;1488620;2020-07-26 12:30:45;Stake;1.4399584;31275.9817329
32b83b7f244b1cf4e35fe64081795411e08af2dffd03ffea13c86823689025c7;1488103;2020-07-26 03:52:43;Stake;1.4399584;31274.5417745
