sep=;
Transaction;Block;Date/Time;Type;Amount;Total
eb0962093da00a6887b0ddc02da0aa9cb06f7af772203465723681dc794d8722;2208850;2021-12-18 04:40:00;Stake;1.08;21550.4557
0a285c609ca41fdaf628a9a18ee3ac7de62d56489f645edf188c63fc55496749;1877332;2021-04-26 17:44:03;Stake;1.08;21549.3757
dde905c79deb33183fb91e2bfc99fa2d3fda70175e181df01d12850a1a03fe3c;1876469;2021-04-26 03:05:43;Receive;19999;21548.2957
ff6b250b5287384a99efbcdb503a4ed9615f4211e72045aae3aca01ab32773a2;1876466;2021-04-26 03:03:42;Receive;823;1549.2957
f253e76635784a085bd947ae8fc70887a6b75f519664e3bf2056c343b0fb17a9;1118736;2019-11-09 18:36:53;Send;-823.07098;726.2957
2f36a14dfee771046615cdcfa2bfebb73eb619902344974bb08b7d21a2196878;1095480;2019-10-24 15:27:45;Receive;726.2957;1549.36668
c41c3e3a4278bf432b4bbb8e08d9be75ef1826bcc2d601b34ed114b09665b4c0;1095476;2019-10-24 15:22:49;Receive;823.07098;823.07098
970dd4405932ee97a8679a22c158aec9213ce9b0b0948dd22f7be68d64838c20;924406;2019-06-26 14:01:41;Send;-10001.7999;0
7bde55e657da49cfecdbee5d652a5a761002a98ad454dcf2d4c12811d08beeb8;924400;2019-06-26 13:54:20;Receive;10001.7999;10001.7999
934cc4579c90eae3e30ae429734f7ba626fc344ae3a702b5ddb90e2603cbac9f;923254;2019-06-25 18:36:30;Send;-10636.03889467;0
58fb458fefcd82ec51449d5da5e21ecce7ddac1a5db42ced31e6c7b8788edbef;881981;2019-05-27 21:10:19;Stake;1.79995838;10636.03889467
ec4e71f99f8285808d3b19320cadc7ea303f177adb50a2559343400413d05c2d;880002;2019-05-26 11:52:22;Stake;1.79995839;10634.23893629
ff00aeec5aa9235ad7eafe2e1190c35363ef70ac26f6d38fcde72012073c4c21;879961;2019-05-26 11:04:28;Stake;1.79995839;10632.4389779
8b2260bb8cb88733c3146e2ab2b94deea403408182e84a8de23250d5a0a820d7;877797;2019-05-24 22:44:09;Stake;1.7999584;10630.63901951
0dc36ea6da80949eb781d087b1ba50a948d0e91b752a5b530d52d7cb3bd658c2;877701;2019-05-24 21:13:32;Stake;1.7999584;10628.83906111
b6dd4b374f5bca7cfcaf5bea360ed20e2bc4355a0a2444f0e3af3288f11818fb;877287;2019-05-24 14:16:03;Stake;1.7999584;10627.03910271
1c11c71276072a12aeaac5b7c92d1c8b66f365c5dce6c68f3f5481a589611aa3;875868;2019-05-23 14:22:51;Stake;1.7999584;10625.23914431
e342a629241c818dcd279909237a1f3556c1e1ef7bc9c404bcbaf0c96080cfd4;853787;2019-05-08 02:09:19;Stake;1.7999584;10623.43918591
7736616d64daf9f2dbeff69e62a456a39de50cb1913ac771dce0b4ad57657a22;853711;2019-05-08 00:41:19;Stake;1.7999584;10621.63922751
8b8a46017d8e3f27c3722bc4ffafccab3fdfdaca03e330da336d7ea7e84df708;853048;2019-05-07 13:29:49;Stake;1.7999584;10619.83926911
91a65bde2e22af6c2fc805dc68025971e331de33905f661d9afc7fa97f877093;852628;2019-05-07 06:26:40;Stake;1.7999584;10618.03931071
e41056d112caa05722e27468f9f4c6f9b6e77075c372131e7f34817f8247c0c8;852453;2019-05-07 03:27:05;Stake;1.7999584;10616.23935231
c9648c5526b59a97fe2d2b309dbd63c1e5b4326601005d5af5e28d01e609b62d;852122;2019-05-06 21:50:26;Stake;1.7999584;10614.43939391
f7e18882c5b30fb0a67f146a3dfcb4e025ff17f267596c2c03e11a1a5fe5e69f;852083;2019-05-06 21:17:28;Stake;1.7999584;10612.63943551
96b9625e91476d95821472de2803dd3744956575649c21d1b1702081e186cf8b;848765;2019-05-04 13:28:48;Stake;1.7999584;10610.83947711
27ef2c7fbc63e19f16499b0807e656b13ec8965ddd0e9e1d1eaf506c18ac59dd;848700;2019-05-04 12:19:15;Stake;1.7999584;10609.03951871
8183e770681bf076d9c2e5662edafa89046bf86df42a2c06fca6cf4173f5ba88;848506;2019-05-04 09:00:58;Stake;1.7999584;10607.23956031
31dd6fff6f0eac297696c0a6a765ea7a7ea48c3b62f7e06f75934a7634eb0c90;848399;2019-05-04 07:18:07;Stake;1.7999584;10605.43960191
8138cd8e6b68358a5f4bfbe5f40d1ae4e3e87a79983e9713c3cb188149c14cde;848383;2019-05-04 06:54:51;Stake;1.7999584;10603.63964351
094c7b7d2dc4ed0702fb4532d5bbd8eeb2b20156b00afd95fc04bfa4a5d7530d;847935;2019-05-03 23:26:10;Stake;1.7999584;10601.83968511
8ebc124b57efc7db2755290fa692ad5dcb23babf0427dcbb67bc5887724f3db1;847690;2019-05-03 19:15:19;Stake;1.7999584;10600.03972671
3fe83f1f8eee99614eaa79a078b4700d3d1496fbfc5022e08e4dd543de5f2b8f;846863;2019-05-03 05:16:00;Stake;1.7999584;10598.23976831
fc68fcc408e4959ae503ad4bda56ff28937e5becbfa400ce01912232098152b0;846709;2019-05-03 02:46:25;Stake;1.7999584;10596.43980991
d6fbc5cdbb31b1ea5b3764bae4122081207d9a1371c18b555a2172b7705a3d8e;846599;2019-05-03 00:54:13;Stake;1.7999584;10594.63985151
50c811366069a1d7256b2cc444b4ab6c47ac1cde61c77cab372cbeb9d026b13a;846510;2019-05-02 23:19:04;Stake;1.7999584;10592.83989311
7ce090c272dbcc7e25cbb23440d20d3c0f89f5cded3e203f6d176c903e33825d;844340;2019-05-01 10:42:01;Stake;1.7999584;10591.03993471
6f7acda0a75ad4c28707cff978509ddb4b8f73d0e521b2097a2c100d7b9c8b69;844187;2019-05-01 08:07:45;Stake;1.7999584;10589.23997631
f1c864331a5e53673c7ae9c7b739a6c98bee0c190b32808311448f6cfe403eac;844141;2019-05-01 07:20:25;Stake;1.7999584;10587.44001791
1296c188f79641bd3c6c30a5974be64b3611d02f93bbab38ca566d35fe313d5f;843692;2019-04-30 23:47:45;Stake;1.7999584;10585.64005951
b8a104316e608cd4d9911103c27bf5f976d48e6801541c256cda8375d74fdcc0;843685;2019-04-30 23:40:43;Stake;1.7999584;10583.84010111
b2a311df64d9754bfbc5c814c0bf10904aa0f822de559719d8425abf48209154;843513;2019-04-30 20:45:36;Stake;1.7999584;10582.04014271
8b82ec708e973d06ed0a697c478c55e185ff67afe0a898c6cf1533896c61efbd;842712;2019-04-30 07:15:27;Stake;1.7999584;10580.24018431
53f8d9d2ca44b31a6a21da405232a3e935b80f8aba2a3b44943351d8d42d7547;841907;2019-04-29 17:41:34;Stake;1.7999584;10578.44022591
