sep=;
Transaction;Block;Date/Time;Type;Amount;Total
9ae1f17a645a3674f3d51637a8e1172ddf4633e827fe9b80664f2ebeb9d7406a;1874593;2021-04-24 19:05:36;Send;-140077.76;0
85fef55b7f8b207aa1d35b9e9645b7ad42971ec1aad29171fe20dfc262fa2214;1873692;2021-04-24 03:38:37;Stake;1.08;140077.76
436858fa6192f906eed7d5f997d0213d9218a2c8f5bc5fb38f2ca7d79be6a8b1;1873650;2021-04-24 02:49:37;Stake;1.08;140076.68
67e96afdd1990d62cce449c2dde29e0460c0f90161ff36c8bd7d961e404a8bf5;1873621;2021-04-24 02:24:13;Stake;1.08;140075.6
d60e45b7f3cc00ef1e6fab78f56faa81093d4bfd74818f36df32b733e18dd15c;1873616;2021-04-24 02:22:13;Stake;1.08;140074.52
fef0dff15ac062c3e6c791974acf3d1c37ddee6bdf7ea7f78edd8c01b05b660d;1871277;2021-04-22 10:38:28;Stake;1.08;140073.44
baaffd74e85340c76c0c2dc53381c9dae37483bd8ae68b51ab9a4251203d7e6f;1871195;2021-04-22 09:08:37;Stake;1.08;140072.36
52e93afbeba2626097e5f26fe7ed7943181757948ff58f891b8589e9d6ffd345;1871069;2021-04-22 06:58:44;Stake;1.08;140071.28
c818c33e5c2a96a7490a4a86b9852913239f240836d9e9ff7a00e8d5ee1133db;1871008;2021-04-22 05:53:12;Stake;1.08;140070.2
bdda3a121cd655145e1deb84889157db2ccb366ae9983eb67fcf0e50267a4955;1870371;2021-04-21 19:07:45;Stake;1.08;140069.12
8f595f9e63f11251d48602a870b5dac987d566ebf2f245feacaef2e275b94779;1870363;2021-04-21 19:01:32;Stake;1.08;140068.04
2d3d349d88e3c12cb68432331aac967de246f36d3ffc4b32186b37e96724d346;1870322;2021-04-21 18:18:42;Stake;1.08;140066.96
714fcce3635778741a376ca85fb7db8619d903b4953a5a142b884dc541799ab3;1870316;2021-04-21 18:16:36;Stake;1.08;140065.88
5019848d93c4c881624fae708eb08d0b67c8fd97cfa37d3532d80d6822dcb39c;1864782;2021-04-17 20:03:51;Stake;1.08;140064.8
709f8b2511aac2383a39fa57cf2a4fccaf787a88863c256191443f58f357ba98;1864682;2021-04-17 18:15:57;Stake;1.08;140063.72
aa59b10786d754e592158e295557b1520ae30055db89e37106c719a33bd149a4;1864643;2021-04-17 17:32:52;Stake;1.08;140062.64
3edbb1561137416b7237a0ef0d83f100c80e59f09bd7f0df2480fc26498ed5a6;1864262;2021-04-17 11:05:42;Stake;1.08;140061.56
b850c38f5f92bc7dcb9e194ae1979090c0b7bc15ae3d91df3b439f9e55bb3403;1864085;2021-04-17 07:59:44;Stake;1.08;140060.48
bdcd0fa0100c147ea33e8b6c26451592a2ea55f2e877134aaeef3f0a94d84dc2;1864074;2021-04-17 07:48:30;Stake;1.08;140059.4
97bd84d1b35e80842aa108875c1485d8094a7c880b1adcd26fee5097bceb25be;1864031;2021-04-17 06:59:04;Stake;1.08;140058.32
e1adba225c43e1699b3ab6556f7e48186dd9ec6a69112ed70cd823c57d2ced7b;1863185;2021-04-16 16:46:23;Stake;1.08;140057.24
9241207c9166e440f94ecbeb7e04192462c7f88d29d5fc06b6d0e17bc60df8e9;1863046;2021-04-16 14:18:46;Stake;1.08;140056.16
58e5641e91a1299f20923a3fc4bd431e7879fb0e5eab0a9215d799554168367f;1862851;2021-04-16 11:11:45;Stake;1.08;140055.08
6839b7adb7b602ff20c9509ae760a0084c31c0064359a262ba873fdc81c111de;1862850;2021-04-16 11:10:52;Stake;1.08;140054
e99dca7b89a746266593f3c51833a341f23bfa509e312f771d73f06d615c4037;1862521;2021-04-16 05:29:43;Stake;1.08;140052.92
eff3897b55f454450bb292995e137fba400b0d40ba3fea095bd1b26a78a9b5a8;1862330;2021-04-16 02:15:20;Stake;1.08;140051.84
c49aff9d6bb072acced0d905defe90f0a9dce4cec808937d0e99478b8f75b878;1862164;2021-04-15 23:28:39;Stake;1.08;140050.76
959a1281d62d2e3dca22d92ec08bc4caf2793e7b9e7b36e6d7221a8f6698fffa;1862155;2021-04-15 23:18:44;Stake;1.08;140049.68
56128983a81643c1c003fecb064101fd21501cb9044c136d3a0c53d93cb91a0c;1860179;2021-04-14 13:29:32;Stake;1.08;140048.6
7d82675ff53a11e18979c1d979f58e0a22361e8a4b823451f402e6b8a8a92b11;1860173;2021-04-14 13:22:21;Stake;1.08;140047.52
ac5bf8428437d214a2f62d5e2d05b336de9f5ecb6f08aae7781d34d5b3d332eb;1859964;2021-04-14 09:56:44;Stake;1.08;140046.44
07bd4307bbe56ab05152c31c8a9807ec6039237a60231f4545145ab40500d82d;1859594;2021-04-14 03:32:52;Stake;1.08;140045.36
303d7fd8008fd16ec03b658a7b0861938e4290c525a9d81ee069608a3431c2d9;1859572;2021-04-14 03:19:12;Stake;1.08;140044.28
7ae645b5ea1d42aa9b424d4a39524625e5b235b90a1c1e271d23fb674e3b410d;1859386;2021-04-14 00:01:44;Stake;1.08;140043.2
827b8ee7c596817857004f85bb7a709b7a59388896ec12d760e897168fb80b6a;1859359;2021-04-13 23:33:43;Stake;1.08;140042.12
1948b03afe7852a6f47ea0a84c5b358cad4f728c3dcc26e721c5330e0163e750;1858387;2021-04-13 07:04:04;Stake;1.08;140041.04
20b1dbf04bcd169e48e83f9c0a8ece467895c742c82ab101ca4f9fcb9b89ca31;1858259;2021-04-13 04:41:07;Stake;1.08;140039.96
258b5a5ea5c45cb11f0a803f36b9cbaeef1d04dc64566968f3ae82314f31bb1e;1858149;2021-04-13 03:00:53;Stake;1.08;140038.88
7c7c30d6a446fa7841dec85a405d5ee07cd2cefdd977da99a32d881ff5968de9;1857602;2021-04-12 17:33:52;Mine;65000;140037.8
8c3a6e54639587618d846077edb06c88a11b06158f2030392f8bcdba5c2e7f39;1855188;2021-04-11 00:25:19;Stake;1.08;75037.8
c69adc2fb228087ca2c106620c1d235a9759af1db5485062d8ac19990d26737c;1854960;2021-04-10 20:33:11;Stake;1.08;75036.72
bb3894c46f40b555f7540d752783bd029b869bc4b219431dac943bca4d94f505;1854225;2021-04-10 08:08:59;Stake;1.08;75035.64
972528452e752f9864c08aa071f30b92b88657a78a393c5ab6be99864de1258b;1854097;2021-04-10 05:54:45;Stake;1.08;75034.56
