sep=;
Transaction;Block;Date/Time;Type;Amount;Total
8c168d6990e8d781f77dc6c15bcfe3eb72ea0cb5a5be32c7346a883086ebf8af;2369945;2022-04-11 11:43:29;Send;-0.0000157;50551.9729077
f75c9095de387a2ffe8b7b397d99db2875a58079b689aedd609ae5c296c95946;2369942;2022-04-11 11:37:57;Stake;1.08;50551.9729234
4a5534781e3d9d64c9c5a0af0c6c8529de753494de20172e810631fceb06149e;2369925;2022-04-11 11:17:30;Send;-0.0000158;50550.8929234
f1b25d7f2a7b023b48b6880788e887c0baec1cca8ef6b6a5c25ead48692a47da;2369894;2022-04-11 10:50:52;Stake;1.08;50550.8929392
a3122eac7341e82ac20333ac78ba54c9529887d8cc85d34bdc5e4619ad0725d8;2369874;2022-04-11 10:30:24;Stake;1.08;50549.8129392
af7e93fc87f627ef011d7397ee71c54d5bae69e919525257f9a29f7e9568fc1b;2369866;2022-04-11 10:21:24;Send;-0.0000157;50548.7329392
c2cd50b5b83d8aabebbb267d53ce6b96b615ed89d2db00f9c16e0743eb00d193;2369851;2022-04-11 10:05:30;Send;-0.0000158;50548.7329549
e0c717cb5739610edbf5a2bb342996372bdf8b6c9b72cc07f35fc328fbc7376c;2369815;2022-04-11 09:30:11;Stake;1.08;50548.7329707
c94d832ef9fa26be1e04ad6f2a78e799e92be624f003b677a44ad7aa0b3e4971;2369800;2022-04-11 09:13:22;Send;-0.0000158;50547.6529707
1915c62438b5847937c4025bc313cc1ce91625cc05b5e903494968eb64401fae;2369799;2022-04-11 09:12:43;Stake;1.08;50547.6529865
b2d97359d96bcfc759639d870668ccb92c713ea2ac42cd527d8e2aeb1c432213;2369775;2022-04-11 08:47:58;Send;-0.0000157;50546.5729865
0d116e760a7d7a7f76ac84634e261a4afe8d47fb22f1b0a87988f3ea9375ffea;2369749;2022-04-11 08:20:20;Stake;1.08;50546.5730022
5e2fdf325e351e55130d6fe2513c456133fab81411b75dc230ed4a2c4923feef;2369724;2022-04-11 08:02:17;Stake;1.08;50545.4930022
