sep=;
Transaction;Block;Date/Time;Type;Amount;Total
84755ba1c78ac20c832563b8c7290f6e51d6ce425f75a37551d1c48040b43905;205067;2018-02-06 23:42:38;Stake;2.7999896;20647.17399164
22be6852371fb7bdc8b987b61ebe3c3718d2c406d79d375fcf828d4947cbde41;205036;2018-02-06 23:09:15;Stake;2.7999896;20644.37400204
94bf55f2e204cad3e9021176aa97afc8e19a9831c3fbb9c1117e13df966c35ae;204965;2018-02-06 21:51:34;Send;-0.00714211;20641.57401244
567cf68d9578813c3ed640160b99d0c1582dd988121b9b779d6a7c4f7bc4e639;204938;2018-02-06 21:28:27;Send;-0.00545474;20641.58115455
e08fe51eda0c4e68b4f43ad24426ed25b4ee6d88d090b42337b3b6f74fdc436a;204913;2018-02-06 21:11:14;Send;-0.00729012;20641.58660929
d99e27e786a5f5638613282f8b0391ba03ba23552fb3bac599c4c1433c93e6f1;204889;2018-02-06 20:43:48;Receive;5.59722683;20641.59389941
d37bc1b31d6f0d804555192c4eee6d32319a73d5316af355059765c3bdfc0656;204887;2018-02-06 20:42:31;Send;-0.00193199;20635.99667258
5fb157b88cd016a3bde75bb128fdd867f275c3864c1454b960b0306133058563;140850;2017-12-23 21:50:57;Send;-10005.5999704;20635.99860457
2c092fbefcfab1d610cf471422ad26f1152b4c54eb0976bcbb9c719a51db43c4;131756;2017-12-17 12:40:32;Stake;2.7999896;30641.59857497
4c71da428917535475b1d2a3025c0e6bd36b76485f8627ce2774dd512bf42000;131743;2017-12-17 12:29:54;Stake;2.7999852;30638.79858537
470b7276b263e883c7eb034074e02a28aa5443b7223af82c14781d87dac244c6;128796;2017-12-15 10:34:03;Stake;2.7999852;30635.99860017
609761fa9b2b387d38bd81e79ea71c04e7736ac2d9e59324c0440883bc76c914;117985;2017-12-07 20:08:26;Stake;2.7999896;30633.19861497
6d1af6c3ddd2b23271f65dd012d2f513a2a7a17ff89d2548f3953edc136879f8;117579;2017-12-07 13:08:32;Stake;2.7999896;30630.39862537
3e466f15fad8ec63c018ed89c978b19f7b4647ebd3a6e2bea9b56f4c83b0d53c;117299;2017-12-07 08:25:14;Stake;2.7999896;30627.59863577
d09e4d645e9f4f5b6e24280568c93ec3132c90056998a716bff988d26c5e5fea;117046;2017-12-07 04:12:32;Stake;2.7999896;30624.79864617
59690a788d1f259e85c02a76c98ae1c2f091f8c77b2e81c34f11d8084bc1d1ed;116957;2017-12-07 02:41:48;Stake;2.7999896;30621.99865657
7adacab1714bcbbc795ee75bef3a55943177a51507d0d40a6b598da8496e9aa8;115607;2017-12-06 04:01:35;Stake;2.7999896;30619.19866697
55d5cfa357e9ead45f9df5b47cb8d98d598e2fd3fa179dfc328dbe7c2f09dca8;115430;2017-12-06 01:02:51;Stake;2.7999896;30616.39867737
1c486cbe3fcfef41c2f3d985eefa512c25a9d5a677fec0720dd74c5b78a859fa;115160;2017-12-05 20:28:30;Stake;2.7999896;30613.59868777
60dd3880e35dd6d519c5b3853180ccbea71a163234316e9c602498d2b076446e;115125;2017-12-05 19:51:08;Stake;2.7999896;30610.79869817
48c3e20b627aa50b5e32bfac3ef98a5043374567fc4da0f4b58b0b45d47de7ee;115118;2017-12-05 19:43:08;Stake;2.7999896;30607.99870857
c88adff92886474c711e101debef102dd8db4420151a758cfea9fca2874ca114;114595;2017-12-05 10:53:23;Stake;2.7999896;30605.19871897
6c43cf2571dd9f96a4d371f2a8b0283104405d76e68d0ace12ab7ffa0cb5b120;114506;2017-12-05 09:27:35;Stake;2.7999896;30602.39872937
dc4a9fe3919678acdd7dc4ac797b363b072fff9f16fbc22d489a8de3234c79f4;114086;2017-12-05 02:19:58;Stake;2.7999896;30599.59873977
fdee9f87a418d4a6d3be69235860c0ffc8fd0a9bb3ad5fa5d8f11124c3d2e469;113742;2017-12-04 20:35:16;Stake;2.7999896;30596.79875017
12db1bbfc3eba57829d674e449314ca20bae1825835a5ee7b9109d49563816d5;113736;2017-12-04 20:31:40;Stake;2.7999896;30593.99876057
0ac8345b21b52458de66017ecb8a45f98ef55e683c718413da7648483cb10ca5;113670;2017-12-04 19:16:04;Stake;2.7999896;30591.19877097
cec5b523926d18860c3edb51e56ba1c523c26606818927dde269d32c24120749;113589;2017-12-04 17:56:54;Stake;2.7999896;30588.39878137
db3db9a0c4600bd50ec363a9289009f90d4be46d4e3989b7ca7789fc53b6cc60;111939;2017-12-03 14:14:02;Stake;2.7999896;30585.59879177
b4f84c6b25e1ee32f4b82e51c32300d11ea549c5e160e3e45cfc89f94e0b0a41;111225;2017-12-03 02:04:10;Stake;2.7999896;30582.79880217
ccdcd820282cb7e7b3d73284a1377acb64c7c25fcd1ae4c73c250ca856e447fd;110945;2017-12-02 21:22:05;Stake;2.7999896;30579.99881257
8724741f19b70b3bbaa85d58e915bf487ce1fed686929cfe951a204eddc74060;110567;2017-12-02 15:01:07;Stake;2.7999896;30577.19882297
fa6bb478519af4b62c425e42cbe437a0f3d4bdd9fc862116a79c8e7a57165ab5;110003;2017-12-02 05:26:34;Stake;2.7999896;30574.39883337
12d7cf02b67f96200bbc88ae495769b764614df10497921fde9fbfda9b026ca1;109711;2017-12-02 00:28:42;Stake;2.7999896;30571.59884377
e195d6c87bde7e5827a8448142e1b4c809c97da3d8b6b8e4b0a822a18b6b433d;109175;2017-12-01 15:28:17;Stake;2.7999896;30568.79885417
5943bf7dc1d91647c08fb7fe066a4523e730bcee75c987ce5548981183501ab7;108563;2017-12-01 05:11:39;Stake;2.7999896;30565.99886457
06bc063d606e4ae1b7f441e94d671fff9fbc97d7ca022590e0da4885e6a90259;108362;2017-12-01 01:44:57;Stake;2.7999896;30563.19887497
82952103fb0317a44236175e59edad9983037e9b634004afd01ce714aba76c33;108259;2017-12-01 00:02:16;Stake;2.7999896;30560.39888537
b6667728f1393414548975f58a823e1978764d3233c8ff276201ed3efbcd0368;108252;2017-11-30 23:54:48;Stake;2.7999896;30557.59889577
cfafe9acddd40881b8c4c7eb8308f92e6607214206974b3b97d8f23ce6c9a8d3;108189;2017-11-30 22:46:43;Stake;2.7999896;30554.79890617
85094a4df1f0b7daac33880229905c9a48489b5f2c088072b438726aa7225e0a;107658;2017-11-30 13:50:46;Stake;2.7999896;30551.99891657
e092e58b3d5f1bf8f3b57846a81610194ed7069615cf140202b90a422b4ef788;107539;2017-11-30 11:44:04;Stake;2.7999896;30549.19892697
97339c031beba23f50fc466246c8d4560ed5308d9aa3156340af4f37e8b64500;107359;2017-11-30 08:51:24;Stake;2.7999896;30546.39893737
6d75597ea66374e4f0f2f8913324a56fb481d4670d0c7f2ee50c8568aaee15e7;107158;2017-11-30 05:32:10;Stake;2.7999896;30543.59894777
392551c5e9e683bd697bfa562718a0ead85b9417257a6908237b7a7a35e9022b;106939;2017-11-30 01:46:13;Stake;2.7999896;30540.79895817
c09ec862258db12ddcdb79d460caaa31229134cdf09e5681888ebdb2534148a2;106815;2017-11-29 23:38:14;Stake;2.7999896;30537.99896857
d5966c88d56d38ae2894b1aaeb4a9a1b137e99d984559e0c2ea05bbe767b46aa;106499;2017-11-29 18:15:52;Stake;2.7999896;30535.19897897
3c1e130845853ea511130d926f73488e44bfb8a52dd836986d4f26e22a6e92bb;106409;2017-11-29 16:45:29;Stake;2.7999896;30532.39898937
b35286fbba3c58b47671ba6496904c3a8f242c06b4f543e87d2c5bbe9d0c9f74;106354;2017-11-29 15:51:40;Stake;2.7999896;30529.59899977
