sep=;
Transaction;Block;Date/Time;Type;Amount;Total
c867f94bf1d7236f1e42fa8d58eeecd4893d84b47c2a56247f6e32332303b13e;2369405;2022-04-11 02:31:07;Stake;1.08;141682.9997352
7bfee7a460e686ded7c4c1ea626e6f70f1ca7c5c6e6fdca81e011da6f7465bf1;2366046;2022-04-08 17:18:45;Send;-0.000034;141681.9197352
424342e05de6f79ce524479c1ab3c6f16c3b4d1bdc6e93b4e306d4808d4f65ef;2366046;2022-04-08 17:18:45;Send;-0.0000305;141681.9197692
47c52da3af76e69745e11d25bda7e4b07ccebaadac614e87b2ed2905d5dd738c;2366046;2022-04-08 17:18:45;Send;-0.0000306;141681.9197997
44b47417ca6fec73a049b661af367149e2f5651826c712801d4f9077113da727;2366031;2022-04-08 17:04:00;Send;-0.0000271;141681.9198303
11df51946599f2c4e2f7040f3376ee490c4b4b2a52dcffec9bbfad4b6151c2c3;2353539;2022-03-30 20:20:58;Stake;1.08;141681.9198574
20172fcea6a5f85381b95da25621022191dc52cd94c880f432c417725ddcccba;2353308;2022-03-30 16:26:17;Send;-0.0000385;141680.8398574
2af77a2f3aeab3548d33bcb1405b64e70d53dec35de1e2dac917edf3d6122267;2353304;2022-03-30 16:22:18;Send;-0.0000271;141680.8398959
e316bfbb7a4d0c196ece75ce97338c9a390693ec8d5a8ded772ae62a0891f79c;2353301;2022-03-30 16:18:59;Send;-0.0000271;141680.839923
739782f404fbf15af4252658fe3ce07e18dc0f914b626f55d5af8e4e40e80187;2353300;2022-03-30 16:17:34;Send;-0.0000499;141680.8399501
9e2350dafae7aba48fa727f0556dd3004faeee1d7d799d4aa437155dd99aa6ce;2331859;2022-03-15 11:11:28;Stake;1.08;141680.84
0454e01f15e3df60f607231a96a00d4e84cd25f567095548ec6d33c8a49d24cf;2331266;2022-03-15 00:59:38;Stake;1.08;141679.76
6b22c1d9c64cf39b83fba663c21cf4c8f3c3c38f438cb1ee38416b5903c7c03c;2330699;2022-03-14 15:22:02;Stake;1.08;141678.68
42b5d31412bf3c611e9b1be5b20e165739932a3ae379bd3312836ee334d86254;2329873;2022-03-14 01:18:13;Stake;1.08;141677.6
da56d75237a9e06609b558a4ec25c9069a917956e0e49d2a6008191aaf54acd3;2329501;2022-03-13 19:04:42;Stake;1.08;141676.52
9382bb40e924bb0fae8163468accfa7038d4deb25d6e2cbf071061c474096f30;2329488;2022-03-13 18:46:07;Stake;1.08;141675.44
