sep=;
Transaction;Block;Date/Time;Type;Amount;Total
f1d56fd9c98220dc2d158154283b805d49f7b68e029b09d02c5fbe70f0a1d84f;1868246;2021-04-20 06:57:38;Send;-9;0
c0dd9504e4e1ee317f96169589de33632d2e55dfdce6e713912085dd0c40525e;1868246;2021-04-20 06:57:38;Send;-42710.438;9
0639fbebc9ff9ce533e4e9aaad3237f45639fde13a165dc820b4982be00e03c6;1868246;2021-04-20 06:57:38;Send;-99881.42099011;42719.438
816edaeb57c61e8515a585d721ea420dfc8c5545387676f128e39f623fc81eb5;1868083;2021-04-20 04:11:35;Stake;1.08;142600.85899011
9507edf725c818f49a0191755cdebaa9e888e4a0bfb0d375370563086df759a7;1868029;2021-04-20 03:22:16;Stake;1.08;142599.77899011
eaf3b1f74835af416ead75b69ed81d3a98089e717d27e3065e110aeaa06f4728;1868006;2021-04-20 02:55:16;Stake;1.08;142598.69899011
fcaba113a8db7b65896ecb44f3527ef23d0a1637e0cd2f1f9d76ea99517372bc;1868002;2021-04-20 02:47:52;Stake;1.08;142597.61899011
7b4f0e41061c49b0e4fc6a6c5a6988c641712472c5fef8323790fc83912cf96c;1867980;2021-04-20 02:28:56;Stake;1.08;142596.53899011
990eb09eed5c29c9d1a9e4b796e3183a3b34c9af1c1a9ce6dd83198bb397dc90;1867956;2021-04-20 02:03:00;Stake;1.08;142595.45899011
201e9233c2615b0254ba59ef8f574d0e947a0d7f5e812c26ff723832904b32a6;1867896;2021-04-20 00:57:07;Stake;1.08;142594.37899011
4eba6e8201182199ad7364a54a6c89d4c8346ec49530109b32150c6d7a62c3df;1867879;2021-04-20 00:38:45;Stake;1.08;142593.29899011
91a1916527ff83dfb3462e95030c2f034c8fe6677396d0c623831c63829d3ead;1867843;2021-04-20 00:00:18;Stake;1.08;142592.21899011
c64e84acbe92593b1c3d164aa610486ee48ea7666e2bf5585357cf21808a2ed2;1867775;2021-04-19 22:56:56;Stake;1.08;142591.13899011
95a47b16bdb1288a9a27e0f5b7fb474fba46f299e749a57a752baad8582dab6f;1867743;2021-04-19 22:25:16;Stake;1.08;142590.05899011
1f715dbbd0852337994703f9b58ff67e6267b97627ec1d9816d0684d17f1ef60;1867711;2021-04-19 21:45:44;Stake;1.08;142588.97899011
3f2dae6e81f2b99eee7e7bacabd6acef2ddc960764998bb0e3fd565dcf9a1721;1867661;2021-04-19 21:01:31;Stake;1.08;142587.89899011
300b14ae75410f2d0cea9ec819b4e2dd07c2dc6c0dbe20f0106a38d7aad2f69c;1867659;2021-04-19 20:59:14;Stake;1.08;142586.81899011
8fc2b6e86b4bb09ea5d09c81352b44af87077ec2c6e8aacbfeab91f909c500d0;1867582;2021-04-19 19:34:32;Stake;1.08;142585.73899011
baab8db5d0612ce71a7ad6e52e7e7813ed9f0d0d384c296c0413cba3407a9798;1867536;2021-04-19 18:55:49;Stake;1.08;142584.65899011
551e6648399193e2b4d680ba742291b79768be8e5715af342bc05bc8ae4d9e87;1867520;2021-04-19 18:38:46;Stake;1.08;142583.57899011
b5a92843e891eb94842878d74223cadcdd762793d031963f0930cb3873940a30;1867515;2021-04-19 18:30:48;Stake;1.08;142582.49899011
e49dc8b2c0cdc1f4d906a9bbc403d3f850b600d0c04ea13a41e7bae623defe23;1867451;2021-04-19 17:24:39;Stake;1.08;142581.41899011
50829d6f5309c1c7d8e76bdce091f9fdd41bf9e5cce1d25db7b490a3f681989b;1867448;2021-04-19 17:21:06;Stake;1.08;142580.33899011
ecc45c5e2bf7b9f05e5d9456832c8600963205d94f8c53078b59b602f410604e;1867446;2021-04-19 17:19:35;Stake;1.08;142579.25899011
dee4f138326472a601c361e4cfb4e25e82a29bc7d746d2a22e70536821698292;1867436;2021-04-19 17:04:44;Stake;1.08;142578.17899011
78a00740113ad76b8ebc013107fb28a665a64c7f0baa87d619b62fc366560f18;1867368;2021-04-19 15:58:46;Stake;1.08;142577.09899011
f86e7a18afda676acf8791a312dd1130ecad2072b6a371a318aa0c1eee59d978;1867364;2021-04-19 15:56:03;Stake;1.08;142576.01899011
789eafca4299bc28dc1aa22b51f1d311615e648042277d3252238390d595ac7a;1867362;2021-04-19 15:53:35;Stake;1.08;142574.93899011
5b96f6abd371bc4820c6e61564b9797da946f407359fbd8ba6d97fb80ec66d66;1867361;2021-04-19 15:53:34;Stake;1.08;142573.85899011
eab46e12d0369921bdfb310fb3556528b95f3a3951e584589bb0f6e17d753511;1867353;2021-04-19 15:45:38;Stake;1.08;142572.77899011
87f93543d2324bb87bf35d91cf340e07e26ed6d8655dde93f093bee7e6d655fc;1867323;2021-04-19 15:09:29;Stake;1.08;142571.69899011
cedd97facd081f9739904b390a7ee034d27b9eca77398cdfca491d1202c1e8a6;1867300;2021-04-19 14:46:43;Stake;1.08;142570.61899011
c458f2aa6a4c559712c6fb9386fd8b2c71a0a6cd2ba3e92ae8e88daca97d7190;1867299;2021-04-19 14:46:24;Stake;1.08;142569.53899011
b16948b7cda83d90c0bfc3868b66fa1c178a394365241a20a910993512f756dd;1867277;2021-04-19 14:26:09;Stake;1.08;142568.45899011
42b38d2de130cef526c503d800b649a4ea3f9a4a7dc01d3cb3344fe16ccea645;1867265;2021-04-19 14:12:52;Stake;1.08;142567.37899011
80c913257f1af680b513b6ac6d46b52c5c1a7dc362a69ae8d163fd96008149bf;1867263;2021-04-19 14:10:44;Stake;1.08;142566.29899011
8221ce6ed5101ced95a1a80166df9ab69fdbc6d78f17bbdb110858805aa15fd6;1867235;2021-04-19 13:42:53;Stake;1.08;142565.21899011
2b1c015abbbcac6d78c793afaf8955e81fcdab351e678f97e7e4248473b7044f;1867227;2021-04-19 13:35:30;Stake;1.08;142564.13899011
710a57e66911e3bcab880e0409d2032b3fcc63c8bd67c1d29b7e1ac688eb4d13;1867217;2021-04-19 13:27:01;Stake;1.08;142563.05899011
420f660819c34dfd42cb104a599672236203089c62a46ae40df6f58660b71fad;1867210;2021-04-19 13:20:38;Stake;1.08;142561.97899011
b23a5cfda231de7c4a54864d3361d835b5aca36535411b86f0bfd893d679d502;1867199;2021-04-19 13:11:04;Stake;1.08;142560.89899011
da276824bbce9fd44ab6678160cb3994eff0d06dabe2e6de9a2cc6b7819215f1;1867187;2021-04-19 13:00:45;Stake;1.08;142559.81899011
75425b9e34a435828de3dd882afee178dfaaff4babb630ba1a6029d31f632666;1867153;2021-04-19 12:25:56;Stake;1.08;142558.73899011
009dcb7fb370bc55533cd69ea2e148fdb19b7cefb238c5448e029fced3d3c884;1867137;2021-04-19 12:02:20;Stake;1.08;142557.65899011
dde8d06ad8bec82fa53aab8b5527977ddf791b648d4e14ccb55ef8dca6dbf539;1867100;2021-04-19 11:28:29;Stake;1.08;142556.57899011
d5fbc1395e6fb98b0c5e9d0c291635bfe1d743948974c401e5803af07404728f;1867065;2021-04-19 10:52:45;Stake;1.08;142555.49899011
2302f4940c9ce5bc057ad66881ab899a9a8ca467ea48468e53b9b621d3bf975a;1867037;2021-04-19 10:22:13;Stake;1.08;142554.41899011
b6edeef43cf884bb90170d60459efccc4d4eae8e0a4e67663ac1dedd615a87d6;1867033;2021-04-19 10:20:30;Stake;1.08;142553.33899011
ea7d1b83f180a76d7a747e599cb5e725bc6ceb4a2f6b11e5cd27854425e66527;1867013;2021-04-19 09:54:08;Stake;1.08;142552.25899011
8838ac2434f6a80c25aab74c1443748410743b470da1eb5c746581e61ceba254;1866991;2021-04-19 09:34:17;Stake;1.08;142551.17899011
c48561a4937668b6ae3d769cf96b7923ca387486e3dcca2c56aad2eb7b0c1c74;1866924;2021-04-19 08:27:27;Stake;1.08;142550.09899011
ef2177fe5befdc8c2b448120fc2e32b7ba8478799c57a2ede2051e33f1fcd9b3;1866866;2021-04-19 07:23:25;Stake;1.08;142549.01899011
6999c18c6505a351b9a8704ff82cd53cc01824d7af5cfcfb04b276873ec63ffd;1866865;2021-04-19 07:22:48;Stake;1.08;142547.93899011
