sep=;
Transaction;Block;Date/Time;Type;Amount;Total
3cce4bdafb466d49672c380abed64998e141e8a0ed832db39eec9e53adea9edd;2369777;2022-04-11 08:49:14;Mine;1.62;21997.92657745
ae2fa00f21000a8c3f698d0a639c0e7721ba187d58d9a937aa536eda5c8dc5c9;2369413;2022-04-11 02:40:04;Mine;1.62;21996.30657745
d5d0ef0801f83e4b6f1e54c1d85e32cca8593818143b0e2b84de0f1ea5499b70;2369412;2022-04-11 02:39:16;Mine;1.62;21994.68657745
6ea421788fb63097634e8c10ecfea54fd455b5e849c7667595baaaaee3f7c11f;2369053;2022-04-10 20:31:51;Mine;1.62;21993.06657745
a09c43adb68049a0e99d756089120d88dc400d8ad58010b15925245adfcc3d0e;2368690;2022-04-10 14:17:01;Mine;1.62;21991.44657745
35b83fbb78efd3bd933e24dfb6a05334ce91bd447af3a19c7d65cfc7de393ee9;2368311;2022-04-10 07:58:26;Mine;1.62;21989.82657745
9333032800b8117b37ce32d3ab634e7a778785b186f9ce545060513ad66c30ae;2367916;2022-04-10 01:12:27;Mine;1.62;21988.20657745
e7ea68943742a00e77abe51517966a2746626db3a531f32141178fc334bb55c1;2367554;2022-04-09 19:04:37;Mine;1.62;21986.58657745
143cf82f89456d2b0e41f29f9c6480fa317ac4ede353633b0c9666765db86548;2367195;2022-04-09 12:58:30;Mine;1.62;21984.96657745
cd5882e4905efbd4e0b6b79c04d86dd84c98476829de24556ea384ee1430c65a;2366823;2022-04-09 06:26:03;Mine;1.62;21983.34657745
e5d0326ffc394b0c1fe859d30ad5e0c0f3ab466dfbd1582714f76a919aa47250;2366452;2022-04-09 00:12:17;Mine;1.62;21981.72657745
22193bc0bd78d25159f8372823b3a5ec12452f30420fc217a2ac0494454f30d9;2366085;2022-04-08 17:52:10;Mine;1.62;21980.10657745
dd5255711e0c681a45a2822e0acaf84ee43d11d40f118df215296e96c973ebc4;2366013;2022-04-08 16:42:59;Send;-0.00028132;21978.48657745
6061d5730e7934635a3ff42f7bd4f0dd059f6f2dfe8cd0ee24ddd17b480a3e78;2365687;2022-04-08 11:05:10;Mine;1.62;21978.48685877
a820a6815026a8312f7f05000fa19500c2808a2ff401ba0bd4c6d8bc0a9de404;2365319;2022-04-08 04:58:19;Mine;1.62;21976.86685877
8d9f20c2ffcc522801e5056c5c917c160fe846d99d155bab403e0525b8aaf97b;2364955;2022-04-07 22:51:40;Mine;1.62;21975.24685877
8a315f0a39c771afeb0652661c33947a675dd2abd3c06f9d401e65fd528dc785;2364603;2022-04-07 16:51:32;Mine;1.62;21973.62685877
7f1eb0fc598336984fd439dac12b744ae6ad9c2a89a72ed74cddbc99c36d543c;2364240;2022-04-07 10:30:27;Mine;1.62;21972.00685877
1cd59245a6118509d15e4a72381bfed6e8c0adb1dc29fa7efdaba7e8a0a69b0e;2363882;2022-04-07 04:25:07;Mine;1.62;21970.38685877
c2e40384b1dcf9d74d226ea541050563a4c7f43fe9d37b9ae46ac820082a1d4e;2363510;2022-04-06 21:58:01;Mine;1.62;21968.76685877
ac9501948708a3bf8be0ffebe59d944e8fd4e15bd5baf8e584719b2513c697bd;2363157;2022-04-06 16:02:06;Mine;1.62;21967.14685877
ba111e3470014a69b54ead08df424ec980e3dd694da0b9848f94803e0100991d;2362730;2022-04-06 08:52:42;Mine;1.62;21965.52685877
4a862bb628126a8a016eaf3a015eac092d022edfcf967226b70f192f3246b370;2362362;2022-04-06 02:41:50;Mine;1.62;21963.90685877
650bd9b3a20b4cecc7d54c7194b5182947be004e4da3bdd968c96f6d2c4e0041;2362020;2022-04-05 20:36:06;Mine;1.62;21962.28685877
a255eef1932e62bced7ca341b9a90195b151e561731d103698249cb04b428721;2361663;2022-04-05 14:34:13;Mine;1.62;21960.66685877
f0ec6fc428aa51873f1b05e2fc1dccce157647ed7b40e6ef6622c1a978e57232;2361302;2022-04-05 08:26:00;Mine;1.62;21959.04685877
c9ba782e91b99a78bf922bca2375ffaf66f7951ce353912bcba3d31baf401e25;2360947;2022-04-05 02:30:58;Mine;1.62;21957.42685877
8eb039cf657be52977f639baf8a9b7e79e3433b176612c6ed0ea54fc0f75d763;2360593;2022-04-04 20:28:27;Mine;1.62;21955.80685877
aa16d107ca62bf898fe230e5ef59e11d9c4115babb29fe58051e62b20eb09d4b;2360228;2022-04-04 14:17:34;Mine;1.62;21954.18685877
15b9b9448ddd982bd30e598e4610f2ccdd81fc708c291546d12e6cb452e10da5;2359886;2022-04-04 08:27:37;Mine;1.62;21952.56685877
f120ea7d725531e36f2a7aa77c1a3201651207c53f75c9047c01d967726e2517;2359548;2022-04-04 02:38:10;Mine;1.62;21950.94685877
77c872f4acd5cfdcdeb381bb2bfc73b3adb967d1bb6ad30f546b42e27d82eae0;2359193;2022-04-03 20:32:38;Mine;1.62;21949.32685877
ef0a1b6cc24d6a1d4788c1b515e0e24181585395a475994014cfc9796993af9d;2358911;2022-04-03 15:45:07;Send;-0.00482142;21947.70685877
9b27eb7bffc43c23e3a95b6a7f9a331ea145db1eab1f51819efec464b9a81a94;2358850;2022-04-03 14:44:43;Mine;1.62;21947.71168019
8ffb79f520eba06411f06cdb40172b3440ad40333689d30eb94648926df0d65c;2358500;2022-04-03 08:45:13;Mine;1.62;21946.09168019
