sep=;
Transaction;Block;Date/Time;Type;Amount;Total
8cc71b5c930bb0c1c0aaecdb99933a8cc8e441606493b1422ecf0dbac9e5b7a9;2024899;2021-08-09 15:37:32;Send;-23446.16;0
95e3374f16bd4b239366c7556b7fa3ddc6e22ad13ae38a2fb44aa44053f2028a;2024590;2021-08-09 10:22:37;Stake;1.08;23446.16
e2e1e8b2c556d265bc3a242f739ce805551e797c246619217efee90521368796;2024572;2021-08-09 10:00:04;Stake;1.08;23445.08
9fcd8130c3047d234bc4163a4ed7665b31b55eb5165354b9f34eab6620dac36a;2024530;2021-08-09 09:20:35;Stake;1.08;23444
fd1b63eba714539da436ba5eb4c8cb64a559264a6773e2fa275c0527525ccb79;2024234;2021-08-09 04:12:55;Stake;1.08;23442.92
cb372cd7ce1f410f9b4b5e9e4001431ebf03b49f8f11fb2f4650230bdf2f0e87;2024226;2021-08-09 04:02:42;Stake;1.08;23441.84
34d503c61c2198c71746c575df64cb9f30a408ea2e32a94c1a3f108e5c3c46cb;2024188;2021-08-09 03:26:43;Stake;1.08;23440.76
933eb71c8896952da69a0f095ca34079059146e2e4173785074b8a7bea577f36;2024000;2021-08-09 00:20:11;Stake;1.08;23439.68
ae5ecb352b527cdf8474b762371e098c5a5d29741a3ccdb5198955c010aa1140;2023595;2021-08-08 17:29:51;Stake;1.08;23438.6
103f29d47f793e2ab42ad659aefd198e9038e7f8224e339430702613d0060c1f;2023469;2021-08-08 15:13:12;Stake;1.08;23437.52
570d5f07ac0b152d542813ec27b2e96de4d4d0400bf8cb9f4a9be95b8f0ab706;2023456;2021-08-08 15:04:55;Stake;1.08;23436.44
3582019615f3ce01156efe788c8bb306101d58458d02be784d417e0631b54969;2023435;2021-08-08 14:45:46;Stake;1.08;23435.36
58dbdfcac107cf363b57933ac066c1351a5651258853d11000337732e355cda7;2023388;2021-08-08 13:54:35;Stake;1.08;23434.28
