sep=;
Transaction;Block;Date/Time;Type;Amount;Total
ea484a216f7f7761fe356ea57b53ce323a9401179372623a3a607858a617fc51;2369908;2022-04-11 11:05:11;Stake;1.08;24989.10030405
fba1ef5d36ce8553c9ae9c093a75f5a7dfa9738672cf96046fde46a540a0f3e3;2369822;2022-04-11 09:40:04;Stake;1.08;24988.02030405
5e8e6e013c3e65109fc2a97ea739a7d997f7e38e080c78474d10146326ba9a27;2369671;2022-04-11 07:07:52;Stake;1.08;24986.94030405
d8c70fd8e18458a95abf8651e42094c03b1d442f3a2e874ec48aebf7b3edd640;2369653;2022-04-11 06:47:33;Stake;1.08;24985.86030405
30d550e4e46720d83bd03ee3422f235da1d74f4d3a425207c220f1660e5b6f10;2369640;2022-04-11 06:34:27;Stake;1.08;24984.78030405
a03b5384deed916ff35cde821960e85b272f3a70c0d7bab3d9cdb9c1efa8f482;2369628;2022-04-11 06:23:48;Stake;1.08;24983.70030405
07638c39c3790eee710dd3eedb6eaf465be6561d88436055700ebe535f9b4528;2369610;2022-04-11 06:05:31;Stake;1.08;24982.62030405
b2cceeab5aaff4b0636a24799a9925448723806502b844a192d28fb9f46d255c;2369593;2022-04-11 05:38:58;Stake;1.08;24981.54030405
eb941d888c2b415a27a4e3c0e3011412ebb14af067534a794b7950c9e2406b56;2369436;2022-04-11 03:07:08;Stake;1.08;24980.46030405
7dbd901b5d268355edadc9c6096a73e058b01c2a93641120b3ac220fabb5b86b;2369384;2022-04-11 01:59:50;Stake;1.08;24979.38030405
fcda5e94820c564cb48a84c8bb7cd20d80f8bfcae21683acabaed5ba15a65f1c;2369370;2022-04-11 01:47:32;Stake;1.08;24978.30030405
257a31427b117fcd53138ecb55744acd9e3193f06a09b502248c8df89f8c32b1;2369341;2022-04-11 01:25:17;Stake;1.08;24977.22030405
77fbe144b183cda7865699b33d1eaeedf106be61aea83751c260c83ac3f54708;2369254;2022-04-11 00:00:31;Stake;1.08;24976.14030405
2edb97d77529bf3fabad8f07609bfe9dd4639bf0231580f621a8bdddab991667;2369112;2022-04-10 21:31:08;Stake;1.08;24975.06030405
0ca37837afed02ae979e62321ed79286c3ab1453fb35c38e182c033c2c649aa4;2369075;2022-04-10 20:54:48;Stake;1.08;24973.98030405
