sep=;
Transaction;Block;Date/Time;Type;Amount;Total
de8b6c7e62f60928bb5e4d6dda0d0b369448bf4d04ef8b94ac043a4c9450338b;1772015;2021-02-10 23:25:29;Stake;1.08;21632.19484155
ab2c224a728e39bbe3923babdced6ee80a212bf1dc1e681bae09a68d4aaa1b21;1771984;2021-02-10 22:52:11;Stake;1.08;21631.11484155
0e2670b52b7e69b14a5c77e047b041a64478e8e7c1b028e1f18e10b5b7a3f1db;1771875;2021-02-10 20:58:59;Stake;1.08;21630.03484155
01749aa0c3517f872fd186d37712727a775a521b27dade1a8acfb71b6a66035b;1621730;2020-10-28 04:00:11;Stake;1.0799584;21628.95484155
8429bfce2add2ce65f156e0c55455a6b045cc1cbd8c3fea9592d9a6a2bcd0bfe;1620589;2020-10-27 09:05:47;Stake;1.0799584;21627.87488315
3f5305dfc931139a182f779920fc478e41092a34062608f5d97ae5940515a2ec;1618778;2020-10-26 02:22:26;Stake;1.0799584;21626.79492475
afa1717768a66f2fe0a6ecff2b88f934de8d44b6418fbf20c8da483cae2aca54;1618709;2020-10-26 01:12:23;Stake;1.0799584;21625.71496635
f8e7eccc18d637402bb236681d4a25172957b39e02608bee513d43de76602777;1605916;2020-10-17 01:24:19;Stake;1.0799584;21624.63500795
8f3da486bd5ef93cb2e282fb18f0eb216fe3e88c23140c75052b3edc2e327575;1605720;2020-10-16 22:05:25;Stake;1.0799584;21623.55504955
06cab0a3757ed56760e7f91887a932b485e86a10fc047f98977c52705f94ec07;1605665;2020-10-16 21:13:50;Stake;1.0799584;21622.47509115
a7494f16550eb1c2e1344a11f2a382cbf4e3bd0037221c236e923e7132fc5e46;1605570;2020-10-16 19:30:42;Stake;1.0799584;21621.39513275
33db291e1d3a7c2b43e004379d55fdef90292ea48724a1714be206e14baa2833;1603486;2020-10-15 08:21:35;Stake;1.0799584;21620.31517435
11085ed29f4447d0b5fcdfc2fb570159eccfd4530a19f6c37cb2d1651075503c;1603478;2020-10-15 08:10:30;Stake;1.0799584;21619.23521595
bf6bc30da5094c5b442137e2e0793dd06075fe7bb042fc1a4d62d07fc33f666d;1603394;2020-10-15 06:46:07;Stake;1.0799584;21618.15525755
b3400317befb8edbe2322f4d4d5ffc7ede042685121fd08d2c2de01ad9527671;1603364;2020-10-15 06:15:12;Stake;1.0799584;21617.07529915
f132d3ea6a0a12a137db2acb6d666d462acb1dd86b8d7490172773e00d01ffb2;1553979;2020-09-10 11:42:10;Stake;1.4399584;21615.99534075
b8d6e968e57cf45c86eda4234171e062ba844fdf6bdcc0cdb483d9f66bbe6be0;1553795;2020-09-10 08:34:14;Stake;1.4399584;21614.55538235
324515c01d2445dd7d83ead6f09398a6a7221758bf11086c3f314cce38c60111;1553211;2020-09-09 22:56:49;Stake;1.4399584;21613.11542395
ec4b2a905af222f7ff17ab5f042ffbbb397f9bf807fa59a6e2727d87b909f6c7;1525190;2020-08-21 05:58:37;Stake;1.4399584;21611.67546555
714f0709bfd828eb3972607be3387545056a11d162dcd6fb1b23397e27981dc3;1521209;2020-08-18 10:46:18;Stake;1.4399584;21610.23550715
