sep=;
Transaction;Block;Date/Time;Type;Amount;Total
0b39ccb9673bec08aeb6c76be17e5f01f1f384e75b37dd0b9c6db91261cd1ccd;2036387;2021-08-17 19:22:02;Send;-90032.4;0
9af26c9229fafc304a4ec57fe418bebf30c10fbd8bb2930a9173870310bd3a9a;2035516;2021-08-17 04:26:56;Stake;1.08;90032.4
6b825487803a5ceea626f3b3325d256d498e2aa9d066ed5d9eb3b038920fbf7f;2035497;2021-08-17 04:07:35;Stake;1.08;90031.32
2f548785cca0891317b67041d2fbc3d39aa74febcb93194619a4731c2b6d93bf;2034871;2021-08-16 17:25:54;Stake;1.08;90030.24
b0e1374357a1f2edff775221e3c89ad2e81c960ba260be14bd73d141a5769256;2034676;2021-08-16 14:11:18;Stake;1.08;90029.16
86eed06b421202cd01206a597eb349154c9be39535bec2686c1e7ca73199e163;2033787;2021-08-15 23:01:50;Stake;1.08;90028.08
94278a6898ee870d08de1c683271544a311c1482258c77b3398ea611d0287c05;2033539;2021-08-15 18:39:50;Stake;1.08;90027
f5707d962bf839206332ba7b3e3cc573118c27ba996d31f08ef53db914c3e2e6;2032792;2021-08-15 05:58:44;Stake;1.08;90025.92
860104a63fd8ba87d28f1929b656947aebbf15455a1848057110f451284a58cb;2032546;2021-08-15 01:50:08;Stake;1.08;90024.84
74cf623e439e449eb2cd3c1654ec36f9e0655d543417e4d471aad8b27d70fd42;2032520;2021-08-15 01:22:55;Stake;1.08;90023.76
181248cbb4cd6cc95a3973925f6a4bb1a309e24bd05a970984c88ef953d2ba66;2032423;2021-08-14 23:44:51;Stake;1.08;90022.68
b7dd0ac5b528ae371f500c83642b056fed14c87cb010d34677ecc856b2bdf12b;2027026;2021-08-11 03:47:20;Stake;1.08;90021.6
559f968992bee01447a229a95284be3b90fc4052140fd960d5ffcf5b8d7fb3a9;2022716;2021-08-08 02:24:29;Stake;1.08;90020.52
ad8dbbbbd61500e5d7d3d5831b47879c8f129d921c4c71159ef202addb4e392a;2022188;2021-08-07 17:30:24;Stake;1.08;90019.44
c10f8d94016f379a1cf7b7a4ca874754f091175d60d7349f43bf922e559f4059;2022172;2021-08-07 17:16:38;Stake;1.08;90018.36
0c7c16781f061bc31ec46305774b2269ea1cad7deb7d1baa11921540287e5fcc;2020761;2021-08-06 17:07:29;Stake;1.08;90017.28
5bfde4a7277ab9f33245bcfaff17e4c4cf89fc7305d7a0bfb043a1eb56c26433;2019458;2021-08-05 19:01:58;Stake;1.08;90016.2
669dcf210ce40f0729db2e98eab52b33d13503e87fbd44dea72e58c9342e2673;2018758;2021-08-05 07:05:19;Stake;1.08;90015.12
7d3bc718f8f637544c5b09dfaee81b4377237732205701edd0ceef9499949a0d;2018399;2021-08-05 00:54:44;Stake;1.08;90014.04
ab04a14514388d09c7f9ec3f62df0948f4077dee2d564b499de1366cdd1acfc9;2018381;2021-08-05 00:31:22;Stake;1.08;90012.96
1082a3bc817f8b45d9b57dac8f46020303318c76dd24bc3c8b4db41f7e0e3753;2017955;2021-08-04 17:25:30;Stake;1.08;90011.88
1a19d88c35179fe37d8a7077a38892a1e816369512b95d223abd9e953c291157;2017945;2021-08-04 17:15:26;Stake;1.08;90010.8
1894f71c2f3abe10d3f06914256e386ff1b2ee5e4e80d50d38dfd5f171010d25;2012236;2021-07-31 15:50:09;Stake;1.08;90009.72
430479fe066558968778906f729b837bb0858734ae23fcf0dfcabbcf10c7d1f7;1992975;2021-07-17 23:58:47;Stake;1.08;90008.64
fc5a45242fb2bd9c9878eb4c6fa5b5c1775c27f363539807b35a97f89088f651;1992919;2021-07-17 23:00:29;Stake;1.08;90007.56
3a8ec008a3a4a7e2d11af01bc18c358674d2c285ed8e216c3b8eb197d616d0d9;1992870;2021-07-17 22:13:04;Stake;1.08;90006.48
5b0c3747f7c89fded8697b92ec03da690b5f118875ef0681e2e6bdad25c05297;1992810;2021-07-17 21:16:47;Stake;1.08;90005.4
07987fec031d5ed07c034a677d5878e852626acfa1fe9413dad47e3a5cf35d85;1991038;2021-07-16 15:09:37;Stake;1.08;90004.32
