sep=;
Transaction;Block;Date/Time;Type;Amount;Total
b40a6ee1c88f7da4baffad1f0de47bc797bde16607258b80c2d65d30a3ffa120;1747721;2021-01-24 17:44:25;Stake;1.07995837;30135.64527246
d51a1fed651c68b058611cc23b32813c6d64f05aaacc61d5a18a33294f9a6e58;1747677;2021-01-24 17:00:31;Stake;1.07995837;30134.56531409
cdfb09ca67f800e0a5414cd7a81049be8a3c9479ffc89e50c83756f0499f622f;1747413;2021-01-24 12:42:51;Stake;1.07995837;30133.48535572
af7ffcd70b300e482c6d76111d76554177ce38e184c9ce995537ac4abebf5f1e;1747376;2021-01-24 12:01:59;Stake;1.07995837;30132.40539735
bcffdbf12968f1ecd93603720712ca5c247940b98fc7d5960f7a6ebfe3e73dc0;1746998;2021-01-24 05:59:36;Stake;1.07995837;30131.32543898
ff9e829d525e516259973fffba0b597041ce7febe07df110fccb3fe97a5b8c35;1746832;2021-01-24 03:13:10;Stake;1.07995837;30130.24548061
9442fe9dd829f59445c1bfa3e8c78bb7fae1c7bce7523dd549f7b1c4286a8df9;1746830;2021-01-24 03:10:25;Stake;1.07995837;30129.16552224
d0a546875ff89a76b1ae848ba6ae732fdbf272ee01c92abe48301b95745c354e;1746469;2021-01-23 21:14:54;Stake;1.07995837;30128.08556387
89bebc5109788017aa38b444aaecd65e7540db3b9b32120c88a17db39000646a;1746463;2021-01-23 21:08:58;Stake;1.07995837;30127.0056055
7621fb0ac45ce626966fceaa1c5453f00aa8c39ac68a4ab1ddb8142a990c8ec0;1746363;2021-01-23 19:31:56;Stake;1.07995837;30125.92564713
2b0949d4907232aef4681fc1bbea975fa0c30f48660621a491b557099caffe5c;1746344;2021-01-23 19:12:23;Stake;1.07995837;30124.84568876
9a6021a24239e901d690f74c081a6cff0a75cb1e1b8ac3fe44b88996f04b1c25;1746110;2021-01-23 15:20:00;Stake;1.07995837;30123.76573039
eea418073f851119e7fae314adb47de4d57b0dc31d79c34a26faa9795eabd6de;1745935;2021-01-23 12:37:09;Stake;1.07995837;30122.68577202
