sep=;
Transaction;Block;Date/Time;Type;Amount;Total
94b6f4df3219c3273d32fc555093d4357df0298808857b49891b85376c9fc249;1837555;2021-03-29 12:04:51;Send;-17386.37;0
5733e41ebeabb343866d8c4298811cb9dffed65a9b1ef74c5900a9141baf2638;1837350;2021-03-29 08:38:44;Stake;1.08;17386.37
c72cff74d2e566fcd829fb996d79be3e7f576db50ab7572d071e5548fe44b3f4;1837016;2021-03-29 02:57:56;Send;-100;17385.29
fffd64c899d900fcef5099d9eb8ce2fdc916a2eca1b8d9dc8a031fe74b11a93b;1836714;2021-03-28 21:45:45;Stake;1.08;17485.29
f799c7f74084458dcdcd8eed29ed60d8d2fb3b3108e5d169b1582195aa822405;1836629;2021-03-28 20:16:56;Stake;1.08;17484.21
de87774ff53b34ae736e9565a5556e38677659a67529e7a609031717054be59a;1836344;2021-03-28 15:27:20;Send;-934.34;17483.13
415cef5bf2d2cd623628674b1d254491dea4061c9d68a0b0c93ac23279787966;1836179;2021-03-28 12:42:21;Stake;1.08;18417.47
5a42c2d1c665171c733abe441d70c8f23e8d12682f4d3c11d4c21c9f50010190;1835844;2021-03-28 07:00:24;Stake;1.08;18416.39
fa36c9030c91e56a06d5b42fa3bba53d98d9afae01944cd69642c1de32e2146d;1835807;2021-03-28 06:25:39;Stake;1.08;18415.31
49eac4092beaf84dd4320263f108f640795c4df318186b098e61f46f4f3cea81;1835207;2021-03-27 20:10:39;Send;-930.02;18414.23
cf8759185d33a3755d82f822b55b0c6ffa517db3d209dc777606a8d529ac9863;1835047;2021-03-27 17:15:42;Stake;1.08;19344.25
7c5bbf7ec9074295fe1761660bca8595caac1813c8e29b4e6cf4ccdab2bb4937;1835007;2021-03-27 16:39:14;Stake;1.08;19343.17
eb46888bcf4f19d3b042b4078a95bf280b7a5e70c6628e7b9980663063daf5be;1834905;2021-03-27 14:58:06;Stake;1.08;19342.09
290e4ff55ced414cc8da398e3b5c4d8d54e3a5cfeb988fc69a04489a62a3d0c5;1834609;2021-03-27 10:01:13;Stake;1.08;19341.01
73a4274b77ccdc77c1db8b202ead455def76e239439fbfa934f7f33805f9779e;1834521;2021-03-27 08:28:22;Stake;1.08;19339.93
8f23bd1306957a6d220d246a749b9b23e0b23035edea7062e5c05548e9da85dd;1834496;2021-03-27 08:00:29;Stake;1.08;19338.85
8e1a0c8f8ec863f4fdc46e4b3fa794d67086abe109ef3df5bc4ac66e16b721f7;1834375;2021-03-27 06:00:18;Stake;1.08;19337.77
f534c0efbffe0938f5a24096f87d8a03a47c9778e85dfddbe0d2fc920a38e26f;1834267;2021-03-27 04:12:41;Stake;1.08;19336.69
a9f4eea43d9cecee4627e7b3de2da0491bbcb0a4f2900b98a2dbd297d956d1e4;1834256;2021-03-27 04:02:52;Stake;1.08;19335.61
be4380ab8fca6779572bde16da53ce4770daa8fa1fa57a08ecdd817724fceee4;1834226;2021-03-27 03:27:39;Stake;1.08;19334.53
b4ddd90d5a6b3c224bcb5a995c5cc9bd610723d30080280ad671275e1beaa511;1834116;2021-03-27 01:32:09;Send;-930.02;19333.45
603f693d83c1a526dc45d3cfef637f3489bf65f785c31aacc2172b15e5fe1475;1833887;2021-03-26 21:46:40;Stake;1.08;20263.47
8337f89292399f477ae4610a674e053292c9817e7968a33b3599f06aec45f8af;1833869;2021-03-26 21:30:27;Stake;1.08;20262.39
9ff358ae7cf56da339dacd1956d93642acf8106733e41b8b860a66b7318a71c3;1833741;2021-03-26 19:07:22;Stake;1.08;20261.31
a6af44e0f452ca3cd86da178df7854c4f8ce42c316d212f80f666d5494fb6d24;1833524;2021-03-26 15:31:16;Stake;1.08;20260.23
580928e0f82c77501a6810a44b5a887183d1865fc548f260102649355dc92e28;1833337;2021-03-26 12:08:42;Stake;1.08;20259.15
4455662fe69ea0d553fbbdce2af6393e11cf039b287989c71a68bbc5be265502;1833129;2021-03-26 08:42:02;Stake;1.08;20258.07
0b4cacf66a47e8eeb20162bfcf3238cf15f7691a0eceb86daebc4cd673691c5a;1833050;2021-03-26 07:27:45;Stake;1.08;20256.99
3803aeaa434daa87cf21a4509a1fcaf6b073222282bf8ac154f4d7de134290d4;1833044;2021-03-26 07:22:05;Stake;1.08;20255.91
0c8ca8736f41206081a3458374b2825645d222c98b7633457c07573ba82879ed;1832813;2021-03-26 03:14:14;Stake;1.08;20254.83
