sep=;
Transaction;Block;Date/Time;Type;Amount;Total
323c28206fb87b58a56e63f633ca4f2ab3251eef74971f20d999d3c572e24a32;1672126;2020-12-02 14:41:29;Receive;896.39384959;40255.63112944
37bbaf5e14eaef5d65a81f8c253e3a8a48fe42989136ab4bb965ad70691f0d56;1672126;2020-12-02 14:41:29;Receive;1088.63253226;39359.23727985
22c75b68eef5e4dd3b26daf3c2484422a7bcbece7fdeaceb0f365632d40a251b;1672124;2020-12-02 14:36:59;Receive;1445.03009001;38270.60474759
278d14d07fbb877a7b8ae0b5b7716fd3058fd7691bd124d12f3e291c920f6f2b;1672112;2020-12-02 14:30:27;Receive;1446.11006041;36825.57465758
eabb74209a2341351fd386272fc5a07000b7dfbcdb71f5762c925a93f8ab370a;1672111;2020-12-02 14:28:05;Receive;1201.49124453;35379.46459717
1ea51a5aa0aa4f55cc296c1b258a8716c3305db1adb4c5a4cf8e7ab3dfdaeda5;1672110;2020-12-02 14:26:32;Receive;1217.15085969;34177.97335264
d3889e1f3c22db9d9b8fc3e55bb43cb471acf696d139be649578c28372ae8569;1672110;2020-12-02 14:26:32;Receive;1215.53137774;32960.82249295
8d93bdd42634ee02fd37a1ec48c3024621797d1c6961a565ce07ae3af8c06b2b;1672110;2020-12-02 14:26:32;Receive;1223.63157016;31745.29111521
6312dbb2971dd29ab9201c8299138917b9d8fba59311c454e881e078c6255779;1672109;2020-12-02 14:24:27;Receive;1226.87145175;30521.65954505
b5c641feeb9ec449686d9243cc5367e925fc7346d147c75aafd3182badd091f7;1672107;2020-12-02 14:23:48;Receive;1240.91117052;29294.7880933
155a830e368cf3485eebb78effcdda268a436e8ae99846b6133c7c549a92ddf1;1672107;2020-12-02 14:23:48;Receive;1229.03157016;28053.87692278
9fe207391b5285335ca69698917471f28ad7eb0041582a9b0601684a1e57a018;1672107;2020-12-02 14:23:48;Receive;1252.25137774;26824.84535262
d01a10d9e8cd79f3f5cf402d3691f5fcf5cc4d64b47ffc92a3c9be34b95e2821;1672107;2020-12-02 14:23:48;Receive;1277.09120013;25572.59397488
bd7564d57cba9d69d5e71ee4e81d3658c5e8fd70d297a6134643e2587eb63ff6;1672102;2020-12-02 14:18:40;Receive;1335.41011962;24295.50277475
2fd1959f010e8ecd3758abdb8d8b0d1c6a2d32d9c38c9e080bf032bef9f97642;1672016;2020-12-02 12:52:57;Receive;1349.45026763;22960.09265513
e52598edb17057fa502dcfb37b176b8fbff4bd50cbf8e9a2cdab1f8bf6f7857d;1672011;2020-12-02 12:48:39;Receive;1348.37032684;21610.6423875
17488c269150c80be95c016b00d5a27563a2e29e5c306497d9fa2f38083f7396;1672000;2020-12-02 12:36:59;Receive;1357.01028243;20262.27206066
b6d1a0d9772377adf25e4a57023a395e645eb19a5a237ac6906fa94ad1bf276e;1671995;2020-12-02 12:31:32;Receive;1322.45023803;18905.26177823
48415c0811ec5d708279146ce32ff8c8c1531754f905ba807e4cf7eee042348f;1671960;2020-12-02 11:56:18;Receive;1347.29004561;17582.8115402
0865eccbeea83b702b4614f2e95d2555e26157c81831b2ee3d9c63833ba74408;1671936;2020-12-02 11:39:40;Receive;1344.59006041;16235.52149459
4d093cffdcd027a8714d9fae2a45ba9bbf79050a8e72681bb8697791283dad72;1671930;2020-12-02 11:31:51;Receive;1348.91004561;14890.93143418
cdb9b600e17ee0c7c10093951e888901990ca94db8b3aca7fda72174b070c81c;1671926;2020-12-02 11:22:31;Receive;1358.6299864;13542.02138857
03fab4e425c90ae878f6a2d49241b0e525b896ec3f367aea56c91d1a8c2bb3d8;1671906;2020-12-02 10:58:16;Receive;1357.01029723;12183.39140217
e3dda45130e8f5070302b1e893d9e56ec5b37ad3f803996b480ec80afea04744;1671888;2020-12-02 10:48:51;Receive;1348.37034164;10826.38110494
c756939b2f002621acacd26b02fdb30f968014d125c4ac152f77029bbe3a7b7d;1671881;2020-12-02 10:38:08;Receive;1357.01047485;9478.0107633
3fb8a881373bbd8020cdd1560437a96004b66ffd6d86cf4a6652678158b418bb;1671873;2020-12-02 10:31:07;Receive;1345.67007521;8121.00028845
79515581208176e760468c49ac0cee397e85d37fba873526e3db845442de6f63;1669370;2020-11-30 16:12:07;Receive;1348.37006041;6775.33021324
f8c8349d319dacb87ea3bfe01b29c37967376b823a60bad72cf681faad3d8d21;1669361;2020-11-30 16:05:50;Receive;1348.3700456;5426.96015283
0bfa5fcd245fc5eef8fd9e3e3cbd7ff46a40ea6a2da9b343b70570578d1f3b3e;1669355;2020-11-30 15:59:05;Receive;1345.13009001;4078.59010723
6908c4403e0405ed4833ab40062e8042680f56936b4dbfea5dd7976addb08243;1669334;2020-11-30 15:35:08;Receive;1363.49000121;2733.46001722
4c5688e3ad776305e984814225575ceed11efd1ac1188ddd8d2dc7b22a4fc34c;1666415;2020-11-28 14:19:47;Receive;1369.97001601;1369.97001601
1b7fc0d2440ff92254c7895a626a42a5510b386d0df2e59609ee1c1f43cc5974;1666399;2020-11-28 14:03:00;Send;-30097.94188235;0
eb18116f6274f3a5fe1a9f7c12b646b5462b4e2b52035ad9bf01a8a6eb4a49f5;1666394;2020-11-28 13:59:38;Receive;1347.29007521;30097.94188235
ced246b8b2be8b3ffad19eea1cb7d1f920beb0ffdf703630fa95664ea308602f;1160960;2019-12-09 08:18:12;Send;-3311.26102145;28750.65180714
a5ebb5d8fe0c5b1176ae53e8ed1361fb76e003166070bd25dee2603c23d2afc8;1160959;2019-12-09 08:17:53;Receive;1261.43134814;32061.91282859
326ad53964cdc362dd38589c9e560bd192e38a936cb31aea385adf6593336962;1160959;2019-12-09 08:17:53;Receive;1254.95139254;30800.48148045
c05f1e9c3a39e11a3efce9b04c4e86593aeed207efaa56bbb8bc62af25f9df1d;1160959;2019-12-09 08:17:53;Receive;950.39347955;29545.53008791
ea15538719c187734b87de5dad85a970921e258fef86bcebb73150f6ff389b3d;1160959;2019-12-09 08:17:53;Receive;1276.55124453;28595.13660836
ff129061f16428cd1e1ad1da721bf049b942c0360dc5b56cebe5e125de6e527a;1160956;2019-12-09 08:14:47;Receive;1295.99111132;27318.58536383
84e03cf81ba06207da88a7d7211f71a47249c0827575e61bf110dbe3aaffc084;1160955;2019-12-09 08:13:30;Stake;1.4399408;26022.59425251
829827691929a8b79ab7711ab0beb102ced82e4c874919e34eb8e7a575d5249b;1160954;2019-12-09 08:12:36;Receive;1318.45419658;26021.15431171
4033d7d950799e6c74b0d35764d916a53d4e96c5f03a33c62722ac42529195fc;1081095;2019-10-14 13:29:00;Send;-3397.12425621;24702.70011513
652e68ba3bdee0eff0d0d17993e80ac4923fa28fc8b3969604752401ed30f73e;1081094;2019-10-14 13:25:16;Receive;815.93532554;28099.82437134
3b67b3623e75094d7ee25526122e8452a2854e7fe981256db15576379e73a76a;1081092;2019-10-14 13:24:44;Receive;1636.73061443;27283.8890458
d67271d707b806e73b2b72ec30962861fd98bebfaa7a44d7c2c3e57404d7e26f;1081092;2019-10-14 13:24:44;Receive;1625.93067369;25647.15843137
75c508afd5c6ee1b8aeffad7575f04e5ae4f790159e31dd1659e241214efa86d;1081092;2019-10-14 13:24:44;Receive;1658.33049591;24021.22775768
2d45cb2da80b0cad60f3fed651331471b3a2ba0d4338267028e0ad4c2ce0d6ad;1081091;2019-10-14 13:22:48;Receive;1646.99055517;22362.89726177
3430fea0b01449ec171e3c075b2a729464d2dbad5647d3b9c385a0e1ff3c98c9;1081091;2019-10-14 13:22:48;Receive;1652.93052554;20715.9067066
350bb0bb21e7a701203a542e251217cd10f21f74cc357bab4af0b96630ddb423;1081089;2019-10-14 13:20:24;Receive;1658.87049591;19062.97618106
778291eb2c4422667c59ccc167e66fdf120df20759651ea85754c4eb0b235948;1081087;2019-10-14 13:19:35;Receive;1668.05043665;17404.10568515
2dfb7b46ed9d2d814f9e2d9eb5fe1a11158217252fc68992c6efc5aa718733ee;1081086;2019-10-14 13:19:17;Receive;1675.61039221;15736.0552485
48188ad8b03182f2074a48837e9961ef1590767f0d7aae4c1f6a7c93bdb64cce;1081085;2019-10-14 13:17:43;Receive;1681.01036258;14060.44485629
b2364883ae1f8c1ade0dc91b5574a859e275d797a3aedae04c56b48b028023f8;1081085;2019-10-14 13:17:43;Receive;1678.85036258;12379.43449371
c195f02244bb628cfd222845741d910001458fb4cfa5ff4f7eb907568671613b;1081084;2019-10-14 13:15:50;Receive;1688.03031813;10700.58413113
cdefed72904da7cec0b304537b6553ed7352fe2d300fb95a28b2c6e2a95139c4;890108;2019-06-02 14:18:53;Send;-3801.57911109;9012.553813
1fca5107cbbc591f9432fedb18cc9daa527b670caa61961784fa12f87ef7eb6f;890106;2019-06-02 14:16:57;Receive;950.39477582;12814.13292409
ac055251242cf890676b4c68c6fc23bfc80d58d0fca61d45002e657c61b6566e;890105;2019-06-02 14:16:20;Receive;1444.4920639;11863.73814827
b2cf5c039a441864429f47ceeaa90640c54abf5ee44f5954c1994674ab3f8322;890104;2019-06-02 14:15:11;Receive;1420.19219727;10419.24608437
1bd833d727b542bd99be863277f98b03e031f54bbbfbcaca1d5d60db02299ab5;890103;2019-06-02 14:15:06;Receive;1430.992138;8999.0538871
17dcc0897efcd248569600078e5763793c8575515a5777c2733c4a442b3c7b6e;890103;2019-06-02 14:15:06;Receive;1444.4920639;7568.0617491
02634a24c8cc043a5c9aafe851a9fd51becad1e09c4c2e33745e277263d36a55;890103;2019-06-02 14:15:06;Receive;1452.59201944;6123.5696852
89d5dfd6f16016a4df8abf78442e407c44a253f081ffa94a166ea3df1165c099;890102;2019-06-02 14:13:11;Receive;1471.49191571;4670.97766576
2a3213db7f73faf36b00b7b22463563cae3634b93d6c733ec6fcc8a1cf5e3fd6;890101;2019-06-02 14:12:33;Receive;1490.39181197;3199.48575005
511509be25bffcdc32e244b571b210c4db96999fea056a2a8cd75dcd3b1ed34e;776495;2019-03-14 19:45:07;Send;-4493.93837845;1709.09393808
8acd497dd148449c3420bd15701c68612caed24295e18fe877f47cdd9b113c58;775848;2019-03-14 08:53:59;Receive;1133.05029454;6203.03231653
a93a76404aedda8fe356e86eda0769e3225ce0fe69e0af513aaa3eec5b533405;775847;2019-03-14 08:51:59;Receive;1709.09393808;5069.98202199
c4f2d43150b01aebe0cf96e3c134b1375f2915e47c0cf98cbc608052d26672df;775846;2019-03-14 08:50:51;Receive;1714.79392325;3360.88808391
6d4082eaecd50d57ebc36d1317e93d6925810ea32a1e599fc19df1d6b3dde9eb;775844;2019-03-14 08:49:45;Receive;1646.09416066;1646.09416066
0b138ef2c7874acfdbacf499890f67275a8c6c3195dbc7de0c031117497557ae;739436;2019-02-16 20:32:07;Send;-10638.95212041;0
b5aa74e41671e754406164ddba1710708218e2fb72fd66c58b9b493511085d5f;739434;2019-02-16 20:28:30;Receive;10638.95212041;10638.95212041
488000f052da434b26caa666210f779e9c6d283e86990a6e0c6f7451e551b7e0;738956;2019-02-16 12:23:25;Send;-40571.75251441;0
84cf672078c8064da01e83c376e9287b68e3248cb93d2336273ca8badc5c933d;738767;2019-02-16 09:15:39;Receive;2574.5909189;40571.75251441
771cf15c124567fe7e7303238481e78d46a51f59765b2bde064e38404dcd05b2;738767;2019-02-16 09:15:39;Receive;2566.1909485;37997.16159551
75bd2659774173e2e7961457615640086f4270760db80eea1e4a7c224080d6c1;738767;2019-02-16 09:15:39;Receive;1.29567364;35430.97064701
9101f3457668b499bf2d17e07fb0cd59b55505c5cd97a64e716950a4cbbd28c2;738766;2019-02-16 09:13:39;Receive;2519.99111132;35429.67497337
8c07d483e2a0fce67c7837bdf077ed30d457d7fa8288af6a7d29b10cba3eb7f4;738766;2019-02-16 09:13:39;Receive;2540.99103731;32909.68386205
3dcc51f2337dd16319284e4c8d9ef5cfcfffcaa98c647f4d14b4a911c7ff7a66;738766;2019-02-16 09:13:39;Receive;2561.9909633;30368.69282474
