sep=;
Transaction;Block;Date/Time;Type;Amount;Total
cd2435164b7f0fa60d31a041252bf02635d6c1cbfe8ea41c486eb1a15fdf1731;2163170;2021-11-15 18:45:47;Send;-545.9;0
3e06d250f85a6fb285b7030827493be4ca95a43d6cf84c02adb48827cbf73b84;2163170;2021-11-15 18:45:47;Send;-4394.22;545.9
c1109c2730afab4182def66c0c6ce6ae5c5e1e6082948ae949ad64e0130bfe56;2151717;2021-11-07 15:48:53;Stake;1.08;4940.12
c1d374da06a01314bb3e032b2c45d49479ba5ab3d8da13e13320897ca6f11f04;2147425;2021-11-04 14:32:39;Send;-549.15;4939.04
8add3b4f172fb11994e64740449400f8c0e96a4084b006b6a7ad84215f98a821;2147425;2021-11-04 14:32:39;Send;-4383.4;5488.19
d0ffea0105a089e252470dd74b98d94900353357eb8d76d6c348e088436e1b8f;2145458;2021-11-03 05:06:45;Stake;1.08;9871.59
438c048af5ef4d83adaec94dab325a1a81da97d3b35ec909a11f85c88cd5125c;2144333;2021-11-02 10:00:11;Stake;1.08;9870.51
921737a2f0c51d41b415095dd367e1f86169524975b64743a014d03c94690ea9;2144046;2021-11-02 04:59:10;Stake;1.08;9869.43
b09eeb32e5c618c8a15c86f8b01a2eaaa58f079d984f7c8b3d64a755b70a3871;2136401;2021-10-27 18:56:39;Stake;1.08;9868.35
0e4bcc80d78f669d9e8edb998d1feb3cc27bd2ee2f138d67b15776fd01b7e6a2;2135460;2021-10-27 03:04:12;Stake;1.08;9867.27
e79a613724e3ab1581441112a31b46e9e83dd8a36960df94a6598adc8cc48b8e;2133562;2021-10-25 18:45:47;Stake;1.08;9866.19
5ae0c6fa9025a767714825407ce3bc879538e0a7aa16fce96087e467bdb22e8f;2132276;2021-10-24 20:41:49;Stake;1.08;9865.11
b0afcb909e1bfe7750420b11f18e893c7790b82467de0327fdbd48e9a9a283b7;2130776;2021-10-23 19:18:07;Stake;1.08;9864.03
b6af8ed4cfe23edf8a5932a03d90aedb545ee69e6d16ff150b6fb8a14e687e74;2129413;2021-10-22 20:03:00;Stake;1.08;9862.95
20205c70fbe47e56ee24c18ed354d8a65fa14ec14b4cce61b8fa864cdf290f2f;2128136;2021-10-21 22:17:16;Stake;1.08;9861.87
168ba2f8e3b7fccb2a8a6da6d122d837d369d33cde0beaf1834c88fc0bc5148d;2127904;2021-10-21 18:21:11;Stake;1.08;9860.79
1464cd6d6d4d533cf6916e1b57ed2e2fe62710da342f29544ec9594216f46a1c;2119455;2021-10-15 18:15:13;Stake;1.08;9859.71
63e7dd2b8706de69ba9eac00c1c811aeab4a2bdbf17b991b5bbd1a1e5cb27b29;2119428;2021-10-15 17:46:45;Stake;1.08;9858.63
bb24d2093de40fc3306acdbcf08505f34303a2906f7c1c08ae2479fcfb0f9a7f;2119408;2021-10-15 17:29:29;Stake;1.08;9857.55
635ba081e31e46f0a03adcee3e8e73ece702ffdfc41dae625a318b80f0df5aca;2115272;2021-10-12 18:55:20;Stake;1.08;9856.47
746b455110525eb67ab2275b1996fb651d7005473cf48ffc67a147a2c889af0a;2114376;2021-10-12 03:53:58;Stake;1.08;9855.39
90381c41953fc407b1d881cd43587b45911d6ecc4fb8e1bc9fd2cc1173c645e6;2111685;2021-10-10 05:51:50;Stake;1.08;9854.31
fcca49f8d2bb3791e5b5402971633de3a5a0c904702c4397c798f66f1bd9e6f3;2106943;2021-10-06 21:09:48;Stake;1.08;9853.23
8453a2e149e624a0752b9a970c7605f7802a77c44f0dacd0ea772208f03a232c;2106808;2021-10-06 18:57:58;Stake;1.08;9852.15
4a363fdc15c1671999cc56178aef186af7956b45aa6b3fc244a90fb4c48f01af;2106783;2021-10-06 18:30:40;Stake;1.08;9851.07
c2e5b0abf5f73ffdb60f09278143fc5a7722d409830eccdf34219e32fa8063fa;2084266;2021-09-20 19:00:12;Stake;1.08;9849.99
a47d0a34f929d9dfaff7e5c5c6330cf948337414c7cc4b100da5c9aca2f43b1a;2084239;2021-09-20 18:35:27;Stake;1.08;9848.91
e7edbb0e1c1e5daa3e281c27c82925121d4d51182e2e1ac60bc4d95062451eda;2080152;2021-09-17 20:55:56;Stake;1.08;9847.83
dca2b9d75b1c7d4d8de72d17426ae6f02f914045798dbf2c07f64dff5a0d463c;2078309;2021-09-16 13:37:58;Stake;1.08;9846.75
a6164288900e97ea7cd25a7af648283d602d7ca4f8b74cd52e13bdcbbcb68b40;2076420;2021-09-15 05:35:39;Stake;1.08;9845.67
78b32b0c62931a088dc380689ac0f46a37436e9929f6b1996d7ac6a5598ec486;2069001;2021-09-09 22:57:02;Stake;1.08;9844.59
4642b2a30ac7dd251fd8da28bec86098d552fe29aa420d1c5009e70b4157a255;2067058;2021-09-08 13:48:01;Send;-552.38;9843.51
370f2ad52a1e5f73877a01e8088557b08ced055dba583b5e95857d0d914f3a72;2067058;2021-09-08 13:48:01;Send;-13718.82;10395.89
182cf56144227f6bce1b9841a9838ed9283090e0f208e3c207b86fc11ece9735;2067058;2021-09-08 13:48:01;Send;-10932.08;24114.71
d6e4586c37e65b5ee63736b1680e96ec75882d09e123da2def1f3319ade1cd3c;2065097;2021-09-07 04:23:42;Stake;1.08;35046.79
9fba06f7a35bdebc814ead58c86da086867fa586ad3bf5108a039fe4c728b4e2;2062242;2021-09-05 03:39:07;Stake;1.08;35045.71
8935ce502419a51a203d417a418aba71bdc3b63f1af4505c8759aa98746d9974;2062088;2021-09-05 01:05:25;Stake;1.08;35044.63
3ba3e6b5fbf55ff2298ad656664a05fff28603aa9bd3af293cf0dcb5f716595d;2061792;2021-09-04 20:02:52;Stake;1.08;35043.55
3c777f43b6bfed33075b6d8be1e32acf3aa110d1f8e3cd5849ff82d480b0fa27;2061421;2021-09-04 13:44:46;Stake;1.08;35042.47
0424d1a8518e40765d0ba6ffd2e35503c4f19ffa33713e0f6822f5c38c552cf2;2061298;2021-09-04 11:38:36;Stake;1.08;35041.39
6ea6511c8ae802e918558887cf8b4bfdb2a55b6c703bf1f1307eabaabe17fdf3;2061291;2021-09-04 11:31:14;Stake;1.08;35040.31
0e820b31496f5d29841aa9459826280fd9e262a158aebe1bfdc2db96e72e10ac;2060705;2021-09-04 01:31:12;Stake;1.08;35039.23
