sep=;
Transaction;Block;Date/Time;Type;Amount;Total
30a58dc525310208af644a24429796efe197454cbe5c7aac827a91b807f1e89c;1860277;2021-04-14 15:20:02;Send;-22505.57;0
3fba811609042fc07fe6d2e8f880ada985b724f05a9ff67033457cea762bd0e5;1860277;2021-04-14 15:20:02;Send;-17964.13415841;22505.57
12b1e82c2187d36bbbd597d897b626b62ccf86d413f1814368afb5e6d99b0181;1860246;2021-04-14 14:47:23;Send;-641.8;40469.70415841
27ab71220139789df292b9fc4b4ac88929a784559f99d7d123adc3e0f51ecdc9;1859271;2021-04-13 22:03:13;Stake;1.08;41111.50415841
2c21b9fdd16dbf911de29a8d3f1969711d3f39162bf51ed5bb0cc3ec3bdeed4f;1859231;2021-04-13 21:25:08;Stake;1.08;41110.42415841
e2ec34372fe69a74d7cfd337e9b59325007f6d5336225cca199f787972814f49;1858961;2021-04-13 16:47:31;Stake;1.08;41109.34415841
42a16328b72863debc56b8682cc0d78c5053d7dfc6cfbf47606cf37623b469d0;1858892;2021-04-13 15:42:35;Stake;1.08;41108.26415841
59522208b363197a6aab2756e662900ea2d015c343fbc907eb079b97ed8e1d1a;1858850;2021-04-13 14:58:02;Stake;1.08;41107.18415841
89245522532d3ef043487c85d5db4d827a120b85598c269fc7ef55f561779f74;1858811;2021-04-13 14:10:47;Stake;1.08;41106.10415841
313106d5293018329a9678586f4ae8e1e7ebce3177cd86379bf2d790410bab59;1858762;2021-04-13 13:16:51;Stake;1.08;41105.02415841
048d47d8b3cc101f6159bb4d00280960bd736872227fe15824387376ca7653c0;1858750;2021-04-13 13:07:17;Stake;1.08;41103.94415841
ff7854666d7940e91320a7a66ab1c7fee8f9a640ac5b86979ab8bc2277deaa68;1858736;2021-04-13 12:53:14;Stake;1.08;41102.86415841
634d13e940bba8c0b8fb7a000eba9bc163ff98bbdc4b460cfe56e7d4518a8bb8;1858733;2021-04-13 12:51:50;Stake;1.08;41101.78415841
8f9bc339715e7858c98aa978d44863c83ca22641f773b8e633dce04f97dbfd5c;1858640;2021-04-13 11:15:06;Stake;1.08;41100.70415841
9f93d1721541a5df74de9d5f271896144b98269b76f7c0dc65831108ec4859e4;1858626;2021-04-13 11:03:24;Stake;1.08;41099.62415841
61c0fd9daccfcd34aa74f137a68c4e5351208279674146fff5d1953c7c2675ef;1858532;2021-04-13 09:32:44;Stake;1.08;41098.54415841
484b1fdc7094fc9b2d9af799f309ba4454c5d8ad6658dc3fb999e1c4597446a0;1858430;2021-04-13 07:46:37;Stake;1.08;41097.46415841
e9f2b292e03c42e4e4ad967ce6bd2123a9fee1d1ba51a908885d7fb74bb91c51;1858372;2021-04-13 06:47:30;Stake;1.08;41096.38415841
992188900ab536879e6389b3645a26829dc7fe6b1571f3fc0852c8a9269fab02;1858347;2021-04-13 06:21:21;Stake;1.08;41095.30415841
c59d20e72b2ab2e505c0c139e970a8de199487290e6879af9dbaf6b2fe982f32;1858243;2021-04-13 04:27:17;Stake;1.08;41094.22415841
15fa0b49e70d833f93c8f524f4069d759c425f058422385a42ffd4ec020e5c21;1858236;2021-04-13 04:24:07;Stake;1.08;41093.14415841
0880b4c018a05141f0e38215bf7a8eddcd027f7edb00cc3ecae286aa76222d50;1858192;2021-04-13 03:36:35;Stake;1.08;41092.06415841
683097c3799aa6a2b0e98ba7d0c4365ff6b73d85f35600224e651770105bfab8;1858097;2021-04-13 02:06:23;Stake;1.08;41090.98415841
