sep=;
Transaction;Block;Date/Time;Type;Amount;Total
3e06d250f85a6fb285b7030827493be4ca95a43d6cf84c02adb48827cbf73b84;2163170;2021-11-15 18:45:47;Send;-5312.15;0
9a019d74d1c9fe52be813a98e7c2cccb7c3e6ec6beaea0718d8f431971d61408;2162471;2021-11-15 06:52:53;Stake;1.08;5312.15
64de1cf04ca166aa8ade2ced76edf992c26e6507785b32463ebb68ddd3908bb4;2160280;2021-11-13 17:38:55;Stake;1.08;5311.07
472a8d28a607b2126dfc525798227bfea780eca9563ce3ed65b0bafaab648ebd;2154880;2021-11-09 21:36:49;Stake;1.08;5309.99
6c78306d4546a6ca47c8a7fa631fdb5eb11f9eb4d383229ee8de0a8ee76ff757;2151872;2021-11-07 18:18:41;Stake;1.08;5308.91
8add3b4f172fb11994e64740449400f8c0e96a4084b006b6a7ad84215f98a821;2147425;2021-11-04 14:32:39;Send;-2312.41;5307.83
5ff839d4a5721c116678213bb8e51326db4c114656bffd247f203c77afe95c81;2144049;2021-11-02 05:05:35;Stake;1.08;7620.24
ccfa1da64e651f465558082836bdcd10c9fdbd275e7ab73ea443df12151d674b;2142893;2021-11-01 09:24:17;Stake;1.08;7619.16
7ee9c51a1786a551fc0edbb5116f560100b8eb211440996885ac1609f3160107;2141518;2021-10-31 10:06:30;Stake;1.08;7618.08
a69d410ab0df4d6ea6e796d7923362a662ef4f87c80f7a0e1c6e6d5b86b730ed;2138510;2021-10-29 06:43:30;Stake;1.08;7617
aa6e73f624c521e0cf77429737694a1e40fb8ba5c10588201518436cfc519c62;2136343;2021-10-27 18:03:45;Stake;1.08;7615.92
46b3b8e6d3f8009850c82d51d9ba35edf82f6b600de7772abf06d9be77e04dca;2135898;2021-10-27 10:26:25;Stake;1.08;7614.84
2bd0e70b436a41f1be3b21771c1f4554a16f16a8e2e1ba603212c168d33b67e8;2133028;2021-10-25 09:32:57;Stake;1.08;7613.76
b19c22f3074694f327851c0f46b982d7e539c4cbe6198e763f0f3d4510f09378;2131642;2021-10-24 09:55:09;Stake;1.08;7612.68
c5931f6d6612b5236b6a395caf0a611bc0f9b6c71377a2eef4848bf0e4aa223c;2128847;2021-10-22 10:23:31;Stake;1.08;7611.6
f2041383ec6f3f286ef2cb0e7165b70c414430b27de24089d2d09edd32cf9c17;2121789;2021-10-17 10:08:47;Stake;1.08;7610.52
a56b7df3107b7c7a5a5c22674be149b87c257193ebe15e680db05e9be88fc83e;2119926;2021-10-16 02:12:22;Stake;1.08;7609.44
ddc2fa274b0aa6027780be073f17be2ebf15c068682a844c6217b9ef89e67b43;2119466;2021-10-15 18:28:03;Stake;1.08;7608.36
6fe89492be513439657cd5b66b172978d37a2a94f01049cef8496fc341027ada;2117016;2021-10-14 00:43:16;Stake;1.08;7607.28
f606e353cbe30d0a372b0df29907c2de0e08f603bae33b2b866d60e937f351fc;2116864;2021-10-13 22:12:21;Stake;1.08;7606.2
93b0a7189fd93d68979951d2ecabc343f7c6055656a0a035eef4321b1f3b90e8;2116724;2021-10-13 19:47:22;Stake;1.08;7605.12
3894907bd60783c558cdd56167881d9a7d562369dfde553c2374122a074fb67b;2115264;2021-10-12 18:45:33;Stake;1.08;7604.04
b4505039782362fbc489af040422b52dddc9d3f763a577388fae71e15e79dcf7;2113809;2021-10-11 18:12:40;Stake;1.08;7602.96
5f95f912889c4a7d7c2f55803caa1afcfb8b77de42928bd65e1ce675483783d3;2084267;2021-09-20 19:00:17;Stake;1.08;7601.88
4447c59571d93e7aaa157e07e05b9513f00a4aa409170ab0eded78f05a3ce7f5;2081208;2021-09-18 14:59:48;Stake;1.08;7600.8
6bf8c7cb85827cb2511f80b9504394554ceae90d59450f78e17dd36df2cb7e7f;2079853;2021-09-17 15:56:30;Stake;1.08;7599.72
b4c99689eaf39653a673b857377ceab6e05cad8f9ca2a0d45b8cd9f768df9a66;2077660;2021-09-16 02:34:30;Stake;1.08;7598.64
ed709162e4a2d12055c11f559682a9d2820cfa14d618dac66be720c141749a53;2077177;2021-09-15 18:18:55;Stake;1.08;7597.56
27078f1fb1db4cae09209494dacaac2d8a6b995e7b5bd6bec79b976670cc824a;2076784;2021-09-15 11:44:06;Stake;1.08;7596.48
3d640eac16691b2bad48db2ba51b0a3b632abb0feca5c0e9022fc62de7f2863f;2076411;2021-09-15 05:29:25;Stake;1.08;7595.4
bebc7788583d5d5b6960ea48b30c809c8b2366a7e9a6fdacc8a6e138fd32eb78;2075204;2021-09-14 08:44:55;Stake;1.08;7594.32
74daa4ad1322aff8a24b48a86486ddbd15dd2fb37c1ee28b4e150ec91f7781d4;2071368;2021-09-11 15:10:46;Stake;1.08;7593.24
c727147ae76af51efc0602149be8fb8e9913e578cc85e6fcd1bc6ca55f944776;2070226;2021-09-10 19:38:20;Stake;1.08;7592.16
d5531f77dca42637e3eb08c337dc1cf1a4e1f09ca08c8fa93121481f71412e2a;2067082;2021-09-08 14:11:32;Stake;1.08;7591.08
4642b2a30ac7dd251fd8da28bec86098d552fe29aa420d1c5009e70b4157a255;2067058;2021-09-08 13:48:01;Send;-5917.53;7590
370f2ad52a1e5f73877a01e8088557b08ced055dba583b5e95857d0d914f3a72;2067058;2021-09-08 13:48:01;Send;-2891.55395034;13507.53
182cf56144227f6bce1b9841a9838ed9283090e0f208e3c207b86fc11ece9735;2067058;2021-09-08 13:48:01;Send;-5266.9870233;16399.08395034
330f67066a06087beea79dc3dfd655e4a708318a8299ef610beec0020f01a722;2066581;2021-09-08 05:41:42;Stake;1.08;21666.07097364
0509e4026f6b64d81437fb2c5e9ca3fc1b9369442ca572ce51682e54544847a4;2066430;2021-09-08 03:11:51;Stake;1.08;21664.99097364
a0778ee361b4df7f89f2587a7aa26f792dafe0b848d53991a9d5da4e866d5357;2066147;2021-09-07 22:13:39;Stake;1.08;21663.91097364
ece0429ad25414cfeee4fbf77b58e56fdeef9cd3fc7a031fd6a949ecab0caed4;2065655;2021-09-07 13:46:37;Stake;1.08;21662.83097364
00bf0a9d9f718825c32ab64d38aac774860585d7f82904171117fb4e84608b16;2062389;2021-09-05 06:11:21;Stake;1.08;21661.75097364
2ea65ca27047edb86df5b6004306e3c465737783d1c76c8179d31ec747059576;2061946;2021-09-04 22:41:12;Stake;1.08;21660.67097364
b99970572a8f5760eb16caeb8bce76a4e20404bd63943cd812172248e69639ef;2061735;2021-09-04 19:01:17;Stake;1.08;21659.59097364
b5ccbd93a28c83314c3fec3ad5712372c81ccbe48b9e0a6a7309efd8dadcc004;2061731;2021-09-04 18:59:02;Stake;1.08;21658.51097364
8474e30e11a20d0378f012a38d052f5d6b8e973231bcbf52cd179b014f074a9e;2061234;2021-09-04 10:28:58;Stake;1.08;21657.43097364
9d0a5823fe0509fc41850ef2b277af89f5daf58597c8298c30fdc7f32ceb21e2;2052254;2021-08-29 01:34:25;Stake;1.08;21656.35097364
674f05cda4c8dd0e3c9f44bb3f16039ce28cbaebcd30e04548d7a8c7972db48d;2049822;2021-08-27 08:07:24;Stake;1.08;21655.27097364
512c4c3ed94c2d491882a9ccdfba59a8c4d45d4a6f5791c5cc205febbbcd6bb2;2048932;2021-08-26 17:05:07;Stake;1.08;21654.19097364
5057865f0461e9b5a1334862f16bb390c1ebf1cd62385bcb3593b77cbb79cf6a;2044599;2021-08-23 15:06:26;Stake;1.08;21653.11097364
e0d23d692ee6c1a99a4c2de2772a78335bd79d8bf1e6eea1629f58ae4a9ad09c;2044481;2021-08-23 13:03:37;Stake;1.08;21652.03097364
66ac95a5c8e357dd3b92b1cf593746b3db72a06ed2c778f2bb9a065c66cfe26a;2043593;2021-08-22 22:00:02;Stake;1.08;21650.95097364
97628e9d76d25594ac097da33041e24478a3c03f3e9a2069dc4264d54819e891;2043230;2021-08-22 15:52:05;Stake;1.08;21649.87097364
e7510e1647cd236a13bd08cf751fffc45abe18ee23846bd54013d3d930997f46;2043168;2021-08-22 14:45:22;Stake;1.08;21648.79097364
008b01a8525c75b8d6f62cac4990688a036e04300026748f59a86f890ada1056;2042707;2021-08-22 06:53:24;Stake;1.08;21647.71097364
