sep=;
Transaction;Block;Date/Time;Type;Amount;Total
521ffbd80e7c6488da97702c8b28bc4434e99301bd574eac126ab2d8de9a43a4;2366046;2022-04-08 17:18:45;Send;-0.0000271;59155.22955217
7080057b1ff910eb3a8c6aa1fc4ca5c2316aa6e40c91fa50635a7e7011a938fd;2358826;2022-04-03 14:14:55;Stake;1.08;59155.22957927
db12d7b5c4864b2b65972bfa2cfb086f9393302e298eed51c9da687c02670017;2353542;2022-03-30 20:25:16;Stake;1.08;59154.14957927
3b2f2314f99b1824061983931e42c979d47c779130c31ad921aa1179dc842662;2346101;2022-03-25 13:33:25;Stake;1.08;59153.06957927
0f9a9ec2450ab4d436cdb2d5df9881c0964f3cd03220e5f44925acce3da13bc3;2331944;2022-03-15 12:32:26;Stake;1.08;59151.98957927
9c91605aa5dcfec4aabfdfe44dfe4a76f0c9b08c880d0c29ef6f2c4911cd98ab;2325488;2022-03-10 22:44:04;Stake;1.08;59150.90957927
6b07c37a97a03ca2d0bc1ff742b3b09dfe752aeaefc5980568408578f0562f46;2323914;2022-03-09 19:55:49;Stake;1.08;59149.82957927
ddf89672c8d315f4cbba508e22cdb43a602adb900a3563abe129c56c578a517b;2313946;2022-03-02 18:10:40;Stake;1.08;59148.74957927
03e0e0d3324c5a2078d69488957a6ec614eb33818b2d71d2f35ad8b6801bba03;2301065;2022-02-21 14:48:39;Stake;1.08;59147.66957927
25d75c30e47dbbafc1d2b5b55d25567754f6f59c7595322782ec6636e92a6330;2299928;2022-02-20 19:30:54;Stake;1.08;59146.58957927
76bcb574e721337041e8936e1113e7f17516570e64b023cd4a03d97aab407608;2298384;2022-02-19 17:12:22;Stake;1.08;59145.50957927
8c5a63f2749248ff39f939d30c5db3e5c0bace52f233caeb3121f0912454fb2e;2294658;2022-02-17 01:53:09;Stake;1.08;59144.42957927
b9f43622ddadb850a83ab46fe664430e5e2774c2084bb41fabee6d9f099f1735;2294248;2022-02-16 18:53:14;Stake;1.08;59143.34957927
f2b6656cefabb27312bb5907b29f0ba86f804ef7db4806976a825a590b492333;2285580;2022-02-10 15:07:37;Stake;1.08;59142.26957927
5bfd1b25c58b869709d2de65dfd2b002d9801424e076740cacdce4ecdd109b11;2285358;2022-02-10 11:17:53;Stake;1.08;59141.18957927
e8437db973251dd1f7fd2c6f46a8d6e15583feb399cd0fb3547aa412af1ac484;2284132;2022-02-09 14:33:41;Stake;1.08;59140.10957927
19e6c88b4cab898b2903cbf8be1c81fd6ff5d58aefc25588c7e2177ac40eca98;2283183;2022-02-08 22:18:58;Stake;1.08;59139.02957927
b8f022c843be15b1f05a2c0b0908ccefcde37f68f6eca3f3e4213d46d35ae324;2279309;2022-02-06 04:28:08;Stake;1.08;59137.94957927
cda261085e68615a4f1ee96ee3bb0158c6f5c76d85cbbd5f9ca0bfe3bf066382;2270697;2022-01-31 01:51:34;Stake;1.08;59136.86957927
917a8e96c34ce5f804eed51c602d97471c42e1305b70a3df614f992d9ba58d39;2269845;2022-01-30 11:22:23;Stake;1.08;59135.78957927
