sep=;
Transaction;Block;Date/Time;Type;Amount;Total
4ac14a0779fb212e7754c8a6aceb28be0975c780389858de36e506d723def13b;2115290;2021-10-12 19:17:16;Stake;1.08;49375.25551216
3f8bf886c2ca229285531494680d13b67e751fa258e8e91811c70ada083a274d;1771996;2021-02-10 23:00:47;Stake;1.08;49374.17551216
06252ccf33ac3a92f516c9e478e0ac3a6e2ad45ff9c2a0a9e4e424729baa764e;1771920;2021-02-10 21:44:59;Stake;1.08;49373.09551216
c33b19babcbc195122bfd22c4b63d3c8925e1a13b9f0eb515d4edbb2683b6ec7;1657720;2020-11-22 11:31:06;Stake;1.0799584;49372.01551216
aff930c1cd6b1ad0ecb4d287bfef99d5147de6862fe8a0244a0b2ba7e6be5fa2;1655585;2020-11-20 23:14:38;Stake;1.0799584;49370.93555376
9f0a592ace10c50566062735d1dabb624512241690fe5993ff599854b72c2622;1655432;2020-11-20 20:45:01;Stake;1.0799584;49369.85559536
86463c25f301874a19ee43c84b64b56d520e1a1739517147d00b5ec2ffb80856;1655375;2020-11-20 19:44:42;Stake;1.0799584;49368.77563696
8807f4b37acf5c6dee8411ba03b0dce72c40dd60ce2ba342a0400d5ef0f58201;1651313;2020-11-17 23:10:00;Stake;1.0799584;49367.69567856
b6ae87c0853f21b6d00ca0014056188c353f8ee48b4be2e361ea33bbb540e749;1620952;2020-10-27 15:04:24;Stake;1.0799584;49366.61572016
93b8aa3722eb8a31e8e266dce5214a4680e84d5ea75095976fcaf9fad0fe3103;1620942;2020-10-27 14:54:20;Stake;1.0799584;49365.53576176
f6fe22dcf542207b394f28972d731e72bd270569d26192ce2fea32875393deb4;1620765;2020-10-27 11:56:30;Stake;1.0799584;49364.45580336
17812b6ea47097c376d400e530d30aa41d49031a5422a690511301442abef1b7;1620634;2020-10-27 09:46:03;Stake;1.0799584;49363.37584496
2f4065cf78023830e9e137481353657d44e5411ef86ea4f6b227c2effea64620;1620574;2020-10-27 08:49:48;Stake;1.0799584;49362.29588656
9d9ad6d134fdf7dc2b172780b01c54c2a4e149ff5770d5202dd9f4a53052856c;1620573;2020-10-27 08:47:50;Stake;1.0799584;49361.21592816
b01b36fdfd88f102cb57c190560598efcc9e621708d4a6e29d118fd8fb68b098;1620179;2020-10-27 02:12:33;Stake;1.0799584;49360.13596976
3a26c6688f417af246d6f2ba0a3bd4992d2728a331a888517f8e9aa9efbe379e;1618801;2020-10-26 02:45:34;Stake;1.0799584;49359.05601136
a8904a32a84c16bf6df6db8545f420ff01c2e2adbf7a24011bb5efed3d32a2a5;1618795;2020-10-26 02:39:22;Stake;1.0799584;49357.97605296
b55b59649ab730d9675e6c9248bf2da4af5e244f9f01e2115d483a63606dc5d1;1606445;2020-10-17 10:19:38;Stake;1.0799584;49356.89609456
e2d1be9cba9be6240c4b0f6f3d49c9a1618e824e19f62512b6a8a34561bd000c;1606071;2020-10-17 04:08:07;Stake;1.0799584;49355.81613616
