sep=;
Transaction;Block;Date/Time;Type;Amount;Total
2f89c3b0c0bb350b77cfabed0eed96fdf6ad967d28c68d11fde125996f1c0868;2249330;2022-01-15 22:02:50;Stake;1.08;87838.06933547
049bd425e1aa5577b544045f8d76d9a90dc22b3b1beaf95c32fc037ab34c6e1c;1773012;2021-02-11 16:24:38;Stake;1.08;87836.98933547
37325f725dbd61da551fb4956e87e8ce77571a62335d00de9a04f1e8b61b6c37;1772968;2021-02-11 15:39:46;Stake;1.08;87835.90933547
265e2671a77908ef4ffa9027dcfb5fffef1e4aab516bc7eaea867ead69e6d64a;1772959;2021-02-11 15:28:28;Stake;1.08;87834.82933547
c210276b7345d6da5dc3acf3e229cb5910db5ae73a0983efd4e6be105c37a8ed;1772867;2021-02-11 14:01:41;Stake;1.08;87833.74933547
3e0e96297cddce3928bf4a57eb054ff8e094c4a69ec5dcae81c79d2abf5c77a7;1771990;2021-02-10 22:56:11;Stake;1.08;87832.66933547
686bb90b72344b1a0b15714547a8481f78fbbfd70b86388e1c516fcc0067901f;1771916;2021-02-10 21:41:23;Stake;1.08;87831.58933547
a02b5a0a681330999878974e653cd68fb0584289910f59625b577f4ae85d8dfe;1771909;2021-02-10 21:36:31;Stake;1.08;87830.50933547
5979c65bdc5c03e9f7e887b36d317fd7fb290c18defd861e199570b7276930f2;1771883;2021-02-10 21:12:02;Stake;1.08;87829.42933547
8a09dad202cf739ea2a20cfaadb76683039f29280e3fcba99dbf3160aaef4026;1771866;2021-02-10 20:52:25;Stake;1.08;87828.34933547
1f787f404b2cadef51d29a7ceb4ab9811d145da4ab5b26b799f753b2df8af61e;1771805;2021-02-10 19:45:50;Stake;1.08;87827.26933547
3b9e40a80d746490f812fb87677188db8906969c80e16442435a6ba96022baf8;1771802;2021-02-10 19:41:22;Stake;1.08;87826.18933547
059ae8fdaa0bbf51f1f29e4f9f5576879eb201a4e02075a0168fb18e7c033697;1770235;2021-02-09 17:06:26;Stake;1.08;87825.10933547
2adcce8658f0948f043391d8aded199150324081c302d4a3c324553035a627af;1769342;2021-02-09 02:02:20;Stake;1.08;87824.02933547
c0f261c3ec089aa07286896a99c5a260c13c90aa3edbd640d8b8d51955bbe929;1655752;2020-11-21 02:08:15;Stake;1.0799584;87822.94933547
01294b757a1fa08642bea09773c137c56a3c52e2785a19b2abbe5b313cb8a0ac;1655748;2020-11-21 02:03:49;Stake;1.0799584;87821.86937707
71f07142ef807faccb8e555cab66883726214a771a62f9c5976f17ce911ed7d5;1655606;2020-11-20 23:31:55;Stake;1.0799584;87820.78941867
e5dfd61efad8ef92c611ff27481a19ac671add4f711d43e8e9d3b304d2c60e1b;1655561;2020-11-20 22:48:47;Stake;1.0799584;87819.70946027
dd05d273d392394275a066b48f14eddae73e2282c34ba55a54e0d62d525ee466;1655462;2020-11-20 21:13:38;Stake;1.0799584;87818.62950187
9baef916a720656d5b7a7715c036b10e324c6ce2ff92e5d8013686b58944a1ed;1651258;2020-11-17 22:20:03;Stake;1.0799584;87817.54954347
e2ea58f5936dcbda42239e11bfdd8d0be85e0ba8793df35461afa2f67cea2eeb;1651135;2020-11-17 20:11:05;Stake;1.0799584;87816.46958507
e18a008dded682e6e3f25043cdf638abeb94d8906f66b5a904bb9778c27fe66a;1651067;2020-11-17 19:03:39;Stake;1.0799584;87815.38962667
22e3cd451a2f4cacf8ad48f14a5091768beace633c601754d9f9379bfe2d3c9b;1620986;2020-10-27 15:39:41;Stake;1.0799584;87814.30966827
26dd6251050bb2b09bf79fb78dd1794897dc91ed0a1d94080802c9df62eaf161;1620672;2020-10-27 10:24:50;Stake;1.0799584;87813.22970987
359bfe1808dd23ca815e312347365acf173c5e9f5003380585f4c0a031ca985c;1620641;2020-10-27 09:57:11;Stake;1.0799584;87812.14975147
72b4bfe11e38f613fdafbad8685eba9b01afa3aa3c5113b279e4e8ef2cf1cdef;1620631;2020-10-27 09:40:13;Stake;1.0799584;87811.06979307
b1c0e1a614cc9f1f924e8dec31fcdcf5caef898b48b25c78089c3f2d901a0ac6;1620549;2020-10-27 08:23:01;Stake;1.0799584;87809.98983467
8eb0ad69d0b3688eab4344517f2f49d9ca8034b97282e66be5ec71a97bf9df5a;1620453;2020-10-27 06:39:51;Stake;1.0799584;87808.90987627
1e55b0425995df420ed962eae5bf1fcd46b418df59d438979f4616905d447d3e;1620299;2020-10-27 04:08:06;Stake;1.0799584;87807.82991787
be6520eda637be5fca8bee9da22d62f30d2aec0eb3b10d110df62b4f540da846;1620233;2020-10-27 03:00:36;Stake;1.0799584;87806.74995947
9deb414aee494defe487a425c06d0381af7e1e343ec1f46b24ce8c3e891b3ae2;1620127;2020-10-27 01:12:32;Stake;1.0799584;87805.67000107
b8d876e64f869e0caf8f7e021c75cff70e8c2f0e7270fa01e837ff8116d41cca;1619900;2020-10-26 21:21:23;Stake;1.0799584;87804.59004267
33d196cb51c639caefc31ca7bd09339d6122e77a97f597c56be493e84df328af;1619071;2020-10-26 07:21:17;Stake;1.0799584;87803.51008427
