sep=;
Transaction;Block;Date/Time;Type;Amount;Total
b826692f207d6b5c557674c08df2b00a0d1db0eaa4bc87cefe178e76a9b53c76;1987205;2021-07-13 22:30:08;Receive;2414.15841585;29162.67326734
855b0dacd5d44b84825789e7c8f72140c02d4d6f4df5eab0fc59d3417d69f8c1;1983332;2021-07-10 23:40:55;Receive;2770.39603961;26748.51485149
d8c3752cdd739c7605dc02bdd825ac5e315d47a20899348cd3fb13f1a0938911;1967718;2021-06-29 21:47:09;Receive;8091.98019802;23978.11881188
6e7a024c0b9ab4689a635fe5ea26eac6d21b890ccf4871f313820c3fbaa7925b;1967650;2021-06-29 20:43:45;Receive;5000;15886.13861386
0b32677a7f487ad7165a7fb358868955d71a4832739bdadb7fc73ed5bbf74fe0;1802897;2021-03-04 21:42:58;Receive;3686.13861386;10886.13861386
573b2c84678de71a831756d490687c135075745a3eadad5d01bbcbd8912c1094;1801566;2021-03-03 22:48:32;Receive;2400;7200
501f4d54c3ee9ce0dc8d0c51edac0e15da7c109d37f80baaf12f3fe8e7da6580;1800105;2021-03-02 21:56:17;Receive;2400;4800
ec97b62db00e04701596f65c75025394497baa76b6dbe4094c25a17bf915c094;1798683;2021-03-01 21:39:13;Receive;1300;2400
58845b1028ddcc8464ebaaf85b7e7d2a1ed0e0cb3e7ce967b32b09156fe5a76b;1798651;2021-03-01 21:07:16;Receive;1000;1100
d24ea1f17fc7333e6549b49b814e410c1d85fd670926b45d65dfd9c538faf176;1797280;2021-02-28 21:48:51;Receive;100;100
