sep=;
Transaction;Block;Date/Time;Type;Amount;Total
4b1e6a20b5c33fbe322a48b2385d9ebfb191ef8a915d13db3477bbd7158c88ae;2036124;2021-08-17 14:51:15;Send;-657.27;0
5535d4776f937c3c6976d6d01be4f71d552f1d4ea72872b2788720e095eb95d0;2025004;2021-08-09 17:22:49;Stake;1.08;657.27
84a2de07339dd14cac0f9c4e64100fca137a87b7ea017fed14ce6dc4c11ef39b;2013271;2021-08-01 09:32:49;Stake;1.08;656.19
9c81753d6f7deb9718c51aa3d5eb69f894514b6fcae4be370024344ed2f118a6;2006889;2021-07-27 20:58:54;Stake;1.08;655.11
b50675b75e4d93f8e61de714a09e3066389c3a5488264d20fc23ec135e722615;2005741;2021-07-27 01:21:34;Stake;1.08;654.03
25d6c3483b00374b419ed911024ff2afc79bee74fadfc151d7dd4b84f169fdfa;1999757;2021-07-22 19:36:36;Stake;1.08;652.95
fb4a11dcab830d429514ea02388f1b88a422dddab87e49e4db37e3d88fc226f2;1997589;2021-07-21 06:37:07;Stake;1.08;651.87
3282a92b0f2a760e0c667dc166dc27272df1f9c150e4c71703c90173f84048bf;1996167;2021-07-20 06:24:22;Stake;1.08;650.79
da201d0a5eeb0d2d51a1ba0e2963247691c7612b0b86547a73ebd30789d3333e;1987938;2021-07-14 10:06:59;Send;-146796.53054361;649.71
284a33db1d42bc80e517035f891ae8027b76fcb7c56f47fbb1434e8564901ddb;1987919;2021-07-14 09:46:15;Stake;1.08;147446.24054361
0db04f9d7d95d6326b4d70a2a55e748ccb61b89c5391ba07ff9e73e9a452abd8;1987883;2021-07-14 09:14:43;Stake;1.08;147445.16054361
1cc2d08e7f6d6eec47d1a60eec0ee431b410fdd6707fc1961fd779d0eeb8b0ee;1987778;2021-07-14 07:27:41;Stake;1.08;147444.08054361
ff961fa8762d13ff818dd76dedd5eeebc274c48ec56f448644867c1399d19dea;1987739;2021-07-14 06:46:12;Stake;1.08;147443.00054361
04624b4fe99393989d3d0de51f628dea31eee0f65a9dcd8209cd6bcd3089877c;1987716;2021-07-14 06:21:07;Stake;1.08;147441.92054361
245701209cb3009882f107756329d5779de5b6553beb9f763e00574b4f66a99d;1987710;2021-07-14 06:17:33;Stake;1.08;147440.84054361
078f8e097c266dd6e940f56484ee3dbf5661ff7e87e21418317be7c39486c81c;1987709;2021-07-14 06:16:59;Stake;1.08;147439.76054361
5ad5e0eed841c5697c26f5465ae4874f8391c73abb7e429aa82e5377680fdbe2;1987690;2021-07-14 05:59:02;Stake;1.08;147438.68054361
7ec2ef13a97b1779bff9822625a8d65d320a913646859d7edfbbc13c3cabb33f;1987676;2021-07-14 05:44:47;Stake;1.08;147437.60054361
2677670eee3858c8494ad4ccbb4fbf30bf79a437eb652fd23664c54a1bd56610;1987665;2021-07-14 05:37:12;Stake;1.08;147436.52054361
a129313bbce73fd59e41f453fc1ca527c0c8bf003df6b2ec0aeb6ffd0a71a887;1987662;2021-07-14 05:32:23;Stake;1.08;147435.44054361
e4e2b60208228eb53401ee66b01fa8070b3a71eed8fceaf55c1d5857dfb697b8;1987649;2021-07-14 05:15:35;Stake;1.08;147434.36054361
54d6fae9d67bffbfcbf06255099a44565a388bf5a1c3bdbfcb0c959a6e6d8b0f;1987637;2021-07-14 05:06:05;Stake;1.08;147433.28054361
09b2dcf23e8772a89c9d8d0d51312a5e1e30ae338c102edf5bf534aba5ad7f0b;1987636;2021-07-14 05:05:17;Stake;1.08;147432.20054361
831fba6e363ad89aa91a6885c5dc854ec18cbf55e3d3b533f90d5ff41b1040ec;1987627;2021-07-14 04:50:57;Stake;1.08;147431.12054361
acc640da5df51ce63121ce9c9f3a8a6e7aeba092ae0648f1e1229e0d32e361fb;1987620;2021-07-14 04:45:45;Stake;1.08;147430.04054361
0fa6043b29ca76e3a4f0f9ab29ef637ca538d10a4d94d0db12063d6d9512c072;1987609;2021-07-14 04:38:32;Stake;1.08;147428.96054361
666a3a9418defd648cd8e9b95c31983de397ca68f099482e4ccdfbc96b809ac5;1987581;2021-07-14 04:10:45;Stake;1.08;147427.88054361
dfac913328c0c249539edf5aa67838deaa1f8d59f0033cf9e2c7d29098e6cc94;1987576;2021-07-14 04:00:34;Stake;1.08;147426.80054361
a0608a378ffc32bb931d23e21bcc95a360c85e9ae7f3e1730de97cc9767b3899;1987476;2021-07-14 02:17:40;Stake;1.08;147425.72054361
b8771a0377c6c643f0baf8aa09e74fb85fb36f168e5ccee8d38fbc47dbcbda5c;1987461;2021-07-14 02:04:07;Stake;1.08;147424.64054361
18039c590b2f3a50afce1017e772f3ce429cce91dfd86f02920a4a8847c914df;1987449;2021-07-14 01:51:00;Stake;1.08;147423.56054361
aeaca10262ccb996c9b29d4448c58bee9d9d96f34746fec72d5c045eda90a4d8;1987422;2021-07-14 01:18:25;Stake;1.08;147422.48054361
81929bce5f18008566a4678a9d463b458ed300095c470b7754d90b659524206a;1987406;2021-07-14 01:04:36;Stake;1.08;147421.40054361
015fbe086defc63ff991914d22a63857293c9717a8fdea1f4aa52a6827fe20f9;1987321;2021-07-13 23:43:46;Stake;1.08;147420.32054361
df5d47abe248c6c94b7ff9c9a3f41eae109c0f4d48d5a20ceb11cb9fd8fdc642;1987310;2021-07-13 23:35:25;Stake;1.08;147419.24054361
99f3f79ec0940671ed58e7942503631474dbec67d97c98e68d052926a42cee86;1987309;2021-07-13 23:34:39;Stake;1.08;147418.16054361
7e2bdc457ef0dcbfffc6899d78aa5525182b1af07a844715cba9e686e199c6c5;1987304;2021-07-13 23:25:48;Stake;1.08;147417.08054361
2f01d07d6055e25338e76e7c7f31503cd291d753c211920261904f5dfb16ee34;1987301;2021-07-13 23:24:01;Stake;1.08;147416.00054361
4468a85a62d9e08f53a1b060c854a56c0aa4557a6efa5324d295de6b44c1ceba;1987290;2021-07-13 23:15:41;Stake;1.08;147414.92054361
5cd07fc5b0832ef3f983bd87e54d521dce2e57c057d7f088a01f1d07ec4d852e;1987287;2021-07-13 23:10:52;Stake;1.08;147413.84054361
e89bb68efad472534e8abba670dd83af01abd240a67a2f8a048f20b98bbd0180;1987276;2021-07-13 23:01:06;Stake;1.08;147412.76054361
691f944a5a19fe9c859f880641a2a38da7424ed84fd1fa22105a6b4397526593;1987231;2021-07-13 22:35:27;Stake;1.08;147411.68054361
641ca3c87144c53bf07f3d4a13826f5ef3862a0a958f61933b0c8e40a4c51d17;1987230;2021-07-13 22:35:06;Stake;1.08;147410.60054361
b7800d6b7eaba7f1a82c43a5b870422c055dae369ed2603507cc7043863bdb5a;1987198;2021-07-13 17:28:43;Stake;1.08;147409.52054361
51716f006d053a72ada3edcadb36c4ea04deb5071c291f7bcfef1efc4a316f01;1987175;2021-07-13 17:04:31;Stake;1.08;147408.44054361
f80bb09aec86ec8ff2b10b101af2998b8e3e186e969d59a5e2459bc433bb49c0;1987173;2021-07-13 17:01:46;Stake;1.08;147407.36054361
2fdb9565eedccb37535fbbf960b2ae502debbcdb27093b01d76f90f53f3e3af0;1987172;2021-07-13 17:01:26;Stake;1.08;147406.28054361
1a76e3cc1ee470880a7625e174f2659c34da89885e614c4a18db59dcb92d824f;1987149;2021-07-13 16:44:16;Stake;1.08;147405.20054361
