sep=;
Transaction;Block;Date/Time;Type;Amount;Total
700050da17df8c32e1ad23378826f5f98d44496b15df8ce3b28257b89cb1ccb7;1900118;2021-05-12 22:09:06;Send;-2217.2134042;0
eb844e2121ef34aa8bf3cb6e0420f085f8d3427e4b8842a402ed51e7ad482884;1896912;2021-05-10 15:27:51;Send;-6009.72;2217.2134042
5f39ac9a4368b4d71369e3f7e38ec6dd6e374ccef5bd6c189e4167500a6d4bc1;1896114;2021-05-10 01:45:10;Stake;1.08;8226.9334042
2bf10b722d7232dc8e5d29ce30431a917a0d3f259a2734c983b63fb7c83b99a1;1895761;2021-05-09 19:48:41;Send;-13982.88181738;8225.8534042
0d9f55137a18e6016a120c25efc4f280ecfd3adc6df3b84b8100d48b718a5daa;1893816;2021-05-08 10:41:17;Stake;1.08;22208.73522158
2bbc35216163c1cb828d460e4cb85011791a432e8b732671d7b3978ebaf5b868;1893760;2021-05-08 09:40:35;Stake;1.08;22207.65522158
84ca564454ae0403deb11c47ea537c8c49d12dd871cd960208c6cee00ed7d132;1886133;2021-05-02 23:43:38;Stake;1.08;22206.57522158
bb819400f40868c1218fa76f1535e635d53998c1111094b7dd233d55563dc1d8;1885888;2021-05-02 19:23:04;Stake;1.08;22205.49522158
0fd59b9639d6d6440a02b6e225ee3724db62795ffe43a57872a15f5b8aba4bfd;1881685;2021-04-29 19:45:06;Stake;1.08;22204.41522158
d8a4654a36b2291c399658ab1287714878a42634b6462951c78cfa3dbb21c9e3;1875840;2021-04-25 16:19:59;Stake;1.08;22203.33522158
852a7f97852e227b69c375e5f60b0c63f85c8cd3dbb060f30b87702712e2d90d;1875705;2021-04-25 13:54:43;Stake;1.08;22202.25522158
abd9d26dd2820e3d9de8457ca88e113b5219854ac69548b6ed77bfcfcc7b02ff;1875041;2021-04-25 02:34:58;Stake;1.08;22201.17522158
8d592f2c8a6eecad55dfc55ee43c3b9b76ad4cd62f364c0662039c57524f0e20;1874954;2021-04-25 01:12:19;Stake;1.08;22200.09522158
da4806db77d1b19d2ceae45523b7d322a3438a57e650ae26ac3b3d6425fe2e75;1874661;2021-04-24 20:06:42;Stake;1.08;22199.01522158
98d26c90faeed20ca50f9ccecf2ec4bd0641b7755b90cd6c5d3c189fe11be496;1874265;2021-04-24 13:28:20;Stake;1.08;22197.93522158
7bbb259e6cd283a52866295af0df75d35823319ee7700e5f7770f602336092f7;1873302;2021-04-23 21:01:04;Stake;1.08;22196.85522158
b3cfd12df81a9888f76ebcbe036b5a8de6823fe58e328f6a3a1689f02a41f4c6;1871687;2021-04-22 17:28:58;Stake;1.08;22195.77522158
2055c2580a6a716ef2c308dcb6828469d8f519ee82d2b4eb5f603cd2f9d68a4a;1871171;2021-04-22 08:49:09;Stake;1.08;22194.69522158
7967ac8ce732563fd663a29ac70b4113b78ebaf1df3f1e53a80f4ff2a4367aef;1870795;2021-04-22 02:21:07;Stake;1.08;22193.61522158
1ff9b1a4342b8e402086626d3f09b5429d3d2e48abccb144609f9c7011ef8b36;1864757;2021-04-17 19:31:37;Stake;1.08;22192.53522158
89d1a44e6861896edb0f89bcb8040835b91833a6789137f49b9498013a76bd8d;1864213;2021-04-17 10:20:49;Stake;1.08;22191.45522158
513feb50bc286853ec856e85990726fa02237a75e2c5c7854dfc9e50304bd966;1863019;2021-04-16 14:01:51;Stake;1.08;22190.37522158
5471ab68c616f57a62c2148ca4275a35eaec1916d05079a413eaab56bc7a3d59;1862203;2021-04-16 00:04:36;Stake;1.08;22189.29522158
c7293dd10f1734b1ac82d5981667c13026ba172dae66449eb7a1da1444e814ab;1860356;2021-04-14 16:34:42;Stake;1.08;22188.21522158
91483fa75a52b990f41b79a3d8744774b399616b5e30ce578b8fa94809be1948;1859948;2021-04-14 09:39:12;Stake;1.08;22187.13522158
628b029efea7452f1e392aa7fb8e0b4d033feeccebc38bfeebd494e69c12c1f1;1858518;2021-04-13 09:18:34;Stake;1.08;22186.05522158
df61bda971538d526a93aba12101bab019fe72c9b06d1504746655ab3f9d68af;1858177;2021-04-13 03:22:32;Stake;1.08;22184.97522158
8748b56f80f5f846e1449edacdaac6b10d2a850b322d4bc6f5607e7787c286ad;1856498;2021-04-11 22:52:21;Receive;2211.8134042;22183.89522158
685bdffe99c5607bc5479275b45a0b0a82b0603410b5c2f01344e247475010f4;1856498;2021-04-11 22:52:21;Receive;13969.92181738;19972.08181738
9a22330634a936785f590d72b910bcaf58e1197904e93e0eb9905717590954eb;1854460;2021-04-10 12:01:44;Stake;1.08;6002.16
b35b0141a8d287d9ae34176e412dcadf5fd5a832d80cdc384cd1ef23e9200f28;1853823;2021-04-10 01:16:13;Stake;1.08;6001.08
8e2a56f72c616fbe22db502a328eeaa2e32fb8f5bc5446ae27026e1eb0d9ed19;1850919;2021-04-07 23:40:48;Receive;6000;6000
6845b95de966ea5a4e9c2c0f723e99c27614b84ed1cee0e1208a0fd11faa9473;1816639;2021-03-14 15:40:58;Send;-20003.24;0
aef82d0280fd046570bd67c6b6e4fddc637f8c95a140da303765ebdd19f50086;1814660;2021-03-13 05:53:26;Stake;1.08;20003.24
8f2329c9c29acc7f7d1a7b7d46d989a383e33185ae66b98c6a8557cbdbf70089;1813600;2021-03-12 12:03:37;Stake;1.08;20002.16
ce4de2df4b4b067295bd20e86e94573284c92eb334fc72df82358b8d5cc22fd0;1812939;2021-03-12 00:44:36;Stake;1.08;20001.08
aa4cd4d3c0e2168286edf8cc39b1aedf7142aeb37904ada7bde8a3d5a99c0839;1811844;2021-03-11 06:02:01;Receive;20000;20000
