sep=;
Transaction;Block;Date/Time;Type;Amount;Total
10eccfd44a41cb336eacb25ccac853508608c0a725f135027851e7a176c9462c;1142169;2019-11-26 04:23:29;Send;-4997.38670707;20010.15970377
ad5ba5c876660418ad68fbe5ec3e503a3e27c5d2ba1ede17448e8f8c4c397431;1142168;2019-11-26 04:20:03;Send;-4998.72994078;25007.54641084
be250b21be79bd1dcdb2c431b53e1c6f0282336b0764ceb32bacd2a8b471ec2b;1131405;2019-11-18 15:07:42;Send;-4998.05988156;30006.27635162
8516a2a6d68028f26a96d340e9fc1330997b36331827556fd4b0e607cacdc9d1;1041039;2019-09-16 10:27:42;Stake;1.79994065;35004.33623318
1a5decd497f9678fa3ef901be5fd7623870512de0ce2b3058d299f7844c5516f;980492;2019-08-04 22:32:25;Send;-5000.74;35002.53629253
dadcd7d2e3a1f30f1ebfaad70caca8b69b74ed771d894f8e97d8e5a8edded857;976058;2019-08-01 19:43:42;Stake;1.79994078;40003.27629253
540e49c2dacbe6d7abb8af3655d488f27d4b9559b989b60029c4c4e384d01bb2;950616;2019-07-14 22:56:28;Stake;1.79994073;40001.47635175
fe9b407477f62d3588d9e07abfcde047a1206c32bba87c57053aed1222eeb7df;948499;2019-07-13 11:19:46;Stake;1.79994078;39999.67641102
c1d681b7780a6b920eab6821c3b4a069fa896ae9e5780c361a741d609e483543;946433;2019-07-12 00:26:56;Stake;1.79994078;39997.87647024
286c3aae50556f463ef921f94d4171e7b65299c2b9f944dea22dffeca1b5ad8d;946388;2019-07-11 23:37:39;Stake;1.79994078;39996.07652946
75e2240e219e73f02bcaa2aad979a6a1abeb246a9c14947100e40aecca94aaad;946167;2019-07-11 19:58:55;Stake;1.79994078;39994.27658868
e554bf8ecc74a463c3cfa7f316f7e410d9cfeeb2bda400f18fa96ed2388213f6;946078;2019-07-11 18:23:44;Stake;1.79994078;39992.4766479
24a869f1e810ce77373be50ea1262105cb428adbf6eb117636c4eb00bd10c4a8;944714;2019-07-10 19:18:56;Stake;1.79994078;39990.67670712
f13b67fc00baf79ccdef5db7a35bc9d419bb5b819c1ac519b3bdb37437e2c1cf;944285;2019-07-10 12:11:53;Stake;1.79994078;39988.87676634
02d8b0e4bf016d292044f3b51c21b7204ebc8f17b386c3b55300425c2e2c128f;943970;2019-07-10 06:54:30;Stake;1.79994076;39987.07682556
e0d4b6a1632231edb3391e39dd0ce666c0e28dfca4bd3705f8507ec47ab77ffd;730031;2019-02-10 06:07:38;Send;-5200;39985.2768848
a8b75c5ac92fa199cde54f97573e26a3070aab82ec71b771e37d28e1cfeac5dc;711778;2019-01-28 10:32:01;Receive;39985.2768848;45185.2768848
622d9ca6ca295aa378f3008209ec28b860bc3e04056b2c020334821a2154d393;709236;2019-01-26 15:49:08;Receive;5200;5200
5e670ac1beff0bd490326f373673eff9aaf252e5cbffe9143e066ce927cbaeb1;512355;2018-09-10 19:02:19;Send;-11741.59348939;0
a5ad28fed9caf0798c28dcbd6c3df0a2f7c0c4e895137ecd31e21c53a3d32f4b;407536;2018-06-29 06:19:25;Send;-5000;11741.59348939
bffb8b199e608b19f9c6cd5abfbaeb4d61e21722010d18066ed092e1487a8e98;391076;2018-06-17 16:55:58;Receive;5000;16741.59348939
61f99594622a9831353cee0b508245217c1faa0cedb843dc4d862d6052bd1d03;384157;2018-06-12 20:28:05;Receive;11741.59348939;11741.59348939
