sep=;
Transaction;Block;Date/Time;Type;Amount;Total
ce3d739ec9e449614fb303e74477a6b84464855bce6b8fae73fea4de7d82ba8b;1772966;2021-02-11 15:38:01;Stake;1.08;51073.16290706
2a498e4acad9377ab2fea69d25f08249c1f7d45bfe2c0901a33b4741012e8c3b;1772920;2021-02-11 14:48:48;Stake;1.08;51072.08290706
17c577cc6dc65383e0525dbbd3e39bb3e61ed41924bf6a805ec0fd087409e734;1772900;2021-02-11 14:31:35;Stake;1.08;51071.00290706
0ef9c96ef837a62d75bf61b9067222d7ba59fe7e3d186a9b00146c6fabd93ac9;1771968;2021-02-10 22:39:10;Stake;1.08;51069.92290706
dd6f29f86b963009ec58971f9d0b8b747290d329ce5c741f788b4eef40f1f3fe;1771826;2021-02-10 20:08:51;Stake;1.08;51068.84290706
16d2c396e4d0ba602a55bfef7160f96380ecee075ab971caa35beeb8c873912d;1714697;2021-01-01 21:11:41;Receive;9000;51067.76290706
565a5d10c58c3ec100876061a4048315679af0caf9fa416696b30bde403f23e0;1621584;2020-10-28 01:35:31;Stake;1.0799584;42067.76290706
d6bff5b63f7beae242daf5cd2ffd5bcc47e237f104664e3b8e3f29de740ba0e8;1621565;2020-10-28 01:19:28;Stake;1.0799584;42066.68294866
1e4391e83cc70556b895aee4308ec229b35a33d88536bc5629633e87c855f219;1621025;2020-10-27 16:16:58;Stake;1.0799584;42065.60299026
c7031593f2c6f8b881e2b0183deec759d3e59c0c620d9a4ffc96ab153dde856d;1620469;2020-10-27 06:55:36;Stake;1.0799584;42064.52303186
42fd0d7051556f810c4ecd2a8a2e3742b0a926fa0b4b6315eac1f517e297b1dd;1620452;2020-10-27 06:39:26;Stake;1.0799584;42063.44307346
d8bb3b053e7431e9af8ace2e70274cc645bf85e83014b4be5608fef0130e6d89;1620074;2020-10-27 00:08:44;Stake;1.0799584;42062.36311506
bc4baf131ed835a61a8ac211f31bc23091e85250454fc3085b1420a0c935a188;1619905;2020-10-26 21:26:57;Stake;1.0799584;42061.28315666
d47ff24c30b0e0ee476211a223fa6335945755d4d6fbf62b83a5541ed5e92ae8;1619839;2020-10-26 20:17:15;Stake;1.0799584;42060.20319826
a3335217ac7ba6d4d346a102b6aa0be5522624bdf4804829a06fbcd35dde9b97;1619827;2020-10-26 20:06:13;Stake;1.0799584;42059.12323986
699ff41120b5b41c6a411a583c28526f930535717748cb5930127f0fc4bae8d2;1606059;2020-10-17 03:55:10;Stake;1.0799584;42058.04328146
47f654cbf89c2992d96ccf0db5aa83ab9de4abbb09dbfdf0423fac3a7f6aaa11;1605525;2020-10-16 18:51:55;Stake;1.0799584;42056.96332306
2102452cf173fbf48c86b57b3461b0ca21517ccdcfeee3dc716ebdedd5a56d08;1603503;2020-10-15 08:39:00;Stake;1.0799584;42055.88336466
7f144e7725248f6d1b304ce3ecf4433ede74dfb41f8b85e8fcd3a908d219c520;1602904;2020-10-14 22:31:49;Stake;1.0799584;42054.80340626
77fe207a5221d6828148eca3dab329ecce41e4b2080c59d7034f2b4cc4190a9c;1553556;2020-09-10 04:35:07;Stake;1.4399584;42053.72344786
183ba8508b571f4f9980c13ae6ccd4aa630c2f2411ed7d576c1acfd64fae5337;1553500;2020-09-10 03:41:42;Stake;1.4399584;42052.28348946
5a5736b559c81f256e47f119be79caac0c20d4a4fefdddeeacb1cbb4b8169b6f;1553431;2020-09-10 02:26:22;Stake;1.4399584;42050.84353106
522a29b77b43f51e828f36c301fc1e4654d4dfa4b190dfd419f0d11598815095;1553233;2020-09-09 23:17:54;Stake;1.4399584;42049.40357266
fd277c3f2f005a55fe14170fa03cf49e642cc0d21f32adf10460268ee9b4959a;1525248;2020-08-21 06:54:15;Stake;1.4399584;42047.96361426
41d1513efe6d84fd41ffde233d81a3dd8ceae128fc0e39051093e4ff663eef22;1524725;2020-08-20 22:07:21;Stake;1.4399584;42046.52365586
891570a7297fb7e62f9488e7710af674452318f68c07b49195684530211270ab;1524687;2020-08-20 21:23:35;Stake;1.4399584;42045.08369746
1f6d237b46c16fb99f34bd747e3fc183c08c30ed6215ee7df12383ac6780d7e6;1521316;2020-08-18 12:39:06;Stake;1.4399584;42043.64373906
cf2bf3ad74ff28f74ba1f8f6db61dc1148173da6916c6fba09b611875102e53b;1521100;2020-08-18 08:59:31;Stake;1.4399584;42042.20378066
10adf078dbc072fda72a27467245188629ea004e0b4c58ed352bd8bcb86c338e;1520925;2020-08-18 05:57:40;Stake;1.4399584;42040.76382226
b77dd4d75827b530965aa681915ac7c7f93388b0735f66ab72ebd6481af142cb;1518300;2020-08-16 09:37:06;Stake;1.4399584;42039.32386386
05ccb0b774bd9cd20a316219d2b251fd732f941a95f46785caf2db07a2635ca5;1518182;2020-08-16 07:41:28;Stake;1.4399584;42037.88390546
05ca89352384dcbb07f6fd97a0a7294449f9e7cb2dcfa71b65f5135b5c50cc3d;1510830;2020-08-11 03:27:34;Stake;1.4399584;42036.44394706
20242a3aebf45ad2d2002929d8af4fca60e65bec65d5fc183e06b9886f96eba2;1510593;2020-08-10 23:22:07;Stake;1.4399584;42035.00398866
f8fb4429393c88a1f3fecfc00e9a0f40e7d46b2590c93dff1204678664d09385;1510564;2020-08-10 22:53:34;Stake;1.4399584;42033.56403026
22d1f8ac89f0e29b9dbdeea28a5f2acd1c5078a38477a2eee1eda6596b25ea15;1510517;2020-08-10 21:59:23;Stake;1.4399584;42032.12407186
cd5a7b0d58e4baf7c48690b17d1527862e0d46ba492809562b56a891cf78cad7;1506976;2020-08-08 10:14:30;Stake;1.4399584;42030.68411346
64589cccaa67d349dc52cb63f4eed374815188e3fb883a827a70948f8285164d;1506448;2020-08-08 01:17:50;Stake;1.4399584;42029.24415506
8f23f7599c270bbea8755a5866c984b00c8e459a965b86e277c09007d446866d;1504201;2020-08-06 11:14:25;Stake;1.4399584;42027.80419666
ad4bbed7e67fac7f485bc0f0d5ee561cc66333abf3ff2a6a3cbdfb5f1fd7deb4;1504194;2020-08-06 11:09:10;Stake;1.4399584;42026.36423826
2e0d897750b42dd25a24a7cf014448be9ad29bbbdffa862b9f87b63177cc2925;1500506;2020-08-03 20:58:25;Stake;1.4399584;42024.92427986
590e2b0d0418a5c47403e43da0ec2f41cd9bd32fc2d24d2b3cdb70d0a4a49c12;1500483;2020-08-03 20:29:27;Stake;1.4399584;42023.48432146
b99c81dd5b3f6800ae1b0d218ad87bdb0fc3ebca054386b30216fd4a75e464dd;1500015;2020-08-03 12:37:45;Stake;1.4399584;42022.04436306
30656d2f948faa9a8750257c9a1d0a98f77ba7758b01e324e923d77cc87ab31e;1499058;2020-08-02 20:29:53;Stake;1.4399584;42020.60440466
47780a0ec551c829afaa8e878325621e67f46248a21103345bb0c4b6701dcb77;1496791;2020-08-01 06:24:46;Stake;1.4399584;42019.16444626
347c6a1a1c874de6d1f327699262b18113214421ee5d8ef95bd64dcd83b3be18;1496535;2020-08-01 02:04:01;Stake;1.4399584;42017.72448786
7edd5699039525b7bdbb80f3c4e5d5ec3e1eb40f379150fcffd14b51635adaa6;1495718;2020-07-31 12:15:48;Stake;1.4399584;42016.28452946
f7fb81e0da1c08dde1775a87a3bd6c41861b54dd9ec581b1e96c2f8938c417e8;1495566;2020-07-31 09:48:59;Stake;1.4399584;42014.84457106
7bdbe62240095a9280268af9454159e940aedfe9415ba4e3dccbefb6f522e9f5;1495124;2020-07-31 02:23:45;Stake;1.4399584;42013.40461266
faee9ba5ccc4e5a37e211afa11d4af4974b84ac17887e041accddd3fad34dcd8;1495049;2020-07-31 01:03:19;Stake;1.4399584;42011.96465426
