sep=;
Transaction;Block;Date/Time;Type;Amount;Total
368b575d9b722e9d41fb8d21bf318e3e54c60ae09061d49216720b89413701d3;1545354;2020-09-04 10:14:44;Receive;19800;35500
7dc04a8e447f5c40082f7e2154491eab54b78c49c1a0389e0539d895e5c834ae;1157187;2019-12-06 16:38:59;Receive;9900;15700
d2b97800a373cd3134bf252eb9e950310a0068b8b6d144fb7329910206076d98;887291;2019-05-31 14:58:02;Receive;4950;5800
6139c79f40e34d79058817a3ccd3153960dfc07f8ccfc0693c2e4de7eec026eb;881264;2019-05-27 09:16:45;Receive;850;850
46296e39d48c1f3e2bf13c4a944dca8d873ce9484a49a798fb61a11019564881;787289;2019-03-22 09:32:45;Send;-5000;0
d75ced8e7b34dc50366053f80e647a5c2aa5d4b22e4de0cd6c6100c6c55d061b;785859;2019-03-21 09:29:02;Receive;5000;5000
6cf4c50587e8f4e620ff2bac0d78dd103f722489275d9ced1a20be52eacda96b;739383;2019-02-16 19:33:46;Send;-12150;0
f7287482d2fcd53e5288c3e21a86f7eed3e2bc1b800b9a2fd6d232381a46de45;616192;2018-11-22 10:25:02;Receive;6750;12150
97a8ef6f3e39f05d5252f2c2c9b98d7732284b38060f983d1de766bd37ab9594;616110;2018-11-22 09:02:44;Receive;1000;5400
a4e024d7483df917a67590d91c24e01739980c4ea35e25659358c57c53494fdf;423167;2018-07-10 05:35:10;Receive;1100;4400
9f245144247abe4a4572ede360afe3497fc451a47d020c5c4a7ca66e99652e4c;423167;2018-07-10 05:35:10;Receive;800;3300
288865ec16a872744d75897a681953f15e073661c0e8581e36645dff415ed04a;423167;2018-07-10 05:35:10;Receive;2500;2500
