sep=;
Transaction;Block;Date/Time;Type;Amount;Total
96b3ee1fc063d2d189b8074c86cb9669a8e9a0adaa591e4473b9a500e61f839c;2240110;2022-01-09 08:59:31;Send;-1880.38;0
dff8e5f028db3b7027a4f5ffffc521fd4149ee045e3e3ee8ea606dc648fbf688;2239998;2022-01-09 07:08:59;Send;-37693.6899478;1880.38
f96756e4f2a06bd244b29410880d0684d7aefe11b5952d3fa390bc07e137cfcb;2239993;2022-01-09 07:05:46;Send;-30810.519;39574.0699478
88aa6883fe79e17d3573cceef82ac4646a7b4dbe3121a785cd1de956a6eb0918;2239993;2022-01-09 07:05:46;Stake;1.08;70384.5889478
9b8ea13c1f61331f524d530916797879e7dc5283867dae8aeb667e9c75c55ca2;2239989;2022-01-09 07:00:00;Send;-27515.48941127;70383.5089478
ebc4c9ecefdef46432598ad3bb0513781c85601832bcfd0c4013aaba6b175c15;2239982;2022-01-09 06:56:30;Send;-20007.09;97898.99835907
9442bbc82fe25a14dbd089fdb4061e01b6ff4285e4a26ec31b39062a3b3c0766;2239973;2022-01-09 06:44:13;Stake;1.08;117906.08835907
e5169dc9e11a033b4311d07fd2c69e9a7906e986a25f315c55037d7d15f62c5d;2239565;2022-01-08 23:50:55;Stake;1.08;117905.00835907
c026c40103c13997d45dc90be5f258e3403f421fb4988261be4ae290ea02aaf2;2239556;2022-01-08 23:45:20;Send;-2189.56;117903.92835907
ddf330f12b575ec38803dac83d1bcc5b2cd270929de07d4c0521acf3876be988;2153336;2021-11-08 19:22:00;Stake;1.08;120093.48835907
4f5d6cb4a81dac2b5a7e3f315108c630c1a2a9553c289f5841ece471e0df08f4;2153322;2021-11-08 19:08:49;Stake;1.08;120092.40835907
bb7cb523f35fdbd1554ebec49214ec1572ffd6d788c117cba80f54291f453364;2153306;2021-11-08 18:54:38;Stake;1.08;120091.32835907
91cd8098e61f7f322ab726539655501e225a8c24226b39a64c51cbac6f07464d;2153274;2021-11-08 18:19:03;Stake;1.08;120090.24835907
54d25aac4a7f8790d6daacb9be81d29137ad5f2877330a7ccb7b5ddfd5231c75;2153266;2021-11-08 18:07:57;Stake;1.08;120089.16835907
b0271d800f5eb4507beb5e9dfe0cfcbecd99a6bcd9442dcd35679332e57f7b51;2153104;2021-11-08 15:24:56;Stake;1.08;120088.08835907
31329df7edc4860f5f2fc3e4479211015ed1c8e09ebbc8fba9ed0d72e4bb2631;2153049;2021-11-08 14:18:50;Stake;1.08;120087.00835907
2d8c39467defee9d7ac4a8665c36178bde5529dd86854e384d14597475e53d7b;2153048;2021-11-08 14:18:02;Stake;1.08;120085.92835907
e7600b973227f211ffe08f5a154b0fe85e2c0b32ce623207a824a93c2c19234c;2153037;2021-11-08 14:07:45;Stake;1.08;120084.84835907
acc4f4bccc6399179506a3b0988d93f82ca08a26c58c0eec55f3a27c0df3d0cc;2152986;2021-11-08 13:22:49;Send;-5002.21;120083.76835907
1fcc61be99345d5978d22ac7a6193b33f4fe88d7486a0c610f73f53e65db63b0;2152969;2021-11-08 13:02:10;Stake;1.08;125085.97835907
8f85c9f36aa6181159d46c553789f0322a6d9076b609ba4f11f60fcbfaa7ceb0;2152962;2021-11-08 12:53:11;Stake;1.08;125084.89835907
0f9ffa37f47e8fb08ed2ef2fb57fb3f1ed6eea2a2adced94ec1d43ff5bcc6049;2152937;2021-11-08 12:28:49;Stake;1.08;125083.81835907
821565c22854b0515f5a077046516ae2f65d77e43f55f2424d4ff4d3a0fd7605;2152935;2021-11-08 12:27:45;Stake;1.08;125082.73835907
2ffd2b6399c4ab2fb086e42d2ec64124c8d01d7b0ded43f3802116d5c026752c;2152932;2021-11-08 12:27:10;Stake;1.08;125081.65835907
9486eed241533737cace4ba3facb31e9ca5f12f207d47ae0e0e6b0a7e84c787e;2152930;2021-11-08 12:22:42;Stake;1.08;125080.57835907
eb497a06b84e288fd20b59216ce026da272cfe188610c592b8d120537b60a475;2152915;2021-11-08 12:07:36;Stake;1.08;125079.49835907
cec920f1bba0b3613bca636f373eb1aa7b4c5a7a52c4a9396592c55e5db6b0c6;2152860;2021-11-08 11:10:10;Stake;1.08;125078.41835907
1f36890dd82c10a637d26db4fe2a37c28eb9a0c2f4afc2eccc22a83b2d8f7a61;2152839;2021-11-08 10:48:03;Stake;1.08;125077.33835907
82199498b4c4f3ba5d184465d771a80bec9547f333fb1ed2300fa29d3eb19c8d;2152828;2021-11-08 10:40:24;Stake;1.08;125076.25835907
fb5f11543022666f507ef0dad7925bf1e16cabd552f575e78f63f41d1420298c;2152827;2021-11-08 10:40:03;Stake;1.08;125075.17835907
c423deb55e53722b5ca4d8268b36d3a7257528ec2fcff1ffa7566abbd3f7da72;2152791;2021-11-08 10:09:58;Send;-10001.44;125074.09835907
21b90486bc937f2985b36b02865dc4eabb5286f7f97989b6d24335d9a43b6cee;2114469;2021-10-12 05:28:56;Stake;1.08;135075.53835907
319f52349aa8386e10cc26e7b1ff3d8e8a9d5a4c6100ec0c6d39179acc3cab8a;2114466;2021-10-12 05:26:26;Stake;1.08;135074.45835907
c10487cfee3292ce2dd730a18f01689b09298ed2bd972e123ccb2151160064d9;2114443;2021-10-12 04:59:16;Stake;1.08;135073.37835907
6e6ae27b2d37cb9151e5a0730ec840ad34252fd57fc64a203b831b58e5f0b5e5;2114442;2021-10-12 04:59:01;Stake;1.08;135072.29835907
f51f21f52a7a729dafd8f6b23f00f343f37133f73600d10944a05875d2f35473;2070391;2021-09-10 22:26:18;Stake;1.08;135071.21835907
fee9f9e986ab775828a2935d3de3bf60525c2b996e832bcbfffa22e679368112;2070371;2021-09-10 22:02:00;Stake;1.08;135070.13835907
7019428578181634fa4aae94c08f81b22502c15d2e0d59606250a1d7fe29fdc3;2070350;2021-09-10 21:44:19;Stake;1.08;135069.05835907
9414878396a6bb66f94c9ad22e5eda9ecadb9e7770992fb961186300e909074b;2070308;2021-09-10 20:59:03;Stake;1.08;135067.97835907
92c1a6a928be8c9c53a863985de2e1f6d012c5b5c474d04cce8e58c8cc39944a;2046261;2021-08-24 19:37:48;Stake;1.08;135066.89835907
56aab19f478613eeefcd10edf9fff1730f73ef79ea60eac907be30dd55767570;2046258;2021-08-24 19:34:15;Stake;1.08;135065.81835907
74de0abc5b3827f05d41a23dd713e998330c3379bfda706a231f309dba75dfb2;2045685;2021-08-24 09:37:22;Stake;1.08;135064.73835907
22e18f0332f30d7ac3349f622ac228902db89ed100b00b13abe1ebefde5af1e8;2045373;2021-08-24 04:22:46;Stake;1.08;135063.65835907
06a2fc1e39a5cbfcbbbe0390efedb7f9b0ad5beb4d559fb14a4b57eaae5ee363;2045367;2021-08-24 04:20:29;Stake;1.08;135062.57835907
ee2a4a3fcbedc6169946b8b9f07a96cf01b22a2432d42c6e2ec022b52dd228e8;2045350;2021-08-24 04:00:08;Stake;1.08;135061.49835907
a2cb16a99a5bbb33a3c646a56e66007840411a7e46625f5ee85a601f92afb0dc;2045330;2021-08-24 03:36:39;Stake;1.08;135060.41835907
be72cb12dd42312f5d12a35f43d479528be813ee40158583548316f728aba730;2045268;2021-08-24 02:30:31;Stake;1.08;135059.33835907
ed772608c2e6ed6d03b69d87fe47a72b7ebb34aa32ccb59f7737b7330eac1c64;2045264;2021-08-24 02:27:29;Stake;1.08;135058.25835907
5f2ff4a57bffde4423710d43e4e02b4c0e67c7b1c5f929dce5785db8db1a0e02;2045246;2021-08-24 02:06:14;Stake;1.08;135057.17835907
eb3d493f130bd1403ee12513a7fd16ce1973d318fdbc99fe78a16a6772882f15;2045241;2021-08-24 02:03:28;Stake;1.08;135056.09835907
e9c2d2c6901573b295ef21275fb920b64fc85be793369577306d11d934b55be2;2045169;2021-08-24 00:54:32;Stake;1.08;135055.01835907
99c85516cc32daee6a0a43efb69ed1534e5cf004bb6f389c1c411d733a1d9b70;2045148;2021-08-24 00:23:19;Stake;1.08;135053.93835907
825ece684180e6b2a3c52d0b6549dcd013cd43c8b45728dd5d86131b30e31a9f;2045122;2021-08-24 00:00:30;Stake;1.08;135052.85835907
3c8865942b9c095c48d6f2bf3183dacd7c69be41e0d693ccbfc4a1bc6fde03d0;2045034;2021-08-23 22:36:23;Stake;1.08;135051.77835907
c432e0a83fe953e1b870fe950861a01a32c5727d8d3e2f67c7d1a8f6bc4cf79b;2045023;2021-08-23 22:26:29;Stake;1.08;135050.69835907
36c2b7b5faa85b07d9967a5da4bb2e20e991e5449438f7dafeb504c73f22b233;2044968;2021-08-23 21:21:34;Stake;1.08;135049.61835907
e352d33afcfdb5b50bb28a9979eacdfcf3581311d0d5e0c31efb38352b6cfc83;2044853;2021-08-23 19:27:17;Stake;1.08;135048.53835907
ac787a9beb43ffe7400216eaf35535f33fc465fddd282038fa8259c6d424c615;2044834;2021-08-23 19:10:03;Stake;1.08;135047.45835907
7a7b67403171f906cfe47fe0e141c043c3bbdccf9dc6af0e4857e234746ceeb3;2044810;2021-08-23 18:42:15;Stake;1.08;135046.37835907
e597bc26c48994c5969b193f06cb69c4b307f906529a2faacee618579f548e6d;2044507;2021-08-23 13:28:41;Stake;1.08;135045.29835907
a69a70dd65489032070b9f26cb1cc9f51ca1e3c2032d9b189b8adf5660f9c3b2;2044495;2021-08-23 13:20:25;Stake;1.08;135044.21835907
e6bf2d6c960e5fe4216d365c536eb63b38d1087a68ac991c5fb3d195aa1f4412;2044480;2021-08-23 13:02:09;Stake;1.08;135043.13835907
fb9a387a99d64a23828b5bf2bf997fc96a432e91f8c6727e2d013dcabff27d5b;2044449;2021-08-23 12:33:13;Stake;1.08;135042.05835907
66385237263867ea4af88de4fd4685fa1d355ac4d3ce4c3fe3111705c513d1e1;2044277;2021-08-23 09:39:43;Stake;1.08;135040.97835907
4c0df17c930d8b880f7d943cb1de2df851eae659cfb78c6b151fec6479c4ac59;2044270;2021-08-23 09:31:37;Stake;1.08;135039.89835907
048f193de25d77173b08994c308922bb6b059ac2e0fbd05535d0ff1a2b2eec9e;2044212;2021-08-23 08:27:07;Stake;1.08;135038.81835907
3d4a1e81dd9fca97eb74195b9061e8f288bb46696a8cc0ece1c634bc2bce469c;2044165;2021-08-23 07:48:36;Stake;1.08;135037.73835907
050e4895894dff513f8d9b7e5d1d46f88850fe3a67036541e379b556f96e59d6;2044118;2021-08-23 06:58:01;Stake;1.08;135036.65835907
7febefd6749f988e19c6eb1a2a5385ec44f10d8f64e2b4196fef1d381000d239;2044110;2021-08-23 06:53:44;Stake;1.08;135035.57835907
3dbd9c60a8043accae43b67f3b712c422123ac08e3e3e515e3a730c5eb6068c7;2044059;2021-08-23 05:55:11;Stake;1.08;135034.49835907
3aea3b593897388d2129f14c962f98eaf38f0ce0011bd5c8cc690433a3eff946;2043952;2021-08-23 04:05:16;Stake;1.08;135033.41835907
e6ca1e51c51062ecd475440aa9bee47267a4c96ebbccf7146cbfd1aef7002c7d;2043950;2021-08-23 04:04:56;Stake;1.08;135032.33835907
2aa1253dad149fef1b509cb0d39b0a43eb2866d7866eb2c0524b7913fd13035e;2043942;2021-08-23 03:57:15;Stake;1.08;135031.25835907
421a46df071b42eae77072c3c39aaffbde2b4bb5568622deae4d5b051bbdab4f;2043452;2021-08-22 19:30:46;Stake;1.08;135030.17835907
6dc548ce37aa59f9410af318623cdf7e01708d904bd508976aada5fbfd0d6c93;2043324;2021-08-22 17:27:39;Stake;1.08;135029.09835907
290084f2ff105be173bb0b59135131cda2217f79d185ca0ddbe5f3cdfb18d043;2043197;2021-08-22 15:16:45;Stake;1.08;135028.01835907
9dc7063c2307e35e0f7be3336fd479c9532c1114099cdeb65d2db8ace43837a1;2043024;2021-08-22 12:17:10;Stake;1.08;135026.93835907
fa4903dea812f1f9da60f5558879ed7da2eee2b95df344bbdde36dd71d0b1e8e;2043014;2021-08-22 12:07:05;Stake;1.08;135025.85835907
98ab7343b134b7feaffd29d83851d47e74b16dddb40de1634c2e3e73804c9b6a;2042911;2021-08-22 10:18:24;Stake;1.08;135024.77835907
bced31dadc8f46f3d64f34fbcb2b08a2f6fd31a0478ab74a8587c19bfa4fa8a3;2042819;2021-08-22 08:48:04;Stake;1.08;135023.69835907
203331eff3888017cb7733aa075430a5f80228ed4c186452aa62ca781b7f6876;2042794;2021-08-22 08:22:38;Stake;1.08;135022.61835907
0075070fac5126abcc2e3d5ed4d88e63272d7b6004845b6cda13a88e5a493d25;2042131;2021-08-21 21:10:18;Stake;1.08;135021.53835907
6887b05f427e0c3d27c88d7e0e3f39f1bec6de1a12328551c7080093727b8d96;2042093;2021-08-21 20:31:37;Stake;1.08;135020.45835907
619d22a4f6f1765c2cd3994697fa519fb360c885fc1dd60a4c91a7f4ec3a6752;2042044;2021-08-21 19:38:53;Stake;1.08;135019.37835907
643434de1b8c42b6ba89b70879fcaeda49659240c470e094adfe93b4986628df;2041994;2021-08-21 18:51:26;Stake;1.08;135018.29835907
52d880aab43b54e094dd6f146ed88835811c1b43219b6b9f66f6404bb21b5db3;2041965;2021-08-21 18:23:25;Stake;1.08;135017.21835907
608018375889875a895e8618bb505b6f728d297640b9d23711ad47e3b075f460;2041958;2021-08-21 18:15:59;Stake;1.08;135016.13835907
cc4322210bd19b6423090819d660a221ae570626d700cdcfaf110ab9b00a4c28;2041880;2021-08-21 16:58:21;Stake;1.08;135015.05835907
f76210ada714854998a0262b34a74dad47e94e5c206eca7dd1484d686f0bf97a;2041877;2021-08-21 16:54:24;Receive;5;135013.97835907
c4f9bb48ff89aa972760931b6afd228d481f8eba1ebcc3f9d7fc28e6546557e6;2041876;2021-08-21 16:50:15;Receive;5000;135008.97835907
d83ec4e91d9777ed4e1e54909706d6d30883dccbaaa9d6c41ce55c6040feccc2;2041876;2021-08-21 16:50:15;Receive;9999.999;130008.97835907
88ab610ebc34b60f21cbceaee2a684bc3380bfe8be8fee05846ebeec749e2feb;2041866;2021-08-21 16:40:25;Send;-10000.74;120008.97935907
cac8e942b3239973c5ec4623d6cf9b1290dda82f6ecaddb9bacf698b15bda1b1;2041861;2021-08-21 16:34:42;Send;-4302.27289508;130009.71935907
08ffccf64efaa1f1855cd96d25d3f9f73872bbbb13cded0ebb8c68a04720d6b5;2041848;2021-08-21 16:24:13;Send;-4001.07991033;134311.99225415
a688ef1b23abbdb1dc8fc3e1aed4f6de95cd1b6683a66e6a7fb8c5d5b34773e8;1814759;2021-03-13 07:43:16;Stake;1.08;138313.07216448
4d36d5086de4a7136de2457dc5f08778c52d29af9dcd70f1ac49f16b811ac900;1814754;2021-03-13 07:36:47;Stake;1.08;138311.99216448
b342f9a72dc62cdcf177271d7fec092ebe2802d7c0f0a5e597569efdec5c8b51;1814500;2021-03-13 03:19:47;Stake;1.08;138310.91216448
6ddd74440987b9a7fcebe53eb5996396ddd5452caebd312f744808f5295bc40d;1814155;2021-03-12 21:24:57;Stake;1.08;138309.83216448
0ea9e7b18f04058544f31bff33073c1b151ed85f2a453921e4d801e93a520c64;1814071;2021-03-12 20:04:10;Receive;4001.07991033;138308.75216448
cc6b85a00e386324ce0909f6d8ddbeb4d31bc8c67c97de19a787468f06cd0a5a;1814006;2021-03-12 18:57:58;Receive;4302.27289508;134307.67225415
198bf2f2c1726943084d0dddb6b54cdccf0c4ec12656fbef63040fc8396a20ed;1813954;2021-03-12 18:00:29;Receive;20002.159933;130005.39935907
6e504f95bd1c55998f95bf9ec4ad80a6dec3c9f56a6167cefd400d53770b01d0;1813891;2021-03-12 16:49:34;Receive;20001.0799478;110003.23942607
951be5481ba95bbe11b25e306f74b3e75ce78a37c8fbd32add995e804eb15a8b;1813867;2021-03-12 16:33:58;Receive;50002.4199478;90002.15947827
3585b8b1ea12187817a3b4591807c1edfeda44ecea869f9f180e4ebf15c5d927;1813533;2021-03-12 10:48:00;Receive;39999.73953047;39999.73953047
