sep=;
Transaction;Block;Date/Time;Type;Amount;Total
23811fc4836e6202d3448a04222f8f5b37a8eef234a24ea9580fff49a93b87af;2176171;2021-11-25 00:22:21;Stake;1.08;988.57375293
7525ebf530e2a5d24b0cf46db70e27eeced946658f962151bb54efdcfaba87b3;2175189;2021-11-24 07:25:18;Stake;1.08;987.49375293
5df429ea12a753676f9fec9baece35332735a87ba316d34df06ba3503a5f84a8;2174272;2021-11-23 15:49:43;Stake;1.08;986.41375293
b0ee032ae0039442976af006274290361be839185acc4766bb5b9f277029bcb4;2172418;2021-11-22 08:14:35;Stake;1.08;985.33375293
fff9cba533c2bcb671c0ef450a0dd027c140459fd7a67c6a0f4d9e5d89511e4f;2165945;2021-11-17 17:53:46;Stake;1.08;984.25375293
6a4c8962e8c466ab45610e216b8d9174275cf93e05c1ac5de3e407aec0c88a7b;2165082;2021-11-17 03:18:19;Stake;1.08;983.17375293
2049dc59c57f309f278b36226ed9adc41b4156a1e09f80799ef09dc83935abef;2164440;2021-11-16 16:24:04;Stake;1.08;982.09375293
9f5dd9a3191b0deb7d018f9adf6499d8d7e614518df4c52400222c53ccf1a7a2;2161696;2021-11-14 17:38:26;Stake;1.08;981.01375293
75bb39192e9f10a4bf9d74c36e5e57a645d084a7c72e73827b52d64b45a50716;2003293;2021-07-25 07:41:35;Stake;1.08;979.93375293
25fa3a7c938a9a20bddef4ddea9e15d1690c39eb81f18b5829918673203b8126;2001875;2021-07-24 07:33:51;Stake;1.08;978.85375293
772a6ef5a7a5b94b32b8ba24c67a2164ccea39de5da2f802b4cd71cdbcbc0f1d;1992768;2021-07-17 20:35:48;Stake;1.08;977.77375293
0d32e30d3953e79ba082e8b481fec4817493290a0fad323aaa5bd55d54d6f636;1984053;2021-07-11 11:59:13;Stake;1.08;976.69375293
85571a49a9248af0022326f6dee8989803fe3a7127476f44af725326e9bc3b22;1983936;2021-07-11 09:58:31;Stake;1.08;975.61375293
4c4d8a98c4bfc2d5c561e0634800a77c84a1fba5f051bc220db97fdf571cc8ac;1983155;2021-07-10 20:38:58;Stake;1.08;974.53375293
495a2f12dbf3a6868734ba771316ecc4437ca134b346d5ed63296c697afe9f3a;1981717;2021-07-09 20:17:44;Stake;1.08;973.45375293
12aa22fe063b43053df8495471668eea85129409c37f4f76989ee76cf87803db;1978418;2021-07-07 12:12:12;Stake;1.08;972.37375293
025eba21a27a87cdc22b3dd3c187db346d6a15f32d84ecc2f7240a777d6697d4;1972908;2021-07-03 14:20:09;Send;-3952.13501172;971.29375293
523b713ac1a65e57923e328c5381f3e8e9bcc4460eb86170ac6e40b105dd45dd;1972335;2021-07-03 04:35:15;Stake;1.08;4923.42876465
dde0a20becbfd88b6c0748e64649154ad81b0cf9981b1c330e7691c6d80a1916;1971978;2021-07-02 22:33:18;Stake;1.08;4922.34876465
54a46621a20859cb1f3603bb868b800cb8d4cbda8de6929305343a020f79f058;1971371;2021-07-02 12:06:35;Stake;1.08;4921.26876465
5be72ee73de919c4af48bbd102fdc8f2215b86601ae73494923e1560bd3e666c;1970925;2021-07-02 04:33:26;Stake;1.08;4920.18876465
21a1cfa7fcf4ee2bf9e34a47ec2e6c9bae812b78fc476c16fe44b6258af6ae5e;1970790;2021-07-02 02:18:52;Stake;1.08;4919.10876465
d363615f43573b396d5fbcea558dd4b052f82ec9bade539f0f7671e950998871;1967015;2021-06-29 09:52:12;Stake;1.08;4918.02876465
230f7cee05a55d8b0250abf0201a5a5774e791dacadfa807ad9eb902b1a0db51;1964810;2021-06-27 20:24:47;Stake;1.08;4916.94876465
86857fc988255e1f731af13868633c230ab5e2074f67d8cf98471877699f2d8f;1964491;2021-06-27 14:59:28;Stake;1.08;4915.86876465
1061bcbd2fe88b0acc9232067b2930ca333f3f166ef48d42e3c6c78cb3e3ffef;1964165;2021-06-27 09:20:50;Stake;1.08;4914.78876465
9aa0baa864246d1e637f480ad672bb9491d23cf376f5ae8aa7e1a50e5d1dea71;1963895;2021-06-27 04:48:26;Stake;1.08;4913.70876465
f1430dfcec94b41d00f5e0c74a8f80a516bbe7ecb80a530e1a17792863d930dd;1963699;2021-06-27 01:31:17;Stake;1.08;4912.62876465
d74ee722a2180e2c8332fc7cbff0ba434aa26ab8f7aa046810079fe86e80991b;1963588;2021-06-26 23:34:43;Stake;1.08;4911.54876465
825cb27c9a6c0d7cac8e9f970c7f433c17b2311c75c57ee8eaf9855dcf2f8aa4;1963486;2021-06-26 21:51:21;Stake;1.08;4910.46876465
876807a21c193291e18e44a093e7e648db0af1f36845587da9c4cf68a921f518;1962119;2021-06-25 22:41:56;Stake;1.08;4909.38876465
c8ee92ef142718681f766527a4e5afa036c1d3121c94dcd92a975dd4121396f0;1961854;2021-06-25 18:04:14;Stake;1.08;4908.30876465
1826844791f9cc3c35da6a7d6a03aab61b5c42f282d28c4782b76bf2e1b174c6;1961709;2021-06-25 15:28:35;Stake;1.08;4907.22876465
952c00209b4dedc0a9457ded1cf0f41a23374ae7a2e9c1bd052d70c40f0b864f;1960585;2021-06-24 20:32:03;Stake;1.08;4906.14876465
3e1add518072589212aafcdff2d250a7b31ae085c81ce204122e777cc8764729;1960109;2021-06-24 12:18:51;Stake;1.08;4905.06876465
826ebe98ef29327cb31bc2010f0722256fbe346790dead447db2e5e822f7bb72;1959169;2021-06-23 20:25:56;Stake;1.08;4903.98876465
316ef3971868e5f30e1eb7bff08c45501d74014ea3931bdfcb21216389fb2b4f;1958952;2021-06-23 16:41:31;Stake;1.08;4902.90876465
81347e73846ef907c119b44cbb4b8bf7cc9fb2af5cd86a9ef20760b62225b8e6;1958847;2021-06-23 14:51:46;Stake;1.08;4901.82876465
8dcab51ea9a43726d740ce519c760a483880d8b09d2be56c6086a0cf8950fb1e;1954087;2021-06-20 05:50:23;Stake;1.08;4900.74876465
b8fcd516dd2e53a8dc96b71aef52d7ccceb5706d98d8636c376fc3cf450ca1ea;1953958;2021-06-20 03:39:38;Stake;1.08;4899.66876465
ce67cd6551cc023e57de0ceac9f928efce07c11760a362492ab1929d7f48a7b3;1953913;2021-06-20 02:51:46;Stake;1.08;4898.58876465
33a2e772152fd74862c310e64ec6738ed9dfcb9061d0c51c7ba90eb5ac300623;1950684;2021-06-17 19:53:04;Stake;1.08;4897.50876465
