sep=;
Transaction;Block;Date/Time;Type;Amount;Total
1756eb8344f99be554b3893c715eccfa68d4571da43a26faa1ec64cf8515fd2c;1772029;2021-02-10 23:37:54;Stake;1.08;54283.70244689
eefd6d4255d7f3cdd06fddbee84ed380a593aca54b9d44bcca59bbe342861526;1771893;2021-02-10 21:21:45;Stake;1.08;54282.62244689
cd992c98225b3f8f971648e3ce759b8283b3c28101dc8672e01ffb07d3a25723;1769341;2021-02-09 02:01:24;Stake;1.08;54281.54244689
f9873acb21d7b1ed42e72df8173d627e44b668c8eec526d5bb665a67cf5d0805;1655328;2020-11-20 18:55:22;Stake;1.0799584;54280.46244689
af5f240ba045acac34a2a689d5f7cf1035cc366ba8af4997728cb4cc540dc193;1651137;2020-11-17 20:12:38;Stake;1.0799584;54279.38248849
a996d5c1989292b54b44b801d3949f7b172727494fdaab62b76a3751afae6d69;1651104;2020-11-17 19:40:55;Stake;1.0799584;54278.30253009
243f5ebfaa963ac02afc9df1fd860e55e1bb91a7d96208c932cc8326a763fb18;1651065;2020-11-17 19:02:10;Stake;1.0799584;54277.22257169
94ca3df8c606f2d8eaee131ea7149bc1c1803beec78ca385d6b2b436180cf5c0;1620960;2020-10-27 15:12:18;Stake;1.0799584;54276.14261329
f72f1a11a8c4fa1e9df0238f9b7b6df9fbc85538a2f85becf8e71e76b5cd45a1;1620805;2020-10-27 12:35:38;Stake;1.0799584;54275.06265489
a6d902828fed1cbfcaa551b74097c7e8014665b91ff95801d0b1e9fdd92e7916;1620772;2020-10-27 12:02:22;Stake;1.0799584;54273.98269649
4c9823bd17ad4031458381c55d09bdb46094cc7497b5dcf795cf11e167aaf981;1620221;2020-10-27 02:48:01;Stake;1.0799584;54272.90273809
40e0227ac9d4e6504227aa1ebb0d923f3e51374c835ef4a9d761b352b1a96955;1619906;2020-10-26 21:27:44;Stake;1.0799584;54271.82277969
466b8053c7f0127eda4fe21b9f82e8aaee1a360bae07c53f43925875dc2812c0;1619884;2020-10-26 21:11:38;Stake;1.0799584;54270.74282129
111e0bcf1baa95c8d9ed098529fda9b35b6425a0808abcbc8220cbd505a2147a;1619235;2020-10-26 10:02:57;Stake;1.0799584;54269.66286289
8cb3278c9d50646ce9aebd7e385601f52cea16f6207a918026cc1d2935662b0b;1619086;2020-10-26 07:40:36;Stake;1.0799584;54268.58290449
017dfc243a03849cd2274a17c1ef745b4a1ab869883ca925b7a5b14cd36a21cf;1618964;2020-10-26 05:32:59;Stake;1.0799584;54267.50294609
2358bd14f7f65a59453a992b8b7ff53fbf0d3bc64e5c26d5b574387144b7f1df;1618938;2020-10-26 05:05:39;Stake;1.0799584;54266.42298769
88db34263ad9804f69d3107f186a859c30c8ac78be92b87df8cbec6edf4c2e35;1618785;2020-10-26 02:26:04;Stake;1.0799584;54265.34302929
89342efe8ae4a14564ab53f6d3f385bafca1899a932fa9efacf8420bffd7e8f3;1618769;2020-10-26 02:11:34;Stake;1.0799584;54264.26307089
cc6336abc7a4e7f0cb51aad5e02940837bf288bfc5faadf290fd3cd56e989d17;1606393;2020-10-17 09:28:05;Stake;1.0799584;54263.18311249
9adb19f50b4539e44b25f22da0a9806624671ada9d2eb524058c6ad20f2bbcee;1606378;2020-10-17 09:15:00;Stake;1.0799584;54262.10315409
463c988e14fbf82bfecd27105a98ddbdee364be27442e4cc8e8f0696095a6ade;1606257;2020-10-17 07:07:50;Stake;1.0799584;54261.02319569
1467c0adf259e2f3da17110e5d6c32a268082426244ea276fad36ec9f3e3fd86;1606203;2020-10-17 06:16:03;Stake;1.0799584;54259.94323729
56976a442575ec736962704030bf6373385a1d07ac973c710173699ac3b503f4;1606022;2020-10-17 03:12:01;Stake;1.0799584;54258.86327889
