sep=;
Transaction;Block;Date/Time;Type;Amount;Total
7a118954fbe1bebcd4fdc3f4d5a2e090caeda2807e6f63ce44de9a1bfaaeb774;2092757;2021-09-26 19:28:53;Send;-37340.5;0
f8012993143eac47ee9fdc9b82923fc741caad396b731aa7487acc81138170e5;2088251;2021-09-23 14:53:59;Send;-37341.58;37340.5
7a250301c16b2f6608a771f0946ad2882ab47c51d4c8faeb9040a36fb63806b5;2084783;2021-09-21 03:48:38;Stake;1.08;74682.08
f41c2fb2db14988d599a701a3796647d78e64cadfcce02a428c5fb12873cf3e4;2084459;2021-09-20 22:12:21;Stake;1.08;74681
5a97bea5fa8c43ef5e595df6791a939e0c7559221ffffda35b8519bae578bb89;2073523;2021-09-13 03:45:03;Stake;1.08;74679.92
f133a28cc7eb660079e9d37a225ca2077d93165f1b6768f6dc3f28219ce13e0c;2071656;2021-09-11 19:53:28;Stake;1.08;74678.84
8d441028b89f322904b0731b0164352c2f2ad7d353482560b32f7032dd84f10a;2062600;2021-09-05 09:41:00;Stake;1.08;74677.76
8840a0e8f60bc1350a3f152d26c7a71ae6c3b253667e78938125aa77835102c8;2061893;2021-09-04 21:47:24;Stake;1.08;74676.68
7e6b5e84c8c812bc8d8a127f0037c2cf6dcb22412d74da2d2f221f5c2d8f87dc;2061242;2021-09-04 10:35:27;Stake;1.08;74675.6
5a6778179955c9a52c2a70ec51654bb04176d157c5025307b2a369227ba490ef;2058285;2021-09-02 08:14:54;Stake;1.08;74674.52
dc3acc71aef04006b9dcf44248968a50dbf23e209345351b0e7c043ac71f150c;2057672;2021-09-01 21:48:58;Stake;1.08;74673.44
105083fe3f5a05431e75773b269e4c9d2c74e92dcba7099d5069fb96eb5d6cec;2057609;2021-09-01 20:41:34;Stake;1.08;74672.36
83a5bc139064503bd628315c67f1ca6d4ad5a8218bb262c7ac262859cd1cc2a8;2057020;2021-09-01 10:43:51;Stake;1.08;74671.28
52d6aa641dc08de6890bf9e09cc872e2d2f3876d2c9beab6de2818608fb1ad03;2056955;2021-09-01 09:38:56;Stake;1.08;74670.2
a9f21755877b991fbea1d196c7bb79c141920394a8a04867a07b9fd5851e3e54;2054893;2021-08-30 22:28:15;Stake;1.08;74669.12
c3f776ccb6bd77043d472b820a4b1df32a6fc5bc4ca79e72a9988d723b51fc04;2054711;2021-08-30 19:22:16;Stake;1.08;74668.04
5326b40b37e723f030cddab769027341b11b437940ea7c17d0c9f61c0401e26f;2049542;2021-08-27 03:31:40;Stake;1.08;74666.96
310d62a700f116b8087a92e61aa61ad924530f145613a242a391904ffc140ed1;2049532;2021-08-27 03:25:31;Stake;1.08;74665.88
e1261c904b950616f4e0d5e103b1943b45ced188e8e97ae4d527197daeeb69e3;2035451;2021-08-17 03:18:24;Stake;1.08;74664.8
03a2a96ced4872d250961f938f6d6ca2937f2919251c434f4932c87a4de86879;2033768;2021-08-15 22:43:16;Stake;1.08;74663.72
73c81e43913203c4c7b53ed774f0ca49fa2a46514d764c37313fd023f85833d6;2033463;2021-08-15 17:33:43;Stake;1.08;74662.64
0cc56ec1e6c3c12fbcb84bcb4fd408b6092ec893bad8358a6972b071056e4fe3;2032458;2021-08-15 00:16:17;Stake;1.08;74661.56
bd92fae15c8e650f7155c76a81b560d7d4cd5c6d4c56dcaebf7efa01be658fc8;2027055;2021-08-11 04:10:57;Stake;1.08;74660.48
02b2adedcffbe2a3f90dac763e247a2c0d138c54d01d8decb62e21c10e3aabbb;2022762;2021-08-08 03:09:33;Stake;1.08;74659.4
