sep=;
Transaction;Block;Date/Time;Type;Amount;Total
6f9b528592317c6a7be252956fe2d6fff9f99a4af66eb2317831de0c8603a569;1740598;2021-01-19 21:21:51;Send;-15625.24994054;62505.72
a35fddc2fc56eed9fb98af0f519d3012e2b827f628d652d008ffb2c1553b7303;1740598;2021-01-19 21:21:51;Send;-50782.97952432;78130.96994054
5e995bcd240e6132b6feee2537e748fc4ce38c55f92938ff28a54933ed565c99;1740595;2021-01-19 21:18:13;Send;-19534.83;128913.94946486
ae7c342f6dd59af556b8618f5c6d80a3fb33c28e65f293094d225ab82d891063;1699253;2020-12-22 00:13:36;Send;-11720.42988108;148448.77946486
de124d301fa5fa18633a9d2c2b76a2055a27f13f9357b55c6fc9775a25dfa8e5;1696253;2020-12-19 21:31:52;Send;-11719.97988108;160169.20934594
10935e0891ad798dd825524e251dbb08eabcea3f95ca1e0ea0a74203be64eee3;1696252;2020-12-19 21:28:51;Send;-1;171889.18922702
aaed5cff7474c096c93d68c21e2ada4d29e75fd640fbbb63cd7baf6ec9224846;1695228;2020-12-19 04:08:55;Stake;1.07994054;171890.18922702
54efac2b629c21624c8f003aa1e870e22adf6ea54ce00f67bd5ef90326d5bd62;1695161;2020-12-19 03:01:00;Stake;1.07994054;171889.10928648
6c53e80685da3155d0617de80196e1a1e3d076fb84de6f6d668274242d842b4c;1695071;2020-12-19 01:27:08;Stake;1.07994054;171888.02934594
ca5788d68bd05994302ba27b246a503ab537197f4d30a884e7f212326fcc5f3a;1695064;2020-12-19 01:22:31;Stake;1.07994054;171886.9494054
01581ea6aa615576e9720b5808a7b7bd599a28ee5ce100f6b4ac177a5b43adab;1695060;2020-12-19 01:18:38;Send;-7814.47;171885.86946486
3776a690107d134df981b153806931878846a5988e6ded4e5291af5bec5eda9d;1695058;2020-12-19 01:16:55;Send;-7813.85994054;179700.33946486
92fbb284efb140febcd409ab0003f8010df684ba02a86c00a2e296ccbb36d608;1615687;2020-10-23 22:14:49;Send;-1;187514.1994054
2542c937f8a5116424defd1ee77b633a3e552914faa8f22d4a30f393fb3ce838;1604330;2020-10-15 22:47:12;Stake;1.07994054;187515.1994054
14342440480aa1c9e283480915f84ace1d0d5340722a9ef09f737b9c302e8779;1604319;2020-10-15 22:28:06;Stake;1.07994054;187514.11946486
152d1800ddda88d89947442841bd6d4b9701a6eaa2caef3be5349a7c7d295a89;1602785;2020-10-14 20:30:39;Stake;1.07994054;187513.03952432
