sep=;
Transaction;Block;Date/Time;Type;Amount;Total
9cd311651ccca7e46184b7657a1a14914a93193b7c89cd0ab32aa0366bb2cc9a;2311787;2022-03-01 05:23:59;Send;-329316;0
4d85c7716ab844a9b0f50aeb69270d85aa06c65caa806d0b3988879ab5da3b1d;2287022;2022-02-11 15:38:14;Receive;270000;329316
f7394dd4572895006aa8b23121efa22debb670f2598cc1c97f5906e638fcc3c3;2277329;2022-02-04 18:43:17;Receive;50000;59316
3d290fa602150ba9948d53d8fc5f5f16834fd4c37c8e4015657135b10649bb9a;2044350;2021-08-23 10:53:25;Send;-17658;9316
41644d9ad9ee686b0bccbdd6941945817f415cc996ae4cf5d97899da9f9281c0;2027571;2021-08-11 13:02:30;Send;-32231;26974
10ca06da0e679981d099bc4c14ea34b8a3454c1c931730f0fc577091966fc039;2010734;2021-07-30 14:19:50;Receive;9316;59205
b3f398b91e65f403f9ed9da6d6c999a3be475648ad2d5de2988b55e93c25dcec;2000774;2021-07-23 12:55:42;Receive;17658;49889
721b799ccf53083b303a0af2f673de6d309d3d0b73f76a819e0a7fd52d46fdf5;2000216;2021-07-23 03:30:16;Send;-6581;32231
994b2525ac825a538e9f69f7fb17296f6a6dde52781d0a675d80c934e334d32c;1990911;2021-07-16 12:56:30;Receive;6581;38812
570b4fee2a6eea813f5cac2440e6c9a3fa14291b660765eed58be77052337c1e;1990643;2021-07-16 08:19:48;Send;-6388;32231
0d02202647d8395d38b07f405d7fd661874690847e07463ca1aa9d6a31137d31;1981327;2021-07-09 13:36:28;Receive;6388;38619
2850107ca62337d963f131c6efb26850b5a6ec8964b96213514993dba868ca92;1971697;2021-07-02 17:45:02;Send;-2000;32231
49e49dc7133ae28797b402c78cf947246c3618b825aec664b067f2b6343ab6a5;1971689;2021-07-02 17:34:31;Receive;2000;34231
f19c21b3745bb4e86a601c398a11f97605909148b17b99f286e4cdaaf3b849e6;1964370;2021-06-27 13:01:08;Send;-6500;32231
07e7ac166f2ff8cbba9e661887c209cb3e3e11e0deeeca32b9dbf1f91eee6eb8;1961528;2021-06-25 12:34:06;Receive;6500;38731
243cfd662e6383efc9f4e4ba26efd897a2be20cc2b74c4cf48f55d79a876fa5c;1944202;2021-06-13 05:17:17;Send;-28762;32231
b91db97d81a6264cde07737e6de87721d161edace4729e9966c9961c734d619a;1810611;2021-03-10 09:01:18;Send;-25827;60993
3865993f5d3f1506aaa0a1313e0abe73bfad919920dbcf4a37b37889aa1b9d4b;1808437;2021-03-08 19:59:32;Send;-11559;86820
6c534d20810785b4c88396878255a3d25fa06a6678e5047494f28aaff863da37;1803817;2021-03-05 13:18:45;Receive;11559;98379
a4dc87b6c780f9da6c896771ba4edc98f7e2fe21eead82bb032c6df5d5780652;1794189;2021-02-26 17:10:32;Receive;28762;86820
3e472cbcd64f10b1883dec449452d47f1242d6f8273c55d25f239f92fa31f929;1786296;2021-02-21 02:51:42;Send;-14579;58058
d31228890d78fcd36436f5c6c9254dd961414154bb8cbf00f8f55b8f58e1336c;1784150;2021-02-19 14:24:04;Receive;14579;72637
55bc183a2205a75deb7e6ab5f7793cf1fafd4cd38fab0d23bf0b3655145aa6a4;1774301;2021-02-12 14:24:49;Receive;25827;58058
0c65d631968b2e6cd70861b349f4321d234e5abf22c5a74b7a1c02201013fb36;1773449;2021-02-12 00:03:35;Send;-8132;32231
8466aefa99598fdbec4e52982938e8a760bb01c826d23928bfd07cec3b956ab9;1764450;2021-02-05 14:54:28;Receive;8132;40363
