sep=;
Transaction;Block;Date/Time;Type;Amount;Total
20d4995a47a7581ac13b0c3e5fe9686e511a46210cf2ff531b7ea4fe99c196ed;2047519;2021-08-25 16:56:59;Send;-17000;0
3d290fa602150ba9948d53d8fc5f5f16834fd4c37c8e4015657135b10649bb9a;2044350;2021-08-23 10:53:25;Send;-48501.328;17000
9efb7e8c0da47c96d5eed3453468267affcab4922ffdb17da23a27243dfc1bfa;1956427;2021-06-21 21:47:43;Receive;12677.328;65501.328
6e68c9211bf110378395d482bb4255d499d46da2723614ba8aaa8ddf5b96e049;1954789;2021-06-20 17:42:54;Send;-7500;52824
54a1683448f478bcb3f88df7ed9b6dae6fde35c0a40cf1ce92645ae9d06c5861;1939682;2021-06-10 00:24:44;Receive;7500;60324
3c3f94246bdab64a7c5a2a6d195fa820a446d098663ee46bb6f444259225c99e;1938238;2021-06-08 23:51:40;Receive;17000;52824
2e5533c207fc28399c90fb5c95373f8a9633c97ffcee0e378adf4af23693e146;1899492;2021-05-12 11:27:41;Send;-12500;35824
9830aab2aa59741f50ddca433b181643c38c942dd1a7f66e294ddc35b6ff5675;1897047;2021-05-10 17:50:24;Receive;12500;48324
0209f69fb05370aba4c899d2215c25c6c4d9c6cbb6b1b3f9f6483189b3fe163d;1896004;2021-05-09 23:56:55;Send;-5500;35824
ab79f39afe9afccf377b77052b72cd297c93729fa1153f4404a78aa9bdb72208;1893062;2021-05-07 21:46:03;Receive;5500;41324
3dc5ba7c59231c597a57cd19d72916d82082cc14115b6ecec520943981dd2e71;1874371;2021-04-24 15:20:04;Receive;17824;35824
53c662dcf0ab0df61d06a277afde09b0139e603006402408a77f07971066216c;1856699;2021-04-12 02:08:51;Receive;18000;18000
2991d037bf5241782a09e7d4f8c841f8d98349704ef94ebd48616a6d96f5d8b2;1844949;2021-04-03 18:05:39;Send;-8000;0
41c96df08075984db646b8ba712d4a9e4d1fc5ec78355eff493ba4bb3bc2498b;1820012;2021-03-17 01:09:07;Receive;8000;8000
9ca7abeae5829e91c5be6d8dc815ce2b4c30d7a3044b216314e1caa9fc7adbc7;1813252;2021-03-12 05:54:05;Send;-2000;0
7f9e459310fb7863ea6fae8eaec603aeaecc6295ed98188dd23d534fe4900300;1812714;2021-03-11 21:00:33;Receive;2000;2000
9a6a457eaeb300cae342386d9abbaf1f48a0d0a9a5ef21da02fe42ba8aa813a9;1796530;2021-02-28 09:04:57;Send;-7000;0
12a08f53867b143876845101da4aa34883c5f8652c408ffb53dd7a0cf643d156;1794349;2021-02-26 19:51:13;Receive;7000;7000
e6ab92077ac952728d856432a0b2bad0ae4a871c51791aee7a4b8febcfa5e593;1777428;2021-02-14 19:42:44;Send;-16000;0
16b7b7774ff6d32d34f00472ca34d86709afce71bb2eceedaea960733510a157;1769134;2021-02-08 22:28:35;Receive;16000;16000
3e9d53f162424e73146d0579c054a5906b24ded0e6edf12ffecea61acad2385c;1653680;2020-11-19 15:13:56;Send;-11140;0
8664ecfb343181578cd8d2de0e01b9d0f3b6fb061d91b7a708f85bbdf549bd57;1590020;2020-10-05 20:51:51;Send;-1200;11140
369650e92cce4d7a0052beeddc49c1cec87e5e43fc2189fe37b48f5633edd348;1589464;2020-10-05 11:30:11;Send;-1000;12340
64a8ea8114a77aaacc9e234daa807524ced8cd27d9788be2d2229d80e63a670c;1588928;2020-10-05 02:33:28;Receive;1000;13340
1c8a022a44a8d0184ea4f069b4084adda9c8c1cbac91e1cf1ea50d503674192c;1588928;2020-10-05 02:33:28;Receive;1200;12340
fb3a3676410bed3e071deb3d2ac9c3af566cc9e33ba4eaf7522fe7457e415633;1523144;2020-08-19 19:35:18;Receive;11140;11140
8b5b024615796caf820c8ddbd6c41ab1c95ea83ee53719887d3c7656531045d3;1493375;2020-07-29 21:03:34;Send;-11990;0
ad884e3a21274df0af6ea4969183428523f410c3d7bcf30dde5c693df6a87a62;1490252;2020-07-27 16:12:45;Receive;10550;11990
1e4c0e99670c592cd488256ab7daaff2ee4056d42e5ae29dab4b91c482996788;1479062;2020-07-19 19:19:10;Send;-990;1440
10682e9548a2d14f82d66dbe6f811f5e02f9569c474f3f81458556f366be2d47;1476254;2020-07-17 20:01:44;Receive;990;2430
efb5739b59285714d08b746e083387fffc704fa9cd17ffed292aadf7a692803a;1476252;2020-07-17 19:59:20;Receive;1440;1440
