         Block            Date/Time          Total
0      2289207  2022-02-13 04:45:01    1658.940722
1      2288138  2022-02-12 10:38:11    1657.860722
2      2284928  2022-02-10 04:03:25    1656.780722
3      2283421  2022-02-09 02:25:52    1655.700722
4      2281323  2022-02-07 14:42:27    1654.620722
...        ...                  ...            ...
48676    31921  2017-10-05 03:29:59  197527.657941
48677    31724  2017-10-05 00:20:10  197524.857956
48678    31721  2017-10-05 00:18:18  197522.057970
48679    31545  2017-10-04 21:14:13  197519.257985
48680    31363  2017-10-04 18:08:05  197516.458000
